,Concept_ID,az,sq
0,Auge::N,göz,sy
1,Ohr::N,qulaq,vesh
2,Nase::N,burun,hundë
3,Mund::N,ağız,gojë
4,Zahn::N,diş,dhëmb
5,Zunge::N,dil,gjuhë
6,Lippe::N,dodaq,buzë
7,Wange::N,yanaq,faqe
8,Wange::N,yanaq,mollëz
9,Gesicht::N,üz,fytyrë
10,Stirn::N,alın,ballë
11,Haar::N,saç,flokë
12,Schnurrbart::N,bığ,mustaqe
13,Bart::N,saqqal,mjekër
14,Kinn::N,çənə,mjekër
15,Kiefer[Anatomie]::N,çənə,nofull
16,Kehle::N,boğaz,fyt
17,Kehle::N,boğaz,grykë
18,Hals::N,boyun,qafë
19,Genick::N,ənsə,arrëz
20,Kopf::N,baş,kokë
21,Rücken::N,bel,kurriz
22,Bauch::N,qarın,bark
23,Nabel::N,göbək,kërthizë
24,Busen::N,məmə,gji
25,Brust::N,döş,gjoks
26,Brust::N,döş,kraharor
27,Schulter::N,çiyin,sup
28,Schulter::N,çiyin,krah
29,Arm::N,qol,krah
30,Ellenbogen::N,dirsək,bërryl
31,Hand::N,əl,dorë
32,Handfläche::N,ovuc,pëllëmbë
33,Finger::N,barmaq,gisht
34,Fingernagel::N,barmaq dırnağı,thua
35,Nagel[Anatomie]::N,dırnak,thua
36,Zeh::N,ayaq barmağı,gisht i këmbës
37,Fuß::N,ayaq,këmbë
38,Ferse::N,daban,thembër
39,Knie::N,diz,gju
40,Oberschenkel::N,bud,kofshë
41,Bein::N,qıç,këmbë
42,Körper::N,əndam,trup
43,Haut::N,dəri,lëkurë
44,Blut::N,qan,gjak
45,Ader::N,damar,venë
46,Sehne::N,vətər,dell
47,Knochen::N,sümük,asht
48,Knochen::N,sümük,kockë
49,Gehirn::N,beyin,tru
50,Herz::N,ürək,zemër
51,Magen::N,mədə,stomak
52,Leber::N,qara ciyər,mëlçi
53,Atem::N,nəfəs,frymë
54,Hunger::N,aclıq,uri
55,Träne::N,göz yaşı,lot
56,Geschmack::N,tam,shije
57,Geschmack::N,ləzzət,shije
58,Geruch::N,qoxu,erë
59,Schlaf::N,yuxu,gjumë
