,Concept_ID,xal,mhr
0,Auge::N,нүдн,шинча́
1,Ohr::N,чикн,пы́лыш
2,Nase::N,хамр,нер
3,Mund::N,амн,умша́
4,Zahn::N,шүдн,пӱй
5,Zunge::N,келн,йы́лме
6,Lippe::N,урл,тӱ́рвӧ
7,Wange::N,халх,шӱ́ргӧ
8,Gesicht::N,нүр,чури́й
9,Stirn::N,маңна,саҥга́
10,Haar::N,үсн,ӱп
11,Schnurrbart::N,сахл,ӧ́рыш
12,Bart::N,сахл,понда́ш
13,Bart::N,өргнә сахл,понда́ш
14,Kinn::N,өргн,оҥыла́ш
15,Kiefer[Anatomie]::N,өргн,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,өргн,пӱйората́
17,Kehle::N,хол,лога́р
18,Hals::N,күзүн,шӱй
19,Genick::N,гиҗг,шӱйло́дыш
20,Kopf::N,толһа,вуй
21,Rücken::N,нурһн,туп
22,Bauch::N,гесн,мӱ́шкыр
23,Nabel::N,киисн,кы́лымде
24,Busen::N,көкн,чы́зе
25,Brust::N,чееҗ,оҥ
26,Schulter::N,ээм,ва́че
27,Arm::N,һар,кид
28,Ellenbogen::N,тоха,кынерву́й
29,Hand::N,баһлцг,кид
30,Hand::N,баһлцг,копа́
31,Handfläche::N,альхн,со́во
32,Finger::N,хурһн,парня́
33,Finger::N,һарин хурһн,парня́
34,Fingernagel::N,хумсн,кидкӱ́ч
35,Fingernagel::N,хумсн,парнягӱ́ч
36,Nagel[Anatomie]::N,хумсн,кӱч
37,Zeh::N,хурһн,йолварня́
38,Zeh::N,көлин хурһн,йолварня́
39,Fuß::N,тавг,йол
40,Fuß::N,тавг,йолкопа́
41,Ferse::N,өскә,тага́н
42,Knie::N,өвдг,пулву́й
43,Oberschenkel::N,һуй,э́рде
44,Bein::N,көл,йол
45,Körper::N,махмуд,кап
46,Haut::N,арсн,кова́ште
47,Blut::N,цусн,вӱр
48,Ader::N,судцн,шӧн
49,Sehne::N,шүрүсн,шӧн
50,Sehne::N,шүрүсн,кӱсе́н
