,Concept_ID,fi,pl
0,Auge::N,silmä,oko
1,Ohr::N,korva,ucho
2,Nase::N,nenä,nos
3,Mund::N,suu,usta
4,Zahn::N,hammas,ząb
5,Zunge::N,kieli,język
6,Lippe::N,huuli,warga
7,Wange::N,poski,policzek
8,Gesicht::N,naama,twarz
9,Gesicht::N,kasvot,twarz
10,Stirn::N,otsa,czoło
11,Haar::N,hius,włos
12,Haar::N,hius,włosy
13,Haar::N,tukka,włos
14,Haar::N,tukka,włosy
15,Schnurrbart::N,viikset,wąsy
16,Bart::N,parta,broda
17,Kinn::N,leuka,podbródek
18,Kiefer[Anatomie]::N,leukaluu,czeluść
19,Kehle::N,kurkku,gardło
20,Hals::N,kaula,szyja
21,Genick::N,niska,kark
22,Kopf::N,pää,głowa
23,Rücken::N,selkä,plecy
24,Rücken::N,selkä,grzbiet
25,Bauch::N,maha,brzuch
26,Bauch::N,vatsa,brzuch
27,Nabel::N,napa,pępek
28,Busen::N,rinta,biust
29,Brust::N,rinta,pierś
30,Schulter::N,olka,bark
31,Schulter::N,olka,ramię
32,Schulter::N,hartia,bark
33,Schulter::N,hartia,ramię
34,Schulter::N,olkapää,bark
35,Schulter::N,olkapää,ramię
36,Arm::N,käsivarsi,ręka
37,Arm::N,käsivarsi,ramię
38,Ellenbogen::N,kyynärpää,łokieć
39,Hand::N,käsi,dłoń
40,Handfläche::N,kämmen,dłoń
41,Finger::N,sormi,palec
42,Fingernagel::N,kynsi,paznokieć
43,Nagel[Anatomie]::N,kynsi,paznokieć
44,Zeh::N,varvas,palec
45,Fuß::N,jalka,stopa
46,Ferse::N,kantapää,pięta
47,Knie::N,polvi,kolano
48,Oberschenkel::N,reisi,udo
49,Bein::N,jalka,noga
50,Körper::N,keho,ciało
51,Körper::N,ruumis,ciało
52,Haut::N,iho,skóra
53,Blut::N,veri,krew
54,Ader::N,suoni,żyła
55,Sehne::N,jänne,ścięgno
56,Knochen::N,luu,kość
57,Gehirn::N,aivot,mózg
58,Herz::N,sydän,serce
59,Magen::N,maha,żołądek
60,Magen::N,vatsa,żołądek
61,Leber::N,maksa,wątroba
62,Atem::N,henki,dech
63,Atem::N,henki,oddech
64,Atem::N,hengitys,dech
65,Atem::N,hengitys,oddech
66,Hunger::N,nälkä,głód
67,Träne::N,kyynel,łza
68,Geschmack::N,maku,smak
69,Geruch::N,haju,woń
70,Geruch::N,haju,zapach
71,Schlaf::N,uni,sen
72,Traum::N,uni,sen
73,Himmel::N,taivas,niebo
74,Sonne::N,aurinko,słońce
75,Mond::N,kuu,księżyc
76,Stern::N,tähti,gwiazda
77,Luft::N,ilma,powietrze
78,Wind::N,tuuli,wiatr
79,Welle::N,aalto,fala
80,Wasser::N,vesi,woda
81,Stein::N,kivi,kamień
82,Boden::N,maa,grunt
83,Boden::N,maaperä,grunt
84,Erde::N,maa,ziemia
85,Staub::N,pöly,pył
86,Staub::N,pöly,kurz
87,Rauch::N,savu,dym
88,Funke::N,kipinä,iskra
89,Feuer::N,tuli,ogień
90,Licht::N,valo,światło
91,Schatten::N,varjo,cień
92,Wetter::N,sää,pogoda
93,Nebel::N,sumu,mgła
94,Wolke::N,pilvi,obłok
95,Wolke::N,pilvi,chmura
96,Regen::N,sade,deszcz
97,Schnee::N,lumi,śnieg
98,Eis::N,jää,lód
99,Frost::N,halla,mróz
100,Frost::N,pakkanen,mróz
101,Kälte::N,vilu,chłód
102,Kälte::N,kylmyys,chłód
103,Hitze::N,helle,gorąco
104,Hitze::N,kuumuus,gorąco
105,Raureif::N,huurre,szron
106,Regenbogen::N,sateenkaari,tęcza
107,Donner::N,jyrinä,grzmot
108,Strömung::N,virtaus,nurt
109,Tropfen::N,tippa,kropla
110,Tropfen::N,pisara,kropla
111,Schaum::N,vaahto,piana
112,Schmutz::N,loka,brud
113,See::N,järvi,jezioro
114,Sumpf::N,suo,bagno
115,Moor::N,räme,bagno
116,Wiese::N,niitty,łąka
117,Wald::N,metsä,las
118,Hügel::N,mäki,pagórek
119,Hügel::N,kumpu,pagórek
120,Hügel::N,kukkula,pagórek
121,Anhöhe::N,mäki,wzgórze
122,Anhöhe::N,kumpare,wzgórze
123,Berg::N,mäki,góra
124,Berg::N,vuori,góra
125,Gipfel::N,laki,szczyt
126,Gipfel::N,laki,wierzchołek
127,Gipfel::N,huippu,szczyt
128,Gipfel::N,huippu,wierzchołek
129,Höhle::N,luola,pieczara
130,Abhang::N,rinne,stok
131,Abhang::N,rinne,zbocze
132,Quelle::N,lähde,zdrój
133,Quelle::N,lähde,źródło
134,Bach::N,puro,potok
135,Bach::N,puro,strumień
136,Fluss::N,joki,rzeka
137,Ufer::N,ranta,brzeg
138,Küste::N,rannikko,wybrzeże
139,Festland::N,manner,ląd
140,Meer::N,meri,morze
141,Bucht::N,lahti,zatoka
142,Insel::N,saari,wyspa
143,Blume::N,kukka,kwiat
144,Gras::N,ruoho,trawa
145,Wurzel::N,juuri,korzeń
146,Baum::N,puu,drzewo
147,Stamm::N,runko,pień
148,Rinde::N,kuori,kora
149,Rinde::N,parkki,kora
150,Ast::N,oksa,gałąź
151,Zweig::N,haara,gałąź
152,Blatt::N,lehti,liść
153,Birke::N,koivu,brzoza
154,Kiefer[Baum]::N,mänty,sosna
155,Kiefer[Baum]::N,petäjä,sosna
156,Weide[Baum]::N,paju,wierzba
157,Tanne::N,kuusi,jodła
158,Horn::N,sarvi,róg
159,Feder::N,sulka,pióro
160,Feder::N,höyhen,pióro
161,Fell::N,talja,futro
162,Flügel::N,siipi,skrzydło
163,Klaue::N,kynsi,szpon
164,Kralle::N,kynsi,pazur
165,Schwanz::N,häntä,ogon
166,Schwanz::N,pyrstö,ogon
167,Ei::N,muna,jajko
168,Nest::N,pesä,gniazdo
169,Bau::N,pesä,nora
170,Tier::N,eläin,zwierzę
171,Herde::N,lauma,stado
172,Herde::N,lauma,trzoda
173,Kuh::N,lehmä,krowa
174,Bulle::N,sonni,byk
175,Pferd::N,hevonen,koń
176,Schaf::N,lammas,owca
177,Schwein::N,sika,świnia
178,Hund::N,koira,pies
179,Katze::N,kissa,kot
180,Katze::N,kissa,kotka
181,Bär::N,karhu,niedźwiedż
182,Eichhörnchen::N,orava,wiewiórka
183,Elch::N,hirvi,łóś
184,Fuchs::N,kettu,lis
185,Hase::N,jänis,zając
186,Maus::N,hiiri,mysz
187,Wolf::N,susi,wilk
188,Vogel::N,lintu,ptak
189,Schwarm::N,parvi,stado
190,Huhn::N,kana,kura
191,Hahn::N,kukko,kogut
192,Gans::N,hanhi,gęś
193,Adler::N,kotka,orzeł
194,Ente::N,ankka,kaczka
195,Eule::N,pöllö,sowa
196,Kranich::N,kurki,żuraw
197,Krähe::N,varis,wrona
198,Kuckuck::N,käki,kukułka
199,Schwan::N,joutsen,łabędż
200,Fisch::N,kala,ryba
201,Barsch::N,ahven,okoń
202,Hecht::N,hauki,szczupak
203,Schlange[Tier]::N,käärme,wąż
204,Schlange[Tier]::N,käärme,żmija
205,Wurm::N,mato,robak
206,Spinne::N,hämähäkki,pająk
207,Ameise::N,muurahainen,mrówka
208,Laus::N,täi,wesz
209,Mücke::N,sääski,komar
