,Concept_ID,ku,is
0,Auge::N,çav,auga
1,Ohr::N,guh,eyra
2,Nase::N,bêvil,nef
3,Mund::N,dev,munnur
4,Zahn::N,didan,tönn
5,Zunge::N,ziman,tunga
6,Lippe::N,lêv,vör
7,Wange::N,dêm,kinn
8,Wange::N,dêm,vangi
9,Wange::N,hinarik,kinn
10,Wange::N,hinarik,vangi
11,Gesicht::N,rû,andlit
12,Stirn::N,enî,enni
13,Haar::N,por,hár
14,Schnurrbart::N,simbêl,yfirskegg
15,Bart::N,rih,skegg
16,Kinn::N,zenî,haka
17,Kiefer[Anatomie]::N,arguşk,kjálki
18,Kiefer[Anatomie]::N,arguşk,skoltur
19,Kehle::N,qirik,kverk
20,Hals::N,stû,háls
21,Hals::N,qirik,háls
22,Genick::N,stû,hnakki
23,Kopf::N,serî,höfuð
24,Rücken::N,pişt,hryggur
25,Bauch::N,ûr,kviður
26,Bauch::N,zik,kviður
27,Nabel::N,navik,nafli
28,Busen::N,sîng,barmur
29,Brust::N,sîng,brjóst
30,Schulter::N,mil,öxl
31,Arm::N,çepil,armur
32,Ellenbogen::N,enîşk,olnbogi
33,Hand::N,dest,hönd
34,Handfläche::N,kefadest,lófi
35,Finger::N,tilî,fingur
36,Fingernagel::N,neynuk,fingurnögl
37,Nagel[Anatomie]::N,bizmar,nögl
38,Zeh::N,tilî linga,tá
39,Fuß::N,ling,fótur
40,Ferse::N,pahnî,hæll
41,Knie::N,kabok,kné
42,Oberschenkel::N,rahn,læri
43,Bein::N,çip,fótleggur
44,Körper::N,laş,búkur
45,Körper::N,laş,líkami
46,Körper::N,gowde,búkur
47,Körper::N,gowde,líkami
48,Haut::N,çerm,húð
49,Haut::N,çerm,skinn
50,Blut::N,xwîn,blóð
51,Ader::N,reh,æð
52,Sehne::N,reh,sin
53,Knochen::N,hestî,bein
54,Gehirn::N,mêjî,heili
55,Herz::N,dil,hjarta
56,Magen::N,navêş,magi
57,Leber::N,kezeb,lifur
58,Atem::N,hilm,andi
59,Atem::N,hilm,andardráttur
60,Hunger::N,birçîtî,hungur
61,Träne::N,hêstir,tár
62,Geschmack::N,tam,smekkur
63,Geruch::N,bêhn,lykt
64,Schlaf::N,xew,svefn
65,Traum::N,xewn,draumur
66,Himmel::N,ezman,himinn
67,Sonne::N,roj,sól
68,Mond::N,heyv,tungl
69,Stern::N,stêrk,stjarna
70,Luft::N,ba,loft
