,Concept_ID,nl,zh
0,Auge::N,oog,眼睛
1,Ohr::N,oor,耳朵
2,Nase::N,neus,鼻子
3,Mund::N,mond,嘴
4,Zahn::N,tand,牙齿
5,Zunge::N,tong,舌头
6,Lippe::N,lip,嘴唇
7,Wange::N,wang,面颊
8,Gesicht::N,gelaat,脸
9,Gesicht::N,gezicht,脸
10,Stirn::N,voorhoofd,额
11,Haar::N,haar,头发
12,Schnurrbart::N,snor,髭须
13,Bart::N,baard,胡子
14,Kinn::N,kin,下巴
15,Kiefer[Anatomie]::N,kaak,颌
16,Kehle::N,keel,嗓子
17,Kehle::N,strot,嗓子
18,Hals::N,hals,颈
19,Genick::N,nek,后颈
20,Kopf::N,hoofd,头
21,Rücken::N,rug,背
22,Bauch::N,buik,肚子
23,Nabel::N,navel,肚脐
24,Busen::N,boezem,胸脯
25,Brust::N,borst,胸
26,Schulter::N,schouder,肩膀
27,Arm::N,arm,臂膀
28,Ellenbogen::N,elleboog,肘
29,Hand::N,hand,手
30,Handfläche::N,handpalm,手掌
31,Finger::N,vinger,手指
32,Fingernagel::N,nagel,指甲
33,Nagel[Anatomie]::N,nagel,指甲
34,Zeh::N,teen,脚趾
35,Fuß::N,voet,脚
36,Ferse::N,hak,后跟
37,Ferse::N,hiel,后跟
38,Knie::N,knie,膝
39,Oberschenkel::N,dij,大腿
40,Bein::N,been,腿
41,Körper::N,lichaam,身体
42,Haut::N,huid,皮肤
43,Blut::N,bloed,血
44,Ader::N,ader,血管
45,Sehne::N,pees,腱
46,Knochen::N,bot,骨
47,Knochen::N,been,骨
48,Knochen::N,knook,骨
49,Gehirn::N,hersenen,脑
50,Herz::N,hart,心
51,Magen::N,maag,胃
52,Leber::N,lever,肝
53,Atem::N,adem,呼吸
54,Hunger::N,honger,饿
55,Träne::N,traan,眼泪
56,Geschmack::N,smaak,味道
57,Geruch::N,geur,气味
58,Schlaf::N,slaap,睡眠
59,Traum::N,droom,梦
60,Himmel::N,hemel,天空
61,Sonne::N,zon,太阳
62,Mond::N,maan,月亮
63,Stern::N,ster,星
64,Luft::N,lucht,空气
65,Wind::N,wind,风
66,Welle::N,golf,波
67,Wasser::N,water,水
68,Stein::N,steen,石头
69,Boden::N,grond,地面
70,Erde::N,aarde,地
71,Staub::N,stof,灰尘
72,Rauch::N,rook,烟
73,Funke::N,vonk,火花
74,Feuer::N,vuur,火
75,Licht::N,licht,光
76,Schatten::N,schaduw,影子
77,Wetter::N,weer,天气
78,Nebel::N,mist,雾
79,Nebel::N,nevel,雾
80,Wolke::N,wolk,云
81,Regen::N,regen,雨
82,Schnee::N,sneeuw,雪
83,Eis::N,ijs,冰
84,Frost::N,vorst,霜冻
85,Kälte::N,kou,寒冷
86,Kälte::N,koude,寒冷
87,Hitze::N,hitte,炎热
88,Raureif::N,rijp,霜
89,Regenbogen::N,regenboog,虹
90,Donner::N,donder,雷
91,Strömung::N,stroming,水流
92,Tropfen::N,druppel,滴
93,Schaum::N,schuim,泡沫
94,Schmutz::N,vuil,赃物
95,See::N,meer,湖
96,Sumpf::N,moeras,沼泽
97,Moor::N,veen,沼泽
98,Wiese::N,wei,草地
99,Wiese::N,weide,草地
100,Wald::N,bos,森林
101,Hügel::N,heuvel,丘陵
102,Anhöhe::N,hoogte,山丘
103,Berg::N,berg,山
104,Gipfel::N,top,峰
105,Höhle::N,hol,洞穴
106,Abhang::N,helling,斜坡
107,Quelle::N,bron,泉
108,Bach::N,beek,溪
109,Fluss::N,stroom,河流
110,Ufer::N,wal,岸
111,Ufer::N,oever,岸
112,Küste::N,kust,海岸
113,Festland::N,vasteland,大陆
114,Meer::N,zee,海
115,Bucht::N,baai,海湾
116,Bucht::N,inham,海湾
117,Insel::N,eiland,岛
118,Blume::N,bloem,花
119,Gras::N,gras,草
120,Wurzel::N,wortel,根
121,Baum::N,boom,树
122,Stamm::N,stam,树干
123,Rinde::N,schors,树皮
124,Ast::N,tak,树枝
125,Zweig::N,twijg,树枝
126,Blatt::N,blad,叶子
127,Birke::N,berk,桦木
128,Kiefer[Baum]::N,den,松树
129,Weide[Baum]::N,wilg,柳树
130,Tanne::N,spar,冷杉
131,Horn::N,hoorn,角
132,Feder::N,veer,羽毛
133,Feder::N,pluim,羽毛
134,Fell::N,vel,皮毛
135,Flügel::N,vleugel,翅膀
136,Klaue::N,klauw,爪子
137,Kralle::N,klauw,爪子
138,Schwanz::N,staart,尾巴
139,Ei::N,ei,蛋
140,Nest::N,nest,巢
141,Bau::N,hol,穴
