,Concept_ID,bg,no
0,Auge::N,око,øye
1,Ohr::N,ухо,øre
2,Nase::N,нос,nese
3,Mund::N,уста,munn
4,Zahn::N,зъб,tann
5,Zunge::N,език,tunge
6,Lippe::N,устна,leppe
7,Wange::N,буза,kinn
8,Gesicht::N,лице,fjes
9,Gesicht::N,лице,ansikt
10,Gesicht::N,образ,fjes
11,Gesicht::N,образ,ansikt
12,Stirn::N,чело,panne
13,Haar::N,коса,hår
14,Haar::N,косъм,hår
15,Schnurrbart::N,мустаци,bart
16,Bart::N,брада,skjegg
17,Kinn::N,брада,hake
18,Kinn::N,брадичка,hake
19,Kiefer[Anatomie]::N,челюст,kjeve
20,Kehle::N,гърло,strupe
21,Hals::N,врат,hals
22,Genick::N,тил,nakke
23,Kopf::N,глава,hode
24,Rücken::N,гръб,rygg
25,Bauch::N,корем,buk
26,Bauch::N,корем,mage
27,Nabel::N,пъп,navle
28,Busen::N,бозка,barm
29,Brust::N,гръд,bryst
30,Schulter::N,рамо,skulder
31,Schulter::N,плещи,skulder
32,Arm::N,ръка,arm
33,Ellenbogen::N,лакът,albue
34,Hand::N,ръка,hånd
35,Hand::N,китка,hånd
36,Handfläche::N,длан,håndflate
37,Finger::N,пръст,finger
38,Fingernagel::N,нокът,fingernegl
39,Nagel[Anatomie]::N,нокът,negl
40,Zeh::N,пръст на крак,tå
41,Fuß::N,крак,fot
42,Fuß::N,нога,fot
43,Ferse::N,пета,hæl
44,Knie::N,коляно,kne
45,Oberschenkel::N,бедро,lår
46,Bein::N,крак,bein
47,Bein::N,нога,bein
48,Körper::N,тяло,kropp
49,Körper::N,тяло,legeme
50,Haut::N,кожа,hud
51,Haut::N,кожа,skinn
52,Blut::N,кръв,blod
53,Ader::N,вена,åre
54,Ader::N,артерия,åre
55,Sehne::N,жила,sene
56,Sehne::N,сухожилие,sene
57,Knochen::N,кост,bein
58,Knochen::N,кост,knokkel
59,Gehirn::N,мозък,hjerne
60,Herz::N,сърце,hjerte
61,Magen::N,стомах,mage
62,Leber::N,черен дроб,lever
63,Atem::N,дишане,pust
64,Hunger::N,глад,sult
65,Träne::N,сълза,tåre
66,Geschmack::N,вкус,smak
67,Geruch::N,миризма,lukt
68,Schlaf::N,сън,søvn
69,Traum::N,сън,drøm
70,Himmel::N,небе,himmel
71,Sonne::N,слънце,sol
72,Mond::N,луна,måne
73,Mond::N,месец,måne
74,Stern::N,звезда,stjerne
75,Luft::N,въздух,luft
76,Wind::N,вятър,vind
77,Welle::N,вълна,bølge
78,Wasser::N,вода,vann
79,Stein::N,камък,stein
80,Boden::N,земя,bakke
81,Boden::N,почва,bakke
82,Erde::N,земя,jord
83,Erde::N,почва,jord
84,Staub::N,прах,støv
85,Rauch::N,дим,røyk
86,Rauch::N,пушек,røyk
87,Funke::N,искра,gnist
88,Feuer::N,огън,ild
89,Licht::N,светлина,lys
90,Schatten::N,сянка,skygge
91,Wetter::N,време,vær
92,Nebel::N,мъгла,tåke
93,Wolke::N,облак,sky
94,Regen::N,дъжд,regn
95,Schnee::N,сняг,snø
96,Eis::N,лед,is
97,Frost::N,мраз,frost
98,Kälte::N,студ,kulde
99,Hitze::N,жега,hete
100,Hitze::N,горещина,hete
101,Raureif::N,скреж,rimfrost
102,Raureif::N,слана,rimfrost
103,Regenbogen::N,дъга,regnbue
104,Donner::N,гръм,torden
105,Strömung::N,течение,strømning
106,Tropfen::N,капка,dråpe
107,Schaum::N,пяна,skum
108,Schmutz::N,кал,søl
109,Schmutz::N,кал,skitt
110,Schmutz::N,мръсотия,søl
111,Schmutz::N,мръсотия,skitt
112,See::N,езеро,sjø
113,Sumpf::N,блато,sump
114,Sumpf::N,блато,myrlende
115,Moor::N,мочурище,myr
116,Moor::N,мочурище,myrhei
117,Wiese::N,ливада,eng
118,Wald::N,гора,skog
119,Hügel::N,рид,haug
120,Hügel::N,рид,bakke
121,Hügel::N,хълм,haug
122,Hügel::N,хълм,bakke
123,Anhöhe::N,могила,haug
124,Anhöhe::N,могила,bakke
125,Anhöhe::N,възвишение,haug
126,Anhöhe::N,възвишение,bakke
127,Berg::N,планина,berg
128,Berg::N,планина,fjell
129,Gipfel::N,връх,topp
130,Höhle::N,пещера,hule
131,Abhang::N,склон,li
132,Abhang::N,склон,skråning
133,Abhang::N,стръмнина,li
134,Abhang::N,стръмнина,skråning
135,Quelle::N,извор,kilde
136,Bach::N,поток,bekk
137,Fluss::N,река,elv
138,Ufer::N,бряг,bredd
139,Küste::N,бряг,kyst
140,Küste::N,крайбрежие,kyst
141,Festland::N,суша,fastland
142,Meer::N,море,hav
143,Bucht::N,залив,bukt
144,Insel::N,остров,øy
145,Blume::N,цвете,blomst
146,Gras::N,трева,gress
147,Wurzel::N,корен,rot
148,Baum::N,дърво,tre
149,Stamm::N,стъбло,stamme
150,Rinde::N,кора,bark
151,Ast::N,клон,gren
152,Zweig::N,клон,kvist
153,Blatt::N,лист,blad
154,Birke::N,бреза,bjørk
155,Kiefer[Baum]::N,бор,furu
156,Weide[Baum]::N,върба,selje
157,Weide[Baum]::N,върба,piletre
158,Tanne::N,ела,gran
159,Horn::N,рог,horn
160,Feder::N,перо,fjær
161,Fell::N,кожа,skinn
162,Flügel::N,крило,vinge
163,Klaue::N,нокът,klauv
164,Kralle::N,нокът,klo
165,Schwanz::N,опашка,hale
166,Ei::N,яйце,egg
167,Nest::N,гнездо,rede
168,Bau::N,дупка,hi
169,Tier::N,животно,dyr
170,Herde::N,стадо,flokk
171,Kuh::N,крава,ku
172,Bulle::N,бик,tyr
173,Pferd::N,кон,hest
174,Schaf::N,овца,får
175,Schwein::N,свиня,gris
176,Hund::N,куче,hund
177,Katze::N,котка,katt
178,Bär::N,мечка,bjørn
179,Eichhörnchen::N,катерица,ekorn
180,Elch::N,лос,elg
181,Fuchs::N,лисица,rev
182,Hase::N,заек,hare
183,Maus::N,мишка,mus
184,Wolf::N,вълк,ulv
185,Wolf::N,вълк,varg
186,Vogel::N,птица,fugl
187,Schwarm::N,рой,sverm
188,Schwarm::N,рояк,sverm
189,Huhn::N,кокошка,høne
190,Hahn::N,петел,hane
191,Gans::N,гъска,gås
192,Adler::N,орел,ørn
193,Ente::N,патица,and
