,Concept_ID,fa,se
0,Auge::N,چشم,tjelmie
1,Auge::N,چشم,tjalmme
2,Auge::N,چشم,čalbmi
3,Auge::N,چشم,čalme
4,Auge::N,چشم,čâ´lmm
5,Auge::N,چشم,ча̄лльм
6,Ohr::N,گوش,bieljie
7,Ohr::N,گوش,biellje
8,Ohr::N,گوش,beallji
9,Ohr::N,گوش,pelji
10,Ohr::N,گوش,pe´llj
11,Ohr::N,گوش,пе̄лльй
12,Nase::N,بینی,njuenie
13,Nase::N,بینی,njunnje
14,Nase::N,بینی,njunni
15,Nase::N,بینی,njuṇe
16,Nase::N,بینی,njuu´nn
17,Nase::N,بینی,нюннҍ
18,Mund::N,دهان,njaelmie
19,Mund::N,دهان,njálmme
20,Mund::N,دهان,njálbmi
21,Mund::N,دهان,njälmi
22,Mund::N,دهان,njä´lmm
23,Mund::N,دهان,ня̄лльм
24,Zahn::N,دندان,baenie
25,Zahn::N,دندان,bádne
26,Zahn::N,دندان,bátni
27,Zahn::N,دندان,pääṇi
28,Zahn::N,دندان,pää´nn
29,Zahn::N,دندان,па̄ннҍ
30,Zunge::N,زبان,njoektjeme
31,Zunge::N,زبان,njuovtjav
32,Zunge::N,زبان,njuovčča
33,Zunge::N,زبان,njuovčâ
34,Zunge::N,زبان,njuhččâm
35,Zunge::N,زبان,нюхчем
36,Lippe::N,لب,bangseme
37,Lippe::N,لب,njálmmerabdda
38,Lippe::N,لب,bavssa
39,Lippe::N,لب,poovsâ
40,Lippe::N,لب,põõus
41,Lippe::N,لب,пэ̄кс
42,Wange::N,لپ,skiehrie
43,Wange::N,لپ,nierra
44,Wange::N,لپ,muohtu
45,Wange::N,لپ,nieṛâ
46,Wange::N,لپ,njiõrr
47,Wange::N,لپ,нӣрр
48,Gesicht::N,رو,ååredæjja
49,Gesicht::N,رو,muohto
50,Gesicht::N,رو,muođut
51,Gesicht::N,رو,ámadadju
52,Gesicht::N,رو,muáđuh
53,Gesicht::N,رو,muâđ
54,Gesicht::N,رو,ка̄ссв
55,Gesicht::N,چهره,ååredæjja
56,Gesicht::N,چهره,muohto
57,Gesicht::N,چهره,muođut
58,Gesicht::N,چهره,ámadadju
59,Gesicht::N,چهره,muáđuh
60,Gesicht::N,چهره,muâđ
61,Gesicht::N,چهره,ка̄ссв
62,Stirn::N,پیشانی,gaalloe
63,Stirn::N,پیشانی,gállo
64,Stirn::N,پیشانی,gállu
65,Stirn::N,پیشانی,kállu
66,Stirn::N,پیشانی,käll
67,Stirn::N,پیشانی,вуэххьц
68,Haar::N,مو,voepte
69,Haar::N,مو,vuoppta
70,Haar::N,مو,vuokta
71,Haar::N,مو,vuop'tâ
72,Haar::N,مو,vuõpt
73,Haar::N,مو,вӯппт
74,Schnurrbart::N,سبیل,bijjie-skaavtjoe
75,Schnurrbart::N,سبیل,njunjevuolskávttjá
76,Schnurrbart::N,سبیل,seamu
77,Schnurrbart::N,سبیل,siämu
78,Schnurrbart::N,سبیل,ää´bben
79,Schnurrbart::N,سبیل,о̄а̄бпан
80,Bart::N,ریش,skaavtja
81,Bart::N,ریش,skaavtjoe
82,Bart::N,ریش,skávttjá
83,Bart::N,ریش,seamu
84,Bart::N,ریش,siämu
85,Bart::N,ریش,seäm
86,Bart::N,ریش,ся̄м
87,Kinn::N,چانه,gaejpie
88,Kinn::N,چانه,gájbbe
89,Kinn::N,چانه,gáibi
90,Kinn::N,چانه,käibi
91,Kinn::N,چانه,käi´bb
92,Kinn::N,چانه,ка̄ййп
93,Kiefer[Anatomie]::N,فک,gaejpie
94,Kiefer[Anatomie]::N,فک,oalol
95,Kiefer[Anatomie]::N,فک,oaloldákte
96,Kiefer[Anatomie]::N,فک,gáibi
97,Kiefer[Anatomie]::N,فک,uá'lultähti
98,Kiefer[Anatomie]::N,فک,vuâl'lõš
99,Kiefer[Anatomie]::N,فک,вуаллнешш
100,Kiefer[Anatomie]::N,آرواره,gaejpie
