,Concept_ID,mdf,ru
0,Auge::N,сельме,глаз
1,Ohr::N,пиле,ухо
2,Nase::N,шалхка,нос
3,Mund::N,курга,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кяль,язык
6,Lippe::N,търва́,губа
7,Wange::N,щёка,щека
8,Gesicht::N,шама,лицо
9,Stirn::N,коня,лоб
10,Haar::N,шя́ярь,волос
11,Haar::N,шя́ярь,волосы
12,Schnurrbart::N,уса́,ус
13,Schnurrbart::N,уса́,усы
14,Bart::N,сакал,борода
15,Kinn::N,ула,подбородок
16,Kiefer[Anatomie]::N,саласка,челюсть
17,Kehle::N,кълдома,горло
18,Kehle::N,кърга́парь,горло
19,Hals::N,сялдаз,шея
20,Genick::N,шовонь,затылок
21,Kopf::N,пря,голова
22,Rücken::N,копорь,спина
23,Bauch::N,пеке,живот
24,Nabel::N,по́кон,пупок
25,Busen::N,потя,женская грудь
26,Brust::N,мяште,грудь
27,Schulter::N,лафту,плечо
28,Arm::N,кядь,рука
29,Ellenbogen::N,кенерьба́карь,локоть
30,Hand::N,кядь,кисть
31,Handfläche::N,кядьлапш,ладонь
32,Finger::N,сур,палец
33,Fingernagel::N,кенже,ноготь
34,Nagel[Anatomie]::N,кенже,ноготь
35,Zeh::N,пильгосу́р,палец
36,Fuß::N,пильге,ступня
37,Fuß::N,пильгелапа,ступня
38,Ferse::N,кочкяря,пята
39,Ferse::N,кочкяря,пятка
40,Knie::N,эль,колено
41,Knie::N,пълма́нжа,колено
42,Oberschenkel::N,пильгепукша,бедро
43,Bein::N,пильге,нога
44,Körper::N,ро́нга,тело
45,Körper::N,по́нда,тело
46,Haut::N,киське,кожа
47,Blut::N,вер,кровь
48,Ader::N,сан,вена
49,Ader::N,сан,сосуд
50,Ader::N,верза́н,вена
51,Ader::N,верза́н,сосуд
52,Sehne::N,коське сан,жила
53,Sehne::N,коське сан,тетива
54,Sehne::N,коське сан,сухожилие
55,Knochen::N,пакарь,кость
56,Gehirn::N,уй,мозг
57,Herz::N,седи,сердце
58,Magen::N,коткърдазь,желудок
59,Leber::N,макса,печень
60,Atem::N,лекома,дух
61,Atem::N,лекома,дыхание
62,Atem::N,ваймонь тарксема,дух
63,Atem::N,ваймонь тарксема,дыхание
64,Hunger::N,вачеши,голод
65,Träne::N,сельмове́дь,слеза
66,Geschmack::N,таньф,вкус
67,Geruch::N,шине,запах
68,Schlaf::N,удома́,сон
69,Traum::N,он,сновидение
70,Himmel::N,менель,небо
71,Sonne::N,ши,солнце
72,Mond::N,ков,луна
73,Stern::N,тяште,звезда
74,Luft::N,кожф,воздух
75,Wind::N,варма,ветер
76,Welle::N,тавла,волна
77,Wasser::N,ведь,вода
78,Stein::N,кев,камень
79,Boden::N,мода,почва
80,Boden::N,потмакс,почва
81,Erde::N,мода,земля
82,Erde::N,мастор,земля
83,Staub::N,пуль,пыль
84,Rauch::N,качам,дым
85,Funke::N,ця́тка,искра
86,Feuer::N,тол,огонь
87,Licht::N,ва́лда,свет
88,Schatten::N,цильф,тень
89,Wetter::N,уша,погода
90,Nebel::N,тума́н,туман
91,Wolke::N,ковол,облако
92,Regen::N,пизем,дождь
93,Schnee::N,лов,снег
94,Eis::N,эй,лед
95,Frost::N,ке́льме,мороз
96,Kälte::N,якшама,холод
97,Hitze::N,пси,жара
98,Raureif::N,леш,иней
99,Regenbogen::N,а́тямъёнга,радуга
100,Donner::N,атям,гром
101,Strömung::N,шудема́,течение
102,Tropfen::N,путькс,капля
103,Tropfen::N,пътняфкс,капля
