,Concept_ID,uk,vep
190,Apfel::N,яблуко,jablok
191,Pilz::N,гриб,sen'
192,Pilz::N,гриб,babuk
193,Zwiebel::N,цибуля,lauk
194,Saat::N,сім’я,semned
195,Korn::N,зерно,jüvä
196,Korn::N,зерно,vill'
197,Heu::N,сіно,hein
198,Schale::N,шкірка,kor'
199,Grube::N,яма,kop
200,Falle::N,пастка,rida
201,Schlinge::N,петля,rihm
202,Spur::N,слід,jäl'g
203,Asche::N,зола,tuhk
204,Asche::N,попіл,tuhk
205,Dreck::N,бруд,redu
206,Dreck::N,бруд,pačak
207,Eisen::N,залізо,raud
208,Gold::N,золото,kuld
209,Silber::N,срібло,hobed
210,Kohle::N,вугілля,hil'
211,Glas::N,скло,stökol
212,Lehm::N,глина,savi
213,Sand::N,пісок,lete
214,Mensch::N,людина,mez'
215,Mensch::N,людина,ristit
216,Mann::N,чоловік,mez'
217,Frau::N,жінка,naine
218,Kind::N,дитина,laps'
219,Junge::N,хлопець,poig
220,Junge::N,хлопець,prihaine
221,Mädchen::N,дівчина,neičukaine
222,Familie::N,сім’я,kanz
223,Familie::N,сім’я,pereh
224,Familie::N,родина,kanz
225,Familie::N,родина,pereh
226,Großvater::N,дідусь,ded
227,Großmutter::N,бабуся,bab
228,Eltern::N,батьки,vanhembad
229,Eltern::N,батьки,kazvatajad
230,Vater::N,батько,tat
231,Mutter::N,мати,mam
232,Sohn::N,син,poig
233,Tochter::N,дочка,tütär
234,Bruder::N,брат,veik
235,Bruder::N,брат,vell'
236,Schwester::N,сестра,čiža
237,Schwester::N,сестра,sizar
238,Onkel::N,дядько,däd'
239,Tante::N,тітка,tädi
240,Ehemann::N,чоловік,mužik
241,Ehefrau::N,жінка,ak
242,Ehefrau::N,дружина,ak
243,Freude::N,радощі,ilo
244,Freude::N,радощі,ihastuz
245,Gelächter::N,сміх,nagr
246,Glück::N,щастя,oza
247,Kummer::N,горе,gor'a
248,Wunsch::N,бажання,taht
249,Lust::N,бажання,himo
250,Geist::N,дух,heng
251,Gedanke::N,думка,meletuz
252,Gedächtnis::N,пам’ять,mušt
253,Verstand::N,розум,mel'
254,Sinn::N,зміст,jüvä
255,Sinn::N,значення,jüvä
256,Grund::N,причина,sü
257,Wahrheit::N,правда,tozi
258,Gespräch::N,розмова,lodu
259,Gespräch::N,розмова,pagin
260,Märchen::N,байка,sarn
261,Erzählung::N,повість,sanutez
262,Erzählung::N,оповідання,sanutez
263,Nachricht::N,повідомлення,tedotuz
264,Neuigkeit::N,новина,uzištuz
265,Name::N,ім’я,nimi
266,Rätsel::N,загадка,ozoitez
267,Rede::N,промова,pagin
268,Rede::N,промова,sanad
269,Sprache::N,мова,kel'
270,Stimme::N,голос,än'
271,Wort::N,слово,sana
272,Zeichen::N,знак,znam
273,Ruf::N,оклик,kida
274,Ruf::N,оклик,kucund
275,Lärm::N,шум,judu
276,Laut::N,звук,kulund
277,Ton::N,тон,kulund
278,Lied::N,пісня,pajo
279,Ruhe::N,спокій,lebu
280,Leute::N,люди,rahvaz
281,Volk::N,народ,rahvaz
282,Arbeit::N,робота,tö
283,Arbeit::N,робота,rad
284,Gast::N,гість,adiv
285,Geschenk::N,подарунок,lahj
286,Spiel::N,гра,vänd
287,Gesellschaft::N,товариство,sebr
288,Hilfe::N,допомога,abu
289,Freund::N,друг,sebranik
290,Freund::N,приятель,sebranik
291,Kamerad::N,товариш,sebranik
292,Angelegenheit::N,справа,azj
293,Anzahl::N,число,lugu
294,Art::N,рід,rod
295,Art::N,рід,rodsugu
296,Stück::N,кусок,pala
297,Stück::N,кусок,supal
298,Teil::N,частина,pala
299,Hälfte::N,половина,pol'
300,Kreis::N,круг,ümbruz
301,Kreis::N,круг,kehkruz
302,Kreis::N,коло,ümbruz
303,Kreis::N,коло,kehkruz
304,Kreuz::N,хрест,rist
305,Linie::N,лінія,pird
306,Strich::N,штрих,pird
307,Abstand::N,проміжок,keskust
308,Entfernung::N,відстань,matk
309,Gegend::N,місцевість,taho
310,Platz::N,площа,avaruz'
311,Ort::N,місце,koht
312,Seite::N,сторона,pol'
313,Seite::N,сторона,kül'g
314,Mitte::N,середина,kesk
315,Gegenstand::N,предмет,kalu
316,Sache::N,річ,azj
317,Rand::N,край,röun
318,Kante::N,ребро,röun
319,Ecke::N,ріг,saum
320,Spitze::N,кінчик,agjaine
321,Ende::N,кінець,agj
322,Loch::N,діра,reig
323,Winkel::N,куток,čoga
324,Winkel::N,куток,saum
325,Muster::N,узор,kirjam
326,Größe::N,розмір,suruz'
327,Länge::N,довжина,piduz
328,Höhe::N,висота,korktuz'
329,Gewicht::N,вага,jügu
330,Gewicht::N,вага,vedäduz
331,Menge::N,кількість,äjüz'
332,Haufen::N,купа,kogo
333,Reihe::N,ряд,rivi
334,Boot::N,човен,veneh
335,Ruder::N,весло,air
336,Schlitten::N,сани,regi
337,Schlitten::N,сани,regut
338,Ski::N,лижа,suks'
339,Lagerfeuer::N,вогнище,nodj
340,Lagerfeuer::N,вогнище,pažag
341,Last::N,тягар,jüguz
342,Last::N,вантаж,jüguz
343,Gang::N,хід,astund
344,Schritt::N,крок,hašk
345,Norden::N,північ,pohjoine
346,Süden::N,південь,suvi
347,Westen::N,захід,päivlaskm
348,Osten::N,схід,päivnouzm
349,Holz::N,дрова,pu
350,Brett::N,дошка,laud
351,Platte::N,плита,keitim
352,Stütze::N,підпірка,tugi
353,Stange::N,жердина,arz'
354,Stock::N,палиця,kalu
355,Stab::N,палиця,seibaz
356,Rohr::N,труба,torv
357,Haus::N,дім,pert'
358,Haus::N,хата,pert'
359,Heim::N,житло,kodi
360,Ofen::N,піч,päč
361,Fußboden::N,підлога,lava
362,Tisch::N,стіл,laud
363,Tisch::N,стіл,stal'c
364,Stuhl::N,стілець,ištim
365,Wiege::N,колиска,kätte
366,Bett::N,ліжко,sija
367,Bett::N,ліжко,magaduzsija
368,Bett::N,постіль,sija
369,Bett::N,постіль,magaduzsija
370,Regal::N,полиця,palič
371,Kiste::N,ящик,mülütim
372,Fenster::N,вікно,ikun
373,Tür::N,двері,uks'
374,Tor::N,ворота,verai
375,Zaun::N,паркан,aid
376,Zaun::N,огорожа,aid
377,Dach::N,дах,katuz
378,Leiter::N,драбина,pordhad
379,Besen::N,мітла,lud
380,Besen::N,мітла,vast
381,Spaten::N,заступ,labid
382,Schaufel::N,совок,labid
383,Schaufel::N,лопата,labid
384,Gabel::N,виделка,hangoine
385,Löffel::N,ложка,luzik
386,Messer::N,ніж,veič
387,Nagel::N,цвях,nagl
388,Netz::N,сіть,verk
389,Haken::N,крюк,kouk
390,Griff::N,ручка,kägä
391,Griff::N,ручка,varz'
392,Griff::N,держак,kägä
393,Griff::N,держак,varz'
394,Schloss::N,замок,lukkol
395,Bild::N,картина,kuva
396,Figur::N,фігура,figur
397,Puppe::N,лялька,tätüine
398,Beutel::N,мішечок,havad
399,Beutel::N,торбинка,havad
400,Bündel::N,в’язка,toppaz
401,Bündel::N,в’язка,käč
402,Tasche::N,сумка,sumk
403,Eimer::N,відро,vädr
404,Deckel::N,кришка,katuz
405,Geschirr::N,посуд,astii
406,Sack::N,мішок,havad
407,Tasse::N,чашка,čašk
408,Topf::N,горщик,pada
409,Kessel::N,котел,katil
410,Essen::N,їжа,sönd
411,Nahrung::N,харч,söm
412,Speise::N,страва,sömine
413,Fleisch::N,м’ясо,liha
414,Getreide::N,хліб,vill'
415,Getreide::N,збіжжя,vill'
416,Brei::N,каша,pudr
417,Brot::N,хліб,leib
418,Scheibe::N,скибочка,bibaleh
419,Scheibe::N,скибочка,šlik
420,Fett::N,жир,razv
421,Butter::N,масло,voi
422,Öl::N,олія,voi
423,Salz::N,сіль,sol
424,Suppe::N,суп,lem'
425,Suppe::N,суп,keitoz
426,Honig::N,мед,mezi
427,Milch::N,молоко,maid
428,Tee::N,чай,čai
429,Leder::N,шкіра,nahk
430,Wolle::N,шерсть,vill
431,Stoff::N,тканина,kangaz
432,Nadel::N,голка,negl
433,Faden::N,нитка,nit'
434,Knopf::N,ґудзик,nübl'
435,Knoten::N,вузол,sol'm
436,Farbe::N,фарба,muju
437,Kleidung::N,одяг,sobad
438,Kleidung::N,убрання,sobad
439,Hemd::N,сорочка,paid
440,Kragen::N,комір,kagluz
441,Ärmel::N,рукав,hijam
442,Hose::N,брюки,štanad
443,Gürtel::N,пояс,vö
444,Mütze::N,шапка,šapuk
445,Schuh::N,ботинок,keng'
446,Stiefel::N,чобіт,sapug
447,Ring::N,кільце,rengaz
448,Band::N,стрічка,lentaine
449,Kamm::N,гребінець,suga
