,Concept_ID,,az
0,Auge::N,,göz
1,Ohr::N,,qulaq
2,Nase::N,,burun
3,Mund::N,,ağız
4,Zahn::N,,diş
5,Zunge::N,,dil
6,Lippe::N,,dodaq
7,Wange::N,,yanaq
8,Gesicht::N,,üz
9,Stirn::N,,alın
10,Haar::N,,saç
11,Schnurrbart::N,,bığ
12,Bart::N,,saqqal
13,Kinn::N,,çənə
14,Kiefer[Anatomie]::N,,çənə
15,Kehle::N,,boğaz
16,Hals::N,,boyun
17,Genick::N,,ənsə
18,Kopf::N,,baş
19,Rücken::N,,bel
20,Bauch::N,,qarın
21,Nabel::N,,göbək
22,Busen::N,,məmə
23,Brust::N,,döş
24,Schulter::N,,çiyin
25,Arm::N,,qol
26,Ellenbogen::N,,dirsək
27,Hand::N,,əl
28,Handfläche::N,,ovuc
29,Finger::N,,barmaq
30,Fingernagel::N,,barmaq dırnağı
31,Nagel[Anatomie]::N,,dırnak
32,Zeh::N,,ayaq barmağı
33,Fuß::N,,ayaq
34,Ferse::N,,daban
35,Knie::N,,diz
36,Oberschenkel::N,,bud
37,Bein::N,,qıç
38,Körper::N,,əndam
39,Haut::N,,dəri
40,Blut::N,,qan
41,Ader::N,,damar
42,Sehne::N,,vətər
43,Knochen::N,,sümük
44,Gehirn::N,,beyin
45,Herz::N,,ürək
46,Magen::N,,mədə
47,Leber::N,,qara ciyər
48,Atem::N,,nəfəs
49,Hunger::N,,aclıq
50,Träne::N,,göz yaşı
51,Geschmack::N,,tam
52,Geschmack::N,,ləzzət
53,Geruch::N,,qoxu
54,Schlaf::N,,yuxu
55,Traum::N,,röya
56,Himmel::N,,göy
57,Himmel::N,,səma
58,Sonne::N,,günəş
59,Mond::N,,ay
60,Stern::N,,ulduz
61,Luft::N,,hava
62,Wind::N,,yel
63,Wind::N,,külək
64,Welle::N,,dalğa
65,Wasser::N,,su
66,Stein::N,,daş
67,Boden::N,,yer
68,Boden::N,,zəmin
69,Erde::N,,yer torpaq
70,Staub::N,,toz
71,Rauch::N,,tüstü
72,Funke::N,,qığılcım
73,Feuer::N,,od
74,Licht::N,,işıq
75,Schatten::N,,kölgə
76,Wetter::N,,hava
77,Nebel::N,,duman
78,Wolke::N,,bulud
79,Regen::N,,yağış
80,Regen::N,,yağmur
81,Schnee::N,,qar
82,Eis::N,,buz
83,Frost::N,,ayaz
84,Kälte::N,,soyuq
85,Hitze::N,,coşğunluq
86,Raureif::N,,qırov
87,Regenbogen::N,,göy qurşağı
88,Donner::N,,göy gurultusu
89,Strömung::N,,axın
90,Tropfen::N,,damcı
91,Schaum::N,,köpük
92,Schmutz::N,,çamır
93,See::N,,göl
94,Sumpf::N,,bataqlıq
95,Moor::N,,bataqlıq
96,Wiese::N,,çəmən
97,Wald::N,,meşə
98,Hügel::N,,təpə
99,Anhöhe::N,,təpə
100,Berg::N,,dağ
101,Gipfel::N,,zirvə
102,Höhle::N,,mağara
103,Abhang::N,,yamac
104,Quelle::N,,bulaq
105,Bach::N,,kiçik çay
106,Fluss::N,,çay
107,Ufer::N,,kənar
108,Küste::N,,sahil
109,Festland::N,,materik
110,Meer::N,,dəniz
111,Bucht::N,,körfəz
112,Insel::N,,ada
113,Blume::N,,çiçək
114,Gras::N,,ot
115,Wurzel::N,,kök
116,Baum::N,,ağac
