,Concept_ID,xal,os
0,Auge::N,нүдн,цӕст
1,Ohr::N,чикн,хъус
2,Nase::N,хамр,фындз
3,Mund::N,амн,дзых
4,Zahn::N,шүдн,дӕндаг
5,Zunge::N,келн,ӕвзаг
6,Lippe::N,урл,был
7,Wange::N,халх,рус
8,Wange::N,халх,уадул
9,Wange::N,халх,ӕхсӕрфарс
10,Gesicht::N,нүр,цӕсгом
11,Stirn::N,маңна,ных
12,Haar::N,үсн,хил
13,Schnurrbart::N,сахл,рихи
14,Bart::N,сахл,зачъе
15,Bart::N,өргнә сахл,зачъе
16,Kinn::N,өргн,роцъо
17,Kiefer[Anatomie]::N,өргн,ӕфсӕр
18,Kehle::N,хол,хъуыр
19,Hals::N,күзүн,къубал
20,Genick::N,гиҗг,къӕбут
21,Kopf::N,толһа,сӕр
22,Rücken::N,нурһн,фӕсонтӕ
23,Bauch::N,гесн,гуыбын
24,Nabel::N,киисн,бикъ
25,Busen::N,көкн,дзидзи
26,Brust::N,чееҗ,риу
27,Schulter::N,ээм,уӕхск
28,Arm::N,һар,цонг
29,Ellenbogen::N,тоха,рæмбын
30,Hand::N,баһлцг,къух
31,Handfläche::N,альхн,армытъӕпӕн
32,Finger::N,хурһн,ӕнруылдз
33,Finger::N,һарин хурһн,ӕнруылдз
34,Fingernagel::N,хумсн,ных
35,Nagel[Anatomie]::N,хумсн,ных
36,Zeh::N,хурһн,къух
37,Zeh::N,көлин хурһн,къух
38,Fuß::N,тавг,фад
39,Ferse::N,өскә,зӕвӕт
40,Knie::N,өвдг,уӕраг
41,Oberschenkel::N,һуй,агъд
42,Bein::N,көл,зӕнг
43,Körper::N,махмуд,буар
44,Haut::N,арсн,царм
45,Blut::N,цусн,туг
46,Ader::N,судцн,дадзин
47,Ader::N,судцн,тугдадзин
48,Sehne::N,шүрүсн,хъиутæ
49,Sehne::N,шүрүсн,нуар
50,Knochen::N,ясн,стӕг
51,Gehirn::N,экн,магъз
52,Herz::N,зүркн,зӕрдӕ
53,Magen::N,гесн,ахсӕн
54,Leber::N,элкн,игæр
55,Atem::N,әмсхл,улӕфт
56,Hunger::N,харһнлһн,стонг
57,Träne::N,нульмсн,цæссыг
58,Geschmack::N,амтн,ад
59,Geruch::N,үнр,смаг
60,Schlaf::N,нөр,хуыссӕг
61,Traum::N,зүүдн,фын
62,Himmel::N,теңгр,арв
63,Himmel::N,теңгр,уӕларв
64,Sonne::N,нарн,хур
65,Mond::N,сар,мӕй
66,Stern::N,одн,стъалы
67,Luft::N,аһар,уӕлдӕф
68,Wind::N,салькн,дымгӕ
69,Welle::N,дольган,уылӕн
70,Wasser::N,усн,дон
71,Stein::N,чолун,дур
72,Boden::N,Һазр,зӕхх
73,Erde::N,Һазр,сыджыт
74,Staub::N,тоосн,рыг
75,Rauch::N,утан,фӕздӕг
76,Funke::N,очн,цӕхӕр
77,Feuer::N,һал,зынг
78,Licht::N,герл,рухс
79,Schatten::N,сүүдр,аууон
80,Wetter::N,теңгр,боныхъӕд
81,Nebel::N,будн,мигъ
82,Wolke::N,үүлн,ӕврагъ
83,Regen::N,хур,уарын
84,Schnee::N,цасн,мит
85,Eis::N,мөсн,их
86,Frost::N,киитн,ихæн
87,Kälte::N,киитн,уазал
88,Hitze::N,халун,ӕнтӕф
89,Raureif::N,цаң,халас
90,Raureif::N,кирү,халас
91,Regenbogen::N,солңһ,арвырон
92,Regenbogen::N,солңһ,арвырдын
93,Donner::N,оһтрһун дун,æрвнæрын
94,Strömung::N,урсхл,цыд
95,Tropfen::N,дусал,æртах
96,Schaum::N,көөсн,фынк
97,Schmutz::N,кир,цъыф
98,See::N,нур,цад
99,Sumpf::N,унул,цъыфдзаст
100,Moor::N,улм,цъыфдзаст
101,Wiese::N,хадлһн,уыгӕрдӕн
102,Wald::N,ө-модн,хъӕд
103,Hügel::N,толһа,обау
104,Hügel::N,толһа,къуыбыр
105,Anhöhe::N,хамр,уæлвæз
106,Anhöhe::N,хамр,уæлхох
107,Berg::N,уул,хох
108,Gipfel::N,ора,цъупп
109,Höhle::N,хадин көндә,лӕгӕт
110,Abhang::N,ташу,къул
111,Quelle::N,булг,суадон
112,Bach::N,һооҗур,мӕсчъыдон
113,Fluss::N,һол,дон
114,Fluss::N,һол,цӕугӕдон
115,Ufer::N,көвә,был
116,Küste::N,көвә,донбыл
117,Küste::N,теңгсин көвә,донбыл
118,Festland::N,хүүрә һазр,сурзæхх
119,Meer::N,теңгс,денджыз
120,Bucht::N,цекә,донбакæлæн
121,Bucht::N,теңгсин цекә,донбакæлæн
122,Insel::N,арл,сакъадах
123,Blume::N,цецг,дидинӕг
124,Gras::N,ноһан,кӕрдӕг
125,Wurzel::N,уңг,уидаг
126,Baum::N,модн,бӕлас
127,Stamm::N,шилв,хӕтӕл
128,Stamm::N,һол модн,хӕтӕл
129,Rinde::N,көрсн,цъар
130,Ast::N,ац,арх
131,Zweig::N,ац,къалиу
132,Blatt::N,хамтхасн,сыф
133,Birke::N,хусм модн,бæрз
134,Kiefer[Baum]::N,шар харһа,нӕзы
135,Weide[Baum]::N,удн,хӕрис
136,Tanne::N,җөөлн цаһан модн,наз
137,Horn::N,өвр,сыкъа
138,Feder::N,өрвлг,сис
139,Fell::N,арсн,царм
140,Flügel::N,җивр,базыр
141,Klaue::N,хумсн,ных
142,Kralle::N,тавг,дзӕмбы
143,Schwanz::N,сүл,къӕдзил
144,Ei::N,өндгн,айк
145,Nest::N,үр,ахстон
146,Bau::N,нүкн,хуынкъ
147,Tier::N,мал,сырд
148,Tier::N,мал,цӕрӕгой
149,Herde::N,сүрг мал,дзуг
150,Herde::N,сүрг мал,рӕгъау
151,Kuh::N,үкр,хъуг
152,Bulle::N,бух,гал
153,Pferd::N,мөрн,бӕх
154,Schaf::N,хөн,фыс
155,Schwein::N,һаха,хуы
156,Hund::N,ноха,куыдз
157,Katze::N,мис,гӕды
158,Bär::N,аю,арс
159,Eichhörnchen::N,кермн,æхсæрæг
160,Elch::N,хандһа,цæгатаг саг
161,Fuchs::N,арат,рувас
162,Hase::N,туула,тæрхъус
163,Maus::N,хулһн,мыст
164,Wolf::N,чон,бирӕгъ
165,Vogel::N,шовун,цъиу
166,Vogel::N,шовун,маргъ
167,Schwarm::N,зел,бал
168,Huhn::N,така,карк
169,Hahn::N,эр така,уасӕг
170,Gans::N,һалун,хъаз
171,Adler::N,һәрд,цӕргӕс
172,Ente::N,нуһсн,ацц
173,Eule::N,һурвлһ, уыг
174,Eule::N,һурвлһ,сидахъ
175,Kranich::N,тоһрун,зырнæг
176,Kranich::N,тоһрун,хърихъупп
177,Krähe::N,шаазһа,халон
178,Kuckuck::N,эргин хуцдг,гаккук
179,Schwan::N,хун,доныхъаз
180,Fisch::N,заһсн,кӕсаг
181,Barsch::N,шүрг,окунь
182,Hecht::N,цурх,хихор кӕсаг
183,Schlange[Tier]::N,моһа,калм
184,Wurm::N,өтн,зулкъ
185,Wurm::N,өтн,къуыдыргалм
186,Spinne::N,аралҗн,хӕлуарӕг
187,Ameise::N,шорһлҗн,мæлдзыг
188,Laus::N,бөөсн,сыст
189,Mücke::N,бөкүн,къогъо
190,Fliege::N,батхн,бындз
191,Schmetterling::N,эрвәкә,гæлæбу
192,Beere::N,бөөлҗрһн,гагадыргъ
193,Apfel::N,альмн,фӕткъуы
194,Pilz::N,теңгрин ки,зокъо
195,Pilz::N,теңгрин ки,къозо
196,Zwiebel::N,мәңгрснә толһа,хъӕдындз
197,Saat::N,буудян экн,тауинаг
198,Saat::N,буудян экн,мыггаг
199,Korn::N,экн,мыггаг
200,Korn::N,экн,тауинаг
201,Heu::N,өвсн,хос
202,Schale::N,хальсн,цъар
203,Grube::N,нүкн,урм
204,Grube::N,нүкн,къахт
205,Grube::N,нүкн,дзыхъхъ
206,Falle::N,урх,цъысым
207,Falle::N,урх,къӕппӕг
208,Falle::N,хавх,цъысым
209,Falle::N,хавх,къӕппӕг
210,Schlinge::N,бүтү,цасм
211,Spur::N,мөр,фæд
212,Asche::N,үмсн,фӕнык
213,Asche::N,үмсн,ӕртхутӕг
214,Dreck::N,бальчг,цъыф
215,Eisen::N,төмр,ӕфсӕйнаг
216,Gold::N,алтн,сыгъзӕрин
217,Silber::N,мөңгн,ӕвзист
218,Silber::N,цаһан мөңгн,ӕвзист
219,Kohle::N,нүүрсн,ӕвзалы
220,Glas::N,шил,авг
221,Lehm::N,шавр,ӕлыг
222,Sand::N,элсн,змис
223,Mensch::N,күн,лӕг
224,Mensch::N,күн,адӕймаг
225,Mensch::N,күн,удгоймаг
226,Mensch::N,күмн,лӕг
227,Mensch::N,күмн,адӕймаг
228,Mensch::N,күмн,удгоймаг
229,Mann::N,эр,лӕг
230,Mann::N,эр,нӕлгоймаг
231,Frau::N,күүкд күн,сылгоймаг
232,Kind::N,үрн,сывӕллон
233,Junge::N,көвүн,лӕппу
234,Mädchen::N,бичкн күүкн,чызг
235,Familie::N,бүл,бинонтæ
236,Großvater::N,өвк эцк,фыдыфыд
237,Großvater::N,өвк эцк,мадыфыд
238,Großvater::N,наһц эцк,фыдыфыд
239,Großvater::N,наһц эцк,мадыфыд
240,Großmutter::N,эмг эк,фыды мад
241,Großmutter::N,эмг эк,мады мад
242,Großmutter::N,наһц эк,фыды мад
243,Großmutter::N,наһц эк,мады мад
244,Eltern::N,эк эцк хойр,ныййарджытæ
245,Vater::N,эцк,фыд
246,Mutter::N,эк,мад
247,Sohn::N,көвүн,фырт
248,Tochter::N,күүкн,чызг
249,Bruder::N,дү көвүн,ӕфсымӕр
250,Schwester::N,эгч,хо
251,Schwester::N,дү күүкн,хо
252,Onkel::N,авһ,фыдыфсымӕр
253,Onkel::N,наһцх,фыдыфсымӕр
