,Concept_ID,de,it
0,Auge::N,Auge,occhio
1,Ohr::N,Ohr,orecchio
2,Nase::N,Nase,naso
3,Mund::N,Mund,bocca
4,Zahn::N,Zahn,dente
5,Zunge::N,Zunge,lingua
6,Lippe::N,Lippe,labbro
7,Wange::N,Wange,guancia
8,Gesicht::N,Gesicht,viso
9,Gesicht::N,Gesicht,faccia
10,Stirn::N,Stirn,fronte
11,Haar::N,Haar,capello
12,Schnurrbart::N,Schnurrbart,baffi
13,Schnurrbart::N,Schnurrbart,mustacchi
14,Bart::N,Bart,barba
15,Kinn::N,Kinn,mento
16,Kiefer[Anatomie]::N,Kiefer,mascella
17,Kehle::N,Kehle,gola
18,Hals::N,Hals,collo
19,Genick::N,Genick,nuca
20,Kopf::N,Kopf,capo
21,Kopf::N,Kopf,testa
22,Rücken::N,Rücken,dorso
23,Rücken::N,Rücken,schiena
24,Bauch::N,Bauch,ventre
25,Nabel::N,Nabel,ombelico
26,Busen::N,Busen,seno
27,Brust::N,Brust,petto
28,Schulter::N,Schulter,spalla
29,Arm::N,Arm,braccio
30,Ellenbogen::N,Ellenbogen,gomito
31,Hand::N,Hand,mano
32,Handfläche::N,Handfläche,palma
33,Finger::N,Finger,dito
34,Fingernagel::N,Fingernagel,unghia
35,Nagel[Anatomie]::N,Nagel,unghia
36,Zeh::N,Zeh,dito del piede
37,Fuß::N,Fuß,piede
38,Ferse::N,Ferse,tallone
39,Ferse::N,Ferse,calcagno
40,Knie::N,Knie,ginocchio
41,Oberschenkel::N,Oberschenkel,fèmore
42,Bein::N,Bein,gamba
43,Körper::N,Körper,corpo
44,Haut::N,Haut,pelle
45,Blut::N,Blut,sangue
46,Ader::N,Ader,vena
47,Sehne::N,Sehne,tèndine
48,Knochen::N,Knochen,osso
49,Gehirn::N,Gehirn,cervello
50,Herz::N,Herz,cuore
51,Magen::N,Magen,stòmaco
52,Leber::N,Leber,fegato
53,Atem::N,Atem,fiato
54,Atem::N,Atem,respiro
55,Hunger::N,Hunger,fame
56,Träne::N,Träne,làcrima
57,Geschmack::N,Geschmack,gusto
58,Geschmack::N,Geschmack,sapore
59,Geruch::N,Geruch,odore
60,Schlaf::N,Schlaf,sonno
61,Traum::N,Traum,sogno
62,Himmel::N,Himmel,cielo
63,Sonne::N,Sonne,sole
64,Mond::N,Mond,luna
65,Stern::N,Stern,stella
66,Luft::N,Luft,aria
67,Wind::N,Wind,vento
68,Welle::N,Welle,onda
69,Wasser::N,Wasser,acqua
70,Stein::N,Stein,sasso
71,Stein::N,Stein,pietra
72,Boden::N,Boden,suolo
73,Boden::N,Boden,terreno
74,Erde::N,Erde,terra
75,Staub::N,Staub,polvere
76,Rauch::N,Rauch,fumo
77,Funke::N,Funke,scintilla
78,Feuer::N,Feuer,fuoco
79,Licht::N,Licht,luce
80,Schatten::N,Schatten,ombra
81,Wetter::N,Wetter,tempo
82,Nebel::N,Nebel,nebbia
83,Wolke::N,Wolke,nube
84,Wolke::N,Wolke,nùvola
85,Regen::N,Regen,pioggia
86,Schnee::N,Schnee,neve
87,Eis::N,Eis,ghiaccio
88,Frost::N,Frost,gelo
89,Kälte::N,Kälte,freddo
90,Hitze::N,Hitze,caldo
91,Hitze::N,Hitze,calura
92,Raureif::N,Raureif,brina
93,Regenbogen::N,Regenbogen,arcobaleno
94,Donner::N,Donner,tuono
95,Strömung::N,Strömung,corrente
96,Tropfen::N,Tropfen,goccia
97,Schaum::N,Schaum,spuma
98,Schaum::N,Schaum,schiuma
99,Schmutz::N,Schmutz,sudiciume
100,See::N,See,lago
101,Sumpf::N,Sumpf,palude
102,Moor::N,Moor,torbiera
103,Wiese::N,Wiese,prato
104,Wald::N,Wald,bosco
105,Wald::N,Wald,foresta
106,Hügel::N,Hügel,colle
107,Hügel::N,Hügel,collina
108,Anhöhe::N,Anhöhe,altura
109,Berg::N,Berg,monte
110,Berg::N,Berg,montagna
111,Gipfel::N,Gipfel,cima
112,Höhle::N,Höhle,grotta
113,Höhle::N,Höhle,caverna
114,Abhang::N,Abhang,pendìo
115,Quelle::N,Quelle,sorgente
116,Bach::N,Bach,ruscello
117,Fluss::N,Fluss,fiume
118,Ufer::N,Ufer,riva
119,Küste::N,Küste,costa
120,Festland::N,Festland,terraferma
121,Meer::N,Meer,mare
122,Bucht::N,Bucht,cala
123,Insel::N,Insel,ìsola
124,Blume::N,Blume,fiore
125,Gras::N,Gras,erba
126,Wurzel::N,Wurzel,radice
127,Baum::N,Baum,àlbero
128,Stamm::N,Stamm,tronco
129,Rinde::N,Rinde,corteccia
130,Ast::N,Ast,ramo
131,Zweig::N,Zweig,ramo
132,Blatt::N,Blatt,foglia
133,Birke::N,Birke,betulla
134,Kiefer[Baum]::N,Kiefer,pino
135,Weide[Baum]::N,Weide,sàlice
136,Tanne::N,Tanne,abete
137,Horn::N,Horn,corno
138,Feder::N,Feder,penna
139,Fell::N,Fell,manto
140,Fell::N,Fell,pelame
141,Flügel::N,Flügel,ala
142,Klaue::N,Klaue,grinfia
143,Kralle::N,Kralle,unghia
144,Kralle::N,Kralle,artiglio
145,Schwanz::N,Schwanz,coda
146,Ei::N,Ei,uovo
147,Nest::N,Nest,nido
148,Bau::N,Bau,covo
149,Tier::N,Tier,bestia
150,Tier::N,Tier,animale
151,Herde::N,Herde,gregge
152,Kuh::N,Kuh,vacca
153,Bulle::N,Bulle,toro
154,Pferd::N,Pferd,cavallo
155,Schaf::N,Schaf,pècora
156,Schwein::N,Schwein,porco
157,Schwein::N,Schwein,maiale
158,Hund::N,Hund,cane
159,Katze::N,Katze,gatta
160,Bär::N,Bär,orso
161,Eichhörnchen::N,Eichhörnchen,scoiàttolo
162,Elch::N,Elch,alce
163,Fuchs::N,Fuchs,volpe
164,Hase::N,Hase,lepre
165,Maus::N,Maus,topo
166,Maus::N,Maus,sorcio
167,Wolf::N,Wolf,lupo
168,Vogel::N,Vogel,uccello
169,Schwarm::N,Schwarm,stormo
170,Huhn::N,Huhn,gallina
171,Hahn::N,Hahn,gallo
172,Gans::N,Gans,oca
173,Adler::N,Adler,àquila
174,Ente::N,Ente,ànatra
175,Eule::N,Eule,gufo
176,Eule::N,Eule,civetta
177,Kranich::N,Kranich,gru
178,Krähe::N,Krähe,cornacchia
179,Kuckuck::N,Kuckuck,cuccù
180,Kuckuck::N,Kuckuck,cùculo
181,Schwan::N,Schwan,cigno
182,Fisch::N,Fisch,pesce
183,Barsch::N,Barsch,pèrsico
184,Hecht::N,Hecht,luccio
185,Schlange[Tier]::N,Schlange,serpente
186,Wurm::N,Wurm,baco
187,Wurm::N,Wurm,verme
188,Spinne::N,Spinne,ragno
189,Ameise::N,Ameise,formica
190,Laus::N,Laus,pidocchio
191,Mücke::N,Mücke,zanzara
192,Fliege::N,Fliege,mosca
193,Schmetterling::N,Schmetterling,farfalla
194,Beere::N,Beere,bacca
195,Apfel::N,Apfel,mela
196,Pilz::N,Pilz,fungo
197,Zwiebel::N,Zwiebel,cipolla
198,Saat::N,Saat,semente
199,Korn::N,Korn,grano
200,Heu::N,Heu,fieno
201,Schale::N,Schale,buccia
202,Grube::N,Grube,cava
203,Grube::N,Grube,fossa
204,Falle::N,Falle,tràppola
205,Schlinge::N,Schlinge,laccio
206,Spur::N,Spur,traccia
207,Asche::N,Asche,cenere
208,Dreck::N,Dreck,fango
209,Eisen::N,Eisen,ferro
210,Gold::N,Gold,oro
211,Silber::N,Silber,argento
212,Kohle::N,Kohle,carbone
213,Glas::N,Glas,vetro
214,Lehm::N,Lehm,argilla
