,Concept_ID,be,tr
0,Auge::N,вока,göz
1,Ohr::N,вуха,kulak
2,Nase::N,нос,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язык,dil
6,Lippe::N,губа,dudak
7,Wange::N,шчака,yanak
8,Gesicht::N,твар,yüz
9,Stirn::N,лоб,alın
10,Haar::N,волас,saç
11,Haar::N,валасы,saç
12,Schnurrbart::N,вус,bıyık
13,Schnurrbart::N,вусы,bıyık
14,Bart::N,барада,sakal
15,Kinn::N,падбародак,çene
16,Kiefer[Anatomie]::N,сківіца,çene
17,Kehle::N,горла,boğaz
18,Hals::N,шыя,boyun
19,Hals::N,шыя,gerdan
20,Genick::N,патыліца,ense
21,Kopf::N,галава,baş
22,Kopf::N,галава,kafa
23,Rücken::N,спіна,arka
24,Bauch::N,жывот,karın
25,Nabel::N,пупок,göbek
26,Busen::N,грудзі,koyun
27,Brust::N,грудзі,göğüs
28,Schulter::N,плячо,omuz
29,Arm::N,рука,kol
30,Ellenbogen::N,локаць,dirsek
31,Hand::N,кісць,el
32,Handfläche::N,далонь,avuç
33,Handfläche::N,далонь,el ayası
34,Finger::N,палец,parmak
35,Fingernagel::N,ногаць,el tırnağı
36,Nagel[Anatomie]::N,ногаць,tırnak
37,Zeh::N,палец,ayak parmağı
38,Fuß::N,нага,ayak
39,Ferse::N,пята,topuk
40,Ferse::N,пятка,topuk
41,Knie::N,калена,diz
42,Oberschenkel::N,бядро,uyluk
43,Oberschenkel::N,сцягно,uyluk
44,Bein::N,нага,bacak
45,Körper::N,цела,vücut
46,Haut::N,скура,cilt
47,Blut::N,кроў,kan
48,Ader::N,вена,damar
49,Ader::N,сасуд,damar
50,Sehne::N,жыла,kiriş
51,Sehne::N,цеціва,kiriş
52,Sehne::N,сухажылле,kiriş
53,Knochen::N,косць,kemik
54,Gehirn::N,мозг,beyin
55,Herz::N,сэрца,kalp
56,Herz::N,сэрца,yürek
57,Magen::N,страўнік,mide
58,Leber::N,печань,karaciğer
59,Atem::N,дыханне,nefes
60,Hunger::N,голад,açlık
61,Träne::N,сляза,gözyaşı
62,Geschmack::N,смак,tat
63,Geschmack::N,смак,lezzet
64,Geruch::N,пах,koku
65,Schlaf::N,сон,uyku
66,Traum::N,сон,düş
67,Traum::N,сон,rüya
68,Himmel::N,неба,gök
69,Sonne::N,сонца,güneş
70,Mond::N,месяц,ay
71,Stern::N,зорка,yıldız
72,Luft::N,паветра,hava
73,Wind::N,вецер,yel
74,Wind::N,вецер,rüzgâr
75,Welle::N,хваля,dalga
76,Wasser::N,вада,su
77,Stein::N,камень,taş
78,Boden::N,глеба,yer
79,Boden::N,глеба,zemin
80,Erde::N,зямля,toprak
81,Staub::N,пыл,toz
82,Rauch::N,дым,duman
83,Funke::N,іскра,kıvılcım
84,Feuer::N,агонь,ateş
85,Licht::N,святло,ışık
86,Schatten::N,цень,gölge
87,Wetter::N,пагода,hava
88,Wetter::N,надворʼе,hava
89,Nebel::N,туман,pus
90,Wolke::N,воблака,bulut
91,Regen::N,дождж,yağmur
92,Schnee::N,снег,kar
93,Eis::N,лёд,buz
94,Frost::N,мароз,don
95,Kälte::N,холад,soğukluk
96,Hitze::N,спёка,sıcaklık
97,Raureif::N,іней,kırç
98,Regenbogen::N,вясёлка,gökkuşağı
99,Donner::N,гром,gök gürlemesi
100,Strömung::N,цячэнне,akıntı
101,Strömung::N,цячэнне,cereyan
102,Tropfen::N,кропля,damla
103,Schaum::N,пена,köpük
104,Schmutz::N,гразь,çamur
105,Schmutz::N,гразь,pislik
106,See::N,возера,göl
107,Sumpf::N,багна,batak
108,Moor::N,балота,cılgıt
109,Wiese::N,луг,çimen
110,Wald::N,лес,koru
111,Wald::N,лес,orman
112,Hügel::N,узгорак,tepe
113,Anhöhe::N,узвышша,tümsek
114,Anhöhe::N,узвышша,yükseklik
115,Berg::N,гара,dağ
116,Gipfel::N,вяршыня,zirve
117,Höhle::N,пячора,in
118,Höhle::N,пячора,mağara
119,Abhang::N,схіл,bayır
120,Quelle::N,крыніца,pınar
121,Quelle::N,крыніца,kaynak
122,Bach::N,ручай,çay
123,Bach::N,ручай,dere
124,Fluss::N,рака,nehir
125,Ufer::N,бераг,kıyı
126,Ufer::N,бераг,sahil
127,Küste::N,узбярэжжа,kıyı
128,Küste::N,узбярэжжа,sahil
129,Festland::N,суша,kara
130,Meer::N,мора,deniz
131,Bucht::N,бухта,koy
132,Bucht::N,бухта,körfez
133,Insel::N,востраў,ada
134,Blume::N,кветка,çiçek
135,Gras::N,трава,ot
136,Gras::N,трава,çim
137,Wurzel::N,корань,kök
138,Baum::N,дрэва,ağaç
139,Stamm::N,ствол,gövde
140,Rinde::N,кара,kabuk
141,Ast::N,сук,dal
142,Ast::N,сук,budak
143,Zweig::N,галіна,dal
144,Blatt::N,ліст,yaprak
145,Birke::N,бяроза,huş
146,Kiefer[Baum]::N,хвоя,çam
147,Kiefer[Baum]::N,сасна,çam
148,Weide[Baum]::N,вярба,söğüt
149,Tanne::N,яліна,çam
150,Tanne::N,яліна,köknar
151,Horn::N,рог,boynuz
152,Feder::N,пяро,tüy
153,Fell::N,шкура,post
154,Flügel::N,крыло,kanat
155,Klaue::N,кіпцюр,pençe
156,Kralle::N,лапа,tırnak
157,Schwanz::N,хвост,kuyruk
158,Ei::N,яйка,yumurta
159,Nest::N,гняздо,yuva
160,Bau::N,нара,in
161,Tier::N,жывёла,hayvan
162,Herde::N,статак,sürü
163,Kuh::N,карова,inek
164,Bulle::N,бык,boğa
165,Pferd::N,конь,at
166,Pferd::N,конь,beygir
167,Schaf::N,авечка,koyun
168,Schwein::N,свіння,domuz
169,Hund::N,сабака,it
