,Concept_ID,pt,hu
0,Auge::N,olho,szem
1,Ohr::N,orelha,fül
2,Nase::N,nariz,orr
3,Mund::N,boca,száj
4,Zahn::N,dente,fog
5,Zunge::N,língua,nyelv
6,Lippe::N,lábio,ajak
7,Wange::N,face,orca
8,Gesicht::N,cara,arc
9,Gesicht::N,rosto,arc
10,Stirn::N,testa,homlok
11,Haar::N,cabelo,haj
12,Schnurrbart::N,bigode,bajusz
13,Bart::N,barba,szakáll
14,Kinn::N,queixo,áll
15,Kiefer[Anatomie]::N,maxila,állkapocs
16,Kiefer[Anatomie]::N,mandíbula,állkapocs
17,Kehle::N,garganta,gége
18,Kehle::N,garganta,torok
19,Hals::N,colo,nyak
20,Hals::N,pescoço,nyak
21,Genick::N,nuca,tarkó
22,Kopf::N,cabeça,fő
23,Kopf::N,cabeça,fej
24,Rücken::N,dorso,hát
25,Rücken::N,costas,hát
26,Bauch::N,ventre,has
27,Bauch::N,barriga,has
28,Nabel::N,umbigo,köldök
29,Busen::N,seio,mell
30,Busen::N,seio,kebel
31,Brust::N,peito,mell
32,Schulter::N,ombro,váll
33,Arm::N,braço,kar
34,Ellenbogen::N,cotovelo,könyök
35,Hand::N,mão,kéz
36,Handfläche::N,palma,tenyér
37,Handfläche::N,palma da mão,tenyér
38,Finger::N,dedo,ujj
39,Fingernagel::N,unha,köröm
40,Nagel[Anatomie]::N,unha,köröm
41,Zeh::N,dedo do pé,lábujj
42,Fuß::N,pé,láb
43,Ferse::N,calcanhar,sarok
44,Knie::N,joelho,térd
45,Oberschenkel::N,coxa,comb
46,Bein::N,perna,láb
47,Bein::N,perna,lábszár
48,Körper::N,corpo,test
49,Haut::N,pele,bőr
50,Blut::N,sangue,vér
51,Ader::N,veia,ér
52,Sehne::N,tendão,ín
53,Knochen::N,osso,csont
54,Gehirn::N,cérebro,agy
55,Gehirn::N,cérebro,agyvelő
56,Herz::N,coração,szív
57,Magen::N,estômago,gyomor
58,Leber::N,fígado,máj
59,Atem::N,fôlego,lehelet
60,Atem::N,fôlego,lélegzet
61,Hunger::N,fome,éhség
62,Träne::N,lágrima,könny
63,Geschmack::N,gosto,íz
64,Geruch::N,odor,szag
65,Geruch::N,cheiro,szag
66,Schlaf::N,sono,álom
67,Schlaf::N,sono,alvás
68,Traum::N,sonho,álom
69,Himmel::N,céu,ég
70,Himmel::N,céu,menny
71,Sonne::N,sol,nap
72,Mond::N,lua,hold
73,Stern::N,estrela,csillag
74,Luft::N,ar,levegő
75,Wind::N,vento,szél
76,Welle::N,onda,hullám
77,Wasser::N,água,víz
78,Stein::N,pedra,kő
79,Boden::N,solo,föld
80,Boden::N,solo,talaj
81,Erde::N,terra,föld
82,Staub::N,pó,por
83,Rauch::N,fumo,füst
84,Funke::N,faísca,szikra
85,Funke::N,centelha,szikra
86,Feuer::N,fogo,tűz
87,Licht::N,luz,fény
88,Schatten::N,sombra,árnyék
89,Wetter::N,tempo,idő
90,Wetter::N,tempo,időjárás
91,Nebel::N,nevoeiro,köd
92,Wolke::N,nuvem,felhő
93,Regen::N,chuva,eső
94,Schnee::N,neve,hó
95,Eis::N,gelo,jég
96,Frost::N,gelo,fagy
97,Frost::N,geada,fagy
98,Kälte::N,frio,hideg
99,Hitze::N,ardor,hő
100,Hitze::N,ardor,hőség
101,Raureif::N,geada,zúzmara
102,Regenbogen::N,arco-iris,szivárvány
103,Donner::N,trovão,dörgés
104,Donner::N,trovão,mennydörgés
105,Strömung::N,corrente,áramlat
106,Tropfen::N,gota,csepp
107,Schaum::N,espuma,hab
108,Schaum::N,espuma,tajték
109,Schmutz::N,sujidade,piszok
110,Schmutz::N,imundície,piszok
111,See::N,lago,tó
112,Sumpf::N,charco,mocsár
113,Sumpf::N,pântano,mocsár
114,Moor::N,pântano,láp
115,Wiese::N,prado,rét
116,Wiese::N,prado,mező
117,Wald::N,bosque,erdő
118,Wald::N,floresta,erdő
119,Hügel::N,colina,domb
120,Anhöhe::N,alto,magaslat
121,Anhöhe::N,outeiro,magaslat
122,Berg::N,monte,hegy
123,Berg::N,montanha,hegy
124,Gipfel::N,pico,csúcs
125,Höhle::N,caverna,barlang
126,Abhang::N,encosta,lejtő
127,Quelle::N,fonte,forrás
128,Bach::N,regato,patak
129,Bach::N,ribeiro,patak
130,Fluss::N,rio,folyó
131,Ufer::N,beira,part
132,Küste::N,costa,tengerpart
133,Festland::N,terra firme,szárazföld
134,Meer::N,mar,tenger
135,Bucht::N,baía,öböl
136,Insel::N,ilha,sziget
137,Blume::N,flor,virág
138,Gras::N,erva,fű
139,Wurzel::N,raiz,gyökér
140,Baum::N,árvore,fa
141,Stamm::N,tronco,tő
