,Concept_ID,tr,hi
0,Auge::N,göz,आँख
1,Auge::N,göz,चक्षु
2,Ohr::N,kulak,कान
3,Ohr::N,kulak,कर्ण
4,Nase::N,burun,नाक
5,Nase::N,burun,नासा
6,Mund::N,ağız,मुख
7,Mund::N,ağız,मुँह
8,Zahn::N,diş,दंत
9,Zahn::N,diş,दाँत
10,Zunge::N,dil,जीभ
11,Zunge::N,dil,ज़बान
12,Zunge::N,dil,जिह्वा
13,Lippe::N,dudak,ओंठ
14,Lippe::N,dudak,होंठ
15,Wange::N,yanak,गाल
16,Wange::N,yanak,कपोल
17,Gesicht::N,yüz,मुँह
18,Gesicht::N,yüz,चेहरा
19,Stirn::N,alın,माथा
20,Stirn::N,alın,मस्तक
21,Haar::N,saç,बाल
22,Schnurrbart::N,bıyık,मूँछें
23,Bart::N,sakal,दाढ़ी
24,Kinn::N,çene,चिबुक
25,Kiefer[Anatomie]::N,çene,जबड़ा
26,Kehle::N,boğaz,गला
27,Hals::N,boyun,गला
28,Hals::N,boyun,गरदन
29,Hals::N,gerdan,गला
30,Hals::N,gerdan,गरदन
31,Genick::N,ense,गरदन
32,Genick::N,ense,ग्रीवा
33,Kopf::N,baş,सिर
34,Kopf::N,baş,शीर्ष
35,Kopf::N,kafa,सिर
36,Kopf::N,kafa,शीर्ष
37,Rücken::N,arka,पीठ
38,Bauch::N,karın,उदर
39,Nabel::N,göbek,नाभि
40,Nabel::N,göbek,ढोंढी
41,Busen::N,koyun,कुच
42,Busen::N,koyun,स्तन
43,Brust::N,göğüs,वक्ष
44,Schulter::N,omuz,कंधा
45,Schulter::N,omuz,स्कंध
46,Arm::N,kol,बाँह
47,Arm::N,kol,बाज़ू
48,Ellenbogen::N,dirsek,कुहनी
49,Hand::N,el,हाथ
50,Hand::N,el,हस्त
51,Handfläche::N,avuç,हथेली
52,Handfläche::N,el ayası,हथेली
53,Finger::N,parmak,उँगली
54,Finger::N,parmak,अँगुली
55,Fingernagel::N,el tırnağı,नख
56,Fingernagel::N,el tırnağı,नाख़ून
57,Nagel[Anatomie]::N,tırnak,नख
58,Nagel[Anatomie]::N,tırnak,नाख़ून
59,Zeh::N,ayak parmağı,उँगली
60,Zeh::N,ayak parmağı,पाँव की उँगली
61,Fuß::N,ayak,चरण
62,Fuß::N,ayak,पाँव
63,Ferse::N,topuk,एड़ी
64,Knie::N,diz,जानु
65,Knie::N,diz,घुटना
66,Oberschenkel::N,uyluk,उरु
67,Bein::N,bacak,टाँग
68,Körper::N,vücut,तन
69,Körper::N,vücut,देह
70,Körper::N,vücut,शरीर
71,Haut::N,cilt,चर्म
72,Haut::N,cilt,त्वचा
73,Blut::N,kan,लहू
74,Blut::N,kan,ख़ून
75,Ader::N,damar,रग
76,Ader::N,damar,शिरा
77,Sehne::N,kiriş,कंडरा
78,Sehne::N,kiriş,स्नायु
79,Knochen::N,kemik,अस्थि
80,Gehirn::N,beyin,दिमाग़
81,Gehirn::N,beyin,मस्तिष्क
82,Herz::N,kalp,दिल
83,Herz::N,kalp,हृदय
84,Herz::N,yürek,दिल
85,Herz::N,yürek,हृदय
86,Magen::N,mide,मेदा
87,Magen::N,mide,अमाशय
88,Leber::N,karaciğer,जिगर
89,Leber::N,karaciğer,यकृत्
90,Atem::N,nefes,दम
91,Atem::N,nefes,साँस
92,Atem::N,nefes,श्वास
93,Hunger::N,açlık,भूख
94,Hunger::N,açlık,क्षुधा
95,Träne::N,gözyaşı,आँसू
96,Träne::N,gözyaşı,अश्रु
97,Geschmack::N,tat,स्वाद
98,Geschmack::N,tat,ज़ायक़ा
99,Geschmack::N,lezzet,स्वाद
100,Geschmack::N,lezzet,ज़ायक़ा
101,Geruch::N,koku,बू
102,Geruch::N,koku,गंध
103,Schlaf::N,uyku,नींद
104,Schlaf::N,uyku,निद्रा
105,Traum::N,düş,सपना
106,Traum::N,düş,स्वप्न
107,Traum::N,rüya,सपना
108,Traum::N,rüya,स्वप्न
109,Himmel::N,gök,आकाश
110,Himmel::N,gök,आसमान
111,Sonne::N,güneş,रवि
112,Sonne::N,güneş,सूरज
113,Sonne::N,güneş,सूर्य
114,Mond::N,ay,चाँद
115,Mond::N,ay,चंद्र
116,Stern::N,yıldız,तारा
117,Stern::N,yıldız,सितारा
118,Luft::N,hava,हवा
119,Luft::N,hava,वायु
120,Wind::N,yel,पाद
121,Wind::N,rüzgâr,पाद
122,Welle::N,dalga,लहर
123,Welle::N,dalga,तरंग
124,Wasser::N,su,जल
125,Wasser::N,su,पानी
126,Stein::N,taş,पत्थर
127,Boden::N,yer,मिट्टी
128,Boden::N,zemin,मिट्टी
129,Erde::N,toprak,भूमि
130,Erde::N,toprak,ज़मीन
131,Staub::N,toz,धूल
132,Rauch::N,duman,धूआँ
133,Rauch::N,duman,धुम्र
134,Funke::N,kıvılcım,चिनगारी
135,Funke::N,kıvılcım,स्फुलिंग
136,Feuer::N,ateş,आग
137,Feuer::N,ateş,आतिश
138,Feuer::N,ateş,अग्नि
139,Licht::N,ışık,रोशनी
140,Licht::N,ışık,प्रकाश
141,Schatten::N,gölge,छाया
142,Schatten::N,gölge,परछाई
143,Wetter::N,hava,ऋतु
144,Wetter::N,hava,मौसम
145,Nebel::N,pus,धुँध
146,Nebel::N,pus,कुहरा
147,Wolke::N,bulut,मेघ
148,Wolke::N,bulut,अभ्र
149,Regen::N,yağmur,मेंह
150,Regen::N,yağmur,बारिश
151,Schnee::N,kar,हिम
152,Schnee::N,kar,बर्फ़
153,Eis::N,buz,हिम
154,Eis::N,buz,बर्फ़
155,Frost::N,don,ठंड
156,Kälte::N,soğukluk,सर्दी
157,Kälte::N,soğukluk,शीतलता
158,Hitze::N,sıcaklık,ताप
159,Hitze::N,sıcaklık,गरमी
160,Raureif::N,kırç,पाला
161,Regenbogen::N,gökkuşağı,इंद्र-धनुष
162,Donner::N,gök gürlemesi,गरज
163,Donner::N,gök gürlemesi,मेघ-गर्जन
164,Strömung::N,akıntı,बहाव
165,Strömung::N,akıntı,प्रवाह
166,Strömung::N,cereyan,बहाव
167,Strömung::N,cereyan,प्रवाह
168,Tropfen::N,damla,बूँद
169,Schaum::N,köpük,झाग
170,Schmutz::N,çamur,गंद
171,Schmutz::N,çamur,कीचड़
172,Schmutz::N,pislik,गंद
173,Schmutz::N,pislik,कीचड़
174,See::N,göl,झील
175,See::N,göl,सरोवर
176,Sumpf::N,batak,दलदल
177,Sumpf::N,batak,धँसान
178,Moor::N,cılgıt,झाबर
179,Moor::N,cılgıt,धँसान
180,Wiese::N,çimen,घास-स्थल
181,Wald::N,koru,जंगल
182,Wald::N,orman,जंगल
183,Hügel::N,tepe,टीला
184,Hügel::N,tepe,पहाड़
185,Anhöhe::N,tümsek,टीला
186,Anhöhe::N,tümsek,पहाड़ी
187,Anhöhe::N,yükseklik,टीला
188,Anhöhe::N,yükseklik,पहाड़ी
189,Berg::N,dağ,पहाड़
190,Gipfel::N,zirve,शिखर
191,Höhle::N,in,गुहा
192,Höhle::N,in,गुफ़ा
193,Höhle::N,mağara,गुहा
194,Höhle::N,mağara,गुफ़ा
195,Abhang::N,bayır,ढाल
196,Abhang::N,bayır,ढलान
197,Quelle::N,pınar,चश्मा
198,Quelle::N,kaynak,चश्मा
199,Bach::N,çay,सोता
200,Bach::N,çay,नदिका
201,Bach::N,dere,सोता
202,Bach::N,dere,नदिका
203,Fluss::N,nehir,नदी
204,Fluss::N,nehir,सरिता
205,Ufer::N,kıyı,तट
206,Ufer::N,kıyı,किनारा
207,Ufer::N,sahil,तट
208,Ufer::N,sahil,किनारा
209,Küste::N,kıyı,समुद्र-तट
