,Concept_ID,ps,ru
0,Auge::N,سترګه,глаз
1,Ohr::N,غوږ,ухо
2,Nase::N,پوزه,нос
3,Mund::N,خوله,рот
4,Zahn::N,غاښ,зуб
5,Zunge::N,جبه,язык
6,Lippe::N,شونډه,губа
7,Wange::N,باړخو,щека
8,Gesicht::N,مخ,лицо
9,Stirn::N,تندی,лоб
10,Stirn::N,وچولی,лоб
11,Haar::N,وېښته,волос
12,Haar::N,وېښته,волосы
13,Schnurrbart::N,برېت,ус
14,Schnurrbart::N,برېت,усы
15,Bart::N,ږیره,борода
16,Kinn::N,زنه,подбородок
17,Kiefer[Anatomie]::N,جامه,челюсть
18,Kehle::N,غاړه,горло
19,Hals::N,غاړه,шея
20,Genick::N,ورمېږ,затылок
21,Kopf::N,سر,голова
22,Rücken::N,شا,спина
23,Bauch::N,نس,живот
24,Bauch::N,ګېډه,живот
25,Nabel::N,نوم,пупок
26,Busen::N,تی,женская грудь
27,Brust::N,سینه,грудь
28,Schulter::N,اوږه,плечо
29,Arm::N,لاس,рука
30,Ellenbogen::N,څنګل,локоть
31,Hand::N,لاس,кисть
32,Handfläche::N,ورغوی,ладонь
33,Finger::N,ګوته,палец
34,Fingernagel::N,نوک,ноготь
35,Nagel[Anatomie]::N,نوک,ноготь
36,Zeh::N,ګوته,палец
37,Fuß::N,پښه,ступня
38,Ferse::N,پونده,пята
39,Ferse::N,پونده,пятка
40,Knie::N,زنګون,колено
41,Oberschenkel::N,پتون,бедро
42,Bein::N,پښه,нога
43,Körper::N,ځان,тело
44,Haut::N,پوټکی,кожа
45,Blut::N,وینه,кровь
46,Ader::N,رګ,вена
47,Ader::N,رګ,сосуд
48,Sehne::N,پله,жила
49,Sehne::N,پله,тетива
50,Sehne::N,پله,сухожилие
51,Knochen::N,هډوکی,кость
52,Gehirn::N,ماغزه,мозг
53,Herz::N,زړه,сердце
54,Magen::N,معده,желудок
55,Leber::N,ينه,печень
56,Leber::N,ځیګر,печень
57,Atem::N,نفس,дух
58,Atem::N,نفس,дыхание
59,Hunger::N,ولږه,голод
60,Träne::N,اوښکه,слеза
61,Geschmack::N,مزه,вкус
62,Geschmack::N,خوند,вкус
63,Geruch::N,بوی,запах
64,Schlaf::N,خوب,сон
65,Traum::N,خوب,сновидение
66,Himmel::N,اسمان,небо
67,Sonne::N,لمر,солнце
68,Mond::N,سپوږمۍ,луна
69,Stern::N,ستوری,звезда
70,Luft::N,هوا,воздух
71,Wind::N,ورښ,ветер
72,Welle::N,موج,волна
73,Wasser::N,اوبه,вода
74,Stein::N,ډبره,камень
75,Boden::N,مځکه,почва
76,Erde::N,خاوره,земля
77,Staub::N,ګرد,пыль
