,Concept_ID,ps,he
0,Auge::N,سترګه,עין
1,Ohr::N,غوږ,אזן
2,Nase::N,پوزه,אף
3,Nase::N,پوزه,חטם
4,Mund::N,خوله,פה
5,Zahn::N,غاښ,שן
6,Zunge::N,جبه,לשון
7,Lippe::N,شونډه,שפה
8,Wange::N,باړخو,לחי
9,Gesicht::N,مخ,פנים
10,Stirn::N,تندی,מצח
11,Stirn::N,وچولی,מצח
12,Haar::N,وېښته,שערה
13,Schnurrbart::N,برېت,שפם
14,Bart::N,ږیره,זקן
15,Kinn::N,زنه,סנטר
16,Kiefer[Anatomie]::N,جامه,לסת
17,Kehle::N,غاړه,גרון
18,Hals::N,غاړه,צואר
19,Genick::N,ورمېږ,ערף
20,Kopf::N,سر,ראש
21,Rücken::N,شا,גב
22,Bauch::N,نس,בטן
23,Bauch::N,ګېډه,בטן
24,Nabel::N,نوم,טבור
25,Busen::N,تی,שד
26,Brust::N,سینه,חזה
27,Schulter::N,اوږه,כתף
28,Arm::N,لاس,זרוע
29,Ellenbogen::N,څنګل,מרפק
30,Hand::N,لاس,יד
31,Handfläche::N,ورغوی,כף יד
32,Finger::N,ګوته,אצבע
33,Fingernagel::N,نوک,צפרן
34,Nagel[Anatomie]::N,نوک,צפרן
35,Zeh::N,ګوته,אצבע
36,Fuß::N,پښه,רגל
37,Ferse::N,پونده,עקב
38,Knie::N,زنګون,ברך
39,Oberschenkel::N,پتون,ירך
40,Bein::N,پښه,רגל
41,Körper::N,ځان,גוף
42,Haut::N,پوټکی,עור
43,Blut::N,وینه,דם
44,Ader::N,رګ,וריד
45,Sehne::N,پله,גיד
46,Knochen::N,هډوکی,עצם
47,Gehirn::N,ماغزه,מוח
48,Herz::N,زړه,לב
49,Magen::N,معده,קבה
50,Leber::N,ينه,כבד
51,Leber::N,ځیګر,כבד
52,Atem::N,نفس,נשימה
53,Hunger::N,ولږه,רעב
54,Träne::N,اوښکه,דמעה
55,Geschmack::N,مزه,טעם
56,Geschmack::N,خوند,טעם
57,Geruch::N,بوی,ריח
58,Schlaf::N,خوب,שנה
59,Traum::N,خوب,חלום
60,Himmel::N,اسمان,שמים
61,Sonne::N,لمر,שמש
62,Mond::N,سپوږمۍ,ירח
63,Stern::N,ستوری,כוכב
64,Luft::N,هوا,אויר
65,Wind::N,ورښ,רוח
66,Welle::N,موج,גל
67,Wasser::N,اوبه,מים
68,Stein::N,ډبره,אבן
69,Boden::N,مځکه,קרקע
70,Erde::N,خاوره,אדמה
71,Staub::N,ګرد,אבק
72,Staub::N,خاوره,אבק
73,Rauch::N,دود,עשן
74,Rauch::N,لوګی,עשן
75,Funke::N,سپرغۍ,ניצוץ
76,Feuer::N,اور,אש
77,Licht::N,رڼا,אור
78,Schatten::N,سیوری,צל
79,Wetter::N,هوا,מזג אויר
80,Nebel::N,لړه,ערפל
81,Wolke::N,ورېځ,ענן
82,Regen::N,وریا,גשם
83,Regen::N,باران,גשם
84,Schnee::N,واوره,שלג
85,Eis::N,یخ,קרח
86,Eis::N,کنګل,קרח
87,Frost::N,یخ,צנה
88,Kälte::N,ساړه,קר
89,Hitze::N,تودوخي,חם
90,Raureif::N,سپینه پرخه,כפור
91,Regenbogen::N,بوډۍ ټال,קשת
92,Regenbogen::N,سره زرغونه,קשת
93,Donner::N,تالنده,רעם
94,Strömung::N,بهېدنه,זרימה
95,Tropfen::N,قطره,טפה
96,Tropfen::N,څاڅکی,טפה
97,Schaum::N,ځګ,קצף
98,Schmutz::N,ناپاکي,לכלוך
99,See::N,جهیل,אגם
100,Sumpf::N,جبه,בצה
101,Moor::N,جبه,בצה
102,Wiese::N,چمن,מרעה
103,Wiese::N,شنېلی,מרעה
104,Wald::N,ځنګل,יער
105,Hügel::N,تپه,תל
106,Anhöhe::N,غونډۍ,מעלה
107,Berg::N,غ‍‍‍‍‍ر,הר
108,Gipfel::N,څوکه,פסגה
109,Höhle::N,کاز,מערה
110,Abhang::N,لمن,מדרון
111,Abhang::N,لمن,שפוע
112,Quelle::N,چینه,מעין
113,Bach::N,واله,נחל
114,Fluss::N,سیند,נהר
