,Concept_ID,eu,no
0,Auge::N,begi,øye
1,Ohr::N,belarri,øre
2,Nase::N,sudur,nese
3,Mund::N,aho,munn
4,Zahn::N,hortz,tann
5,Zunge::N,mihi,tunge
6,Lippe::N,ezpain,leppe
7,Wange::N,masail,kinn
8,Gesicht::N,aurpegi,fjes
9,Gesicht::N,aurpegi,ansikt
10,Stirn::N,bekoki,panne
11,Haar::N,ile,hår
12,Haar::N,bilo,hår
13,Schnurrbart::N,bibote,bart
14,Schnurrbart::N,sudurpeko,bart
15,Bart::N,bizar,skjegg
16,Kinn::N,kokots,hake
17,Kiefer[Anatomie]::N,masailezur,kjeve
18,Kehle::N,eztarri,strupe
19,Hals::N,sama,hals
20,Genick::N,garondo,nakke
21,Kopf::N,buru,hode
22,Rücken::N,bizkar,rygg
23,Bauch::N,sabel,buk
24,Bauch::N,sabel,mage
25,Nabel::N,zilbor,navle
26,Busen::N,titi,barm
27,Busen::N,ugatz,barm
28,Brust::N,bular,bryst
29,Schulter::N,besaburu,skulder
30,Arm::N,beso,arm
31,Ellenbogen::N,ukondo,albue
32,Hand::N,esku,hånd
33,Handfläche::N,ahur,håndflate
34,Finger::N,hatz,finger
35,Fingernagel::N,azazkal,fingernegl
36,Nagel[Anatomie]::N,azazkal,negl
37,Zeh::N,behatz,tå
38,Fuß::N,oin,fot
39,Ferse::N,orpo,hæl
40,Ferse::N,oinburu,hæl
41,Knie::N,belaun,kne
42,Oberschenkel::N,izter,lår
43,Bein::N,zango,bein
44,Körper::N,soin,kropp
45,Körper::N,soin,legeme
46,Haut::N,azal,hud
47,Haut::N,azal,skinn
48,Blut::N,odol,blod
49,Ader::N,zain,åre
50,Sehne::N,gihar-zain,sene
51,Knochen::N,hezur,bein
52,Knochen::N,hezur,knokkel
53,Gehirn::N,garun,hjerne
54,Gehirn::N,burmuin,hjerne
55,Herz::N,bihotz,hjerte
56,Magen::N,urdail,mage
57,Leber::N,gibel,lever
58,Atem::N,hats,pust
59,Atem::N,arnasa,pust
60,Hunger::N,gose,sult
61,Träne::N,malko,tåre
62,Geschmack::N,dasta,smak
63,Geruch::N,usain,lukt
