,Concept_ID,ab,lv
0,Auge::N,ала,син
1,Auge::N,ала,acs
2,Ohr::N,алымҳа,пель
3,Ohr::N,алымҳа,auss
4,Nase::N,аҧынҵа,ныр
5,Nase::N,аҧынҵа,deguns
6,Mund::N,аҧышə,вом
7,Mund::N,аҧышə,mute
8,Zahn::N,ахаҧыц,пинь
9,Zahn::N,ахаҧыц,zobs
10,Zunge::N,абз,кыв
11,Zunge::N,абз,mēle
12,Lippe::N,ақьышə,вом дор
13,Lippe::N,ақьышə,lūpa
14,Wange::N,аӡамҩа,бан
15,Wange::N,аӡамҩа,vaigs
16,Gesicht::N,аҿы,чужӧм
17,Gesicht::N,аҿы,seja
18,Gesicht::N,аҿы,ģīmis
19,Stirn::N,алахь,плеш
20,Stirn::N,алахь,кымӧс
21,Stirn::N,алахь,piere
22,Haar::N,ахəыц,си
23,Haar::N,ахəыц,юрси
24,Haar::N,ахəыц,mats
25,Schnurrbart::N,аҧаҵа,ус
26,Schnurrbart::N,аҧаҵа,пыртсим
27,Schnurrbart::N,аҧаҵа,ūsas
28,Bart::N,ажакьа,тош
29,Bart::N,ажакьа,bārda
30,Kinn::N,ацламкəыгə,тшӧка
31,Kinn::N,ацламкəыгə,zods
32,Kinn::N,ацламкəыгə,smakrs
33,Kiefer[Anatomie]::N,ацламҳəа,черлы
34,Kiefer[Anatomie]::N,ацламҳəа,алака лы
35,Kiefer[Anatomie]::N,ацламҳəа,вомкӧтш лы
36,Kiefer[Anatomie]::N,ацламҳəа,žoklis
37,Kehle::N,ахəда,голя
38,Kehle::N,ахəда,rīkle
39,Hals::N,ахəда,сьылі
40,Hals::N,ахəда,kakls
41,Genick::N,ахəдаџьал,юрбӧр
42,Genick::N,ахəдаџьал,балябӧж
43,Genick::N,ахəдаџьал,sprands
44,Kopf::N,ахы,юр
45,Kopf::N,ахы,galva
46,Rücken::N,азқəа,мыш
47,Rücken::N,азқəа,mugura
48,Bauch::N,амгəа,рушку
49,Bauch::N,амгəа,vēders
50,Nabel::N,аҷапан,гӧг
51,Nabel::N,аҷапан,naba
52,Busen::N,агəыҧҳəы,морӧс
53,Busen::N,агəыҧҳəы,krūts
54,Brust::N,агəышҧы,морӧс
55,Brust::N,агəышҧы,krūts
56,Schulter::N,ажəҩахыр,пельпом
57,Schulter::N,ажəҩахыр,plecs
58,Arm::N,амахəар,ки
59,Arm::N,амахəар,roka
60,Arm::N,амахəар,delms
61,Ellenbogen::N,амашьхəылҵ,гырддза
62,Ellenbogen::N,амашьхəылҵ,elkonis
63,Hand::N,анапы,ки
64,Hand::N,анапы,roka
65,Hand::N,анапы,plauksta
66,Handfläche::N,анапсаргəыҵа,ки пыдӧс
67,Handfläche::N,анапсаргəыҵа,delna
68,Handfläche::N,анапсаргəыҵа,plauksta
69,Finger::N,анацəа,чунь
70,Finger::N,анацəа,pirksts
71,Fingernagel::N,анапхыц,гыж
72,Fingernagel::N,анапхыц,nags
73,Nagel[Anatomie]::N,ашьапхыц,гыж
74,Nagel[Anatomie]::N,ашьапхыц,nags
75,Zeh::N,ашьацəа,кок чунь
76,Zeh::N,ашьацəа,pirksts
77,Fuß::N,ашьапсыргəыҵа,кок
78,Fuß::N,ашьапсыргəыҵа,kāja
79,Ferse::N,ашьхəа,кокбӧр
80,Ferse::N,ашьхəа,papēdis
81,Knie::N,ашьамхы,пидзӧс
82,Knie::N,ашьамхы,celis
83,Oberschenkel::N,ауаҭəа,лядьвей
84,Oberschenkel::N,ауаҭəа,бек
85,Oberschenkel::N,ауаҭəа,ciska
86,Oberschenkel::N,ауаҭəа,augšstilbs
87,Bein::N,ашьапы,кок
88,Bein::N,ашьапы,kāja
89,Körper::N,ацəеижь,туша
90,Körper::N,ацəеижь,вывтыр
91,Körper::N,ацəеижь,miesa
92,Körper::N,ацəеижь,ķermenis
93,Haut::N,ацəа,ку
94,Haut::N,ацəа,āda
95,Blut::N,ашьа,вир
96,Blut::N,ашьа,asins
97,Ader::N,ада,сӧн
98,Ader::N,ада,asinsvads
99,Sehne::N,адаш,вез
100,Sehne::N,адаш,dzīsla
101,Knochen::N,абаҩ,лы
102,Knochen::N,абаҩ,kauls
103,Gehirn::N,ахшлыбаҩ,вем
104,Gehirn::N,ахшлыбаҩ,smadzenes
105,Gehirn::N,ахшыбаҩ,вем
106,Gehirn::N,ахшыбаҩ,smadzenes
107,Herz::N,агəы,сьӧлӧм
108,Herz::N,агəы,sirds
109,Magen::N,аца,кынӧм
110,Magen::N,аца,kuņģis
111,Magen::N,ацар,кынӧм
112,Magen::N,ацар,kuņģis
113,Leber::N,агəаҵəа,мус
114,Leber::N,агəаҵəа,aknas
115,Atem::N,аҧсыҧлагаҩгара,лов
116,Atem::N,аҧсыҧлагаҩгара,elpa
117,Hunger::N,амла,тшыг
118,Hunger::N,амла,bads
119,Hunger::N,амла,izsalkums
120,Träne::N,алабжыш,синва
121,Träne::N,алабжыш,asara
122,Geschmack::N,агьама,кӧр
123,Geschmack::N,агьама,чӧсмӧс
124,Geschmack::N,агьама,garša
125,Geruch::N,афҩы,зын
126,Geruch::N,афҩы,дук
127,Geruch::N,афҩы,smaka
128,Schlaf::N,ацəа,узьӧм
129,Schlaf::N,ацəа,miegs
130,Traum::N,аҧхыӡ,вӧт
131,Traum::N,аҧхыӡ,вӧтасьӧм
132,Traum::N,аҧхыӡ,sapnis
133,Himmel::N,ажəҩан,енэж
134,Himmel::N,ажəҩан,debess
135,Sonne::N,амра,шонді
136,Sonne::N,амра,saule
137,Mond::N,амза,тӧлысь
138,Mond::N,амза,mēness
139,Stern::N,аеҵəа,кодзув
140,Stern::N,аеҵəа,zvaigzne
141,Luft::N,аҳаир,сынӧд
142,Luft::N,аҳаир,gaiss
143,Wind::N,аҧша,тӧв
144,Wind::N,аҧша,vējš
145,Welle::N,ацəқəырҧа,гы
146,Welle::N,ацəқəырҧа,vilnis
147,Wasser::N,аӡы,ва
148,Wasser::N,аӡы,ūdens
149,Stein::N,ахаҳə,из
150,Stein::N,ахаҳə,akmens
151,Boden::N,адгьыл,му
152,Boden::N,адгьыл,augsne
153,Erde::N,адгьыл,му
154,Erde::N,адгьыл,му-ва
155,Erde::N,адгьыл,zeme
156,Staub::N,асаба,бус
157,Staub::N,асаба,putekļi
158,Rauch::N,алҩа,тшын
159,Rauch::N,алҩа,dūmi
160,Funke::N,акəиц,кинь
161,Funke::N,акəиц,би кинь
162,Funke::N,акəиц,dzirkstele
163,Funke::N,ацҧхь,кинь
164,Funke::N,ацҧхь,би кинь
165,Funke::N,ацҧхь,dzirkstele
166,Feuer::N,амца,би
167,Feuer::N,амца,uguns
168,Licht::N,алашара,югӧр
169,Licht::N,алашара,gaisma
170,Schatten::N,ашəшьыра,вуджӧр
171,Schatten::N,ашəшьыра,ēna
172,Wetter::N,амш,поводдя
173,Wetter::N,амш,laiks
174,Nebel::N,анаҟəа,ру
175,Nebel::N,анаҟəа,онь
176,Nebel::N,анаҟəа,migla
177,Wolke::N,аҧсҭҳəа,кымӧр
178,Wolke::N,аҧсҭҳəа,mākonis
179,Regen::N,ақəа,зэр
180,Regen::N,ақəа,lietus
181,Schnee::N,асы,лым
182,Schnee::N,асы,sniegs
183,Eis::N,аҵаа,йи
184,Eis::N,аҵаа,ledus
185,Frost::N,аҵаа,кӧдзыд
186,Frost::N,аҵаа,sals
187,Kälte::N,ахьҭа,кӧдзыд
188,Kälte::N,ахьҭа,saltums
189,Kälte::N,ахьҭа,aukstums
190,Hitze::N,ашоура,пӧсь
191,Hitze::N,ашоура,гожӧд
192,Hitze::N,ашоура,karstums
193,Raureif::N,аҵааҧшқа,пуж
194,Raureif::N,аҵааҧшқа,гыӧр
195,Raureif::N,аҵааҧшқа,sarma
196,Regenbogen::N,ацəаҟəа,ӧшкамӧшка
197,Regenbogen::N,ацəаҟəа,varavīksne
198,Donner::N,адыд,гым
199,Donner::N,адыд,pērkons
200,Strömung::N,аиасра,ва ныр
201,Strömung::N,аиасра,визувтӧм
202,Strömung::N,аиасра,straume
203,Strömung::N,аиасра,strāvojums
204,Strömung::N,амҩасра,ва ныр
205,Strömung::N,амҩасра,визувтӧм
206,Strömung::N,амҩасра,straume
207,Strömung::N,амҩасра,strāvojums
208,Tropfen::N,ацəыкəбар,войт
209,Tropfen::N,ацəыкəбар,lāse
210,Schaum::N,ашəах,быг
211,Schaum::N,ашəах,быгзьӧм
212,Schaum::N,ашəах,putas
213,Schmutz::N,алымт,няйт
214,Schmutz::N,алымт,dubļi
215,See::N,аӡиа,ты
216,See::N,аӡиа,ezers
217,Sumpf::N,аӡмах,гыбад
218,Sumpf::N,аӡмах,кад
219,Sumpf::N,аӡмах,dumbrājs
220,Sumpf::N,аӡмах,staignājs
221,Wiese::N,адəы,видз
222,Wiese::N,адəы,pļava
223,Wald::N,абна,вӧр
224,Wald::N,абна,mežs
225,Hügel::N,ахəы,дзиб
226,Hügel::N,ахəы,мыльк
227,Hügel::N,ахəы,нӧрыс
228,Hügel::N,ахəы,paugurs
229,Anhöhe::N,аҳаракыра,мыльк
230,Anhöhe::N,аҳаракыра,нӧрыс
231,Anhöhe::N,аҳаракыра,paugurs
232,Berg::N,ашьха,чой
233,Berg::N,ашьха,керӧс
234,Berg::N,ашьха,kalns
235,Gipfel::N,ацəқəа,чук
236,Gipfel::N,ацəқəа,virsotne
237,Höhle::N,аҳаҧы,рудӧг
238,Höhle::N,аҳаҧы,ala
239,Abhang::N,анаара,ньывк
240,Abhang::N,анаара,бокша
241,Abhang::N,анаара,nogāze
242,Quelle::N,аҵҵырҭа,ӧшмӧс
243,Quelle::N,аҵҵырҭа,avots
244,Bach::N,акəараҷҷа,шор
245,Bach::N,акəараҷҷа,urga
246,Bach::N,акəараҷҷа,strauts
247,Fluss::N,аӡиас,ю
248,Fluss::N,аӡиас,upe
249,Ufer::N,ахықə,вадор
250,Ufer::N,ахықə,krasts
251,Küste::N,ахықə,вадор
252,Küste::N,ахықə,piekraste
253,Festland::N,абарра,му
254,Festland::N,абарра,sauszeme
255,Meer::N,амшын,саридз
256,Meer::N,амшын,jūra
257,Bucht::N,аӡбжьахала,куръя
258,Bucht::N,аӡбжьахала,līcis
259,Insel::N,адгьылбжьаха,ді
260,Insel::N,адгьылбжьаха,sala
261,Blume::N,ашəҭ,дзоридз
262,Blume::N,ашəҭ,puķe
263,Blume::N,ашəҭ,zieds
264,Gras::N,аҳасакьын,турун
265,Gras::N,аҳасакьын,zāle
266,Wurzel::N,адац,вуж
267,Wurzel::N,адац,sakne
268,Baum::N,аҵла,пу
269,Baum::N,аҵла,koks
270,Stamm::N,ашьапы,пучер
271,Stamm::N,ашьапы,stumbrs
272,Rinde::N,ацəа,кырсь
273,Rinde::N,ацəа,miza
274,Ast::N,амахə,ув
275,Ast::N,амахə,zars
276,Ast::N,амахəҭа,ув
277,Ast::N,амахəҭа,zars
278,Zweig::N,амахə,вож
279,Zweig::N,амахə,nozare
280,Zweig::N,амахəҭа,вож
281,Zweig::N,амахəҭа,nozare
282,Blatt::N,абҕьы,кор
283,Blatt::N,абҕьы,lapa
284,Birke::N,аҵааҵла,кыдз
285,Birke::N,аҵааҵла,bērzs
286,Kiefer[Baum]::N,амза,пожӧм
287,Kiefer[Baum]::N,амза,priede
288,Weide[Baum]::N,аҧслыш,бадь
289,Weide[Baum]::N,аҧслыш,kārkls
290,Tanne::N,аҧсаӡ,коз
291,Tanne::N,аҧсаӡ,egle
292,Horn::N,атəыҩа,сюр
293,Horn::N,атəыҩа,rags
294,Feder::N,ахӡы,гӧн
295,Feder::N,ахӡы,тывборд
296,Feder::N,ахӡы,spalva
297,Fell::N,ацəа,ку
298,Fell::N,ацəа,āda
299,Flügel::N,амҵəыжəа,борд
300,Flügel::N,амҵəыжəа,spārns
301,Klaue::N,ашьапхыц,гыж
302,Klaue::N,ашьапхыц,nags
303,Schwanz::N,аҵыхəа,бӧж
304,Schwanz::N,аҵыхəа,ļipa
305,Ei::N,акəтаӷь,кольк
306,Ei::N,акəтаӷь,ola
307,Nest::N,аҭра,поз
308,Nest::N,аҭра,ligzda
309,Nest::N,аҵысҭра,поз
310,Nest::N,аҵысҭра,ligzda
311,Bau::N,аҭыҩра,горс
312,Bau::N,аҭыҩра,пырмӧс
313,Bau::N,аҭыҩра,гу
314,Bau::N,аҭыҩра,ala
315,Tier::N,аҧстəы,пемӧс
316,Tier::N,аҧстəы,dzīvnieks
317,Tier::N,агыгшəыг,пемӧс
318,Tier::N,агыгшəыг,dzīvnieks
319,Herde::N,агəарҭа,стада
320,Herde::N,агəарҭа,кельӧб
321,Herde::N,агəарҭа,ganāmpulks
322,Kuh::N,ажə,мӧс
323,Kuh::N,ажə,govs
324,Bulle::N,ацə,ӧш
325,Bulle::N,ацə,bullis
326,Pferd::N,аҽы,вӧв
327,Pferd::N,аҽы,zirgs
328,Schaf::N,ауаса,ыж
329,Schaf::N,ауаса,aita
330,Schwein::N,аҳəа,порсь
331,Schwein::N,аҳəа,cūka
332,Hund::N,ала,пон
333,Hund::N,ала,suns
334,Katze::N,ацгəы,кань
335,Katze::N,ацгəы,kaķis
336,Bär::N,амшə,ош
337,Bär::N,амшə,lācis
338,Eichhörnchen::N,аеш,ур
339,Eichhörnchen::N,аеш,vāvere
340,Elch::N,аҽаҩа,йӧра
341,Elch::N,аҽаҩа,alnis
342,Fuchs::N,абгахəыҷы,руч
343,Fuchs::N,абгахəыҷы,lapsa
344,Hase::N,ажьа,кӧч
345,Hase::N,ажьа,zaķis
346,Maus::N,аҳəынаҧ,шыр
347,Maus::N,аҳəынаҧ,pele
348,Wolf::N,абгаду,кӧин
349,Wolf::N,абгаду,vilks
350,Vogel::N,аҧсаатə,кай
351,Vogel::N,аҧсаатə,лэбач
352,Vogel::N,аҧсаатə,putns
353,Huhn::N,акəты,курӧг
354,Huhn::N,акəты,vista
355,Hahn::N,арбаҕь,петук
356,Hahn::N,арбаҕь,gailis
357,Gans::N,аҟыз,дзодзӧг
358,Gans::N,аҟыз,zoss
359,Adler::N,ауарба,кутш
360,Adler::N,ауарба,ērglis
361,Ente::N,акəата,утка
362,Ente::N,акəата,pīle
363,Eule::N,аты,сюзь
364,Eule::N,аты,pūce
365,Kranich::N,апҟа,тури
366,Kranich::N,апҟа,dzērve
367,Krähe::N,аҟəараан,рака
368,Krähe::N,аҟəараан,vārna
369,Kuckuck::N,акəыкəу,кӧк
370,Kuckuck::N,акəыкəу,dzeguze
371,Schwan::N,агьад,юсь
372,Schwan::N,агьад,gulbis
373,Fisch::N,аҧсыӡ,чери
374,Fisch::N,аҧсыӡ,zivs
375,Barsch::N,ацəыбла,ёкыш
376,Barsch::N,ацəыбла,asaris
377,Hecht::N,ахиаала,сир
378,Hecht::N,ахиаала,līdaka
379,Schlange[Tier]::N,амаҭ,кый
380,Schlange[Tier]::N,амаҭ,čūska
381,Wurm::N,ахəа,номыр
382,Wurm::N,ахəа,tārps
383,Wurm::N,ахəац,номыр
384,Wurm::N,ахəац,tārps
385,Spinne::N,абызкаҭаҳа,черань
386,Spinne::N,абызкаҭаҳа,zirneklis
387,Ameise::N,ашышкамс,кодзувкот
388,Ameise::N,ашышкамс,skudra
389,Laus::N,аҵа,той
390,Laus::N,аҵа,uts
391,Mücke::N,акəыбры,ном
392,Mücke::N,акəыбры,ods
393,Fliege::N,амҵ,гут
394,Fliege::N,амҵ,muša
395,Schmetterling::N,аҧарҧалыкь,бобув
396,Schmetterling::N,аҧарҧалыкь,tauriņš
397,Beere::N,аргуц,тусь
398,Beere::N,аргуц,вотӧс
399,Beere::N,аргуц,oga
