,Concept_ID,ga,eu
0,Auge::N,súil,begi
1,Ohr::N,cluas,belarri
2,Nase::N,soc,sudur
3,Mund::N,béal,aho
4,Zahn::N,fiacail,hortz
5,Zunge::N,teanga,mihi
6,Lippe::N,liopa,ezpain
7,Wange::N,grua,masail
8,Wange::N,leiceann,masail
9,Gesicht::N,éadan,aurpegi
10,Gesicht::N,aghaidh,aurpegi
11,Stirn::N,baithis,bekoki
12,Stirn::N,clár éadain,bekoki
13,Haar::N,gruaig,ile
14,Haar::N,gruaig,bilo
15,Schnurrbart::N,croiméal,bibote
16,Schnurrbart::N,croiméal,sudurpeko
17,Bart::N,féasóg,bizar
18,Kinn::N,smig,kokots
19,Kiefer[Anatomie]::N,giall,masailezur
20,Kehle::N,scornach,eztarri
21,Hals::N,muinéal,sama
22,Genick::N,baic,garondo
23,Kopf::N,ceann,buru
24,Rücken::N,droim,bizkar
25,Bauch::N,bolg,sabel
26,Nabel::N,imleacán,zilbor
27,Busen::N,cíoch,titi
28,Busen::N,cíoch,ugatz
29,Brust::N,brollach,bular
30,Schulter::N,gualainn,besaburu
31,Arm::N,lámh,beso
32,Ellenbogen::N,uillinn,ukondo
33,Hand::N,lámh,esku
34,Handfläche::N,bos,ahur
35,Finger::N,méar,hatz
36,Fingernagel::N,ionga,azazkal
37,Nagel[Anatomie]::N,ionga,azazkal
38,Zeh::N,ladhar,behatz
39,Fuß::N,cos,oin
40,Fuß::N,troigh,oin
41,Ferse::N,sáil,orpo
42,Ferse::N,sáil,oinburu
43,Knie::N,glúin,belaun
44,Oberschenkel::N,ceathrú,izter
45,Bein::N,cos,zango
46,Körper::N,corp,soin
47,Körper::N,colainn,soin
48,Haut::N,cneas,azal
49,Haut::N,craiceann,azal
50,Blut::N,fuil,odol
51,Sehne::N,teannán,gihar-zain
52,Sehne::N,féitheog,gihar-zain
53,Knochen::N,cnámh,hezur
54,Gehirn::N,inchinn,garun
55,Gehirn::N,inchinn,burmuin
56,Herz::N,croí,bihotz
57,Magen::N,bolg,urdail
58,Magen::N,goile,urdail
59,Leber::N,ae,gibel
60,Atem::N,anáil,hats
61,Atem::N,anáil,arnasa
62,Hunger::N,ocras,gose
63,Träne::N,deoir,malko
64,Geschmack::N,blas,dasta
65,Geruch::N,boladh,usain
66,Schlaf::N,suan,lo
67,Schlaf::N,codladh,lo
68,Traum::N,taibhreamh,amets
69,Himmel::N,spéir,zeru
70,Sonne::N,grian,eguzki
71,Mond::N,ré,ilargi
72,Mond::N,gealach,ilargi
73,Stern::N,rinn,izar
74,Stern::N,réalta,izar
75,Luft::N,aer,aire
76,Wind::N,gaoth,haize
77,Welle::N,tonn,uhin
78,Welle::N,tonn,olatu
79,Wasser::N,uisce,ur
80,Stein::N,cloch,harri
81,Boden::N,talamh,lur
82,Boden::N,talamh,zoru
83,Erde::N,cré,lur
84,Erde::N,ithir,lur
85,Staub::N,dusta,hauts
86,Staub::N,deannach,hauts
87,Rauch::N,toit,ke
88,Rauch::N,deatach,ke
89,Funke::N,drithle,zirta
90,Funke::N,drithle,txinparta
91,Feuer::N,tine,su
92,Licht::N,solas,argi
93,Schatten::N,scáth,itzal
94,Schatten::N,scáth,geriza
95,Wetter::N,aimsir,eguraldi
96,Nebel::N,ceo,laino
97,Wolke::N,néal,hodei
98,Wolke::N,scamall,hodei
99,Regen::N,báisteach,euri
100,Regen::N,fearthainn,euri
101,Schnee::N,sneachta,elur
102,Eis::N,oighear,horma
103,Frost::N,sioc,izotzaldi
104,Kälte::N,fuacht,hotz
105,Hitze::N,teas,bero
106,Hitze::N,teocht,bero
107,Raureif::N,sioc bán,antzigar
108,Regenbogen::N,stua ceatha,ostadar
109,Regenbogen::N,stua ceatha,ortzadar
110,Regenbogen::N,bogha báistí,ostadar
