,Concept_ID,sk,bn
0,Auge::N,oko,চক্ষু
1,Ohr::N,ucho,কর্ণ
2,Nase::N,nos,নাক
3,Mund::N,ústa,মুখ
4,Zahn::N,zub,দাঁত
5,Zunge::N,jazyk,জিহবা
6,Lippe::N,pera,অধর
7,Wange::N,líce,গণ্ড
8,Gesicht::N,tvár,মুখমণ্ডল
9,Gesicht::N,obličaj,মুখমণ্ডল
10,Stirn::N,čelo,কপাল
11,Haar::N,vlas,চুল
12,Schnurrbart::N,fúzy,গোঁফ
13,Bart::N,brada,শ্মশ্রু
14,Kinn::N,brada,চিবুক
15,Kiefer[Anatomie]::N,čeľusť,চোয়াল
16,Kehle::N,hrdlo,কণ্ঠ
17,Hals::N,krk,গল
18,Genick::N,väzy,ঘাড়
19,Kopf::N,hlava,মাথা
20,Rücken::N,chrbát,পৃষ্ঠ
21,Bauch::N,brucho,উদর
22,Nabel::N,pupok,নাভি
23,Busen::N,prsia,স্তন
24,Brust::N,hruď,বুক
25,Schulter::N,plece,স্কন্ধ
26,Arm::N,rameno,বাহু
27,Ellenbogen::N,lakeť,কনুই
28,Hand::N,ruka,হাত
29,Handfläche::N,dlaň,করতল
30,Finger::N,prst,আঙ্গুল
31,Fingernagel::N,necht,হাতের নখ
32,Nagel[Anatomie]::N,necht,নখ
33,Zeh::N,prst na nohe,আঙ্গুল
34,Fuß::N,noha,পা
35,Ferse::N,päta,গোড়ালি
36,Knie::N,koleno,হাঁটু
37,Oberschenkel::N,stehno,ঊরু
38,Bein::N,noha,পা
39,Körper::N,telo,দেহ
40,Haut::N,koža,ত্বক
41,Blut::N,krv,রক্ত
42,Ader::N,žila,শিরা
43,Sehne::N,šľacha,কণ্ডরা
44,Knochen::N,kosť,অস্থি
45,Gehirn::N,mozog,মস্তিষ্ক
46,Herz::N,srdce,হৃৎপিণ্ড
47,Magen::N,žalúdok,পাকস্থলী
48,Leber::N,pečeň,যকৃৎ
49,Atem::N,dych,শ্বাস
50,Hunger::N,hlad,ক্ষুধা
51,Träne::N,slza,অশ্রু
52,Geschmack::N,chuť,স্বাদ
53,Geruch::N,pach,গন্ধ
54,Schlaf::N,spánok,ঘুম
55,Traum::N,sen,স্বপ্ন
56,Himmel::N,nebo,আকাশ
57,Sonne::N,slnko,সূর্য
58,Mond::N,mesiac,চন্দ্র
59,Stern::N,hviezda,নক্ষত্র
60,Luft::N,vzduch,বায়ু
61,Wind::N,vietor,বাতাস
62,Welle::N,vlna,ঢেউ
63,Welle::N,vlna,তরঙ্গ
64,Wasser::N,voda,জল
65,Stein::N,kameň,ঢিল
66,Stein::N,kameň,প্রস্তর
67,Boden::N,zem,ভূতল
68,Boden::N,pôda,ভূতল
69,Erde::N,zem,ভূমি
70,Staub::N,prach,ধুলা
71,Rauch::N,dym,ধোঁয়া
72,Funke::N,iskra,স্ফুলিঙ্গ
73,Feuer::N,oheň,অগ্নি
74,Licht::N,svetlo,আলো
75,Schatten::N,tieň,ছায়া
76,Wetter::N,počasie,আবহাওয়া
77,Nebel::N,hmla,কুহেলিকা
78,Wolke::N,oblak,মেঘ
79,Wolke::N,mračno,মেঘ
80,Regen::N,dážď,বৃষ্টি
81,Schnee::N,sneh,তুষার
82,Eis::N,ľad,বরফ
83,Frost::N,mráz,তুষার
84,Kälte::N,zima,শৈত্য
85,Kälte::N,chlad,শৈত্য
86,Hitze::N,horúčava,তাপ
87,Raureif::N,srieň,তুহিন
88,Raureif::N,inovať,তুহিন
89,Regenbogen::N,dúha,রামধনু
90,Donner::N,hrom,বজ্রধ্বনি
91,Strömung::N,prúdenie,স্রোত
92,Tropfen::N,kvapka,ফোঁটা
93,Schaum::N,pena,ফেনা
94,Schmutz::N,špina,ধুলা
95,Schmutz::N,nečistota,ধুলা
96,See::N,jazero,হ্রদ
97,Sumpf::N,bahno,জলা
98,Moor::N,močiar,মাঠ
99,Wiese::N,lúka,তৃণভূমি
100,Wald::N,les,বন
101,Wald::N,hora,বন
102,Hügel::N,vŕšok,পাহাড়
103,Anhöhe::N,výšina,টিলা
104,Anhöhe::N,vyvýšenina,টিলা
105,Berg::N,hora,পর্বত
106,Gipfel::N,vrchol,শীর্ষ
107,Höhle::N,jaskyňa,গুহা
108,Abhang::N,úbočie,ঢাল
109,Quelle::N,prameň,উৎস
110,Bach::N,potok,ক্ষুদ্র নদী
111,Fluss::N,rieka,নদী
112,Ufer::N,breh,উপকূল
113,Küste::N,pobrežie,তীর
114,Festland::N,pevnina,ভূমি
115,Meer::N,more,সমুদ্র
116,Bucht::N,záliv,উপসাগর
117,Bucht::N,zátoka,উপসাগর
118,Insel::N,ostrov,দ্বীপ
119,Blume::N,kvet,ফুল
120,Blume::N,kvetina,ফুল
121,Gras::N,tráva,ঘাস
122,Wurzel::N,koreň,শিকড়
123,Baum::N,strom,গাছ
124,Stamm::N,kmeň,স্কন্ধ
125,Rinde::N,kôra,বল্কল
126,Ast::N,konár,শাখা
127,Zweig::N,vetva,ডাল
128,Blatt::N,list,পর্ণ
129,Birke::N,breza,ভুর্জ
