,Concept_ID,eu,vep
0,Auge::N,begi,sil'm
1,Ohr::N,belarri,korv
2,Nase::N,sudur,nena
3,Mund::N,aho,su
4,Zahn::N,hortz,pi
5,Zahn::N,hortz,hambaz
6,Zunge::N,mihi,kel'
7,Lippe::N,ezpain,hul'
8,Wange::N,masail,modpolišk
9,Gesicht::N,aurpegi,mod
10,Stirn::N,bekoki,oc
11,Haar::N,ile,tuk
12,Haar::N,ile,hibuz
13,Haar::N,bilo,tuk
14,Haar::N,bilo,hibuz
15,Schnurrbart::N,bibote,habinod
16,Schnurrbart::N,sudurpeko,habinod
17,Bart::N,bizar,bard
18,Kinn::N,kokots,löug
19,Kiefer[Anatomie]::N,masailezur,hambazlu
20,Kehle::N,eztarri,kurk
21,Hals::N,sama,kagl
22,Genick::N,garondo,tagarai
23,Kopf::N,buru,pä
24,Rücken::N,bizkar,sel'g
25,Bauch::N,sabel,vac
26,Bauch::N,sabel,koht
27,Nabel::N,zilbor,naba
28,Busen::N,titi,niža
29,Busen::N,ugatz,niža
30,Brust::N,bular,rind
31,Schulter::N,besaburu,oug
32,Arm::N,beso,käzi
33,Ellenbogen::N,ukondo,künambruz
34,Hand::N,esku,käzi
35,Hand::N,esku,käzitera
36,Handfläche::N,ahur,kämen
37,Finger::N,hatz,sor'm
38,Fingernagel::N,azazkal,künz'
39,Nagel[Anatomie]::N,azazkal,künz'
40,Zeh::N,behatz,barbaz
41,Fuß::N,oin,jaug
42,Ferse::N,orpo,kand
43,Ferse::N,oinburu,kand
44,Knie::N,belaun,komb
45,Knie::N,belaun,pol'v
46,Oberschenkel::N,izter,riiže
47,Bein::N,zango,jaug
48,Körper::N,soin,hibj
49,Haut::N,azal,nahk
50,Blut::N,odol,čak
51,Blut::N,odol,veri
52,Ader::N,zain,son'
53,Sehne::N,gihar-zain,jände
54,Knochen::N,hezur,lu
55,Gehirn::N,garun,aivod
56,Gehirn::N,burmuin,aivod
57,Herz::N,bihotz,südäin
58,Magen::N,urdail,südäikoht
59,Leber::N,gibel,maks
60,Atem::N,hats,hengaiduz
61,Atem::N,arnasa,hengaiduz
62,Hunger::N,gose,näl'g
63,Träne::N,malko,kündal'
64,Geschmack::N,dasta,magu
65,Geruch::N,usain,haju
66,Schlaf::N,lo,uni
67,Traum::N,amets,unikuva
68,Himmel::N,zeru,taivaz
69,Sonne::N,eguzki,päiväine
70,Mond::N,ilargi,kudmaine
71,Stern::N,izar,tähtaz
72,Luft::N,aire,il'm
73,Wind::N,haize,döl
74,Wind::N,haize,tullei
75,Welle::N,uhin,ald
76,Welle::N,uhin,laineh
77,Welle::N,olatu,ald
78,Welle::N,olatu,laineh
79,Wasser::N,ur,vezi
80,Stein::N,harri,kivi
81,Boden::N,lur,ma
82,Boden::N,lur,pohj
83,Boden::N,zoru,ma
84,Boden::N,zoru,pohj
85,Erde::N,lur,ma
86,Staub::N,hauts,pölü
87,Rauch::N,ke,savu
88,Funke::N,zirta,kibin
89,Funke::N,txinparta,kibin
90,Feuer::N,su,lämoi
91,Licht::N,argi,vauktuz
92,Schatten::N,itzal,pil'vez
93,Schatten::N,itzal,kuvahaine
94,Schatten::N,geriza,pil'vez
95,Schatten::N,geriza,kuvahaine
96,Wetter::N,eguraldi,sä
97,Nebel::N,laino,sumeg
98,Wolke::N,hodei,pil'v
99,Regen::N,euri,vihm
100,Schnee::N,elur,lumi
101,Eis::N,horma,jä
102,Frost::N,izotzaldi,hala
103,Frost::N,izotzaldi,pakaine
104,Kälte::N,hotz,vilu
105,Hitze::N,bero,räk
106,Raureif::N,antzigar,hüde
107,Regenbogen::N,ostadar,jumalanbembel'
108,Regenbogen::N,ortzadar,jumalanbembel'
109,Donner::N,ostots,juru
110,Donner::N,ostots,jumalanjuru
111,Donner::N,ihurtzuri,juru
112,Donner::N,ihurtzuri,jumalanjuru
113,Strömung::N,laster,joksmuz
114,Tropfen::N,xorta,tilkuine
