,Concept_ID,hr,ba
0,Auge::N,oko,күҙ
1,Ohr::N,uho,ҡолаҡ
2,Nase::N,nos,танау
3,Mund::N,usta,ауыҙ
4,Zahn::N,zub,теш
5,Zunge::N,jezik,тел
6,Lippe::N,usna,ирен
7,Wange::N,obraz,яцаҡтар
8,Gesicht::N,lice,бит
9,Stirn::N,čelo,маңлай
10,Haar::N,kosa,сәс
11,Schnurrbart::N,brkovi,мылтыҡ
12,Bart::N,brada,һаҡал
13,Kinn::N,brada,эйэк
14,Kinn::N,podbradak,эйэк
15,Kiefer[Anatomie]::N,čeljust,яңаҡ һөйәге
16,Kehle::N,grlo,тамаҡ
17,Hals::N,vrat,муйын
18,Genick::N,zatiljak,соңҡа
19,Kopf::N,glava,баш
20,Rücken::N,leđa,арҡа
21,Rücken::N,hrbat,арҡа
22,Bauch::N,trbuh,ҡорһаҡ
23,Nabel::N,pupak,кендек
24,Busen::N,sisa,күкрәк
25,Busen::N,njedra,күкрәк
26,Brust::N,prsa,түш
27,Schulter::N,rame,яурын
28,Schulter::N,pleći,яурын
29,Arm::N,ruka,ҡул
30,Ellenbogen::N,lakat,терһәк
31,Hand::N,ruka,ҡул
32,Hand::N,ruka,ҡул суғы
33,Handfläche::N,dlan,ус төбө
34,Finger::N,prst,бармаҡ
35,Fingernagel::N,nokat,тырнаҡ
36,Nagel[Anatomie]::N,nokat,тырнаҡ
37,Zeh::N,nozni prst,бармаҡ
38,Fuß::N,noga,табан
39,Fuß::N,stopalo,табан
40,Ferse::N,peta,үксә
41,Knie::N,koljeno,тубыҡ
42,Oberschenkel::N,bedro,сандыр
43,Bein::N,noga,аяҡ
44,Körper::N,tijelo,тән
45,Haut::N,put,тире
46,Haut::N,koža,тире
47,Blut::N,krv,ҡан
48,Ader::N,žila,тамыр
49,Sehne::N,tetiva,һеңер
50,Sehne::N,tetiva,тарамыш
51,Knochen::N,kost,һойәк
52,Herz::N,srce,йорәк
53,Magen::N,stomak,ашҡаҙан
54,Magen::N,želudac,ашҡаҙан
