,Concept_ID,hi,mdf
640,Kessel::N,देग़,сргавозь
641,Kessel::N,बटलोई,сргавозь
642,Essen::N,खाना,ярхцама
643,Nahrung::N,भोजन,ярхцампяль
644,Speise::N,खाना,ярхцама
645,Speise::N,व्यंजन,ярхцама
646,Fleisch::N,मांस,пал
647,Fleisch::N,मांस,сиволь
648,Fleisch::N,गोश्त,пал
649,Fleisch::N,गोश्त,сиволь
650,Getreide::N,अनाज,сёра
651,Brei::N,भरता,ям
652,Brei::N,दलिया,ям
653,Brot::N,रोटी,кши
654,Scheibe::N,कतला,кочам
655,Fett::N,वसा,куя́
656,Fett::N,चरबी,куя́
657,Butter::N,मक्खन,вай
658,Öl::N,तेल,вай
659,Salz::N,नमक,сал
660,Suppe::N,सूप,шонгарям
661,Suppe::N,सूप,коршампяль
662,Suppe::N,शोरबा,шонгарям
663,Suppe::N,शोरबा,коршампяль
664,Honig::N,शहद,медь
665,Milch::N,दूध,лофца
666,Tee::N,चाय,чай
667,Leder::N,चमड़ा,кедь
668,Wolle::N,ऊन,пона
669,Stoff::N,कपड़ा,котф
670,Nadel::N,सूई,салмокс
671,Faden::N,डोरा,сюре
672,Knopf::N,बटन,пуня
673,Knopf::N,घुंडी,пуня
674,Knoten::N,गाँठ,сюлма
675,Knoten::N,गुत्थी,сюлма
676,Farbe::N,रंग,архтомбяль
677,Farbe::N,वर्ण,архтомбяль
678,Kleidung::N,पहनावा,щам
679,Hemd::N,कुरता,па́нар
680,Hemd::N,क़मीज़,па́нар
681,Kragen::N,गरदनी,сиве
682,Kragen::N,गरेबान,сиве
683,Ärmel::N,आस्तीन,ожа
684,Hose::N,पैंट,понкст
685,Hose::N,पतलून,понкст
686,Gürtel::N,पेटी,каркс
687,Gürtel::N,मेखला,каркс
688,Mütze::N,टोपी,вазь
689,Schuh::N,जूता,башма́к
690,Stiefel::N,बूट,кя́ме
691,Ring::N,अँगूठी,суркс
692,Band::N,पट्टी,керькс
693,Band::N,पट्टी,лента
694,Kamm::N,कंघी,сюрьхцем
