,Concept_ID,da,az
0,Auge::N,øje,göz
1,Ohr::N,øre,qulaq
2,Nase::N,næse,burun
3,Mund::N,mund,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tunge,dil
6,Lippe::N,læbe,dodaq
7,Wange::N,kind,yanaq
8,Gesicht::N,ansigt,üz
9,Stirn::N,pande,alın
10,Haar::N,hår,saç
11,Schnurrbart::N,overskæg,bığ
12,Bart::N,skæg,saqqal
13,Kinn::N,hage,çənə
14,Kiefer[Anatomie]::N,kæbe,çənə
15,Kehle::N,strube,boğaz
16,Hals::N,hals,boyun
17,Genick::N,nakke,ənsə
18,Kopf::N,hoved,baş
19,Rücken::N,ryg,bel
20,Bauch::N,mave,qarın
21,Nabel::N,navle,göbək
22,Busen::N,barm,məmə
23,Brust::N,bryst,döş
24,Schulter::N,skulder,çiyin
25,Arm::N,arm,qol
26,Ellenbogen::N,albue,dirsək
27,Hand::N,hånd,əl
28,Handfläche::N,håndflade,ovuc
29,Finger::N,finger,barmaq
30,Fingernagel::N,fingernegl,barmaq dırnağı
31,Nagel[Anatomie]::N,negl,dırnak
32,Zeh::N,tå,ayaq barmağı
33,Fuß::N,fod,ayaq
34,Ferse::N,hæl,daban
35,Knie::N,knæ,diz
36,Oberschenkel::N,lår,bud
37,Bein::N,ben,qıç
38,Körper::N,krop,əndam
39,Körper::N,legeme,əndam
40,Haut::N,hud,dəri
41,Blut::N,blod,qan
42,Ader::N,åre,damar
43,Sehne::N,sene,vətər
44,Knochen::N,ben,sümük
45,Gehirn::N,hjerne,beyin
46,Herz::N,hjerte,ürək
47,Magen::N,mave,mədə
48,Leber::N,lever,qara ciyər
49,Atem::N,ånde,nəfəs
50,Hunger::N,sult,aclıq
51,Träne::N,tåre,göz yaşı
52,Geschmack::N,smag,tam
53,Geschmack::N,smag,ləzzət
54,Geruch::N,lugt,qoxu
55,Schlaf::N,søvn,yuxu
56,Traum::N,drøm,röya
57,Himmel::N,himmel,göy
58,Himmel::N,himmel,səma
59,Sonne::N,sol,günəş
60,Mond::N,måne,ay
61,Stern::N,stjerne,ulduz
62,Luft::N,luft,hava
63,Wind::N,vind,yel
64,Wind::N,vind,külək
65,Welle::N,bølge,dalğa
66,Wasser::N,vand,su
67,Stein::N,sten,daş
68,Boden::N,jord,yer
69,Boden::N,jord,zəmin
70,Erde::N,jord,yer torpaq
71,Staub::N,støv,toz
72,Rauch::N,røg,tüstü
73,Funke::N,gnist,qığılcım
74,Feuer::N,ild,od
75,Licht::N,lys,işıq
76,Schatten::N,skygge,kölgə
77,Wetter::N,vejr,hava
78,Nebel::N,tåge,duman
79,Wolke::N,sky,bulud
80,Regen::N,regn,yağış
81,Regen::N,regn,yağmur
82,Schnee::N,sne,qar
83,Eis::N,is,buz
84,Frost::N,frost,ayaz
85,Kälte::N,kulde,soyuq
86,Hitze::N,hede,coşğunluq
87,Raureif::N,rimfrost,qırov
88,Regenbogen::N,regnbue,göy qurşağı
89,Donner::N,torden,göy gurultusu
90,Strömung::N,strømning,axın
91,Tropfen::N,dråbe,damcı
92,Schaum::N,skum,köpük
93,Schmutz::N,snavs,çamır
94,See::N,sø,göl
95,Sumpf::N,sump,bataqlıq
96,Moor::N,mose,bataqlıq
97,Wiese::N,eng,çəmən
98,Wald::N,skov,meşə
99,Hügel::N,høj,təpə
100,Hügel::N,bakke,təpə
101,Anhöhe::N,høj,təpə
102,Anhöhe::N,bakke,təpə
103,Berg::N,bjerg,dağ
104,Gipfel::N,top,zirvə
105,Höhle::N,hule,mağara
106,Abhang::N,skrænt,yamac
107,Abhang::N,skråning,yamac
108,Quelle::N,kilde,bulaq
109,Bach::N,bæk,kiçik çay
