,Concept_ID,udm,mrj
109,Anhöhe::N,выр,кӱкшикӓ
110,Anhöhe::N,вырйыл,кӱкшикӓ
111,Berg::N,гурезь,кырык
112,Gipfel::N,йыл,неркӓ
113,Höhle::N,гу,ы́раж
114,Abhang::N,бам,полом
115,Quelle::N,ошмес,вӹдсӹнзӓ
116,Bach::N,пичи шур,ӓнгӹр
117,Fluss::N,шур,вӹд
118,Ufer::N,ярдур,сир
119,Küste::N,вудур,сир
120,Festland::N,мувыр,мӱлӓндӹ
121,Meer::N,зарезь,тангыж
122,Bucht::N,вукож,вӹдъял
123,Insel::N,вумуӵ,острок
124,Insel::N,шормуӵ,острок
125,Blume::N,сяська,пеледӹш
126,Gras::N,турын,шуды
127,Wurzel::N,выжы,важ
128,Baum::N,пу,пушӓнгӹ
129,Stamm::N,модос,пушӓнгӹ тӹнг
130,Rinde::N,сул,каргыж
131,Ast::N,ул,укш
132,Zweig::N,вай,укш
133,Blatt::N,куар,листӹ
134,Birke::N,кызьпу,куги
135,Kiefer[Baum]::N,пужым,йӓктӹ
136,Weide[Baum]::N,бадьпу,уа
137,Tanne::N,кыз,кож
138,Horn::N,сюр,шур
139,Feder::N,тылы,пын
140,Fell::N,ку,кавашты
141,Flügel::N,бурд,шылдыр
142,Klaue::N,гижы,кӹч
143,Kralle::N,пыд,лапа
144,Schwanz::N,быж,пач
145,Ei::N,пуз,мыны
146,Ei::N,кукей,мыны
147,Nest::N,кар,пӹжӓш
148,Nest::N,пузкар,пӹжӓш
149,Bau::N,кар,ыраж
150,Bau::N,гу,ыраж
151,Tier::N,пӧйшур,во́льык
152,Herde::N,уллё,кӹтö
153,Kuh::N,скал,ышкал
154,Bulle::N,ош,ӱшкӱж
155,Bulle::N,пороз,ӱшкӱж
156,Pferd::N,вал,имни
157,Schaf::N,ыж,шарык
158,Schwein::N,парсь,сасна
159,Hund::N,пуны,пи
160,Katze::N,коӵыш,коти
161,Bär::N,гондыр,мöскӓ
162,Eichhörnchen::N,коньы,ур
163,Elch::N,койык,шарды
164,Fuchs::N,ӟичы,рӹвӹж
165,Hase::N,кеч,морен
166,Maus::N,шыр,каля
167,Wolf::N,кион,пирӹ
168,Vogel::N,тылобурдо,кек
169,Schwarm::N,уллё,цуца
170,Huhn::N,курег,цӹвӹ
171,Hahn::N,атас,ӓптӓн
172,Gans::N,ӟазег,комбы
173,Adler::N,ӧрзи,кучкыж
174,Ente::N,ӵӧж,лыды
175,Eule::N,кучыран,тымана
176,Kranich::N,тури,тырня
177,Kranich::N,тури,тыртня
178,Krähe::N,куака,лудыгарак
179,Kuckuck::N,кикы,куку
180,Schwan::N,юсь,йӱксӹ
181,Fisch::N,чорыг,кол
182,Barsch::N,юш,алангы
183,Hecht::N,чипей,нуж
184,Hecht::N,чипей,нужгол
185,Schlange[Tier]::N,кый,кӹшкы
186,Wurm::N,нумыр,шукш
187,Spinne::N,чонари,ӓнгӹремшӹ
188,Ameise::N,кузьыли,кыткы
189,Laus::N,тэй,ти
190,Mücke::N,нымы,кужнер
191,Mücke::N,нымы,кужынер
192,Mücke::N,чибинь,кужнер
193,Mücke::N,чибинь,кужынер
194,Fliege::N,кут,шӹнгӓ
195,Schmetterling::N,бубыли,лӹпӹ
196,Beere::N,узы-боры,мöр
197,Apfel::N,яблок,олма
198,Pilz::N,губи,понгы
199,Zwiebel::N,сугон,охыра
200,Saat::N,кидыс,нӱшмӹ
201,Saat::N,кидыс,нӱшмӱ
202,Korn::N,тысь,пӹрцӹ
203,Heu::N,турын,шуды
204,Schale::N,кыд,аваха
205,Schale::N,кыд,карлангы
206,Grube::N,гу,йӓм
207,Grube::N,гоп,йӓм
208,Falle::N,налик,лӱдӹ
209,Falle::N,налик,лӱдӹш
210,Schlinge::N,гиӟ,онгы
211,Schlinge::N,герд,онгы
212,Spur::N,пытьы,кишӓ
213,Spur::N,бервыл,кишӓ
214,Asche::N,пень,ломых
215,Asche::N,пень,ломпыж
216,Dreck::N,дэри,лявӹрӓ
217,Eisen::N,корт,кӹртни
218,Gold::N,зарни,шöртни
219,Gold::N,зарни,шöртньӹ
220,Silber::N,азвесь,ши
221,Kohle::N,эгыр,шӱ
222,Glas::N,стекло,охоница
223,Glas::N,пияла,охоница
224,Lehm::N,сюй,шун
225,Sand::N,луо,ошма
226,Mensch::N,мурт,эдем
227,Mensch::N,адями,эдем
228,Mann::N,воргорон,пӱэргӹ
229,Frau::N,кышномурт,ӹдӹрӓмӓш
230,Kind::N,нуны,ӓзӓ
231,Kind::N,нуны,шачшы
232,Kind::N,пинал,ӓзӓ
233,Kind::N,пинал,шачшы
234,Junge::N,пи,рвезӹ
235,Junge::N,пи,ӹрвезӹ
236,Mädchen::N,ныл,ӹдӹрӓш
237,Familie::N,семья,йиш
238,Familie::N,семья,семня
239,Großvater::N,песятай,тьоти
240,Großvater::N,пересь атай,тьоти
241,Großmutter::N,песянай,папа
242,Großmutter::N,пересь анай,папа
243,Eltern::N,атай-анай,ӓтя-ӓвӓ
244,Eltern::N,бубы-мумы,ӓтя-ӓвӓ
245,Vater::N,айы,ӓтя
246,Vater::N,атай,ӓтя
247,Mutter::N,мумы,ӓвӓ
248,Sohn::N,пи,эргӹ
249,Tochter::N,ныл,ӹдӹр
250,Bruder::N,агай,ӹза
251,Schwester::N,апа,ӓкӓ
252,Schwester::N,сузэр,ӓкӓ
253,Onkel::N,агай,кугуза
254,Tante::N,апа,куака
255,Tante::N,кенак,куака
256,Ehemann::N,карт,мары
257,Ehefrau::N,кышно,вӓтӹ
258,Freude::N,шумпотон,ӹвӹртӹмӓш
259,Gelächter::N,горем,ваштылмаш
260,Glück::N,шуд,пиӓл
261,Kummer::N,кайгу,ясы
262,Kummer::N,куректон,ясы
263,Wunsch::N,мылпотон,охата
264,Wunsch::N,мылпотон,шанымаш
265,Lust::N,потон,шӓр
266,Lust::N,потон,охата
267,Lust::N,потон,шанымаш
268,Geist::N,лул,тух
269,Gedanke::N,малпан,шанымаш
270,Gedächtnis::N,йырсазь,ӓш
271,Gedächtnis::N,тодэваён,ӓш
272,Verstand::N,йырвизь,ыш
273,Sinn::N,смысл,кын
274,Grund::N,муг,вир
275,Grund::N,ньӧм,вир
276,Wahrheit::N,зэм,тöр
277,Wahrheit::N,шонер,тöр
278,Gespräch::N,вераськон,хытырымаш
279,Märchen::N,выжыкыл,ямак
280,Erzählung::N,верос,шайыштмаш
281,Nachricht::N,ивор,увертӓрӹмӓш
282,Neuigkeit::N,выльивор,увер
283,Name::N,ним,лӹм
284,Rätsel::N,мадькыл,тышты
285,Rede::N,верам,шая
286,Rede::N,верам,шамак
287,Sprache::N,кыл,йӹлмӹ
288,Stimme::N,куара,юк
289,Wort::N,кыл,шамак
290,Zeichen::N,пус,палӹ
291,Zeichen::N,тодмет,палӹ
292,Ruf::N,ӧтён,сӹгӹрӹмӓш
293,Ruf::N,чортон,сӹгӹрӹмӓш
294,Lärm::N,ӵашетон,юкланымащ
295,Laut::N,куара,юк
296,Ton::N,куара,юк
297,Lied::N,кырӟан,мыры
298,Ruhe::N,чалмыт улон,тыр
299,Leute::N,адямиос,эдемвлӓ
300,Volk::N,калык,халык
301,Arbeit::N,уж,пӓшӓ
302,Gast::N,куно,хына
303,Geschenk::N,салам,подарка
304,Geschenk::N,кузьым,подарка
305,Spiel::N,шудон,мадыш
306,Gesellschaft::N,калык,йӓл
307,Gesellschaft::N,калык,йӓлвлӓ
308,Hilfe::N,юрттон,палшык
309,Freund::N,эш,тӓнг
310,Freund::N,юлтош,тӓнг
311,Kamerad::N,тодмо,тос
312,Angelegenheit::N,уж,дела
313,Angelegenheit::N,уж,йела
314,Angelegenheit::N,уж,йыла
315,Angelegenheit::N,уж,пӓшӓ
316,Anzahl::N,лыд,шот
317,Art::N,тус,цӹре
318,Stück::N,юдэс,лаштык
319,Teil::N,люкет,пай
320,Teil::N,люкет,часть
321,Hälfte::N,ӝыны,пел
322,Kreis::N,котырес,тӹртӹш
323,Kreuz::N,крест,крестӹ
324,Linie::N,гож,
325,Strich::N,гож,
326,Abstand::N,вис,ло
327,Abstand::N,кусып,ло
328,Entfernung::N,кусып,ло
329,Gegend::N,инты,вӓр
330,Platz::N,инты,вӓр
331,Ort::N,инты,вӓр
332,Ort::N,места,вӓр
333,Seite::N,пал,öрдӹж
334,Mitte::N,шор,ло
335,Gegenstand::N,арбери,хӓдӹр
336,Sache::N,котыр,хӓдӹр
337,Rand::N,дур,шöр
338,Rand::N,шаер,шöр
339,Kante::N,дур,шöр
340,Ecke::N,сэрег,лык
341,Spitze::N,йыл,вуй
342,Ende::N,пум,вуй
343,Ende::N,пум,мычаш
344,Loch::N,пась,ыраж
345,Winkel::N,сэрег,лык
346,Muster::N,пужы,тӹрлец
347,Größe::N,быдӟала,кӱкшӹц
348,Länge::N,кузьдала,кыт
349,Höhe::N,ӝуждала,кӱкшӹц
350,Gewicht::N,сектала,нелӹц
351,Gewicht::N,секытлык,нелӹц
352,Menge::N,лыд,шот
353,Menge::N,лыдпус,шот
354,Haufen::N,люк,ара
355,Reihe::N,чур,ряд
356,Boot::N,пыж,пыш
357,Boot::N,лодка,пыш
358,Ruder::N,полыс,вешлӓ
359,Schlitten::N,додьы,тир
360,Ski::N,куас,ечӹ
361,Lagerfeuer::N,тылскем,тыл
362,Last::N,секыт,нелӹц
363,Gang::N,ветлон,ход
364,Schritt::N,вамыш,ашкыл
365,Norden::N,уйпал,йыдпелвел
366,Süden::N,лымшор,кечӹвӓлвел
367,Westen::N,шунды пуксён,кечӹ шӹцмӹ
368,Osten::N,шунды ӝужан,ирвел
369,Osten::N,шунды ӝужан,кечӹ лӱлтмӹ
370,Holz::N,пу,пушӓнгӹ
371,Brett::N,пул,ханга
372,Platte::N,плита,плитӓ
373,Stütze::N,пыкет,цӓрӓк
374,Stange::N,пуӵ,равы
375,Stange::N,пуӵ,намаш
376,Stock::N,боды,панды
377,Stab::N,пуӵ,равы
378,Stab::N,боды,равы
379,Rohr::N,труба,пыч
380,Haus::N,юрт,пöрт
381,Heim::N,корка,пöрт
382,Ofen::N,гур,камака
383,Fußboden::N,выж,седӹрӓ
384,Tisch::N,ӝӧк,стöл
385,Stuhl::N,пукон,пöкен
386,Wiege::N,кӧкы,шипкӓ
387,Wiege::N,зыбка,шипкӓ
388,Bett::N,валес,койка
389,Bett::N,валес,кравать
390,Regal::N,ӝажы,полицӓ
391,Kiste::N,ящик,шӱ́ндӹк
392,Fenster::N,укно,окня
393,Fenster::N,косяк,окня
