,Concept_ID,eu,ru
0,Auge::N,begi,глаз
1,Ohr::N,belarri,ухо
2,Nase::N,sudur,нос
3,Mund::N,aho,рот
4,Zahn::N,hortz,зуб
5,Zunge::N,mihi,язык
6,Lippe::N,ezpain,губа
7,Wange::N,masail,щека
8,Gesicht::N,aurpegi,лицо
9,Stirn::N,bekoki,лоб
10,Haar::N,ile,волос
11,Haar::N,ile,волосы
12,Haar::N,bilo,волос
13,Haar::N,bilo,волосы
14,Schnurrbart::N,bibote,ус
15,Schnurrbart::N,bibote,усы
16,Schnurrbart::N,sudurpeko,ус
17,Schnurrbart::N,sudurpeko,усы
18,Bart::N,bizar,борода
19,Kinn::N,kokots,подбородок
20,Kiefer[Anatomie]::N,masailezur,челюсть
21,Kehle::N,eztarri,горло
22,Hals::N,sama,шея
23,Genick::N,garondo,затылок
24,Kopf::N,buru,голова
25,Rücken::N,bizkar,спина
26,Bauch::N,sabel,живот
27,Nabel::N,zilbor,пупок
28,Busen::N,titi,женская грудь
29,Busen::N,ugatz,женская грудь
30,Brust::N,bular,грудь
31,Schulter::N,besaburu,плечо
32,Arm::N,beso,рука
33,Ellenbogen::N,ukondo,локоть
34,Hand::N,esku,кисть
35,Handfläche::N,ahur,ладонь
36,Finger::N,hatz,палец
37,Fingernagel::N,azazkal,ноготь
38,Nagel[Anatomie]::N,azazkal,ноготь
39,Zeh::N,behatz,палец
40,Fuß::N,oin,ступня
41,Ferse::N,orpo,пята
42,Ferse::N,orpo,пятка
43,Ferse::N,oinburu,пята
44,Ferse::N,oinburu,пятка
45,Knie::N,belaun,колено
46,Oberschenkel::N,izter,бедро
47,Bein::N,zango,нога
48,Körper::N,soin,тело
49,Haut::N,azal,кожа
50,Blut::N,odol,кровь
51,Ader::N,zain,вена
52,Ader::N,zain,сосуд
53,Sehne::N,gihar-zain,жила
54,Sehne::N,gihar-zain,тетива
55,Sehne::N,gihar-zain,сухожилие
56,Knochen::N,hezur,кость
