,Concept_ID,ce,cs
0,Auge::N,бӏаьрг,oko
1,Ohr::N,лерг,ucho
2,Nase::N,мара,nos
3,Mund::N,бага,pusa
4,Zahn::N,церг,zub
5,Zunge::N,мотт,jazyk
6,Lippe::N,балда,ret
7,Wange::N,бесни,tvář
8,Gesicht::N,юьхь,obličej
9,Stirn::N,хьаж,čelo
10,Haar::N,мас,vlas
11,Haar::N,мас,vlasy
12,Schnurrbart::N,мекх,kníry
13,Bart::N,маж,vousy
14,Kinn::N,чӏениг,brada
15,Kiefer[Anatomie]::N,мочхал,čelist
16,Kehle::N,къамкъарг,hrdlo
17,Hals::N,ворта,krk
18,Genick::N,кӏесаркӏаг,týl
19,Kopf::N,корта,hlava
20,Rücken::N,букъ,záda
21,Rücken::N,букъ,hřbet
22,Bauch::N,кийра,břicho
23,Nabel::N,цӏонга,pupek
24,Busen::N,зударийн накха,ňadra
25,Brust::N,накха,prsa
26,Schulter::N,белш,plece
27,Schulter::N,белш,rameno
28,Arm::N,пхьарс,ruka
29,Ellenbogen::N,пхьаьрсан гола,loket
30,Hand::N,куьг,ruka
31,Handfläche::N,кераюкъ,dlaň
32,Finger::N,пӏелг,prst
33,Fingernagel::N,мӏара,nehet
34,Nagel[Anatomie]::N,мӏара,nehet
35,Zeh::N,кога пӏелг,prst u nohy
36,Fuß::N,ког,noha
37,Ferse::N,кӏажа,pata
38,Knie::N,гола,koleno
39,Oberschenkel::N,варе,stehno
40,Bein::N,ког,noha
41,Körper::N,хӏума,tělo
42,Haut::N,чкъор,kůže
43,Blut::N,цӏий,krev
44,Ader::N,пха,céva
45,Sehne::N,хьорзам,šlacha
46,Knochen::N,даьӏахк,kost
47,Gehirn::N,хье,mozek
48,Herz::N,дог,srdce
49,Magen::N,зорх,žaludek
50,Leber::N,доӏах,játra
51,Atem::N,садеӏар,dech
52,Hunger::N,мацалла,hlad
53,Träne::N,бӏаьрхи,slza
54,Geschmack::N,чам,vkus
55,Geruch::N,хьожа,vůně
56,Geruch::N,хьожа,zápach
57,Schlaf::N,наб,spánek
58,Traum::N,гӏан,sen
59,Himmel::N,стигал,nebe
60,Sonne::N,малх,slunce
61,Mond::N,бутт,měsíc
62,Stern::N,седа,hvězda
63,Luft::N,xӏаваъ,vzduch
64,Wind::N,мох,vítr
65,Welle::N,тулгӏе,vlna
66,Wasser::N,хи,voda
67,Stein::N,тӏулг,kámen
68,Boden::N,цӏенкъа,půda
69,Erde::N,латта,země
70,Staub::N,чан,prach
71,Rauch::N,кӏур,dým
72,Rauch::N,кӏур,kouř
73,Funke::N,суй,jiskra
74,Feuer::N,цӏе,oheň
75,Licht::N,серло,světlo
76,Schatten::N,ӏиндагӏ,stín
77,Wetter::N,хенан хӏоттам,počasí
78,Nebel::N,дохк,mlha
79,Wolke::N,марха,mrak
80,Wolke::N,марха,oblak
81,Regen::N,догӏа,déšť
82,Schnee::N,ло,sníh
83,Eis::N,ша,led
84,Frost::N,шело,mráz
85,Kälte::N,шело,chlad
86,Hitze::N,йовхо,horko
87,Raureif::N,йис,jinovatka
88,Regenbogen::N,стелаӏад,duha
89,Donner::N,ткъес,hrom
90,Strömung::N,дӏаэхар,proudění
91,Strömung::N,дӏасалелар,proudění
92,Tropfen::N,тӏадам,kapka
93,Schaum::N,чопа,pěna
94,Schmutz::N,хатт,špína
95,See::N,ӏам,jezero
96,Sumpf::N,уьшал,močál
97,Sumpf::N,уьшал,bažina
98,Moor::N,уьшал,bažina
99,Moor::N,уьшал,slatina
100,Wiese::N,бай,louka
101,Wald::N,хьун,les
102,Hügel::N,гу,kopec
103,Hügel::N,шу,kopec
104,Hügel::N,барз,kopec
105,Anhöhe::N,акъари,pahorek
106,Berg::N,лам,hora
107,Gipfel::N,бохь,vrchol
108,Höhle::N,хьех,jeskyně
109,Abhang::N,басе,svah
110,Abhang::N,басе,stráň
111,Quelle::N,шовда,pramen
112,Bach::N,татол,potok
113,Fluss::N,хи,řeka
114,Ufer::N,хийист,břeh
115,Küste::N,йист,pobřeží
116,Festland::N,латта,souš
117,Festland::N,латта,pevnina
118,Meer::N,xӏорд,moře
119,Bucht::N,чож,záliv
120,Bucht::N,чож,zátoka
121,Insel::N,гӏайре,ostrov
122,Blume::N,зезаг,květina
123,Gras::N,буц,tráva
124,Wurzel::N,орам,kořen
125,Baum::N,дитт,strom
126,Stamm::N,гӏад,kmen
127,Stamm::N,тайпа,kmen
128,Rinde::N,кевстиг,kůra
129,Ast::N,га,větev
130,Zweig::N,га,větev
131,Blatt::N,гӏа,lupen
132,Birke::N,дакх,bříza
133,Kiefer[Baum]::N,бага,sosna
134,Kiefer[Baum]::N,бага,borovice
135,Weide[Baum]::N,дак,vrba
136,Tanne::N,база,jedle
137,Horn::N,маӏа,roh
138,Feder::N,пелаг,pero
139,Fell::N,цӏока,srst
140,Flügel::N,тӏам,křídlo
141,Klaue::N,мӏара,dráp
142,Klaue::N,мӏара,pazneht
143,Kralle::N,тlод,dráp
144,Schwanz::N,цӏога,ocas
145,Ei::N,xӏoa,vejce
146,Nest::N,бен,hnízdo
147,Bau::N,lуьрг,nora
148,Tier::N,дийнат,zvíře
149,Herde::N,жа,stádo
150,Kuh::N,етт,kráva
151,Bulle::N,сту,býk
152,Pferd::N,говр,kůň
153,Schaf::N,жий,ovce
154,Schaf::N,уьстагӏ,ovce
155,Schwein::N,хьакха,vepř
156,Schwein::N,хьакха,prase
157,Hund::N,жӏаьла,pes
158,Katze::N,цициг,kočka
159,Bär::N,ча,medvěd
160,Eichhörnchen::N,тарсал,veverka
161,Elch::N,сай,los
162,Fuchs::N,цхьогал,liška
163,Hase::N,пхьагал,zajíc
164,Maus::N,дахка,myš
165,Wolf::N,борз,vlk
166,Vogel::N,олхазар,pták
167,Huhn::N,котам,kuře
168,Huhn::N,котам,slepice
169,Hahn::N,нӏаьна,kohout
170,Hahn::N,боргӏал,kohout
171,Gans::N,гӏаз,husa
172,Adler::N,aьрзу,orel
173,Ente::N,бад,kachna
174,Eule::N,бухӏа,sova
175,Kranich::N,гӏаргӏули,jeřáb
176,Krähe::N,къиг,vrána
177,Kuckuck::N,aттйокх,kukačka
178,Schwan::N,гӏургӏаз,labuť
179,Fisch::N,чӏара,ryba
180,Barsch::N,окунь,okoun
181,Hecht::N,гӏазкхийн чӏара,štika
