,Concept_ID,ps,cy
0,Auge::N,سترګه,llygad
1,Ohr::N,غوږ,clust
2,Nase::N,پوزه,trwyn
3,Mund::N,خوله,ceg
4,Zahn::N,غاښ,dant
5,Zunge::N,جبه,tafod
6,Lippe::N,شونډه,gwefus
7,Wange::N,باړخو,boch
8,Gesicht::N,مخ,wyneb
9,Stirn::N,تندی,talcen
10,Stirn::N,وچولی,talcen
11,Haar::N,وېښته,blew
12,Schnurrbart::N,برېت,mwstas
13,Bart::N,ږیره,barf
14,Kinn::N,زنه,gên
15,Kiefer[Anatomie]::N,جامه,gên
16,Kehle::N,غاړه,gwddf
17,Hals::N,غاړه,gwddf
18,Genick::N,ورمېږ,gwar
19,Genick::N,ورمېږ,gwegil
20,Kopf::N,سر,pen
21,Rücken::N,شا,cefn
22,Bauch::N,نس,bol
23,Bauch::N,ګېډه,bol
24,Nabel::N,نوم,bogail
25,Busen::N,تی,bron
26,Brust::N,سینه,brest
27,Schulter::N,اوږه,ysgwydd
28,Arm::N,لاس,braich
29,Ellenbogen::N,څنګل,penelin
30,Hand::N,لاس,llaw
31,Handfläche::N,ورغوی,palf
32,Finger::N,ګوته,bys
33,Fingernagel::N,نوک,ewin
34,Nagel[Anatomie]::N,نوک,ewin
35,Zeh::N,ګوته,bys troed
36,Fuß::N,پښه,troed
37,Ferse::N,پونده,sawdl
38,Knie::N,زنګون,glin
39,Oberschenkel::N,پتون,clun
40,Bein::N,پښه,coes
41,Körper::N,ځان,corff
42,Haut::N,پوټکی,croen
43,Blut::N,وینه,gwaed
44,Ader::N,رګ,gwythïen
45,Sehne::N,پله,gewyn
46,Knochen::N,هډوکی,asgwrn
47,Gehirn::N,ماغزه,ymennydd
48,Herz::N,زړه,calon
49,Magen::N,معده,cylla
50,Magen::N,معده,stumog
51,Leber::N,ينه,iau
52,Leber::N,ځیګر,iau
53,Atem::N,نفس,anadl
54,Hunger::N,ولږه,newyn
55,Träne::N,اوښکه,deigryn
56,Geschmack::N,مزه,cyflas
57,Geschmack::N,خوند,cyflas
58,Geruch::N,بوی,aroglau
59,Schlaf::N,خوب,cwsg
60,Traum::N,خوب,breuddwyd
61,Himmel::N,اسمان,awyr
62,Sonne::N,لمر,haul
63,Mond::N,سپوږمۍ,lleuad
64,Stern::N,ستوری,seren
65,Luft::N,هوا,awyr
66,Wind::N,ورښ,gwynt
67,Welle::N,موج,ton
68,Wasser::N,اوبه,dŵr
69,Stein::N,ډبره,carreg
70,Boden::N,مځکه,llawr
71,Erde::N,خاوره,pridd
72,Staub::N,ګرد,llwch
73,Staub::N,خاوره,llwch
74,Rauch::N,دود,mwg
75,Rauch::N,لوګی,mwg
76,Funke::N,سپرغۍ,gwreichioni
77,Feuer::N,اور,tân
78,Licht::N,رڼا,golau
79,Schatten::N,سیوری,cysgod
80,Wetter::N,هوا,tywydd
81,Nebel::N,لړه,niwl
82,Wolke::N,ورېځ,cwmwl
83,Regen::N,وریا,glaw
84,Regen::N,باران,glaw
85,Schnee::N,واوره,ôd
86,Schnee::N,واوره,eira
87,Eis::N,یخ,iâ
88,Eis::N,کنګل,iâ
89,Frost::N,یخ,rhew
90,Kälte::N,ساړه,oerni
91,Kälte::N,ساړه,annwyd
92,Hitze::N,تودوخي,gwres
93,Raureif::N,سپینه پرخه,barrug
94,Regenbogen::N,بوډۍ ټال,enfys
95,Regenbogen::N,سره زرغونه,enfys
96,Donner::N,تالنده,tyrfau
97,Strömung::N,بهېدنه,cerrynt
98,Tropfen::N,قطره,dafn
99,Tropfen::N,قطره,diferyn
100,Tropfen::N,څاڅکی,dafn
101,Tropfen::N,څاڅکی,diferyn
102,Schaum::N,ځګ,ewyn
103,Schmutz::N,ناپاکي,baw
104,Schmutz::N,ناپاکي,budreddi
105,See::N,جهیل,llyn
106,Sumpf::N,جبه,cors
107,Moor::N,جبه,rhos
108,Wiese::N,چمن,dôl
109,Wiese::N,شنېلی,dôl
110,Wald::N,ځنګل,coedwig
111,Hügel::N,تپه,bryn
112,Anhöhe::N,غونډۍ,bryn
113,Berg::N,غ‍‍‍‍‍ر,mynydd
114,Gipfel::N,څوکه,copa
115,Höhle::N,کاز,ogof
116,Abhang::N,لمن,llethr
117,Quelle::N,چینه,tarddiad
118,Quelle::N,چینه,ffynhonnell
119,Bach::N,واله,nant
120,Bach::N,واله,afonig
121,Bach::N,واله,cornant
122,Fluss::N,سیند,afon
123,Ufer::N,غاړه,glan
124,Küste::N,ساحل,traeth
125,Küste::N,ساحل,arfordir
126,Festland::N,وچه,tir
127,Meer::N,بحر,môr
128,Meer::N,سمندر,môr
129,Bucht::N,کارۍ,bae
130,Insel::N,ټاپو,ynys
131,Insel::N,جزيره,ynys
132,Blume::N,ګل,blodyn
133,Gras::N,واښه,glaswellt
134,Wurzel::N,ریښه,gwreiddyn
135,Baum::N,ونه,coeden
136,Stamm::N,ډډ,colfen
137,Stamm::N,ډډ,boncyff
138,Rinde::N,پوستکی,rhisgl
139,Ast::N,ښاخ,cangen
140,Zweig::N,څانګه,cainc
141,Zweig::N,څانګه,cangen
142,Blatt::N,پاڼه,deilen
143,Birke::N,توس,bedwen
144,Kiefer[Baum]::N,نښتر,pinwydden
145,Weide[Baum]::N,وله,helygen
146,Tanne::N,ناجو,ffynidwydden
147,Horn::N,ښکر,corn
148,Feder::N,بڼکه,plufyn
149,Fell::N,پوستکی,ffwr
150,Flügel::N,وزر,adain
151,Klaue::N,پنجه,crafanc
152,Klaue::N,منګول,crafanc
153,Kralle::N,پنجه,ewin
154,Kralle::N,منګول,ewin
155,Schwanz::N,لکۍ,cwt
156,Schwanz::N,لکۍ,cynffon
157,Ei::N,وۍ,wy
158,Ei::N,هګۍ,wy
159,Nest::N,جاله,nyth
160,Bau::N,کاز,ffau
161,Tier::N,ژوی,anifail
162,Tier::N,حیوان,anifail
163,Herde::N,رمه,praidd
164,Herde::N,رمه,diadell
165,Herde::N,غېله,praidd
166,Herde::N,غېله,diadell
167,Kuh::N,غوا,buwch
168,Bulle::N,غوئی,tarw
169,Pferd::N,آس,ceffyl
170,Schaf::N,پسه,dafad
171,Schwein::N,سرکوزی,mochyn
172,Hund::N,سپی,ci
173,Katze::N,پشه,cath
174,Bär::N,خرس,arth
175,Eichhörnchen::N,خړ لمی,gwiwer
176,Elch::N,ګوزن,elc
177,Fuchs::N,سپلم,cadno
178,Hase::N,سوی,ysgyfarnog
179,Maus::N,مږک,llygoden
180,Wolf::N,لېوه,blaidd
181,Vogel::N,مرغه,aderyn
182,Schwarm::N,سېل,haid
183,Huhn::N,چرګه,cyw
184,Hahn::N,چرګ,ceiliog
185,Gans::N,بته,gŵydd
186,Adler::N,عقاب,eryr
187,Ente::N,ایلۍ,hwyad
188,Eule::N,ګونګی,tylluan
189,Kranich::N,کلنګ,garan
190,Kranich::N,کلنګ,crychydd
191,Krähe::N,کارغه,brân
192,Kuckuck::N,فاخته,cog
193,Kuckuck::N,فاخته,cwcw
194,Schwan::N,قو,alarch
195,Fisch::N,کب,pysgod
196,Fisch::N,ماهی,pysgod
197,Schlange[Tier]::N,مار,neidr
198,Wurm::N,چینجی,abwydyn
199,Wurm::N,چینجی,pryf genwair
200,Spinne::N,غڼه,cor
201,Spinne::N,غڼه,pryf copyn
202,Spinne::N,تارکښ,cor
203,Spinne::N,تارکښ,pryf copyn
204,Ameise::N,مېږی,morgrugyn
205,Laus::N,سپږه,lleuen
206,Mücke::N,ماشی,gwybedyn
207,Fliege::N,مچ,cleren
208,Schmetterling::N,پتنګ,glöyn byw
209,Schmetterling::N,پتنګ,iâr fach yr haf
210,Beere::N,مېوۍ,aeronen
211,Apfel::N,مڼه,afal
212,Pilz::N,خرېړی,madarch
213,Zwiebel::N,پیاز,nionyn
214,Zwiebel::N,پیاز,winwnsyn
215,Saat::N,تخم,had
216,Korn::N,تخم,grawn
217,Korn::N,دانه,grawn
218,Heu::N,بوس,gwair
219,Heu::N,پروړه,gwair
220,Schale::N,پوستکی,croen
221,Schale::N,پوستکی,plisgyn
222,Grube::N,کنده,pwll
223,Grube::N,کنده,pydew
224,Falle::N,دام,magl
225,Falle::N,لومه,magl
226,Schlinge::N,کړۍ,cwlwm rhedeg
227,Spur::N,نښه,ôl
228,Asche::N,آس,lludw
229,Asche::N,ایره,lludw
230,Dreck::N,ناپاکي,baw
231,Dreck::N,ناپاکي,budreddi
232,Eisen::N,اوسپنه,haearn
233,Gold::N,سره زر,aur
234,Silber::N,نقره,arian
235,Silber::N,سپین زر,arian
236,Kohle::N,سکور,glo
237,Kohle::N,سکاره,glo
238,Glas::N,ښيښه,gwydr
239,Lehm::N,خټه,clai
240,Sand::N,شګه,tywod
241,Mensch::N,انسان,dyn
242,Mann::N,سړی,dyn
243,Mann::N,نارینه,dyn
244,Frau::N,ښځه,merch
245,Frau::N,ښځه,gwraig
246,Kind::N,بچی,plentyn
247,Kind::N,ماشوم,plentyn
248,Junge::N,هلک,hogyn
249,Junge::N,هلک,bachgen
250,Mädchen::N,نجلۍ,merch
251,Mädchen::N,نجلۍ,geneth
252,Familie::N,کورنۍ,teulu
253,Familie::N,کورنۍ,tylwyth
254,Großvater::N,بابا,taid
255,Großvater::N,بابا,tad-cu
256,Großmutter::N,انا,nain
257,Großmutter::N,انا,mam-gu
258,Eltern::N,مور او پلار,rhieni
259,Vater::N,پلار,tad
260,Mutter::N,مور,mam
261,Sohn::N,زوی,mab
262,Tochter::N,لور,merch
263,Bruder::N,ورور,brawd
264,Schwester::N,خور,chwaer
265,Onkel::N,تره,ewythr
266,Onkel::N,ماما,ewythr
267,Tante::N,خاله,modryb
268,Ehemann::N,مېړه,gŵr
269,Ehefrau::N,مېرمن,gwraig
270,Freude::N,خوشحالي,gorfoledd
271,Gelächter::N,خندا,chwerthin
272,Glück::N,بخت,hapusrwydd
273,Kummer::N,غم,galar
274,Wunsch::N,هيله,dymuniad
275,Wunsch::N,غوښتنه,dymuniad
276,Lust::N,شوق,chwant
277,Lust::N,مینه,chwant
278,Geist::N,روح,ysbryd
279,Gedanke::N,فکر,meddwl
280,Gedächtnis::N,یاد,cof
281,Gedächtnis::N,حافظه,cof
282,Verstand::N,عقل,meddwl
283,Verstand::N,شعور,meddwl
284,Sinn::N,معنی,ystyr
285,Grund::N,علت,achos
286,Grund::N,علت,rheswm
287,Grund::N,اساس,achos
288,Grund::N,اساس,rheswm
289,Wahrheit::N,حقیقت,gwir
290,Wahrheit::N,حقیقت,gwirionedd
291,Gespräch::N,مرکه,sgwrs
292,Gespräch::N,خبرې اترې,sgwrs
293,Märchen::N,افسانه,chwedl werin
294,Erzählung::N,قصه,stori
295,Erzählung::N,کیسه,stori
296,Nachricht::N,خبر,neges
297,Neuigkeit::N,نوی خبر,newydd
298,Name::N,نوم,enw
299,Rätsel::N,کیسۍ,pos
300,Rätsel::N,چیستان,pos
301,Rede::N,وینا,araith
302,Sprache::N,ژبه,iaith
303,Stimme::N,غږ,llais
304,Stimme::N,اواز,llais
305,Wort::N,لغت,gair
306,Wort::N,کلمه,gair
307,Zeichen::N,نښه,arwydd
308,Zeichen::N,اشاره,arwydd
