,Concept_ID,en,pl
0,Auge::N,eye,oko
1,Ohr::N,ear,ucho
2,Nase::N,nose,nos
3,Mund::N,mouth,usta
4,Zahn::N,tooth,ząb
5,Zunge::N,tongue,język
6,Lippe::N,lip,warga
7,Wange::N,cheek,policzek
8,Gesicht::N,face,twarz
9,Stirn::N,forehead,czoło
10,Haar::N,hair,włos
11,Haar::N,hair,włosy
12,Schnurrbart::N,moustache,wąsy
13,Bart::N,beard,broda
14,Kinn::N,chin,podbródek
15,Kiefer[Anatomie]::N,jaw,czeluść
16,Kehle::N,throat,gardło
17,Hals::N,neck,szyja
18,Genick::N,nape,kark
19,Kopf::N,head,głowa
20,Rücken::N,back,plecy
21,Rücken::N,back,grzbiet
22,Rücken::N,spine,plecy
23,Rücken::N,spine,grzbiet
24,Bauch::N,belly,brzuch
25,Nabel::N,navel,pępek
26,Busen::N,bosom,biust
27,Brust::N,chest,pierś
28,Brust::N,breast,pierś
29,Schulter::N,shoulder,bark
30,Schulter::N,shoulder,ramię
31,Arm::N,arm,ręka
32,Arm::N,arm,ramię
33,Ellenbogen::N,elbow,łokieć
34,Hand::N,hand,dłoń
35,Handfläche::N,palm,dłoń
36,Finger::N,finger,palec
37,Fingernagel::N,fingernail,paznokieć
38,Nagel[Anatomie]::N,nail,paznokieć
39,Zeh::N,toe,palec
40,Fuß::N,foot,stopa
41,Ferse::N,heel,pięta
42,Knie::N,knee,kolano
43,Oberschenkel::N,thigh,udo
44,Bein::N,leg,noga
45,Körper::N,body,ciało
46,Haut::N,skin,skóra
47,Blut::N,blood,krew
48,Ader::N,vein,żyła
49,Sehne::N,sinew,ścięgno
50,Knochen::N,bone,kość
51,Gehirn::N,brain,mózg
52,Herz::N,heart,serce
53,Magen::N,stomach,żołądek
54,Leber::N,liver,wątroba
55,Atem::N,breath,dech
56,Atem::N,breath,oddech
57,Hunger::N,hunger,głód
58,Träne::N,tear,łza
59,Geschmack::N,flavour,smak
60,Geschmack::N,flavor,smak
61,Geruch::N,odour,woń
62,Geruch::N,odour,zapach
63,Geruch::N,odor,woń
64,Geruch::N,odor,zapach
65,Schlaf::N,sleep,sen
66,Traum::N,dream,sen
67,Himmel::N,sky,niebo
68,Sonne::N,sun,słońce
69,Mond::N,moon,księżyc
70,Stern::N,star,gwiazda
71,Luft::N,air,powietrze
72,Wind::N,wind,wiatr
73,Welle::N,wave,fala
74,Wasser::N,water,woda
75,Stein::N,stone,kamień
76,Boden::N,soil,grunt
77,Boden::N,ground,grunt
78,Erde::N,earth,ziemia
79,Staub::N,dust,pył
80,Staub::N,dust,kurz
81,Rauch::N,smoke,dym
82,Funke::N,spark,iskra
83,Feuer::N,fire,ogień
84,Licht::N,light,światło
85,Schatten::N,shadow,cień
86,Wetter::N,weather,pogoda
87,Nebel::N,fog,mgła
88,Wolke::N,cloud,obłok
89,Wolke::N,cloud,chmura
90,Regen::N,rain,deszcz
91,Schnee::N,snow,śnieg
92,Eis::N,ice,lód
93,Frost::N,frost,mróz
94,Kälte::N,chill,chłód
95,Hitze::N,heat,gorąco
96,Raureif::N,hoarfrost,szron
97,Regenbogen::N,rainbow,tęcza
98,Donner::N,thunder,grzmot
99,Strömung::N,current,nurt
100,Tropfen::N,drop,kropla
101,Schaum::N,foam,piana
102,Schmutz::N,dirt,brud
103,See::N,lake,jezioro
104,Sumpf::N,swamp,bagno
105,Moor::N,moor,bagno
106,Wiese::N,meadow,łąka
107,Wald::N,forest,las
108,Hügel::N,hill,pagórek
