,Concept_ID,lbe,sv
0,Auge::N,я,öga
1,Ohr::N,вичӏи,öra
2,Nase::N,май,näsa
3,Mund::N,кьацӏ,mun
4,Zahn::N,ккарччи,tand
5,Zunge::N,маз,tunga
6,Lippe::N,мурччи,läpp
7,Wange::N,чӏав,kind
8,Gesicht::N,лажин,syn
9,Gesicht::N,лажин,ansikte
10,Stirn::N,ненттабакӏ,panna
11,Haar::N,чӏара,hår
12,Schnurrbart::N,ссирссилтту,mustasch
13,Bart::N,чӏири,skägg
14,Kinn::N,лунттубакӏ,haka
15,Kiefer[Anatomie]::N,ххинчулул,käke
16,Kehle::N,кьакьари,strupe
17,Hals::N,ссурссу,hals
18,Genick::N,махъабакӏ,nacke
19,Kopf::N,бакӏ,huvud
20,Rücken::N,ттиликӏ,rygg
21,Bauch::N,лякьа,buk
22,Bauch::N,лякьа,mage
23,Nabel::N,цӏумуккутӏ,navel
24,Busen::N,ккукку,barm
25,Brust::N,хъазам,bröst
26,Schulter::N,хъачӏ,skuldra
27,Arm::N,ка,arm
28,Ellenbogen::N,ссюрхъ,armbåge
29,Hand::N,бартка,hand
30,Handfläche::N,хъат,handflata
31,Handfläche::N,битӏянхъ,handflata
32,Finger::N,кӏисса,finger
33,Fingernagel::N,михь,fingernagel
34,Nagel[Anatomie]::N,михь,nagel
35,Zeh::N,кӏисса,tå
36,Fuß::N,чӏанччан,fot
37,Ferse::N,никъа,häl
38,Knie::N,ник,knä
39,Oberschenkel::N,жира,lår
40,Bein::N,ччан,ben
41,Körper::N,чурх,kropp
42,Haut::N,бурчу,hud
43,Haut::N,бурчу,skinn
44,Blut::N,оь,blod
45,Ader::N,тунну,åder
46,Sehne::N,хьхьа,sena
47,Knochen::N,ттаркӏ,ben
48,Gehirn::N,ня,hjärna
49,Herz::N,дакӏ,hjärta
50,Herz::N,къюкӏ,hjärta
51,Magen::N,лякьа,mage
52,Atem::N,ссихӏ ласаву,anda
53,Atem::N,ссихӏ ласаву,andedräkt
54,Atem::N,ссихӏ бигьаву,anda
55,Atem::N,ссихӏ бигьаву,andedräkt
56,Hunger::N,ккаши,svält
57,Hunger::N,ккаши,hunger
58,Träne::N,макь,tår
59,Geschmack::N,тӏин,smak
60,Geschmack::N,тӏааьн,smak
61,Geruch::N,кьанкь,lukt
62,Schlaf::N,шану,sömn
63,Traum::N,макӏру,dröm
64,Himmel::N,ссав,himmel
65,Sonne::N,баргъ,sol
66,Mond::N,барз,måne
67,Stern::N,цӏуку,stjärna
68,Luft::N,гьава,luft
69,Wind::N,марч,vind
70,Welle::N,щатӏи,våg
71,Welle::N,щатӏи,bölja
72,Wasser::N,щин,vatten
73,Stein::N,чару,sten
74,Boden::N,аьрщи,mark
75,Erde::N,аьрщи,jord
76,Staub::N,ххит,damm
77,Rauch::N,пуркӏу,rök
78,Funke::N,пиягь,gnista
79,Feuer::N,цӏу,eld
80,Licht::N,чани,ljus
81,Schatten::N,ххют,skugga
82,Wetter::N,гьава,väder
83,Nebel::N,шархь ттурлу,dimma
84,Nebel::N,шархь ттурлу,töcken
85,Wolke::N,ттурлу,sky
86,Wolke::N,ттурлу,moln
87,Regen::N,гъарал,regn
88,Schnee::N,марххала,snö
89,Eis::N,микӏ,is
90,Frost::N,дяркъу,frost
91,Frost::N,замгьар,frost
92,Kälte::N,дяркъу,köld
93,Hitze::N,кӏиришиву,hetta
94,Raureif::N,сил,rimfrost
95,Raureif::N,бурса,rimfrost
96,Regenbogen::N,ссурул ккуртта,regnbåge
97,Donner::N,къув,åska
98,Donner::N,къув,dunder
99,Strömung::N,экьинанаву,strömning
100,Tropfen::N,кӏунтӏ,dropper
101,Schaum::N,хьама,skum
102,Schmutz::N,кьяркьи,lort
103,Schmutz::N,кьяркьи,smuts
104,See::N,бяр,sjö
105,Sumpf::N,кунцӏа,träsk
106,Wiese::N,кьан,äng
107,Wald::N,вацӏа,skog
108,Hügel::N,бакӏу,höjd
109,Hügel::N,бакӏу,kulle
110,Berg::N,зунтту,berg
111,Berg::N,зунтту,fjäll
112,Gipfel::N,мицӏ,topp
113,Höhle::N,нух,håla
114,Höhle::N,нух,grotta
115,Abhang::N,сун,slänt
116,Abhang::N,сун,sluttning
117,Quelle::N,дайдихьу,källa
118,Quelle::N,бакӏ,källa
119,Bach::N,чӏрир нех,bäck
120,Fluss::N,нех,älv
121,Fluss::N,нех,flod
122,Ufer::N,зума,strand
123,Küste::N,зумаинхалу,kust
124,Küste::N,зуманицӏалу,kust
125,Festland::N,кьири,fastland
126,Meer::N,хьхьири,hav
127,Insel::N,жазира,ö
128,Blume::N,тӏутӏи,blomma
129,Blume::N,тӏутӏи,blomster
130,Gras::N,уртту,gräs
131,Wurzel::N,мархха,rot
132,Baum::N,мурхь,träd
133,Stamm::N,ттарцӏ,stam
134,Rinde::N,ккамара,bark
135,Ast::N,матӏи,gren
136,Zweig::N,къяртта,kvist
137,Blatt::N,чӏапӏи,löv
138,Blatt::N,чӏапӏи,blad
139,Birke::N,кӏялахӏи,björk
140,Birke::N,кӏялахӏилул мурхь,björk
141,Kiefer[Baum]::N,ттар,tall
142,Kiefer[Baum]::N,ттарлил мурхь,tall
143,Weide[Baum]::N,щавщи,pil
144,Weide[Baum]::N,щавщи,vide
145,Tanne::N,ттарлил мурхь,gran
146,Horn::N,хъи,horn
147,Feder::N,лелуххул тӏиму,fjäder
148,Fell::N,бурчу,fäll
149,Fell::N,бурчу,skinn
150,Flügel::N,хъа,vinge
151,Flügel::N,ххурупӏайрал тӏиму,vinge
152,Klaue::N,михь,klöv
153,Kralle::N,ххяппа,klo
154,Schwanz::N,магъ,svans
155,Schwanz::N,магъ,stjärt
156,Ei::N,ккунук,ägg
157,Nest::N,кюру,rede
158,Nest::N,кюру,näste
159,Bau::N,цукъуккутӏ,bo
160,Tier::N,хӏайван,djur
161,Herde::N,газу,flock
162,Kuh::N,оьл,ko
