,Concept_ID,la,sv
0,Auge::N,oculus,öga
1,Ohr::N,auris,öra
2,Nase::N,nasus,näsa
3,Mund::N,os,mun
4,Zahn::N,dens,tand
5,Zunge::N,lingua,tunga
6,Lippe::N,labrum,läpp
7,Wange::N,gena,kind
8,Gesicht::N,vultus,syn
9,Gesicht::N,vultus,ansikte
10,Stirn::N,frons,panna
11,Haar::N,capillus,hår
12,Schnurrbart::N,barba labri superioris,mustasch
13,Bart::N,barba,skägg
14,Kinn::N,mentum,haka
15,Kiefer[Anatomie]::N,mala,käke
16,Kehle::N,iugulums,strupe
17,Hals::N,collum,hals
18,Genick::N,cervices,nacke
19,Kopf::N,caput,huvud
20,Rücken::N,tergum,rygg
21,Bauch::N,venter,buk
22,Bauch::N,venter,mage
23,Nabel::N,umbilicus,navel
24,Busen::N,sinus,barm
25,Brust::N,pectus,bröst
26,Schulter::N,umerus,skuldra
27,Arm::N,bracchium,arm
28,Ellenbogen::N,cubitum,armbåge
29,Hand::N,manus,hand
30,Handfläche::N,palma,handflata
31,Finger::N,digitus,finger
32,Fingernagel::N,unguiculus,fingernagel
33,Nagel[Anatomie]::N,unguis,nagel
34,Zeh::N,digitus,tå
35,Fuß::N,pes,fot
36,Ferse::N,calx,häl
37,Knie::N,genu,knä
38,Oberschenkel::N,femur,lår
39,Bein::N,crus,ben
40,Körper::N,corpus,kropp
41,Haut::N,cutis,hud
42,Haut::N,cutis,skinn
43,Haut::N,pellis,hud
44,Haut::N,pellis,skinn
45,Blut::N,sanguis,blod
46,Ader::N,vena,åder
47,Sehne::N,nervus,sena
48,Knochen::N,os,ben
49,Gehirn::N,cerebrum,hjärna
50,Herz::N,cor,hjärta
51,Herz::N,animus,hjärta
52,Magen::N,stomachus,mage
53,Leber::N,iecur,lever
54,Atem::N,spiritus,anda
55,Atem::N,spiritus,andedräkt
56,Hunger::N,fames,svält
57,Hunger::N,fames,hunger
58,Träne::N,lacrima,tår
59,Geschmack::N,sapor,smak
60,Geschmack::N,gustus,smak
61,Geruch::N,odor,lukt
62,Schlaf::N,somnus,sömn
63,Traum::N,somnium,dröm
64,Himmel::N,caelum,himmel
65,Sonne::N,sol,sol
66,Mond::N,luna,måne
67,Stern::N,sidus,stjärna
68,Stern::N,stella,stjärna
69,Luft::N,aer,luft
70,Wind::N,ventus,vind
71,Welle::N,unda,våg
72,Welle::N,unda,bölja
73,Wasser::N,aqua,vatten
74,Stein::N,lapis,sten
75,Boden::N,solum,mark
76,Erde::N,terra,jord
77,Staub::N,pulvis,damm
78,Rauch::N,fumus,rök
79,Funke::N,scintilla,gnista
80,Feuer::N,ignis,eld
81,Licht::N,lux,ljus
82,Licht::N,lumen,ljus
83,Schatten::N,umbra,skugga
84,Wetter::N,caelum,väder
85,Wetter::N,tempestas,väder
86,Nebel::N,nebula,dimma
87,Nebel::N,nebula,töcken
88,Wolke::N,nubes,sky
89,Wolke::N,nubes,moln
90,Regen::N,imber,regn
91,Regen::N,pluvia,regn
92,Schnee::N,nix,snö
93,Eis::N,glacies,is
94,Frost::N,gelu,frost
95,Kälte::N,frigus,köld
96,Hitze::N,calor,hetta
97,Hitze::N,aestus,hetta
98,Raureif::N,pruina,rimfrost
99,Regenbogen::N,arcus,regnbåge
100,Donner::N,tonitrus,åska
101,Donner::N,tonitrus,dunder
102,Strömung::N,fluctus,strömning
103,Tropfen::N,gutta,dropper
104,Schaum::N,spuma,skum
105,Schmutz::N,sordes,lort
106,Schmutz::N,sordes,smuts
107,Schmutz::N,squalor,lort
108,Schmutz::N,squalor,smuts
109,See::N,lacus,sjö
110,Sumpf::N,palus,träsk
111,Moor::N,palus,myr
112,Moor::N,palus,mosse
113,Wiese::N,pratum,äng
114,Wald::N,silva,skog
115,Hügel::N,collis,höjd
116,Hügel::N,collis,kulle
117,Anhöhe::N,specula,höjd
118,Anhöhe::N,specula,backe
119,Berg::N,mons,berg
120,Berg::N,mons,fjäll
121,Gipfel::N,vertex,topp
122,Höhle::N,caverna,håla
123,Höhle::N,caverna,grotta
124,Höhle::N,spelunca,håla
125,Höhle::N,spelunca,grotta
126,Abhang::N,declivum,slänt
127,Abhang::N,declivum,sluttning
128,Quelle::N,fons,källa
129,Bach::N,rivus,bäck
130,Fluss::N,flumen,älv
131,Fluss::N,flumen,flod
132,Ufer::N,ripa,strand
133,Küste::N,litus,kust
134,Festland::N,continens,fastland
135,Meer::N,mare,hav
136,Bucht::N,sinus,vik
137,Bucht::N,sinus,bukt
138,Insel::N,insula,ö
139,Blume::N,flos,blomma
140,Blume::N,flos,blomster
141,Gras::N,herba,gräs
142,Gras::N,gramen,gräs
143,Wurzel::N,radix,rot
144,Baum::N,arbor,träd
145,Stamm::N,truncus,stam
146,Rinde::N,cortex,bark
147,Ast::N,ramus,gren
148,Zweig::N,ramus,kvist
149,Blatt::N,folium,löv
