,Concept_ID,kn,myv
0,Auge::N,ಕಣ್ಣು,сельме
1,Ohr::N,ಕಿವಿ,пиле
2,Nase::N,ಮೂಗು,судо
3,Mund::N,ಬಾಯಿ,курго
4,Zahn::N,ಹಲ್ಲು,пей
5,Zunge::N,ನಾಲಿಗೆ,кель
6,Lippe::N,ತುಟಿ,турва
7,Wange::N,ಗಲ್ಲ,чамабока
8,Wange::N,ಗಲ್ಲ,чамаумарь
9,Gesicht::N,ಮುಖ,чама
10,Stirn::N,ಹಣೆ,коня
11,Haar::N,ಕೂದಲು,черь
12,Schnurrbart::N,ಮೀಸೆ,ус
13,Schnurrbart::N,ಮೀಸೆ,муюк
14,Bart::N,ಗಡ್ಡ,сакал
15,Kinn::N,ಗದ್ದ,уло
16,Kiefer[Anatomie]::N,ದವಡೆ,пейпакар
17,Kiefer[Anatomie]::N,ದವಡೆ,пейловажа
18,Kehle::N,ಗಂಟಲು,кирьгапарь
19,Hals::N,ಕೊರಳು,кирьга
20,Genick::N,ಹಿಂಗತ್ತು,човонь
21,Kopf::N,ತಲೆ,пря
22,Rücken::N,ಬೆನ್ನು,копорь
23,Bauch::N,ಹೊಟ್ಟೆ,пеке
24,Nabel::N,ಹೊಕ್ಕುಳು,почо
25,Busen::N,ಸ್ತನ,поте
26,Brust::N,ಎದೆ,меште
27,Schulter::N,ಭುಜ,лавтов
28,Arm::N,ತೋಳು,кедь
29,Ellenbogen::N,ಮೊಣಕೈ,кенерепакарь
30,Hand::N,ಕೈ,кедь
31,Handfläche::N,ಅಂಗೈ,кедькуншка
32,Handfläche::N,ಅಂಗೈ,кедьлапушка
33,Finger::N,ಕೈಬೆರಳು,сур
34,Fingernagel::N,ಉಗುರು,кенже
35,Nagel[Anatomie]::N,ಉಗುರು,кенже
36,Zeh::N,ಕಾಲ್ಬೆರಳು,пильге сур
37,Fuß::N,ಪಾದ,пильге
38,Ferse::N,ಹಿಮ್ಮಡಿ,кочкаря
39,Knie::N,ಮಂಡಿ,эле
40,Knie::N,ಮಂಡಿ,эзне
41,Knie::N,ಮಂಡಿ,кумажа
42,Oberschenkel::N,ತೊಡೆ,качо
43,Bein::N,ಕಾಲು,пильге
44,Körper::N,ದೇಹ,рунго
45,Haut::N,ಚರ್ಮ,киське
46,Blut::N,ರಕ್ತ,верь
47,Ader::N,ನರ,сан
48,Sehne::N,ನರ,коське сан
49,Knochen::N,ಮೂಳೆ,пакарь
50,Gehirn::N,ಮಿದುಳು,удем
51,Herz::N,ಹೃದಯ,седей
52,Magen::N,ಉದರ,пеке
53,Leber::N,ಯಕೃತ್ತು,максо
54,Atem::N,ಉಸಿರು,лексема
55,Atem::N,ಉಸಿರು,оймень таргсема
56,Hunger::N,ಹಸಿವು,вачочи
57,Träne::N,ಕಣ್ಣೀರು,селведь
58,Geschmack::N,ರುಚಿ,тансть
59,Geruch::N,ವಾಸನೆ,чине
60,Schlaf::N,ನಿದ್ರೆ,удома
61,Traum::N,ಕನಸು,он
62,Himmel::N,ಬಾನು,менель
63,Sonne::N,ಸೂರ್ಯ,чи
64,Mond::N,ಚಂದ್ರ,ков
65,Stern::N,ಚುಕ್ಕಿ,теште
66,Luft::N,ವಾಯು,кошт
67,Wind::N,ಗಾಳಿ,варма
68,Welle::N,ಅಲೆ,толкун
69,Wasser::N,ನೀರು,ведь
70,Stein::N,ಕಲ್ಲು,кев
71,Boden::N,ನೆಲ,мода
72,Erde::N,ಭೂಮಿ,мастор
73,Staub::N,ದೂಳು,пуль
74,Rauch::N,ಹೊಗೆ,качамо
75,Funke::N,ಕಿಡಿ,сятко
76,Feuer::N,ಬೆಂಕಿ,тол
77,Licht::N,ಬೆಳಕು,валдо
78,Schatten::N,ನೆರಳು,сулей
79,Schatten::N,ನೆರಳು,сулейкс
80,Wetter::N,ಹವ,ушо
81,Nebel::N,ಮಂಜು,сув
82,Wolke::N,ಮೋಡ,пель
83,Regen::N,ಮಳೆ,пиземс
84,Schnee::N,ಹಿಮ,лов
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,эй
86,Frost::N,ಮಂಜು,кельме
87,Kälte::N,ಹಿಮ,якшамо
88,Hitze::N,ಉಷ್ಣ,пси
89,Raureif::N,ಇಬ್ಬನಿ,лекш
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,пурьгинечирьке
91,Regenbogen::N,ಇಂದ್ರಚಾಪ,пурьгинеёнкс
92,Donner::N,ಗುಡುಗು,пурьгине
93,Strömung::N,ಪ್ರವಾಹ,чудема
94,Strömung::N,ಪ್ರವಾಹ,чудевкс
95,Tropfen::N,ತೊಟ್ಟು,петнявкс
96,Schaum::N,ನೊರೆ,чов
97,Schmutz::N,ಕಸ,рудаз
98,See::N,ಸರೋವರ,эрьке
99,Sumpf::N,ಜೌಗುಸ್ಥಳ,чей
100,Moor::N,ಬಂಜರು ಭೂಮಿ,чей
101,Wiese::N,ಹುಲ್ಲುಗಾವಲು,луга
102,Wald::N,ಕಾಡು,вирь
103,Hügel::N,ಗುಡ್ಡೆ,губорь
104,Hügel::N,ಗುಡ್ಡೆ,пандыне
105,Anhöhe::N,ದಿಬ್ಬ,губорь
106,Anhöhe::N,ದಿಬ್ಬ,пандыне
107,Berg::N,ಮಲೆ,пандо
108,Berg::N,ಪರ್ವತ,пандо
109,Gipfel::N,ಶೃಂಗ,пря
110,Höhle::N,ಗುಹೆ,пещера
111,Abhang::N,ಇಳಿಜಾರು,пандочама
112,Quelle::N,ಮೂಲ,ушодкс
113,Bach::N,ತೊರೆ,чудикерькс
114,Fluss::N,ನದಿ,лей
115,Ufer::N,ತೀರ,чире
116,Küste::N,ದಂಡೆ,лейчире
117,Festland::N,ಭೂಮಿ,мода
118,Meer::N,ಕಡಲು,моря
119,Bucht::N,ಖಾರಿ,усия
120,Insel::N,ದ್ವೀಪ,усия
121,Blume::N,ಸುಮ,цеця
122,Gras::N,ಹುಲ್ಲು,тикше
123,Wurzel::N,ಬೇರು,юр
124,Wurzel::N,ಬೇರು,ундокс
125,Baum::N,ಮರ,чувто
126,Stamm::N,ಕಾಂಡ,рунго
127,Rinde::N,ತೂಗಟಿ,суд
128,Rinde::N,ತೂಗಟಿ,керь
129,Ast::N,ಶಾಖೆ,морго
130,Zweig::N,ರೆಂಬೆ,тарад
131,Blatt::N,ಎಲೆ,лопа
132,Birke::N,ಬರ್ಚ್ ಮರ,килей
133,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,пиче
134,Weide[Baum]::N,ವಿಲೋಮರ,каль
135,Tanne::N,ಭದ್ರದಾರು,куз
136,Horn::N,ಕೊಂಬು,сюро
137,Feder::N,ಪುಕ್ಕ,толга
138,Fell::N,ರೋಮ,пона
139,Flügel::N,ರೆಕ್ಕೆ,сёлмо
140,Klaue::N,ಪಂಜ,кенже
141,Kralle::N,ಉಗುರು,кенже
142,Schwanz::N,ಬಾಲ,пуло
143,Ei::N,ಮೊಟ್ಟೆ,ал
144,Nest::N,ಗೂಡು,пизэ
145,Bau::N,ಅಡಗುದಾಣ,варя
146,Bau::N,ಅಡಗುದಾಣ,пизе
147,Tier::N,ಪ್ರಾಣಿ,ракша
148,Herde::N,ಗುಂಪು,стада
149,Kuh::N,ಹಸು,скал
150,Bulle::N,ಗೂಳಿ,бука
151,Pferd::N,ಕುದುರೆ,лишме
152,Schaf::N,ಕುರಿ,реве
