,Concept_ID,hy,mhr
0,Auge::N,աչք,шинча́
1,Ohr::N,ականջ,пы́лыш
2,Nase::N,քիթ,нер
3,Mund::N,բերան,умша́
4,Zahn::N,ատամ,пӱй
5,Zunge::N,լեզու,йы́лме
6,Lippe::N,շրթունք,тӱ́рвӧ
7,Wange::N,այտ,шӱ́ргӧ
8,Wange::N,թուշ,шӱ́ргӧ
9,Gesicht::N,դեմք,чури́й
10,Stirn::N,ճակատ,саҥга́
11,Haar::N,մազ,ӱп
12,Schnurrbart::N,բեղ,ӧ́рыш
13,Bart::N,մորուք,понда́ш
14,Kinn::N,կզակ,оҥыла́ш
15,Kiefer[Anatomie]::N,ծնոտ,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,ծնոտ,пӱйората́
17,Kehle::N,կոկորդ,лога́р
18,Hals::N,վիզ,шӱй
19,Hals::N,պարանոց,шӱй
20,Genick::N,ծոծրակ,шӱйло́дыш
21,Kopf::N,գլուխ,вуй
22,Rücken::N,մեջք,туп
23,Bauch::N,փոր,мӱ́шкыр
24,Bauch::N,որովայն,мӱ́шкыр
25,Nabel::N,պորտ,кы́лымде
26,Busen::N,ծոց,чы́зе
27,Brust::N,կուրծք,оҥ
28,Schulter::N,ուս,ва́че
29,Arm::N,թեւ,кид
30,Arm::N,բազուկ,кид
31,Ellenbogen::N,արմունկ,кынерву́й
32,Hand::N,ձեռք,кид
33,Hand::N,ձեռք,копа́
34,Handfläche::N,ափ,со́во
35,Finger::N,մատ,парня́
36,Fingernagel::N,եղունգ,кидкӱ́ч
37,Fingernagel::N,եղունգ,парнягӱ́ч
38,Nagel[Anatomie]::N,եղունգ,кӱч
39,Zeh::N,ոտքի մատ,йолварня́
40,Fuß::N,ոտք,йол
41,Fuß::N,ոտք,йолкопа́
42,Ferse::N,գարշապար,тага́н
43,Knie::N,ծունկ,пулву́й
44,Oberschenkel::N,ազդր,э́рде
45,Bein::N,ոտք,йол
46,Körper::N,մարմին,кап
47,Haut::N,մաշկ,кова́ште
48,Blut::N,արյուն,вӱр
49,Ader::N,երակ,шӧн
50,Sehne::N,ջիղ,шӧн
51,Sehne::N,ջիղ,кӱсе́н
52,Sehne::N,ձգտան,шӧн
53,Sehne::N,ձգտան,кӱсе́н
54,Knochen::N,ոսկոր,лу
55,Gehirn::N,խելք,вем
56,Gehirn::N,խելք,вуйве́м
57,Herz::N,սիրտ,шӱм
58,Magen::N,ստամոքս,пага́р
59,Leber::N,լյարդ,мокш
60,Atem::N,շունչ,шӱ́лыш
61,Hunger::N,քաղց,шужыма́ш
62,Träne::N,արտասուք,шинчавӱ́д
63,Geschmack::N,համ,там
64,Geschmack::N,բուրմունք,там
65,Geruch::N,հոտ,пуш
66,Geruch::N,բուրում,пуш
67,Schlaf::N,քուն,о́мо
68,Traum::N,երազ,йӱдо́мо
69,Himmel::N,երկինք,кава́
70,Sonne::N,արեւ,ке́че
71,Mond::N,լուսին,ты́лзе
72,Stern::N,աստղ,шӱ́дыр
73,Luft::N,օդ,юж
74,Wind::N,քամի,марде́ж
75,Welle::N,ալիք,то́лкын
76,Wasser::N,ջուր,вӱд
77,Stein::N,քար,кӱ
78,Boden::N,գետին,рок
79,Erde::N,հող,мла́нде
80,Staub::N,փոշի,пура́к
81,Rauch::N,ծուխ,шикш
82,Funke::N,կայծ,сеске́м
83,Funke::N,կայծ,тулйы́п
84,Feuer::N,կրակ,тул
85,Feuer::N,հրդեհ,тул
86,Licht::N,լույս,со́то
87,Schatten::N,ստվեր,ӱ́мыл
88,Wetter::N,եղանակ,иге́че
89,Nebel::N,մեգ,тӱтыра́
90,Nebel::N,մառախուղ,тӱтыра́
91,Wolke::N,ամպ,пыл
92,Regen::N,անձրև,йӱр
93,Schnee::N,ձյուն,лум
94,Eis::N,սառույց,ий
95,Frost::N,սառնամանիք,чатлама́
96,Kälte::N,դող,йӱ́штӧ
97,Hitze::N,շոգ,шо́кшо
98,Raureif::N,ցօղեղեամ,пӧрш
99,Raureif::N,ցօղեղեամ,по́кшым
100,Regenbogen::N,ծիածան,шонанпы́л
101,Donner::N,որոտ,кӱ́дырчӧ
102,Strömung::N,հոսանք,йо́гын
103,Tropfen::N,կաթիլ,чӱча́лтыш
104,Schaum::N,փրփուր,шоҥ
105,Schmutz::N,կեղտ,лавыра́
106,See::N,լիճ,ер
107,Sumpf::N,ճահիճ,лӱ́кӧ
108,Moor::N,ճահիճ,куп
109,Wiese::N,մարգագետին,о́лык
110,Wald::N,անտառ,чодыра́
111,Hügel::N,բլուր,арка́
112,Anhöhe::N,բարձունք,тӧва́
113,Anhöhe::N,բարձունք,кӱкшака́
114,Berg::N,լեռ,ку́рык
115,Gipfel::N,գագաթ,чаҥга́
116,Gipfel::N,գագաթ,курыкву́й
117,Gipfel::N,կատար,чаҥга́
118,Gipfel::N,կատար,курыкву́й
119,Höhle::N,քարայր,пеще́р
120,Höhle::N,քարայր,курыкпо́мыш
121,Abhang::N,լանջ,та́йыл
122,Abhang::N,զառիվայր,та́йыл
123,Quelle::N,աղբյուր,важ
