,Concept_ID,ady,de
0,Auge::N,нэ,Auge
1,Ohr::N,тхьакӏу́м,Ohr
2,Nase::N,пэ,Nase
3,Mund::N,жэ,Mund
4,Zahn::N,цэ,Zahn
5,Zunge::N,бзэгу,Zunge
6,Lippe::N,ӏупшӏэ́,Lippe
7,Wange::N,нэкӏу́шъу,Wange
8,Gesicht::N,нэ́гу,Gesicht
9,Stirn::N,натӏэ́,Stirn
10,Haar::N,шъхьацы́,Haar
11,Bart::N,жакӏэ́,Bart
12,Kinn::N,жэкӏэпэпкъ,Kinn
13,Kiefer[Anatomie]::N,жэпкъы́,Kiefer
14,Kehle::N,чый,Kehle
15,Hals::N,пшъэ,Hals
16,Genick::N,шъхьэпхэтыку,Genick
17,Kopf::N,шъхьэ́,Kopf
18,Rücken::N,кӏыбы́,Rücken
19,Bauch::N,ныбэ́,Bauch
20,Busen::N,бгъэ́,Busen
21,Brust::N,бгъэ́,Brust
22,Schulter::N,блыпкъ,Schulter
23,Arm::N,ӏэ,Arm
24,Ellenbogen::N,ӏэнтэ́гъу,Ellenbogen
25,Hand::N,ӏэтхьэцу,Hand
26,Handfläche::N,ӏэ́гу,Handfläche
27,Finger::N,ӏэхъуа́мб,Finger
28,Fingernagel::N,ӏэбжъа́н,Fingernagel
29,Nagel[Anatomie]::N,ӏэбжъа́н,Nagel
30,Zeh::N,ӏэхъуа́мб,Zeh
31,Fuß::N,лъэгу,Fuß
32,Ferse::N,лъэдакъэ,Ferse
33,Knie::N,лъагуа́ндж,Knie
34,Oberschenkel::N,ко,Oberschenkel
35,Bein::N,лъакъо́,Bein
36,Körper::N,пкъышъол,Körper
37,Haut::N,кӏы́шъу,Haut
38,Blut::N,лъы,Blut
39,Ader::N,льытф,Ader
40,Sehne::N,фэ,Sehne
41,Knochen::N,къупшъхьэ́,Knochen
42,Gehirn::N,куцӏы,Gehirn
43,Herz::N,гу,Herz
44,Magen::N,мышкӏу,Magen
45,Leber::N,шӏу,Leber
46,Atem::N,къэщэныр,Atem
47,Hunger::N,гъаблэ́,Hunger
48,Träne::N,нэпсы,Träne
49,Geschmack::N,ӏэшӏугъа́кӏ,Geschmack
50,Geruch::N,мэ,Geruch
51,Schlaf::N,пчыхьы́пӏ,Schlaf
52,Traum::N,пчыхьы́пӏ,Traum
53,Himmel::N,уашъо́,Himmel
54,Sonne::N,тыгъэ,Sonne
55,Mond::N,мазэ,Mond
56,Stern::N,жъуагъо́,Stern
57,Luft::N,жьы,Luft
58,Wind::N,жьыбгъэ́,Wind
59,Welle::N,ор,Welle
60,Welle::N,оры,Welle
61,Wasser::N,псы,Wasser
62,Stein::N,мыжъо́,Stein
63,Boden::N,чӏ́ыгу,Boden
64,Erde::N,чӏ́ыгу,Erde
65,Staub::N,сап,Staub
66,Rauch::N,ӏугъо́,Rauch
67,Funke::N,мэшӏуа́ч,Funke
68,Feuer::N,машӏо́,Feuer
69,Licht::N,нэфы,Licht
70,Licht::N,нэфын,Licht
71,Schatten::N,жьау́,Schatten
72,Schatten::N,ныбжьыкъу,Schatten
73,Nebel::N,пща́гъу,Nebel
74,Wolke::N,ошъуапщэ,Wolke
75,Regen::N,ощхы,Regen
76,Schnee::N,осы́,Schnee
77,Eis::N,мылы,Eis
78,Kälte::N,чъыӏэ́,Kälte
79,Hitze::N,фэба́е,Hitze
80,Regenbogen::N, лэгъупэкъо́пс,Regenbogen
81,Donner::N,шыблэ́,Donner
82,Strömung::N,ток,Strömung
83,Tropfen::N,ткӏопс,Tropfen
84,Tropfen::N,гъуаткӏу,Tropfen
85,Schaum::N,тхъурбэ,Schaum
86,Schmutz::N,псынжъы,Schmutz
87,See::N,хыку́м,See
88,See::N,псыхъура́й,See
89,Sumpf::N,орыжъ,Sumpf
90,Moor::N,орыжъ,Moor
91,Wiese::N,хъупӏэ́,Wiese
92,Wiese::N,мэкъупӏ,Wiese
93,Wald::N,мэзы́,Wald
94,Hügel::N,ӏуашъхь,Hügel
95,Anhöhe::N,чӏыӏэтыгъ,Anhöhe
96,Berg::N,къушъхьэ́,Berg
97,Gipfel::N,шыгу,Gipfel
98,Höhle::N,гъочӏэгъ,Höhle
99,Abhang::N,чапэ,Abhang
100,Quelle::N,псынэчэ́чъ,Quelle
101,Bach::N,псышкуашку,Bach
102,Fluss::N,псыхъо́,Fluss
103,Ufer::N,нэпкъы,Ufer
104,Küste::N,ӏушъо,Küste
105,Festland::N,чӏл́ыгу,Festland
106,Meer::N,хы,Meer
107,Bucht::N,хыблыгу,Bucht
108,Insel::N,хыгъэхъу́н,Insel
109,Blume::N,къэгъа́гь,Blume
110,Gras::N,уцы́,Gras
111,Wurzel::N,лъапсэ́,Wurzel
112,Baum::N,чъыгы́,Baum
113,Stamm::N,пкъы,Stamm
114,Rinde::N,пхъашъо́,Rinde
115,Ast::N,куамэ,Ast
116,Zweig::N,къутамэ́,Zweig
117,Blatt::N,тхьап,Blatt
118,Birke::N,пчэн,Birke
119,Kiefer[Baum]::N,сэснэй,Kiefer
120,Weide[Baum]::N,пце́л,Weide
121,Tanne::N,ель,Tanne
122,Horn::N,бжъэ,Horn
123,Feder::N,къамӏы́й,Feder
124,Fell::N,шъо,Fell
125,Flügel::N,тамэ́,Flügel
126,Klaue::N,лъэбжъа́н,Klaue
127,Kralle::N,лъакъо,Kralle
128,Schwanz::N,кӏэ,Schwanz
129,Ei::N,кӏэнкӏэ́,Ei
130,Nest::N,набгъо́,Nest
131,Bau::N,гъу,Bau
132,Bau::N,бы,Bau
133,Tier::N,псэу́шъхь,Tier
134,Herde::N,ӏэхъогъу,Herde
135,Kuh::N,чэмы́,Kuh
136,Bulle::N,цу,Bulle
137,Pferd::N,шы,Pferd
138,Schaf::N,мэлы́,Schaf
139,Schwein::N,къо,Schwein
140,Hund::N,бьэ,Hund
141,Katze::N,чэты́у,Katze
142,Bär::N,мышъэ́,Bär
143,Eichhörnchen::N,цызэ́,Eichhörnchen
144,Elch::N,лось,Elch
145,Fuchs::N,баджэ́,Fuchs
146,Hase::N,тхьакӏумкӏы́хь,Hase
147,Maus::N,цыгъо́,Maus
148,Wolf::N,тыгъу́жъ,Wolf
149,Vogel::N,бзы́у,Vogel
150,Schwarm::N,отэр,Schwarm
151,Huhn::N,чэты́,Huhn
152,Hahn::N,атакъэ́,Hahn
153,Gans::N,къа́з,Gans
154,Ente::N,псычэ́т,Ente
155,Eule::N,тыгъурыгъу,Eule
156,Kranich::N,къэрэ́у,Kranich
157,Krähe::N,къолэ́жъ,Krähe
158,Kuckuck::N,куку́у,Kuckuck
159,Fisch::N,пцэжъы́й,Fisch
160,Barsch::N,тхыкъэц,Barsch
161,Hecht::N,лэнд,Hecht
162,Schlange[Tier]::N,блэ́,Schlange
163,Wurm::N,хьамлыу,Wurm
164,Spinne::N,бэдж,Spinne
165,Ameise::N,къамзэ́гу,Ameise
166,Laus::N,цӏэ,Laus
167,Mücke::N,аргъо́й,Mücke
168,Fliege::N,бадзэ́,Fliege
169,Schmetterling::N,хьампӏыра́шъу,Schmetterling
170,Beere::N,маткӏо,Beere
171,Apfel::N,мыӏэры́с,Apfel
172,Pilz::N,хьаӏу,Pilz
173,Zwiebel::N,бжьыны́,Zwiebel
174,Saat::N,чылапхъ,Saat
175,Korn::N,цэ,Korn
176,Heu::N,мэкъу,Heu
177,Schale::N,кӏы́шъу,Schale
178,Grube::N,машэ́,Grube
179,Falle::N,зэраубытырэ́ ӏэмэпсы́м,Falle
180,Schlinge::N,бзыуубыт,Schlinge
181,Spur::N,ужы,Spur
182,Spur::N,лъэуж,Spur
183,Asche::N,яжьэ́,Asche
184,Dreck::N,псынжъы,Dreck
185,Eisen::N,гыучӏы́,Eisen
186,Eisen::N,къэнджа́л,Eisen
187,Gold::N,дышъэ́,Gold
188,Silber::N,тыжьы́н,Silber
189,Kohle::N,шӏомыкӏ,Kohle
190,Glas::N,апч,Glas
191,Lehm::N,етӏагъо́,Lehm
192,Sand::N,пшахъо,Sand
193,Mensch::N,цӏыфы́,Mensch
194,Mann::N,хъулъфы́гъ,Mann
195,Frau::N,бӏылъфыгъэ́,Frau
196,Kind::N,кӏэлэцӏы́кӏу,Kind
197,Junge::N,кӏэлэцӏы́кӏу,Junge
198,Mädchen::N,пшъэшъэжъый,Mädchen
199,Familie::N,быны́,Familie
200,Familie::N,уна́гъу,Familie
201,Großvater::N,тэтэ́жъ,Großvater
202,Großmutter::N,нэнэ́жъ,Großmutter
203,Eltern::N,ны-тыхэ́р,Eltern
204,Vater::N,ты,Vater
205,Mutter::N,ны,Mutter
206,Sohn::N,къо,Sohn
207,Tochter::N,пхъу,Tochter
208,Bruder::N,шы,Bruder
209,Schwester::N,шы́пхъу,Schwester
210,Onkel::N,янэ́ш,Onkel
211,Tante::N,атэшыпхъу,Tante
212,Ehemann::N,лӏы,Ehemann
213,Ehefrau::N,шъу́з,Ehefrau
214,Freude::N,гушӏуа́гъу,Freude
215,Gelächter::N,щхыныр,Gelächter
216,Glück::N,насы́п,Glück
217,Kummer::N,тхьамыкӏагъу,Kummer
218,Wunsch::N,шӏонгъоны́гъ,Wunsch
219,Lust::N,шӏонгъоны́гъ,Lust
220,Geist::N,гу,Geist
221,Gedanke::N,гупшыс,Gedanke
222,Gedächtnis::N,память,Gedächtnis
223,Verstand::N,акъы́л,Verstand
224,Sinn::N,мэхьанэ,Sinn
225,Grund::N,ушъхьагъу,Grund
226,Wahrheit::N,шъыпкъэ́,Wahrheit
227,Gespräch::N,гущыӏ,Gespräch
228,Märchen::N,пшысэ,Märchen
229,Erzählung::N,къэба́р,Erzählung
230,Nachricht::N,къэба́р,Nachricht
231,Neuigkeit::N,къэбарыкӏ,Neuigkeit
232,Name::N,цӏэ,Name
233,Rätsel::N,коджэхь-къоджэшх,Rätsel
234,Rede::N,гущыӏ,Rede
235,Sprache::N,бзэ,Sprache
236,Stimme::N,макъэ́,Stimme
237,Wort::N,гущыӏ,Wort
238,Zeichen::N,тамы́гъ,Zeichen
239,Ruf::N,джэ макъ,Ruf
240,Lärm::N,макъэ,Lärm
241,Laut::N,макъэ,Laut
242,Lied::N,орэ́д,Lied
243,Ruhe::N,самбырыныгъ,Ruhe
244,Leute::N,цӏыфхэ́р,Leute
245,Volk::N,цӏыф лъэпкъ,Volk
246,Arbeit::N,ӏофшӏакӏэ́н,Arbeit
247,Gast::N,хьакӏэ́,Gast
248,Geschenk::N,шӏухьафтын,Geschenk
249,Spiel::N,еоны́р,Spiel
250,Spiel::N,джэгуны́р,Spiel
251,Spiel::N,къегъэӏоны́р,Spiel
252,Gesellschaft::N,обществ,Gesellschaft
253,Hilfe::N,ӏэпыӏэгъу,Hilfe
254,Freund::N,ныбджэгъу,Freund
255,Kamerad::N,ныбджэгъу,Kamerad
256,Angelegenheit::N,ӏофы́,Angelegenheit
257,Anzahl::N,пчъагъэ́,Anzahl
258,Art::N,изэрэщы́т,Art
259,Art::N,лъэпкъ,Art
260,Stück::N,такъы́р,Stück
261,Teil::N,щыщ,Teil
262,Teil::N,ӏахь,Teil
263,Hälfte::N,ныкъо́,Hälfte
264,Kreis::N,хъура́й,Kreis
265,Kreuz::N,къащ,Kreuz
266,Linie::N,хъахъ,Linie
267,Linie::N,итхъа́гъ,Linie
268,Strich::N,хъахъ,Strich
269,Strich::N,итхъагъ,Strich
270,Abstand::N,азыфагу,Abstand
271,Entfernung::N,чӏыгууанэ,Entfernung
272,Gegend::N,чӏыпӏэ́,Gegend
273,Platz::N,азыфагу,Platz
274,Ort::N,чӏыпӏэ́,Ort
275,Seite::N,лъэны́къу,Seite
276,Mitte::N,гузэ́гу,Mitte
277,Gegenstand::N,пкъыгъо,Gegenstand
278,Rand::N,цакӏэ́,Rand
279,Kante::N,цэгэналъ,Kante
280,Ecke::N,къогъу,Ecke
281,Spitze::N,пакӏэ,Spitze
282,Ende::N,кӏэ,Ende
283,Loch::N,гъуа́н,Loch
284,Winkel::N,къогъу,Winkel
285,Muster::N,тхыпхъэ,Muster
286,Größe::N,иина́гъ,Größe
287,Länge::N,икӏыхьа́гъ,Länge
288,Höhe::N,лъэгагъ,Höhe
289,Gewicht::N,онтэгъугъэ́,Gewicht
290,Menge::N,пчъагъэ́,Menge
291,Haufen::N,ӏат,Haufen
292,Reihe::N,саты́р,Reihe
293,Boot::N,къуашъо́,Boot
294,Ruder::N,къошъобэ́щ,Ruder
295,Ski::N,лыжэхэр,Ski
296,Lagerfeuer::N,пхъэмашӏу,Lagerfeuer
297,Gang::N,кӏоныр,Gang
298,Schritt::N,лъэубэ́къу,Schritt
299,Norden::N,темы́р,Norden
300,Süden::N,къыблэ́,Süden
301,Westen::N,тыгъэкъохьа́пӏ,Westen
302,Osten::N,тыгьэкъокӏы́пӏ,Osten
303,Holz::N,чъыгы́,Holz
304,Brett::N,пхъэ́мбгъу,Brett
305,Platte::N,упсыхьагъ,Platte
306,Stütze::N,кӏэгъэкъон,Stütze
307,Stange::N,къорэ́гъ,Stange
308,Stock::N,бэщ,Stock
309,Stab::N,бэщ кӏы́хь,Stab
310,Rohr::N,онджэкъ,Rohr
311,Haus::N,унэ́,Haus
312,Heim::N,унэ́,Heim
313,Ofen::N,гъэжъэн,Ofen
314,Fußboden::N,джэхашъу,Fußboden
315,Tisch::N,стол,Tisch
316,Stuhl::N,пхъэнтӏэ́кӏу,Stuhl
317,Wiege::N,кушъэ́,Wiege
318,Bett::N,пӏэкӏо́р,Bett
319,Regal::N,мэкӏай,Regal
320,Kiste::N,ящык,Kiste
321,Fenster::N,шъхьаныгъу́пчъ,Fenster
322,Tür::N,пчъэ,Tür
323,Tor::N,къэла́пчъ,Tor
324,Zaun::N,шӏыхьагъэ́,Zaun
325,Dach::N,шъхьэ́,Dach
326,Leiter::N,лъэо́й,Leiter
327,Leiter::N,дэкӏояпӏэ́,Leiter
328,Besen::N,пхъэнкӏы́пхъ,Besen
329,Spaten::N,къазгъы́р,Spaten
330,Schaufel::N,хэӏалъ,Schaufel
331,Gabel::N,цацэ,Gabel
332,Löffel::N,джэмы́шх,Löffel
333,Messer::N,шъэжъы́й,Messer
334,Nagel::N,гъучӏыӏу́н,Nagel
335,Netz::N,хъытыу,Netz
336,Haken::N,хьажтӏаркъу,Haken
337,Griff::N,къопс,Griff
338,Schloss::N,ӏункӏы́бз,Schloss
339,Bild::N,сурэ́т,Bild
340,Puppe::N,нысхъа́п,Puppe
341,Beutel::N,дзыо́,Beutel
342,Tasche::N,ӏэлъмэ́къ,Tasche
343,Eimer::N,щалъ,Eimer
344,Deckel::N,шъхьэ,Deckel
345,Geschirr::N,хьакъу-шыкъу,Geschirr
346,Sack::N,дзыо́,Sack
347,Tasse::N,чашк,Tasse
348,Topf::N,кастрюль,Topf
349,Kessel::N,шыуа́н,Kessel
350,Essen::N,шхэн,Essen
351,Nahrung::N,шхэн,Nahrung
352,Speise::N,шхыныгъу,Speise
353,Fleisch::N,лы,Fleisch
354,Getreide::N,лэжьыгъацэ́,Getreide
355,Brei::N,пӏастэ́,Brei
356,Brot::N,хьалыгъу,Brot
357,Scheibe::N,такъы́р,Scheibe
358,Fett::N,дагъэ́,Fett
359,Butter::N,тхъу,Butter
360,Öl::N,тхъу,Öl
361,Salz::N,щыгъу,Salz
362,Suppe::N,хьантхъупс,Suppe
363,Honig::N,шъоу́,Honig
364,Milch::N,щэ,Milch
365,Tee::N,щай,Tee
366,Leder::N,кӏы́шъу,Leder
367,Wolle::N,цы,Wolle
368,Stoff::N,шэкӏы,Stoff
369,Nadel::N,бгъэ́хаӏу,Nadel
370,Faden::N,ӏуда́н,Faden
371,Knopf::N,занкӏэу,Knopf
372,Knoten::N,зэкъодзапӏэ,Knoten
373,Farbe::N,краск,Farbe
374,Kleidung::N,щыгъы́ны,Kleidung
375,Hemd::N,джан,Hemd
376,Kragen::N,пшъапӏ,Kragen
377,Ärmel::N,гъуап,Ärmel
378,Hose::N,гъончэ́дж,Hose
379,Gürtel::N,бгыры́пх,Gürtel
380,Mütze::N,паӏо́,Mütze
381,Stiefel::N,щазым,Stiefel
382,Ring::N,ӏэлъы́н,Ring
383,Band::N,лент,Band
384,Kamm::N,мажь,Kamm
385,Spiegel::N,гъундж,Spiegel
386,Riemen::N,бгыры́пх,Riemen
387,Schnur::N,кӏапсэ́,Schnur
388,Leine::N,шъокӏапс,Leine
389,Decke::N,чыхӏэн,Decke
390,Kissen::N,шъхьант,Kissen
391,Tuch::N,шъхьэтехъу,Tuch
392,Handtuch::N,ӏаплъэкӏ,Handtuch
393,Kraft::N,къары́у,Kraft
394,Kraft::N,кӏуачӏэ́,Kraft
395,Stärke::N,кӏуачӏэ́,Stärke
396,Gesundheit::N,псауныгъ,Gesundheit
397,Krankheit::N,узы,Krankheit
398,Schmerz::N,узы,Schmerz
399,Wunde::N,уӏагъэ́,Wunde
400,Fieber::N,техьа́гъу,Fieber
401,Fieber::N,жъоку,Fieber
402,Arznei::N,ӏэзэ́гъу,Arznei
403,Brücke::N,лъэмы́д ж,Brücke
404,Brunnen::N,псынэ́,Brunnen
405,Weide::N,хъупӏэ́,Weide
406,Pfad::N,лъагъу,Pfad
407,Weg::N,гъо́гу,Weg
408,Straße::N,гъо́гу,Straße
409,Dorf::N,къуа́дж,Dorf
410,Stadt::N,къалэ́,Stadt
411,Brief::N,тхэн,Brief
412,Brief::N,письмэ,Brief
413,Buch::N,тхы́лъ,Buch
414,Buchstabe::N,хьары́ф,Buchstabe
415,Zeitung::N,газет,Zeitung
416,Leben::N,гъашӏэ́,Leben
417,Tod::N,аджал,Tod
418,Grab::N,бэны́,Grab
419,Kirche::N,чылы́с,Kirche
420,Sünde::N,гунахь,Sünde
421,Gott::N,тхьэ,Gott
422,Arbeiter::N,рабоч,Arbeiter
423,Chef::N,гъэр,Chef
424,Meister::N,ӏэпыӏа́с,Meister
425,Lehrer::N,кӏэлэегъа́дж,Lehrer
