,Concept_ID,he,be
0,Auge::N,עין,вока
1,Ohr::N,אזן,вуха
2,Nase::N,אף,нос
3,Nase::N,חטם,нос
4,Mund::N,פה,рот
5,Zahn::N,שן,зуб
6,Zunge::N,לשון,язык
7,Lippe::N,שפה,губа
8,Wange::N,לחי,шчака
9,Gesicht::N,פנים,твар
10,Stirn::N,מצח,лоб
11,Haar::N,שערה,волас
12,Haar::N,שערה,валасы
13,Schnurrbart::N,שפם,вус
14,Schnurrbart::N,שפם,вусы
15,Bart::N,זקן,барада
16,Kinn::N,סנטר,падбародак
17,Kiefer[Anatomie]::N,לסת,сківіца
18,Kehle::N,גרון,горла
19,Hals::N,צואר,шыя
20,Genick::N,ערף,патыліца
21,Kopf::N,ראש,галава
22,Rücken::N,גב,спіна
23,Bauch::N,בטן,жывот
24,Nabel::N,טבור,пупок
25,Busen::N,שד,грудзі
26,Brust::N,חזה,грудзі
27,Schulter::N,כתף,плячо
28,Arm::N,זרוע,рука
29,Ellenbogen::N,מרפק,локаць
30,Hand::N,יד,кісць
31,Handfläche::N,כף יד,далонь
32,Finger::N,אצבע,палец
33,Fingernagel::N,צפרן,ногаць
34,Nagel[Anatomie]::N,צפרן,ногаць
35,Zeh::N,אצבע,палец
36,Fuß::N,רגל,нага
37,Ferse::N,עקב,пята
38,Ferse::N,עקב,пятка
39,Knie::N,ברך,калена
40,Oberschenkel::N,ירך,бядро
41,Oberschenkel::N,ירך,сцягно
42,Bein::N,רגל,нага
43,Körper::N,גוף,цела
44,Haut::N,עור,скура
45,Blut::N,דם,кроў
46,Ader::N,וריד,вена
47,Ader::N,וריד,сасуд
48,Sehne::N,גיד,жыла
49,Sehne::N,גיד,цеціва
50,Sehne::N,גיד,сухажылле
51,Knochen::N,עצם,косць
52,Gehirn::N,מוח,мозг
53,Herz::N,לב,сэрца
54,Magen::N,קבה,страўнік
55,Leber::N,כבד,печань
56,Atem::N,נשימה,дыханне
57,Hunger::N,רעב,голад
58,Träne::N,דמעה,сляза
59,Geschmack::N,טעם,смак
60,Geruch::N,ריח,пах
