,Concept_ID,mrj,myv
0,Auge::N,сӹнзӓ,сельме
1,Ohr::N,пӹлӹш,пиле
2,Nase::N,нер,судо
3,Mund::N,ышма,курго
4,Zahn::N,пӱ,пей
5,Zunge::N,йӹлмӹ,кель
6,Lippe::N,тӹрвӹ,турва
7,Wange::N,шӹргӹ,чамабока
8,Wange::N,шӹргӹ,чамаумарь
9,Gesicht::N,лицӓ,чама
10,Stirn::N,лепкӓ,коня
11,Haar::N,ӱп,черь
12,Schnurrbart::N,öрш,ус
13,Schnurrbart::N,öрш,муюк
14,Bart::N,пандаш,сакал
15,Kinn::N,онгылаш,уло
16,Kiefer[Anatomie]::N,пӱ арата,пейпакар
17,Kiefer[Anatomie]::N,пӱ арата,пейловажа
18,Kehle::N,логер,кирьгапарь
19,Hals::N,шӱ,кирьга
20,Genick::N,ланга,човонь
21,Kopf::N,вуй,пря
22,Rücken::N,туп,копорь
23,Bauch::N,мӹшкӹр,пеке
24,Nabel::N,кӹлӹмдӹ,почо
25,Busen::N,цӹзӹ,поте
26,Brust::N,мел,меште
27,Schulter::N,ӹнгӹжӓ,лавтов
28,Arm::N,кид,кедь
29,Ellenbogen::N,кӹнервуй,кенерепакарь
30,Hand::N,лапа,кедь
31,Handfläche::N,кид лапа,кедькуншка
32,Handfläche::N,кид лапа,кедьлапушка
33,Finger::N,парня,сур
34,Fingernagel::N,кӹч,кенже
35,Nagel[Anatomie]::N,кӹч,кенже
36,Zeh::N,парня,пильге сур
37,Fuß::N,ял лапа,пильге
38,Ferse::N,ялгавал,кочкаря
39,Ferse::N,ял кавал,кочкаря
40,Knie::N,пылвуй,эле
41,Knie::N,пылвуй,эзне
42,Knie::N,пылвуй,кумажа
43,Oberschenkel::N,ӓрдӹ,качо
44,Bein::N,ял,пильге
45,Körper::N,монгыр,рунго
46,Haut::N,кавашты,киське
47,Blut::N,вӹр,верь
48,Ader::N,вӹршӓр,сан
49,Sehne::N,кукшышӱн,коське сан
50,Knochen::N,лу,пакарь
51,Gehirn::N,вим,удем
52,Herz::N,шӱм,седей
53,Magen::N,шӱм,пеке
54,Leber::N,мокш,максо
55,Atem::N,шӱлӹш,лексема
56,Atem::N,шӱлӹш,оймень таргсема
57,Hunger::N,шужымаш,вачочи
58,Träne::N,сӹнзӓвӹд,селведь
59,Geschmack::N,тот,тансть
60,Geruch::N,пыш,чине
61,Schlaf::N,ом,удома
62,Traum::N,ом,он
63,Himmel::N,пӹлгом,менель
64,Sonne::N,кечӹ,чи
65,Mond::N,тӹлзӹ,ков
66,Stern::N,шӹдӹр,теште
67,Luft::N,юж,кошт
68,Luft::N,воздух,кошт
69,Wind::N,мардеж,варма
70,Welle::N,ко,толкун
71,Welle::N,коэ,толкун
72,Wasser::N,вӹд,ведь
73,Stein::N,кӱ,кев
74,Boden::N,рок,мода
75,Erde::N,свет,мастор
76,Staub::N,пырак,пуль
77,Rauch::N,шӹкш,качамо
78,Funke::N,ип,сятко
79,Funke::N,тылип,сятко
80,Feuer::N,тыл,тол
81,Licht::N,соты,валдо
82,Licht::N,валгыды,валдо
83,Schatten::N,ӹмӹл,сулей
84,Schatten::N,ӹмӹл,сулейкс
85,Wetter::N,игечӹ,ушо
86,Nebel::N,тӹтӹрӓ,сув
87,Wolke::N,пӹл,пель
88,Regen::N,юр,пиземс
89,Schnee::N,лым,лов
90,Eis::N,и,эй
91,Frost::N,ӱштӹ,кельме
92,Kälte::N,ӱштӹ,якшамо
93,Hitze::N,шокшы,пси
94,Raureif::N,пöрш,лекш
95,Regenbogen::N,шанавӹл,пурьгинечирьке
96,Regenbogen::N,шанавӹл,пурьгинеёнкс
97,Donner::N,хӹдӹртӹш,пурьгине
98,Strömung::N,йогы,чудема
99,Strömung::N,йогы,чудевкс
100,Tropfen::N,капльы,петнявкс
101,Tropfen::N,капльык,петнявкс
102,Schaum::N,шонг,чов
103,Schmutz::N,лявӹрӓ,рудаз
104,See::N,йӓр,эрьке
105,Sumpf::N,лӱкӹ,чей
106,Moor::N,куп,чей
107,Wiese::N,алык,луга
108,Wald::N,шӹргӹ,вирь
109,Hügel::N,пӱгӹрикӓ,губорь
110,Hügel::N,пӱгӹрикӓ,пандыне
111,Anhöhe::N,кӱкшикӓ,губорь
112,Anhöhe::N,кӱкшикӓ,пандыне
113,Berg::N,кырык,пандо
114,Gipfel::N,неркӓ,пря
115,Höhle::N,ы́раж,пещера
116,Abhang::N,полом,пандочама
117,Quelle::N,вӹдсӹнзӓ,ушодкс
118,Bach::N,ӓнгӹр,чудикерькс
119,Fluss::N,вӹд,лей
120,Ufer::N,сир,чире
121,Küste::N,сир,лейчире
122,Festland::N,мӱлӓндӹ,мода
123,Meer::N,тангыж,моря
124,Bucht::N,вӹдъял,усия
125,Insel::N,острок,усия
126,Blume::N,пеледӹш,цеця
127,Gras::N,шуды,тикше
128,Wurzel::N,важ,юр
129,Wurzel::N,важ,ундокс
130,Baum::N,пушӓнгӹ,чувто
131,Stamm::N,пушӓнгӹ тӹнг,рунго
