,Concept_ID,ro,mdf
0,Auge::N,ochi,сельме
1,Ohr::N,ureche,пиле
2,Nase::N,nas,шалхка
3,Mund::N,gură,курга
4,Zahn::N,dinte,пей
5,Zunge::N,limbă,кяль
6,Lippe::N,buză,търва́
7,Wange::N,bucă,щёка
8,Wange::N,obraz,щёка
9,Gesicht::N,față,шама
10,Gesicht::N,figură,шама
11,Stirn::N,frunte,коня
12,Haar::N,păr,шя́ярь
13,Schnurrbart::N,mustață,уса́
14,Bart::N,barbă,сакал
15,Kinn::N,bărbie,ула
16,Kiefer[Anatomie]::N,falcă,саласка
17,Kehle::N,beregată,кълдома
18,Kehle::N,beregată,кърга́парь
19,Hals::N,gât,сялдаз
20,Genick::N,ceafă,шовонь
21,Kopf::N,cap,пря
22,Rücken::N,dos,копорь
23,Rücken::N,spate,копорь
24,Rücken::N,spinare,копорь
25,Bauch::N,burtă,пеке
26,Bauch::N,pântece,пеке
27,Nabel::N,buric,по́кон
28,Busen::N,sân,потя
29,Brust::N,piept,мяште
30,Schulter::N,umăr,лафту
31,Schulter::N,spate,лафту
32,Arm::N,braț,кядь
33,Ellenbogen::N,cot,кенерьба́карь
34,Hand::N,mână,кядь
35,Handfläche::N,palmă,кядьлапш
36,Finger::N,deget,сур
37,Fingernagel::N,unghie,кенже
38,Nagel[Anatomie]::N,unghie,кенже
39,Zeh::N,deget de la picior,пильгосу́р
40,Fuß::N,picior,пильге
41,Fuß::N,picior,пильгелапа
42,Ferse::N,călcâi,кочкяря
43,Knie::N,genunchi,эль
44,Knie::N,genunchi,пълма́нжа
45,Oberschenkel::N,coapsă,пильгепукша
46,Bein::N,picior,пильге
47,Körper::N,corp,ро́нга
48,Körper::N,corp,по́нда
49,Haut::N,piele,киське
50,Blut::N,sânge,вер
51,Ader::N,vână,сан
52,Ader::N,vână,верза́н
53,Ader::N,arteră,сан
54,Ader::N,arteră,верза́н
55,Sehne::N,tendon,коське сан
56,Knochen::N,os,пакарь
57,Gehirn::N,creier,уй
58,Herz::N,inimă,седи
59,Magen::N,stomac,коткърдазь
60,Leber::N,ficat,макса
61,Atem::N,răsuflare,лекома
62,Atem::N,răsuflare,ваймонь тарксема
63,Atem::N,respirație,лекома
64,Atem::N,respirație,ваймонь тарксема
65,Hunger::N,foame,вачеши
66,Träne::N,lacrimă,сельмове́дь
67,Geschmack::N,gust,таньф
68,Geruch::N,miros,шине
69,Schlaf::N,somn,удома́
70,Traum::N,vis,он
71,Himmel::N,cer,менель
72,Sonne::N,soare,ши
73,Mond::N,lună,ков
74,Stern::N,stea,тяште
75,Luft::N,aer,кожф
76,Wind::N,vânt,варма
77,Welle::N,val,тавла
78,Welle::N,undă,тавла
79,Wasser::N,apă,ведь
80,Stein::N,piatră,кев
81,Boden::N,sol,мода
82,Boden::N,sol,потмакс
83,Boden::N,pământ,мода
84,Boden::N,pământ,потмакс
85,Erde::N,pământ,мода
86,Erde::N,pământ,мастор
87,Staub::N,praf,пуль
88,Rauch::N,fum,качам
89,Funke::N,scânteie,ця́тка
90,Feuer::N,foc,тол
91,Licht::N,lumină,ва́лда
92,Schatten::N,umbră,цильф
93,Wetter::N,timp,уша
94,Wetter::N,vreme,уша
95,Nebel::N,ceață,тума́н
96,Nebel::N,negură,тума́н
97,Wolke::N,nor,ковол
98,Regen::N,ploaie,пизем
99,Schnee::N,zăpadă,лов
100,Eis::N,gheață,эй
101,Frost::N,ger,ке́льме
102,Kälte::N,frig,якшама
103,Hitze::N,arșiță,пси
104,Hitze::N,căldură,пси
105,Raureif::N,chiciură,леш
106,Regenbogen::N,curcubeu,а́тямъёнга
107,Donner::N,tunet,атям
108,Strömung::N,curent,шудема́
109,Tropfen::N,picătură,путькс
110,Tropfen::N,picătură,пътняфкс
111,Schaum::N,spumă,шов
112,Schmutz::N,murdărie,ърда́з
113,See::N,lac,эрьхке
114,Sumpf::N,mlaștină,шяй
115,Moor::N,bărăgan,шяй
116,Wiese::N,fânaț,луга
117,Wiese::N,livadă,луга
118,Wald::N,codru,вирь
119,Wald::N,pădure,вирь
120,Hügel::N,deal,губо́р
121,Hügel::N,deal,пандоня
122,Hügel::N,movilă,губо́р
123,Hügel::N,movilă,пандоня
124,Anhöhe::N,deal,губо́р
125,Anhöhe::N,ridicătură,губо́р
126,Berg::N,munte,панда
127,Gipfel::N,pisc,пря
128,Höhle::N,peșteră,у́нда
129,Abhang::N,pantă,па́нда ша́ма
130,Abhang::N,versant,па́нда ша́ма
131,Quelle::N,izvor,эшиня
132,Bach::N,gârlă,шудерькс
133,Fluss::N,râu,ляй
134,Fluss::N,fluviu,ляй
135,Ufer::N,mal,търва́
136,Ufer::N,țărm,търва́
