,Concept_ID,ka,az
0,Auge::N,თვალი,göz
1,Ohr::N,ყური,qulaq
2,Nase::N,ცხვირი,burun
3,Mund::N,პირი,ağız
4,Zahn::N,კბილი,diş
5,Zunge::N,ენა,dil
6,Lippe::N,ბაგე,dodaq
7,Wange::N,ლოყა,yanaq
8,Gesicht::N,სახე,üz
9,Stirn::N,შუბლი,alın
10,Haar::N,თმა,saç
11,Schnurrbart::N,ულვაში,bığ
12,Bart::N,წვერი,saqqal
13,Kinn::N,ნიკაპი,çənə
14,Kiefer[Anatomie]::N,ყბა,çənə
15,Kehle::N,ყელი,boğaz
16,Hals::N,ყელი,boyun
17,Hals::N,კისერი,boyun
18,Genick::N,კეფა,ənsə
19,Kopf::N,თავი,baş
20,Rücken::N,ზურგი,bel
21,Bauch::N,მუცელი,qarın
22,Nabel::N,ჭიპი,göbək
23,Busen::N,ძუძუ,məmə
24,Brust::N,მკერდი,döş
25,Schulter::N,მხარი,çiyin
26,Schulter::N,მკლავი,çiyin
27,Arm::N,ხელი,qol
28,Ellenbogen::N,იდაყვი,dirsək
29,Hand::N,ხელი,əl
30,Handfläche::N,ნები,ovuc
31,Handfläche::N,ხელისგული,ovuc
32,Finger::N,თითი,barmaq
33,Fingernagel::N,ფრჩხილი,barmaq dırnağı
34,Nagel[Anatomie]::N,ფრჩხილი,dırnak
35,Zeh::N,ფეხის თითი,ayaq barmağı
36,Fuß::N,ტერფი,ayaq
37,Fuß::N,ფეხისგული,ayaq
38,Ferse::N,ქუსლი,daban
39,Knie::N,მუხლი,diz
40,Oberschenkel::N,ბარძაყი,bud
41,Bein::N,ფეხი,qıç
42,Körper::N,ტანი,əndam
43,Körper::N,სხეული,əndam
44,Haut::N,კანი,dəri
45,Blut::N,სისხლი,qan
46,Ader::N,ძარღვი,damar
47,Sehne::N,მყესი,vətər
48,Knochen::N,ძვალი,sümük
49,Gehirn::N,ტვინი,beyin
50,Herz::N,გული,ürək
51,Magen::N,კუჭი,mədə
52,Leber::N,ღვიძლი,qara ciyər
53,Atem::N,სუნთქვა,nəfəs
54,Hunger::N,შიმშილი,aclıq
55,Träne::N,ცრემლი,göz yaşı
56,Geschmack::N,გემო,tam
57,Geschmack::N,გემო,ləzzət
58,Geruch::N,სუნი,qoxu
59,Schlaf::N,ძილი,yuxu
60,Traum::N,სიზმარი,röya
61,Himmel::N,ცა,göy
62,Himmel::N,ცა,səma
63,Sonne::N,მზე,günəş
64,Mond::N,მთვარე,ay
65,Stern::N,ვარსკვლავი,ulduz
66,Luft::N,ჰაერი,hava
67,Wind::N,ქარი,yel
68,Wind::N,ქარი,külək
69,Welle::N,ტალღა,dalğa
70,Wasser::N,წყალი,su
71,Stein::N,ქვა,daş
72,Boden::N,მიწა,yer
73,Boden::N,მიწა,zəmin
74,Erde::N,ნიადაგი,yer torpaq
75,Staub::N,მტვერი,toz
76,Rauch::N,ბოლი,tüstü
77,Rauch::N,კვამლი,tüstü
78,Funke::N,ნაკვესი,qığılcım
79,Feuer::N,ცეცხლი,od
80,Licht::N,შუქი,işıq
81,Licht::N,სინათლე,işıq
82,Schatten::N,ლანდი,kölgə
83,Schatten::N,ჩრდილი,kölgə
84,Wetter::N,ამინდი,hava
85,Nebel::N,ნისლი,duman
86,Wolke::N,ღრუბელი,bulud
87,Regen::N,წვიმა,yağış
88,Regen::N,წვიმა,yağmur
89,Schnee::N,თოვლი,qar
90,Eis::N,თოში,buz
91,Eis::N,ყინული,buz
92,Frost::N,ყინვა,ayaz
93,Kälte::N,სიცივე,soyuq
94,Hitze::N,სიცხე,coşğunluq
95,Raureif::N,ჭირხლი,qırov
96,Raureif::N,თრთვილი,qırov
97,Regenbogen::N,ცისარტყელა,göy qurşağı
98,Donner::N,ქუხილი,göy gurultusu
99,Strömung::N,დინება,axın
