,Concept_ID,tt,eu
0,Auge::N,күз,begi
1,Ohr::N,колак,belarri
2,Nase::N,борын,sudur
3,Mund::N,авыз,aho
4,Mund::N,тамак,aho
5,Zahn::N,теш,hortz
6,Zunge::N,тел,mihi
7,Lippe::N,ирен,ezpain
8,Wange::N,яңак,masail
9,Gesicht::N,йөз,aurpegi
10,Stirn::N,маңгай,bekoki
11,Haar::N,чәч,ile
12,Haar::N,чәч,bilo
13,Schnurrbart::N,мыек,bibote
14,Schnurrbart::N,мыек,sudurpeko
15,Bart::N,сакал,bizar
16,Kinn::N,ияк,kokots
17,Kiefer[Anatomie]::N,казналык,masailezur
18,Kehle::N,тамак,eztarri
19,Hals::N,бугаз,sama
20,Genick::N,җилкә,garondo
21,Kopf::N,баш,buru
22,Rücken::N,сырт,bizkar
23,Bauch::N,корсак,sabel
24,Nabel::N,кендек,zilbor
25,Busen::N,түш,titi
26,Busen::N,түш,ugatz
27,Brust::N,имчәк,bular
28,Brust::N,күкрәк,bular
29,Schulter::N,иңбаш,besaburu
30,Schulter::N,кулбаш,besaburu
31,Arm::N,кул,beso
32,Ellenbogen::N,терсәк,ukondo
33,Hand::N,кул,esku
34,Handfläche::N,уч,ahur
35,Finger::N,бармак,hatz
36,Fingernagel::N,тырнак,azazkal
37,Nagel[Anatomie]::N,тырнак,azazkal
38,Zeh::N,бармак,behatz
39,Fuß::N,табан,oin
40,Ferse::N,үкчә,orpo
41,Ferse::N,үкчә,oinburu
42,Knie::N,тез,belaun
43,Oberschenkel::N,бот,izter
44,Bein::N,аяк,zango
45,Körper::N,тән,soin
46,Körper::N,җисем,soin
47,Haut::N,тире,azal
48,Blut::N,кан,odol
49,Ader::N,тамыр,zain
50,Sehne::N,сеңер,gihar-zain
51,Knochen::N,сөяк,hezur
52,Gehirn::N,ми,garun
53,Gehirn::N,ми,burmuin
54,Herz::N,йөрәк,bihotz
55,Magen::N,ашказаны,urdail
56,Leber::N,бавыр,gibel
57,Atem::N,сулыш,hats
58,Atem::N,сулыш,arnasa
59,Hunger::N,ачлык,gose
60,Träne::N,яшь,malko
61,Geschmack::N,тәм,dasta
62,Geschmack::N,зәвык,dasta
63,Geruch::N,ис,usain
64,Schlaf::N,йокы,lo
65,Traum::N,төш,amets
66,Himmel::N,күк,zeru
67,Sonne::N,кояш,eguzki
68,Mond::N,ай,ilargi
69,Stern::N,йолдыз,izar
70,Luft::N,һава,aire
71,Wind::N,җил,haize
72,Welle::N,дулкын,uhin
73,Welle::N,дулкын,olatu
74,Wasser::N,су,ur
75,Stein::N,таш,harri
76,Boden::N,туфрак,lur
77,Boden::N,туфрак,zoru
78,Erde::N,җир,lur
79,Staub::N,тузан,hauts
80,Rauch::N,төтен,ke
81,Funke::N,очкын,zirta
82,Funke::N,очкын,txinparta
83,Feuer::N,ут,su
84,Licht::N,якты,argi
85,Schatten::N,күләгә,itzal
86,Schatten::N,күләгә,geriza
87,Wetter::N,һава,eguraldi
88,Nebel::N,томан,laino
89,Wolke::N,болыт,hodei
90,Regen::N,яңгыр,euri
91,Schnee::N,кар,elur
92,Eis::N,боз,horma
93,Frost::N,суык,izotzaldi
94,Frost::N,салкын,izotzaldi
95,Kälte::N,суык,hotz
96,Kälte::N,салкын,hotz
97,Hitze::N,эсселек,bero
98,Raureif::N,бәс,antzigar
99,Raureif::N,сыкы,antzigar
100,Regenbogen::N,салават күпере,ostadar
101,Regenbogen::N,салават күпере,ortzadar
102,Donner::N,күкрәү,ostots
103,Donner::N,күкрәү,ihurtzuri
104,Strömung::N,агыш'агым,laster
105,Tropfen::N,тамчы,xorta
106,Schaum::N,күбек,bits
107,Schmutz::N,пычрак,lohi
108,Schmutz::N,пычрак,zikin
109,See::N,күл,laku
110,See::N,күл,aintzira
111,Sumpf::N,саз,zingira
112,Moor::N,торфлык,zohikaztegi
113,Wiese::N,болын,larre
114,Wiese::N,болын,belardi
115,Wald::N,урман,baso
116,Wald::N,урман,oihan
117,Hügel::N,калку,muino
118,Hügel::N,калку,pentoka
119,Anhöhe::N,үр,garai
120,Anhöhe::N,үр,goragune
121,Berg::N,тау,mendi
122,Gipfel::N,оч,gain
123,Gipfel::N,оч,tontor
124,Höhle::N,мәгарә,kobazulo
125,Abhang::N,кабырга,aldapa
126,Quelle::N,чишмә,iturri
127,Quelle::N,чишмә,iturbegi
128,Bach::N,елга,lats
129,Bach::N,елга,erreka
130,Fluss::N,дәрья,ibai
131,Fluss::N,дәрья,uhaitz
132,Ufer::N,су кырые,bazter
133,Küste::N,яр буе,itsasalde
134,Festland::N,коры җир,lehor
135,Meer::N,диңгез,itsaso
136,Bucht::N,бухта,golko
137,Bucht::N,култык,golko
138,Insel::N,атау,irla
139,Insel::N,атау,uharte
140,Insel::N,утрау,irla
141,Insel::N,утрау,uharte
142,Blume::N,чәчкә,lili
143,Gras::N,үлән,belar
144,Wurzel::N,тамыр,zuztar
145,Wurzel::N,тамыр,sustrai
146,Baum::N,агач,zuhaitz
147,Stamm::N,кәүсә,enbor
148,Rinde::N,кабык,azal
149,Ast::N,ботак,adar
150,Zweig::N,ботак,abar
151,Zweig::N,тармак,abar
152,Blatt::N,яфрак,hosto
153,Birke::N,каен,urki
154,Kiefer[Baum]::N,нарат,ler
155,Weide[Baum]::N,тал,zume
156,Weide[Baum]::N,тал,sahats
157,Tanne::N,чыршы,izei
158,Horn::N,мөгез,adar
159,Feder::N,йон,luma
160,Feder::N,йон,hegaki
161,Fell::N,тире,ile
162,Fell::N,тире,larru
163,Flügel::N,канат,hego
164,Klaue::N,тырнак,atzapar
165,Kralle::N,тырнак,erpe
166,Kralle::N,тырнак,atzapar
167,Schwanz::N,койрык,isats
168,Schwanz::N,койрык,buztan
169,Ei::N,күкәй,arrautza
170,Ei::N,йомырка,arrautza
171,Nest::N,оя,habia
172,Bau::N,өн,ohantze
173,Tier::N,хайван,abere
174,Tier::N,хайван,piztia
175,Herde::N,көтү,saldo
176,Herde::N,көтү,abere talde
177,Kuh::N,сыер,behi
178,Bulle::N,үгез,zezen
179,Pferd::N,ат,zaldi
180,Schaf::N,сарык,ardi
181,Schwein::N,дуңгыз,urde
182,Schwein::N,дуңгыз,txerri
183,Hund::N,эт,txakur
184,Katze::N,песи,katu
185,Bär::N,аю,hartz
186,Eichhörnchen::N,тиен,urtxintxa
187,Elch::N,поши,altze
188,Fuchs::N,төлке,azeri
189,Hase::N,куян,erbi
190,Maus::N,тычкан,sagu
191,Wolf::N,бүре,otso
192,Vogel::N,кош,txori
193,Vogel::N,кош,hegazti
194,Schwarm::N,көтү,aldra
195,Huhn::N,тавык,oilo
196,Hahn::N,әтәч,oilar
197,Gans::N,каз,antzara
198,Adler::N,каракош,arrano
199,Ente::N,үрдәк,ahate
200,Eule::N,ябалак,hontza
201,Kranich::N,торна,kurrilo
202,Krähe::N,карга,bele
203,Kuckuck::N,күке,kuku
204,Kuckuck::N,кәккүк,kuku
205,Schwan::N,аккош,beltxarga
206,Fisch::N,балык,arrain
207,Barsch::N,алабуга,perka
208,Hecht::N,чуртан,lutxo
209,Schlange[Tier]::N,елан,suge
210,Wurm::N,корт,har
211,Spinne::N,үрмәкүч,armiarma
212,Ameise::N,кырмыска,inurri
213,Laus::N,бет,zorri
214,Mücke::N,черки,eltxo
215,Mücke::N,озынборын,eltxo
216,Fliege::N,чебен,euli
217,Schmetterling::N,күбәләк,pinpirin
218,Schmetterling::N,күбәләк,tximeleta
219,Beere::N,җиләк,baia
220,Apfel::N,алма,sagar
221,Pilz::N,гөмбә,onddo
222,Pilz::N,гөмбә,perretxiko
223,Zwiebel::N,суган,tipula
224,Zwiebel::N,суганбаш,tipula
225,Saat::N,орлык,haziak
226,Korn::N,иген,ale
227,Korn::N,иген,pikor
228,Korn::N,орлык,ale
229,Korn::N,орлык,pikor
230,Heu::N,печән,belar ondu
231,Schale::N,кабык,azal
232,Grube::N,баз,hobi
233,Grube::N,чокыр,hobi
234,Falle::N,тозак,harrapagailu
235,Falle::N,капкын,harrapagailu
236,Schlinge::N,элмәк,bilur
237,Schlinge::N,элмәк,xedera
238,Spur::N,эз,lorratz
239,Asche::N,көл,errauts
240,Dreck::N,пычрак,satsukeria
241,Eisen::N,тимер,burdina
242,Gold::N,алтын,urre
243,Gold::N,алтын,urregorri
244,Silber::N,көмеш,zilar
245,Silber::N,көмеш,urrezuri
246,Kohle::N,күмер,ikatz
247,Glas::N,пыяла,beira
248,Lehm::N,балчык,buztin
249,Sand::N,ком,harea
250,Sand::N,ком,hondar
251,Mensch::N,адәм,gizaki
252,Mensch::N,инсан,gizaki
253,Mann::N,ир,gizon
254,Frau::N,хатын,andere
255,Frau::N,хатын,emakume
256,Kind::N,бала,haur
257,Junge::N,малай,mutil
258,Mädchen::N,кыз,neska
259,Familie::N,гаилә,sendi
260,Familie::N,гаилә,familia
261,Großvater::N,бабай,aitona
262,Großvater::N,бабай,aitatxi
263,Großmutter::N,әби,amona
264,Großmutter::N,әби,amatxi
265,Eltern::N,ата-ана,gurasoak
266,Vater::N,ата,aita
267,Mutter::N,ана,ama
268,Sohn::N,ул,seme
269,Tochter::N,кыз,alaba
270,Bruder::N,кардәш,neba
271,Bruder::N,кардәш,anaia
272,Schwester::N,апа,ahizpa
273,Schwester::N,сеңел,ahizpa
274,Onkel::N,дәдә,osaba
275,Onkel::N,дәдәй,osaba
276,Tante::N,түти,izeba
277,Tante::N,тәтәй,izeba
278,Ehemann::N,ир,senar
279,Ehefrau::N,хатын,emazte
280,Freude::N,сөенеч,poz
281,Freude::N,сөенеч,pozkari
282,Gelächter::N,көлү,barre
283,Gelächter::N,көлү,karkara
284,Gelächter::N,көлеш,barre
285,Gelächter::N,көлеш,karkara
286,Glück::N,бәхет,zori
287,Kummer::N,хәсрәт,xangrin
288,Kummer::N,хәсрәт,atsekabe
289,Wunsch::N,теләк,nahi
290,Wunsch::N,теләк,nahikunde
291,Lust::N,теләк,gogo
292,Lust::N,теләү,gogo
293,Geist::N,рух,gogo
294,Gedanke::N,уй,gogoeta
295,Gedanke::N,фикер,gogoeta
296,Gedächtnis::N,хәтер,oroimen
297,Gedächtnis::N,хәтер,gogoramen
298,Verstand::N,акыл,adimen
299,Verstand::N,акыл,ulermen
300,Sinn::N,мәгънә,zentzu
301,Grund::N,сәбәп,zergati
302,Wahrheit::N,хак,egia
303,Gespräch::N,әңгәмә,hizketa
304,Gespräch::N,әңгәмә,elkarrizketa
305,Märchen::N,әкият,ipuin
306,Erzählung::N,хикәя,edesti
307,Erzählung::N,хикәя,kontakizun
308,Nachricht::N,хәбәр,albiste
309,Neuigkeit::N,яңалык,berri
310,Name::N,исем,izen
311,Rätsel::N,табышмак,asmakizun
312,Rede::N,нотык,hitzaldi
313,Rede::N,нотык,mintzaldi
