,Concept_ID,mhr,el
0,Auge::N,шинча́,μάτι
1,Auge::N,шинча́,οφθαλμός
2,Ohr::N,пы́лыш,αυτί
3,Nase::N,нер,μύτη
4,Mund::N,умша́,στόμα
5,Zahn::N,пӱй,δόντι
6,Zunge::N,йы́лме,γλώσσα
7,Lippe::N,тӱ́рвӧ,χείλος
8,Wange::N,шӱ́ргӧ,παρειά
9,Wange::N,шӱ́ргӧ,μάγουλο
10,Gesicht::N,чури́й,πρόσωπο
11,Stirn::N,саҥга́,μέτωπο
12,Haar::N,ӱп,μαλλιά
13,Schnurrbart::N,ӧ́рыш,μουστάκι
14,Bart::N,понда́ш,γένια
15,Kinn::N,оҥыла́ш,πιγούνι
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,σαγόνι
17,Kiefer[Anatomie]::N,пӱйората́,σαγόνι
18,Kehle::N,лога́р,λαρύγγι
19,Hals::N,шӱй,λαιμός
20,Genick::N,шӱйло́дыш,σβέρκος
21,Kopf::N,вуй,κεφάλι
22,Rücken::N,туп,ράχη
23,Bauch::N,мӱ́шкыр,κοιλιά
24,Nabel::N,кы́лымде,αφαλός
25,Busen::N,чы́зе,στήθος
26,Brust::N,оҥ,στήθος
27,Schulter::N,ва́че,ώμος
28,Arm::N,кид,χέρι
29,Arm::N,кид,μπράτςο
30,Ellenbogen::N,кынерву́й,αγκώνας
31,Hand::N,кид,χέρι
32,Hand::N,копа́,χέρι
33,Handfläche::N,со́во,παλάμη
34,Finger::N,парня́,δάχτυλο
35,Fingernagel::N,кидкӱ́ч,νύχι
36,Fingernagel::N,парнягӱ́ч,νύχι
37,Nagel[Anatomie]::N,кӱч,νύχι
38,Zeh::N,йолварня́,δάχτυλο του ποδιού
39,Fuß::N,йол,πόδι
40,Fuß::N,йолкопа́,πόδι
41,Ferse::N,тага́н,φτέρνα
42,Knie::N,пулву́й,γόνατο
43,Oberschenkel::N,э́рде,μηρός
44,Bein::N,йол,πόδι
45,Körper::N,кап,σώμα
46,Körper::N,кап,κορμί
47,Haut::N,кова́ште,πετσί
48,Blut::N,вӱр,αίμα
49,Ader::N,шӧн,φλέβα
50,Sehne::N,шӧн,νεύρο
51,Sehne::N,шӧн,τένοντας
52,Sehne::N,кӱсе́н,νεύρο
53,Sehne::N,кӱсе́н,τένοντας
54,Knochen::N,лу,οστό
55,Knochen::N,лу,κόκκαλο
56,Gehirn::N,вем,μυαλό
57,Gehirn::N,вем,εγκέφαλος
58,Gehirn::N,вуйве́м,μυαλό
59,Gehirn::N,вуйве́м,εγκέφαλος
60,Herz::N,шӱм,καρδιά
61,Magen::N,пага́р,στομάχι
62,Leber::N,мокш,ήπαρ
63,Leber::N,мокш,συκωτί
64,Atem::N,шӱ́лыш,αναπνοή
65,Hunger::N,шужыма́ш,πείνα
66,Träne::N,шинчавӱ́д,δάκρυ
67,Geschmack::N,там,γεύση
68,Geruch::N,пуш,οσμή
69,Geruch::N,пуш,μυρωδία
70,Schlaf::N,о́мо,ύπνος
71,Traum::N,йӱдо́мо,όνειρο
72,Himmel::N,кава́,ουρανός
73,Sonne::N,ке́че,ήλιος
74,Mond::N,ты́лзе,σελήνη
75,Mond::N,ты́лзе,φεγγάρι
76,Stern::N,шӱ́дыр,άστρο
77,Stern::N,шӱ́дыр,αστέρι
78,Luft::N,юж,αέρας
79,Wind::N,марде́ж,αέρας
80,Wind::N,марде́ж,άνεμος
81,Welle::N,то́лкын,κύμα
82,Wasser::N,вӱд,νερό
83,Stein::N,кӱ,πέτρα
84,Boden::N,рок,χώμα
85,Erde::N,мла́нде,γη
86,Staub::N,пура́к,σκόνη
87,Rauch::N,шикш,καπνός
88,Funke::N,сеске́м,σπίθα
89,Funke::N,сеске́м,σπινθήρας
90,Funke::N,тулйы́п,σπίθα
91,Funke::N,тулйы́п,σπινθήρας
92,Feuer::N,тул,φωτιά
93,Licht::N,со́то,φως
94,Schatten::N,ӱ́мыл,σκιά
95,Schatten::N,ӱ́мыл,ίσκιος
96,Wetter::N,иге́че,καιρός
97,Nebel::N,тӱтыра́,ομίχλη
98,Wolke::N,пыл,σύννεφο
99,Regen::N,йӱр,βροχή
100,Schnee::N,лум,χιόνι
101,Eis::N,ий,πάγος
102,Frost::N,чатлама́,παγωνία
103,Kälte::N,йӱ́штӧ,κρύο
104,Kälte::N,йӱ́штӧ,ψύχος
105,Hitze::N,шо́кшо,ζέστη
106,Raureif::N,пӧрш,πάχνη
107,Raureif::N,по́кшым,πάχνη
108,Regenbogen::N,шонанпы́л,ουράνιο τόξο
109,Donner::N,кӱ́дырчӧ,βροντή
110,Strömung::N,йо́гын,ρεύμα
111,Tropfen::N,чӱча́лтыш,στάλα
112,Schaum::N,шоҥ,αφρός
113,Schmutz::N,лавыра́,βρωμιά
114,See::N,ер,λίμνη
115,Sumpf::N,лӱ́кӧ,βάλτος
116,Moor::N,куп,έλος
117,Wiese::N,о́лык,λιβάδι
118,Wald::N,чодыра́,δάσος
119,Hügel::N,арка́,λόφος
120,Anhöhe::N,тӧва́,ύψωμα
121,Anhöhe::N,кӱкшака́,ύψωμα
122,Berg::N,ку́рык,όρος
123,Berg::N,ку́рык,βουνό
124,Gipfel::N,чаҥга́,κορυφή
125,Gipfel::N,курыкву́й,κορυφή
126,Höhle::N,пеще́р,σπηλιά
127,Höhle::N,курыкпо́мыш,σπηλιά
128,Abhang::N,та́йыл,πλαγιά
129,Quelle::N,важ,πηγή
130,Quelle::N,важ,βρύση
131,Quelle::N,вӱдшинча́,πηγή
132,Quelle::N,вӱдшинча́,βρύση
133,Bach::N,изэҥе́р,ρυάκι
134,Fluss::N,эҥе́р,ποτάμι
135,Fluss::N,эҥе́р,ποταμός
136,Ufer::N,сер,όχθη
137,Küste::N,вӱдтӱ́р,ακτή
138,Küste::N,вӱдтӱ́р,ακρογιαλιά
139,Festland::N,мла́нде,στεριά
140,Meer::N,те́ҥыз,θάλασσα
141,Bucht::N,икса́,κόλπος
142,Insel::N,отро́,νησί
143,Insel::N,отро́,νήσος
144,Blume::N,пеле́дыш,άνθος
145,Blume::N,пеле́дыш,λουλούδι
146,Gras::N,шу́до,χόρτο
147,Gras::N,шу́до,χορτάρι
148,Wurzel::N,вож,ρίζα
149,Baum::N,пуше́ҥге,δέντρο
150,Stamm::N,йы́тыр,κορμός
151,Rinde::N,шӱм,φλούδα
152,Ast::N,укш,κλαδί
153,Zweig::N,торма́к,κλαδί
154,Zweig::N,торма́к,κλάδος
155,Blatt::N,лышта́ш,φύλλο
156,Birke::N,куэ́,σημύδα
157,Kiefer[Baum]::N,пӱ́нчӧ,πεύκο
158,Weide[Baum]::N,уа́,ιτιά
159,Tanne::N,кож,έλατο
160,Horn::N,шур,κέρας
161,Horn::N,шур,κέρατο
162,Feder::N,пы́стыл,φτερό
163,Fell::N,кова́ште,δέρμα
164,Fell::N,кова́ште,τομάρι
165,Flügel::N,шу́лдыр,πτερύγιο
166,Klaue::N,кӱч,κουλό
167,Kralle::N,ла́па,νύχι
168,Kralle::N,копа́,νύχι
169,Schwanz::N,поч,ουρά
170,Ei::N,му́но,αβγό
171,Nest::N,пыжа́ш,φωλιά
172,Bau::N,пыжа́ш,φωλιά
173,Tier::N,я́нлык,ζώο
174,Tier::N,живо́тный,ζώο
175,Herde::N,кӱ́тӱ,κοπάδι
176,Herde::N,тӱшка́,κοπάδι
177,Kuh::N,ушка́л,αγελάδα
178,Bulle::N,ӱ́шкыж,ταύρος
179,Pferd::N,и́мне,άλογο
180,Schaf::N,шо́рык,πρόβατο
181,Schwein::N,сӧсна́,γουρούνι
182,Hund::N,пий,σκυλί
183,Hund::N,пий,σκύλος
184,Katze::N,пы́рыс,γάτα
185,Bär::N,маска́,άρκτος
186,Bär::N,маска́,αρκούδα
187,Eichhörnchen::N,ур,βερβερίτσα
188,Elch::N,шо́рдо,άλκη
189,Fuchs::N,ры́выж,αλεπού
190,Hase::N,мера́ҥ,λαγός
191,Maus::N,коля́,ποντικός
192,Wolf::N,пи́ре,λύκος
193,Vogel::N,ка́йык,πουλί
194,Schwarm::N,каша́к,σμήνος
195,Huhn::N,чы́ве,κότα
196,Huhn::N,чы́ве,όρνιθα
197,Hahn::N,агыта́н,πετεινός
198,Gans::N,ко́мбо,χήνα
199,Adler::N,карагу́ш,αετός
200,Ente::N,лу́до,πάπια
201,Eule::N,тумна́,κουκουβάγια
202,Kranich::N,турня́,γερανός
203,Krähe::N,кора́к,καρακάξα
204,Kuckuck::N,куку́,κούκος
205,Schwan::N,йӱ́ксӧ,κύκνος
206,Fisch::N,кол,ψάρι
207,Barsch::N,ола́ҥге,πέρκα
208,Hecht::N,нуж,λούτσος
209,Hecht::N,чорта́н,λούτσος
210,Schlange[Tier]::N,ки́шке,φίδι
211,Wurm::N,шукш,σκουλήκι
212,Spinne::N,эҥыре́мыш,αράχνη
213,Ameise::N,ку́тко,μυρμήγκι
214,Laus::N,тий,ψείρα
215,Mücke::N,шыҥа́,κουνούπι
216,Fliege::N,ка́рме,μύγα
217,Schmetterling::N,лы́ве,πεταλούδα
218,Beere::N,мӧр,ρόγα
219,Apfel::N,олма́,μήλο
220,Pilz::N,по́ҥго,μανιτάρι
221,Zwiebel::N,шога́н,κρεμμύδι
