,Concept_ID,pl,av
0,Auge::N,oko,
1,Ohr::N,ucho,гӏин
2,Nase::N,nos,мегӏер
3,Mund::N,usta,кӏал
4,Zahn::N,ząb,гӏус
5,Zunge::N,język,мацӏ
6,Lippe::N,warga,кӏветӏ
7,Wange::N,policzek,гӏоно
8,Gesicht::N,twarz,гьумер
9,Stirn::N,czoło,нодо
10,Haar::N,włos,рас
11,Haar::N,włosy,рас
12,Schnurrbart::N,wąsy,михъ
13,Bart::N,broda,мегеж
14,Kinn::N,podbródek,нилъу
15,Kiefer[Anatomie]::N,czeluść,чанагъ
16,Kehle::N,gardło,щекъер
17,Hals::N,szyja,габур
18,Genick::N,kark,гъванща
19,Kopf::N,głowa,бетӏер
20,Rücken::N,plecy,мугъ
21,Rücken::N,grzbiet,мугъ
22,Bauch::N,brzuch,чехь
23,Nabel::N,pępek,цӏину
24,Busen::N,biust,керен
25,Brust::N,pierś,керен
26,Schulter::N,bark,гъажазубетӏер
27,Schulter::N,ramię,гъажазубетӏер
28,Arm::N,ręka,гъеж
29,Arm::N,ramię,гъеж
30,Ellenbogen::N,łokieć,гӏункӏрукь
31,Hand::N,dłoń,квер
32,Handfläche::N,dłoń,огъохъат
33,Handfläche::N,dłoń,жанисахъат
34,Finger::N,palec,килищ
35,Fingernagel::N,paznokieć,малъ
36,Nagel[Anatomie]::N,paznokieć,малъ
37,Zeh::N,palec,килищ
38,Fuß::N,stopa,хӏетӏ
39,Fuß::N,stopa,хӏетӏе
40,Ferse::N,pięta,эгъе
41,Knie::N,kolano,наку
42,Oberschenkel::N,udo,мачӏ
43,Bein::N,noga,бох
44,Körper::N,ciało,къаркъала
45,Haut::N,skóra,тӏом
46,Blut::N,krew,би
47,Ader::N,żyła,бидурихь
48,Sehne::N,ścięgno,
49,Knochen::N,kość,ракьа
50,Gehirn::N,mózg,гӏадалнах
51,Herz::N,serce,ракӏ
52,Magen::N,żołądek,кванирукъ
53,Leber::N,wątroba,тӏул
54,Atem::N,dech,хӏухь
55,Atem::N,oddech,хӏухь
56,Hunger::N,głód,ракъи
57,Träne::N,łza,магӏу
58,Geschmack::N,smak,тату
59,Geruch::N,woń,махӏ
60,Geruch::N,zapach,махӏ
61,Schlaf::N,sen,макьу
62,Traum::N,sen,макьу
63,Himmel::N,niebo,зоб
64,Sonne::N,słońce,бакъ
65,Mond::N,księżyc,моцӏ
66,Stern::N,gwiazda,цӏва
67,Luft::N,powietrze,гьава
68,Wind::N,wiatr,гьури
69,Welle::N,fala,карачел
70,Wasser::N,woda,лъим
71,Stein::N,kamień,гьецӏо
72,Boden::N,grunt,ракь
73,Erde::N,ziemia,ракь
74,Erde::N,ziemia,дуниял
75,Staub::N,pył,хӏур
76,Staub::N,kurz,хӏур
77,Rauch::N,dym,кӏкӏуй
78,Funke::N,iskra,
79,Feuer::N,ogień,цӏа
80,Licht::N,światło,канлъи
81,Schatten::N,cień,рагӏад
82,Wetter::N,pogoda,гьава-бакъ
83,Nebel::N,mgła,гӏодобнакӏкӏ
84,Wolke::N,obłok,накӏкӏ
85,Wolke::N,chmura,накӏкӏ
86,Regen::N,deszcz,цӏад
87,Schnee::N,śnieg,гӏазу
88,Eis::N,lód,цӏер
89,Frost::N,mróz,замгьари
90,Kälte::N,chłód,квач
91,Hitze::N,gorąco,багӏари
92,Raureif::N,szron,мартӏ
93,Regenbogen::N,tęcza,нур
94,Regenbogen::N,tęcza,чамбара
95,Donner::N,grzmot,гъугъай
96,Donner::N,grzmot,гъугъади
97,Strömung::N,nurt,чвахи
98,Tropfen::N,kropla,резел
99,Tropfen::N,kropla,тӏинкӏ
100,Tropfen::N,kropla,къатӏра
101,Tropfen::N,kropla,тӏенкӏел
102,Schaum::N,piana,полоп
103,Schmutz::N,brud,чороклъи
104,See::N,jezioro,хӏор
105,Sumpf::N,bagno,хьуцӏ
106,Moor::N,bagno,
107,Wiese::N,łąka,мегъ
108,Wiese::N,łąka,гӏурдаллъи
109,Wald::N,las,рохь
110,Hügel::N,pagórek,гохӏ
111,Anhöhe::N,wzgórze,сийитма
112,Berg::N,góra,мегӏер
113,Gipfel::N,szczyt,тӏогь
114,Gipfel::N,wierzchołek,тӏогь
115,Höhle::N,pieczara,нохъо
116,Abhang::N,stok,лабаллъи
117,Abhang::N,zbocze,лабаллъи
118,Quelle::N,zdrój,ицц
119,Quelle::N,źródło,ицц
120,Bach::N,potok,лъар
121,Bach::N,strumień,лъар
122,Fluss::N,rzeka,гӏор
123,Ufer::N,brzeg,рагӏал
124,Küste::N,wybrzeże,рагӏал
125,Festland::N,ląd,ракь
126,Festland::N,ląd,ракъдаллъи
127,Meer::N,morze,ралъад
128,Bucht::N,zatoka,кӏветӏ
129,Insel::N,wyspa,чӏинкӏиллъи
130,Blume::N,kwiat,тӏегь
131,Gras::N,trawa,хер
132,Wurzel::N,korzeń,кьибил
133,Baum::N,drzewo,гъветӏ
134,Stamm::N,pień,рохти
135,Rinde::N,kora,макъар
136,Ast::N,gałąź,ноцӏ
137,Zweig::N,gałąź,гӏаркьел
138,Blatt::N,liść,тӏамах
139,Birke::N,brzoza,мах
140,Birke::N,brzoza,махигъветӏ
141,Kiefer[Baum]::N,sosna,накӏкӏигъветӏ
142,Weide[Baum]::N,wierzba,рицӏцӏ
143,Weide[Baum]::N,wierzba,рицӏцӏигъветӏ
144,Tanne::N,jodła,ёлка
145,Horn::N,róg,лълъар
146,Feder::N,pióro,хӏули
147,Fell::N,futro,тӏом
148,Fell::N,futro,цӏоко
149,Flügel::N,skrzydło,кваркьи
150,Klaue::N,szpon,галъ
151,Kralle::N,pazur,квачӏ
152,Kralle::N,pazur,катиквачӏ
153,Schwanz::N,ogon,рачӏ
154,Ei::N,jajko,хоно
155,Nest::N,gniazdo,бусен
156,Bau::N,nora,каратӏ
157,Tier::N,zwierzę,хӏайван
158,Herde::N,stado,рехъен
159,Herde::N,stado,рехъед
160,Herde::N,trzoda,рехъен
161,Herde::N,trzoda,рехъед
162,Kuh::N,krowa,гӏака
163,Bulle::N,byk,оц
164,Pferd::N,koń,чу
165,Schaf::N,owca,чахъу
166,Schwein::N,świnia,болъон
167,Hund::N,pies,гьой
168,Katze::N,kot,кету
169,Katze::N,kotka,кету
170,Bär::N,niedźwiedż,ци
171,Eichhörnchen::N,wiewiórka,гвангва
172,Elch::N,łóś,
173,Fuchs::N,lis,цер
174,Hase::N,zając,гӏанкӏ
175,Maus::N,mysz,гӏункӏкӏ
176,Wolf::N,wilk,бацӏ
177,Vogel::N,ptak,хӏинчӏ
178,Schwarm::N,stado,тӏел
179,Huhn::N,kura,гӏанкӏу
180,Hahn::N,kogut,хӏелеко
181,Gans::N,gęś,хъаз
182,Adler::N,orzeł,цӏум
183,Ente::N,kaczka,ордек
184,Eule::N,sowa,беццаруз
185,Kranich::N,żuraw,къункъра
186,Krähe::N,wrona,гъеду
187,Kuckuck::N,kukułka,гагу
188,Schwan::N,łabędż,хӏанкъва
189,Fisch::N,ryba,ччугӏа
190,Barsch::N,okoń,окунь
191,Hecht::N,szczupak,щука
192,Schlange[Tier]::N,wąż,борохь
193,Schlange[Tier]::N,żmija,борохь
194,Wurm::N,robak,хӏапара
195,Spinne::N,pająk,хъанхъра
