,Concept_ID,myv,pl
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,судо,nos
3,Mund::N,курго,usta
4,Zahn::N,пей,ząb
5,Zunge::N,кель,język
6,Lippe::N,турва,warga
7,Wange::N,чамабока,policzek
8,Wange::N,чамаумарь,policzek
9,Gesicht::N,чама,twarz
10,Stirn::N,коня,czoło
11,Haar::N,черь,włos
12,Haar::N,черь,włosy
13,Schnurrbart::N,ус,wąsy
14,Schnurrbart::N,муюк,wąsy
15,Bart::N,сакал,broda
16,Kinn::N,уло,podbródek
17,Kiefer[Anatomie]::N,пейпакар,czeluść
18,Kiefer[Anatomie]::N,пейловажа,czeluść
19,Kehle::N,кирьгапарь,gardło
20,Hals::N,кирьга,szyja
21,Genick::N,човонь,kark
22,Kopf::N,пря,głowa
23,Rücken::N,копорь,plecy
24,Rücken::N,копорь,grzbiet
25,Bauch::N,пеке,brzuch
26,Nabel::N,почо,pępek
27,Busen::N,поте,biust
28,Brust::N,меште,pierś
29,Schulter::N,лавтов,bark
30,Schulter::N,лавтов,ramię
31,Arm::N,кедь,ręka
32,Arm::N,кедь,ramię
33,Ellenbogen::N,кенерепакарь,łokieć
34,Hand::N,кедь,dłoń
35,Handfläche::N,кедькуншка,dłoń
36,Handfläche::N,кедьлапушка,dłoń
37,Finger::N,сур,palec
38,Fingernagel::N,кенже,paznokieć
39,Nagel[Anatomie]::N,кенже,paznokieć
40,Zeh::N,пильге сур,palec
41,Fuß::N,пильге,stopa
42,Ferse::N,кочкаря,pięta
43,Knie::N,эле,kolano
44,Knie::N,эзне,kolano
45,Knie::N,кумажа,kolano
46,Oberschenkel::N,качо,udo
47,Bein::N,пильге,noga
48,Körper::N,рунго,ciało
49,Haut::N,киське,skóra
50,Blut::N,верь,krew
51,Ader::N,сан,żyła
52,Sehne::N,коське сан,ścięgno
53,Knochen::N,пакарь,kość
54,Gehirn::N,удем,mózg
55,Herz::N,седей,serce
56,Magen::N,пеке,żołądek
57,Leber::N,максо,wątroba
58,Atem::N,лексема,dech
59,Atem::N,лексема,oddech
60,Atem::N,оймень таргсема,dech
61,Atem::N,оймень таргсема,oddech
62,Hunger::N,вачочи,głód
63,Träne::N,селведь,łza
64,Geschmack::N,тансть,smak
65,Geruch::N,чине,woń
66,Geruch::N,чине,zapach
67,Schlaf::N,удома,sen
68,Traum::N,он,sen
69,Himmel::N,менель,niebo
70,Sonne::N,чи,słońce
71,Mond::N,ков,księżyc
72,Stern::N,теште,gwiazda
73,Luft::N,кошт,powietrze
74,Wind::N,варма,wiatr
75,Welle::N,толкун,fala
76,Wasser::N,ведь,woda
77,Stein::N,кев,kamień
78,Boden::N,мода,grunt
79,Erde::N,мастор,ziemia
80,Staub::N,пуль,pył
81,Staub::N,пуль,kurz
82,Rauch::N,качамо,dym
