,Concept_ID,hi,sk
0,Auge::N,आँख,oko
1,Auge::N,चक्षु,oko
2,Ohr::N,कान,ucho
3,Ohr::N,कर्ण,ucho
4,Nase::N,नाक,nos
5,Nase::N,नासा,nos
6,Mund::N,मुख,ústa
7,Mund::N,मुँह,ústa
8,Zahn::N,दंत,zub
9,Zahn::N,दाँत,zub
10,Zunge::N,जीभ,jazyk
11,Zunge::N,ज़बान,jazyk
12,Zunge::N,जिह्वा,jazyk
13,Lippe::N,ओंठ,pera
14,Lippe::N,होंठ,pera
15,Wange::N,गाल,líce
16,Wange::N,कपोल,líce
17,Gesicht::N,मुँह,tvár
18,Gesicht::N,मुँह,obličaj
19,Gesicht::N,चेहरा,tvár
20,Gesicht::N,चेहरा,obličaj
21,Stirn::N,माथा,čelo
22,Stirn::N,मस्तक,čelo
23,Haar::N,बाल,vlas
24,Schnurrbart::N,मूँछें,fúzy
25,Bart::N,दाढ़ी,brada
26,Kinn::N,चिबुक,brada
27,Kiefer[Anatomie]::N,जबड़ा,čeľusť
28,Kehle::N,गला,hrdlo
29,Hals::N,गला,krk
30,Hals::N,गरदन,krk
31,Genick::N,गरदन,väzy
32,Genick::N,ग्रीवा,väzy
33,Kopf::N,सिर,hlava
34,Kopf::N,शीर्ष,hlava
35,Rücken::N,पीठ,chrbát
36,Bauch::N,उदर,brucho
37,Nabel::N,नाभि,pupok
38,Nabel::N,ढोंढी,pupok
39,Busen::N,कुच,prsia
40,Busen::N,स्तन,prsia
41,Brust::N,वक्ष,hruď
42,Schulter::N,कंधा,plece
43,Schulter::N,स्कंध,plece
44,Arm::N,बाँह,rameno
45,Arm::N,बाज़ू,rameno
46,Ellenbogen::N,कुहनी,lakeť
47,Hand::N,हाथ,ruka
48,Hand::N,हस्त,ruka
49,Handfläche::N,हथेली,dlaň
50,Finger::N,उँगली,prst
51,Finger::N,अँगुली,prst
52,Fingernagel::N,नख,necht
53,Fingernagel::N,नाख़ून,necht
54,Nagel[Anatomie]::N,नख,necht
55,Nagel[Anatomie]::N,नाख़ून,necht
56,Zeh::N,उँगली,prst na nohe
57,Zeh::N,पाँव की उँगली,prst na nohe
58,Fuß::N,चरण,noha
59,Fuß::N,पाँव,noha
60,Ferse::N,एड़ी,päta
61,Knie::N,जानु,koleno
62,Knie::N,घुटना,koleno
63,Oberschenkel::N,उरु,stehno
64,Bein::N,टाँग,noha
65,Körper::N,तन,telo
66,Körper::N,देह,telo
67,Körper::N,शरीर,telo
68,Haut::N,चर्म,koža
69,Haut::N,त्वचा,koža
70,Blut::N,लहू,krv
71,Blut::N,ख़ून,krv
72,Ader::N,रग,žila
73,Ader::N,शिरा,žila
74,Sehne::N,कंडरा,šľacha
75,Sehne::N,स्नायु,šľacha
76,Knochen::N,अस्थि,kosť
77,Gehirn::N,दिमाग़,mozog
78,Gehirn::N,मस्तिष्क,mozog
79,Herz::N,दिल,srdce
80,Herz::N,हृदय,srdce
81,Magen::N,मेदा,žalúdok
82,Magen::N,अमाशय,žalúdok
83,Leber::N,जिगर,pečeň
84,Leber::N,यकृत्,pečeň
85,Atem::N,दम,dych
86,Atem::N,साँस,dych
87,Atem::N,श्वास,dych
88,Hunger::N,भूख,hlad
89,Hunger::N,क्षुधा,hlad
90,Träne::N,आँसू,slza
91,Träne::N,अश्रु,slza
92,Geschmack::N,स्वाद,chuť
93,Geschmack::N,ज़ायक़ा,chuť
94,Geruch::N,बू,pach
95,Geruch::N,गंध,pach
