,Concept_ID,es,pl
0,Auge::N,ojo,oko
1,Ohr::N,oreja,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,usta
4,Zahn::N,diente,ząb
5,Zunge::N,lengua,język
6,Lippe::N,labio,warga
7,Wange::N,mejilla,policzek
8,Gesicht::N,cara,twarz
9,Stirn::N,frente,czoło
10,Haar::N,cabello,włos
11,Haar::N,cabello,włosy
12,Schnurrbart::N,bigote,wąsy
13,Bart::N,barba,broda
14,Kinn::N,barbilla,podbródek
15,Kiefer[Anatomie]::N,mandíbula,czeluść
16,Kehle::N,garganta,gardło
17,Hals::N,cuello,szyja
18,Genick::N,nuca,kark
19,Genick::N,cerviz,kark
20,Kopf::N,cabeza,głowa
21,Rücken::N,espalda,plecy
22,Rücken::N,espalda,grzbiet
23,Bauch::N,vientre,brzuch
24,Nabel::N,ombligo,pępek
25,Busen::N,pecho,biust
26,Brust::N,pecho,pierś
27,Schulter::N,hombro,bark
28,Schulter::N,hombro,ramię
29,Arm::N,brazo,ręka
30,Arm::N,brazo,ramię
31,Ellenbogen::N,codo,łokieć
32,Hand::N,mano,dłoń
33,Handfläche::N,palma,dłoń
34,Finger::N,dedo,palec
35,Fingernagel::N,uña,paznokieć
36,Nagel[Anatomie]::N,uña,paznokieć
37,Zeh::N,dedo del pie,palec
38,Fuß::N,pie,stopa
39,Ferse::N,talón,pięta
40,Knie::N,rodilla,kolano
41,Oberschenkel::N,muslo,udo
42,Bein::N,pierna,noga
43,Körper::N,cuerpo,ciało
44,Haut::N,piel,skóra
45,Blut::N,sangre,krew
46,Ader::N,vena,żyła
47,Sehne::N,tendón,ścięgno
48,Knochen::N,hueso,kość
49,Gehirn::N,cerebro,mózg
50,Gehirn::N,encéfalo,mózg
51,Herz::N,corazón,serce
52,Magen::N,estómago,żołądek
53,Leber::N,hígado,wątroba
54,Atem::N,aliento,dech
55,Atem::N,aliento,oddech
56,Hunger::N,hambre,głód
57,Träne::N,lágrima,łza
58,Geschmack::N,gusto,smak
59,Geruch::N,olor,woń
60,Geruch::N,olor,zapach
61,Schlaf::N,sueño,sen
62,Traum::N,sueño,sen
63,Traum::N,ensueño,sen
64,Himmel::N,cielo,niebo
65,Sonne::N,sol,słońce
66,Mond::N,luna,księżyc
67,Stern::N,estrella,gwiazda
68,Luft::N,aire,powietrze
69,Wind::N,viento,wiatr
70,Welle::N,ola,fala
71,Welle::N,onda,fala
72,Wasser::N,agua,woda
73,Stein::N,piedra,kamień
74,Boden::N,suelo,grunt
75,Erde::N,tierra,ziemia
76,Staub::N,polvo,pył
77,Staub::N,polvo,kurz
78,Rauch::N,humo,dym
79,Funke::N,chispa,iskra
80,Feuer::N,fuego,ogień
81,Licht::N,luz,światło
82,Schatten::N,sombra,cień
83,Wetter::N,tiempo,pogoda
84,Nebel::N,niebla,mgła
85,Wolke::N,nube,obłok
86,Wolke::N,nube,chmura
87,Regen::N,lluvia,deszcz
88,Schnee::N,nieve,śnieg
89,Eis::N,hielo,lód
90,Frost::N,helada,mróz
91,Kälte::N,frío,chłód
92,Hitze::N,calor,gorąco
93,Raureif::N,escarcha,szron
94,Regenbogen::N,arco iris,tęcza
95,Donner::N,trueno,grzmot
96,Strömung::N,corriente,nurt
97,Tropfen::N,gota,kropla
98,Schaum::N,espuma,piana
99,Schmutz::N,suciedad,brud
100,See::N,lago,jezioro
101,Sumpf::N,pantano,bagno
102,Moor::N,turbera,bagno
103,Wiese::N,prado,łąka
104,Wiese::N,pradera,łąka
105,Wald::N,bosque,las
106,Hügel::N,colina,pagórek
107,Anhöhe::N,cerro,wzgórze
108,Berg::N,monte,góra
109,Berg::N,montaña,góra
110,Gipfel::N,cima,szczyt
