,Concept_ID,av,az
0,Ohr::N,гӏин,qulaq
1,Nase::N,мегӏер,burun
2,Mund::N,кӏал,ağız
3,Zahn::N,гӏус,diş
4,Zunge::N,мацӏ,dil
5,Lippe::N,кӏветӏ,dodaq
6,Wange::N,гӏоно,yanaq
7,Gesicht::N,гьумер,üz
8,Stirn::N,нодо,alın
9,Haar::N,рас,saç
10,Schnurrbart::N,михъ,bığ
11,Bart::N,мегеж,saqqal
12,Kinn::N,нилъу,çənə
13,Kiefer[Anatomie]::N,чанагъ,çənə
14,Kehle::N,щекъер,boğaz
15,Hals::N,габур,boyun
16,Genick::N,гъванща,ənsə
17,Kopf::N,бетӏер,baş
18,Rücken::N,мугъ,bel
19,Bauch::N,чехь,qarın
20,Nabel::N,цӏину,göbək
21,Busen::N,керен,məmə
22,Brust::N,керен,döş
23,Schulter::N,гъажазубетӏер,çiyin
24,Arm::N,гъеж,qol
25,Ellenbogen::N,гӏункӏрукь,dirsək
26,Hand::N,квер,əl
27,Handfläche::N,огъохъат,ovuc
28,Handfläche::N,жанисахъат,ovuc
29,Finger::N,килищ,barmaq
30,Fingernagel::N,малъ,barmaq dırnağı
31,Nagel[Anatomie]::N,малъ,dırnak
32,Zeh::N,килищ,ayaq barmağı
33,Fuß::N,хӏетӏ,ayaq
34,Fuß::N,хӏетӏе,ayaq
35,Ferse::N,эгъе,daban
36,Knie::N,наку,diz
37,Oberschenkel::N,мачӏ,bud
38,Bein::N,бох,qıç
39,Körper::N,къаркъала,əndam
40,Haut::N,тӏом,dəri
41,Blut::N,би,qan
42,Ader::N,бидурихь,damar
43,Knochen::N,ракьа,sümük
44,Gehirn::N,гӏадалнах,beyin
45,Herz::N,ракӏ,ürək
46,Magen::N,кванирукъ,mədə
47,Leber::N,тӏул,qara ciyər
48,Atem::N,хӏухь,nəfəs
49,Hunger::N,ракъи,aclıq
50,Träne::N,магӏу,göz yaşı
51,Geschmack::N,тату,tam
52,Geschmack::N,тату,ləzzət
53,Geruch::N,махӏ,qoxu
54,Schlaf::N,макьу,yuxu
55,Traum::N,макьу,röya
56,Himmel::N,зоб,göy
57,Himmel::N,зоб,səma
58,Sonne::N,бакъ,günəş
59,Mond::N,моцӏ,ay
60,Stern::N,цӏва,ulduz
61,Luft::N,гьава,hava
62,Wind::N,гьури,yel
63,Wind::N,гьури,külək
64,Welle::N,карачел,dalğa
65,Wasser::N,лъим,su
66,Stein::N,гьецӏо,daş
67,Boden::N,ракь,yer
68,Boden::N,ракь,zəmin
69,Erde::N,ракь,yer torpaq
70,Erde::N,дуниял,yer torpaq
71,Staub::N,хӏур,toz
72,Rauch::N,кӏкӏуй,tüstü
73,Feuer::N,цӏа,od
74,Licht::N,канлъи,işıq
75,Schatten::N,рагӏад,kölgə
76,Wetter::N,гьава-бакъ,hava
77,Nebel::N,гӏодобнакӏкӏ,duman
78,Wolke::N,накӏкӏ,bulud
79,Regen::N,цӏад,yağış
80,Regen::N,цӏад,yağmur
81,Schnee::N,гӏазу,qar
82,Eis::N,цӏер,buz
83,Frost::N,замгьари,ayaz
84,Kälte::N,квач,soyuq
85,Hitze::N,багӏари,coşğunluq
86,Raureif::N,мартӏ,qırov
87,Regenbogen::N,нур,göy qurşağı
88,Regenbogen::N,чамбара,göy qurşağı
89,Donner::N,гъугъай,göy gurultusu
90,Donner::N,гъугъади,göy gurultusu
91,Strömung::N,чвахи,axın
92,Tropfen::N,резел,damcı
93,Tropfen::N,тӏинкӏ,damcı
94,Tropfen::N,къатӏра,damcı
95,Tropfen::N,тӏенкӏел,damcı
96,Schaum::N,полоп,köpük
97,Schmutz::N,чороклъи,çamır
98,See::N,хӏор,göl
99,Sumpf::N,хьуцӏ,bataqlıq
100,Wiese::N,мегъ,çəmən
101,Wiese::N,гӏурдаллъи,çəmən
102,Wald::N,рохь,meşə
103,Hügel::N,гохӏ,təpə
104,Anhöhe::N,сийитма,təpə
105,Berg::N,мегӏер,dağ
106,Gipfel::N,тӏогь,zirvə
107,Höhle::N,нохъо,mağara
108,Abhang::N,лабаллъи,yamac
109,Quelle::N,ицц,bulaq
110,Bach::N,лъар,kiçik çay
111,Fluss::N,гӏор,çay
112,Ufer::N,рагӏал,kənar
113,Küste::N,рагӏал,sahil
114,Festland::N,ракь,materik
