,Concept_ID,ab,kn
0,Auge::N,ала,ಕಣ್ಣು
1,Ohr::N,алымҳа,ಕಿವಿ
2,Nase::N,аҧынҵа,ಮೂಗು
3,Mund::N,аҧышə,ಬಾಯಿ
4,Zahn::N,ахаҧыц,ಹಲ್ಲು
5,Zunge::N,абз,ನಾಲಿಗೆ
6,Lippe::N,ақьышə,ತುಟಿ
7,Wange::N,аӡамҩа,ಗಲ್ಲ
8,Gesicht::N,аҿы,ಮುಖ
9,Stirn::N,алахь,ಹಣೆ
10,Haar::N,ахəыц,ಕೂದಲು
11,Schnurrbart::N,аҧаҵа,ಮೀಸೆ
12,Bart::N,ажакьа,ಗಡ್ಡ
13,Kinn::N,ацламкəыгə,ಗದ್ದ
14,Kiefer[Anatomie]::N,ацламҳəа,ದವಡೆ
15,Kehle::N,ахəда,ಗಂಟಲು
16,Hals::N,ахəда,ಕೊರಳು
17,Genick::N,ахəдаџьал,ಹಿಂಗತ್ತು
18,Kopf::N,ахы,ತಲೆ
19,Rücken::N,азқəа,ಬೆನ್ನು
20,Bauch::N,амгəа,ಹೊಟ್ಟೆ
21,Nabel::N,аҷапан,ಹೊಕ್ಕುಳು
22,Busen::N,агəыҧҳəы,ಸ್ತನ
23,Brust::N,агəышҧы,ಎದೆ
24,Schulter::N,ажəҩахыр,ಭುಜ
25,Arm::N,амахəар,ತೋಳು
26,Ellenbogen::N,амашьхəылҵ,ಮೊಣಕೈ
27,Hand::N,анапы,ಕೈ
28,Handfläche::N,анапсаргəыҵа,ಅಂಗೈ
29,Finger::N,анацəа,ಕೈಬೆರಳು
30,Fingernagel::N,анапхыц,ಉಗುರು
31,Nagel[Anatomie]::N,ашьапхыц,ಉಗುರು
32,Zeh::N,ашьацəа,ಕಾಲ್ಬೆರಳು
33,Fuß::N,ашьапсыргəыҵа,ಪಾದ
34,Ferse::N,ашьхəа,ಹಿಮ್ಮಡಿ
35,Knie::N,ашьамхы,ಮಂಡಿ
36,Oberschenkel::N,ауаҭəа,ತೊಡೆ
37,Bein::N,ашьапы,ಕಾಲು
38,Körper::N,ацəеижь,ದೇಹ
39,Haut::N,ацəа,ಚರ್ಮ
40,Blut::N,ашьа,ರಕ್ತ
41,Ader::N,ада,ನರ
42,Sehne::N,адаш,ನರ
43,Knochen::N,абаҩ,ಮೂಳೆ
44,Gehirn::N,ахшлыбаҩ,ಮಿದುಳು
45,Gehirn::N,ахшыбаҩ,ಮಿದುಳು
46,Herz::N,агəы,ಹೃದಯ
47,Magen::N,аца,ಉದರ
48,Magen::N,ацар,ಉದರ
49,Leber::N,агəаҵəа,ಯಕೃತ್ತು
50,Atem::N,аҧсыҧлагаҩгара,ಉಸಿರು
51,Hunger::N,амла,ಹಸಿವು
52,Träne::N,алабжыш,ಕಣ್ಣೀರು
53,Geschmack::N,агьама,ರುಚಿ
54,Geruch::N,афҩы,ವಾಸನೆ
55,Schlaf::N,ацəа,ನಿದ್ರೆ
56,Traum::N,аҧхыӡ,ಕನಸು
57,Himmel::N,ажəҩан,ಬಾನು
58,Sonne::N,амра,ಸೂರ್ಯ
59,Mond::N,амза,ಚಂದ್ರ
60,Stern::N,аеҵəа,ಚುಕ್ಕಿ
61,Luft::N,аҳаир,ವಾಯು
62,Wind::N,аҧша,ಗಾಳಿ
63,Welle::N,ацəқəырҧа,ಅಲೆ
64,Wasser::N,аӡы,ನೀರು
65,Stein::N,ахаҳə,ಕಲ್ಲು
66,Boden::N,адгьыл,ನೆಲ
67,Erde::N,адгьыл,ಭೂಮಿ
68,Staub::N,асаба,ದೂಳು
69,Rauch::N,алҩа,ಹೊಗೆ
70,Funke::N,акəиц,ಕಿಡಿ
71,Funke::N,ацҧхь,ಕಿಡಿ
72,Feuer::N,амца,ಬೆಂಕಿ
73,Licht::N,алашара,ಬೆಳಕು
74,Schatten::N,ашəшьыра,ನೆರಳು
75,Wetter::N,амш,ಹವ
76,Nebel::N,анаҟəа,ಮಂಜು
77,Wolke::N,аҧсҭҳəа,ಮೋಡ
78,Regen::N,ақəа,ಮಳೆ
79,Schnee::N,асы,ಹಿಮ
80,Eis::N,аҵаа,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,аҵаа,ಮಂಜು
82,Kälte::N,ахьҭа,ಹಿಮ
83,Hitze::N,ашоура,ಉಷ್ಣ
84,Raureif::N,аҵааҧшқа,ಇಬ್ಬನಿ
85,Regenbogen::N,ацəаҟəа,ಇಂದ್ರಚಾಪ
86,Donner::N,адыд,ಗುಡುಗು
87,Strömung::N,аиасра,ಪ್ರವಾಹ
88,Strömung::N,амҩасра,ಪ್ರವಾಹ
89,Tropfen::N,ацəыкəбар,ತೊಟ್ಟು
90,Schaum::N,ашəах,ನೊರೆ
91,Schmutz::N,алымт,ಕಸ
92,See::N,аӡиа,ಸರೋವರ
93,Sumpf::N,аӡмах,ಜೌಗುಸ್ಥಳ
94,Wiese::N,адəы,ಹುಲ್ಲುಗಾವಲು
95,Wald::N,абна,ಕಾಡು
96,Hügel::N,ахəы,ಗುಡ್ಡೆ
97,Anhöhe::N,аҳаракыра,ದಿಬ್ಬ
98,Berg::N,ашьха,ಮಲೆ
99,Berg::N,ашьха,ಪರ್ವತ
100,Gipfel::N,ацəқəа,ಶೃಂಗ
101,Höhle::N,аҳаҧы,ಗುಹೆ
102,Abhang::N,анаара,ಇಳಿಜಾರು
103,Quelle::N,аҵҵырҭа,ಮೂಲ
104,Bach::N,акəараҷҷа,ತೊರೆ
105,Fluss::N,аӡиас,ನದಿ
106,Ufer::N,ахықə,ತೀರ
107,Küste::N,ахықə,ದಂಡೆ
108,Festland::N,абарра,ಭೂಮಿ
109,Meer::N,амшын,ಕಡಲು
110,Bucht::N,аӡбжьахала,ಖಾರಿ
111,Insel::N,адгьылбжьаха,ದ್ವೀಪ
112,Blume::N,ашəҭ,ಸುಮ
113,Gras::N,аҳасакьын,ಹುಲ್ಲು
114,Wurzel::N,адац,ಬೇರು
115,Baum::N,аҵла,ಮರ
116,Stamm::N,ашьапы,ಕಾಂಡ
117,Rinde::N,ацəа,ತೂಗಟಿ
118,Ast::N,амахə,ಶಾಖೆ
119,Ast::N,амахəҭа,ಶಾಖೆ
120,Zweig::N,амахə,ರೆಂಬೆ
121,Zweig::N,амахəҭа,ರೆಂಬೆ
122,Blatt::N,абҕьы,ಎಲೆ
123,Birke::N,аҵааҵла,ಬರ್ಚ್ ಮರ
124,Kiefer[Baum]::N,амза,ದೇವದಾರು ಮರ
125,Weide[Baum]::N,аҧслыш,ವಿಲೋಮರ
126,Tanne::N,аҧсаӡ,ಭದ್ರದಾರು
127,Horn::N,атəыҩа,ಕೊಂಬು
128,Feder::N,ахӡы,ಪುಕ್ಕ
129,Fell::N,ацəа,ರೋಮ
130,Flügel::N,амҵəыжəа,ರೆಕ್ಕೆ
131,Klaue::N,ашьапхыц,ಪಂಜ
132,Schwanz::N,аҵыхəа,ಬಾಲ
133,Ei::N,акəтаӷь,ಮೊಟ್ಟೆ
134,Nest::N,аҭра,ಗೂಡು
135,Nest::N,аҵысҭра,ಗೂಡು
136,Bau::N,аҭыҩра,ಅಡಗುದಾಣ
137,Tier::N,аҧстəы,ಪ್ರಾಣಿ
138,Tier::N,агыгшəыг,ಪ್ರಾಣಿ
139,Herde::N,агəарҭа,ಗುಂಪು
140,Kuh::N,ажə,ಹಸು
141,Bulle::N,ацə,ಗೂಳಿ
142,Pferd::N,аҽы,ಕುದುರೆ
143,Schaf::N,ауаса,ಕುರಿ
144,Schwein::N,аҳəа,ಹಂದಿ
145,Hund::N,ала,ನಾಯಿ
146,Katze::N,ацгəы,ಬೆಕ್ಕು
147,Bär::N,амшə,ಕರಡಿ
148,Eichhörnchen::N,аеш,ಉಡುತೆ
149,Elch::N,аҽаҩа,ಕಡವೆ
150,Fuchs::N,абгахəыҷы,ನರಿ
151,Hase::N,ажьа,ಮೊಲ
152,Maus::N,аҳəынаҧ,ಇಲಿ
153,Wolf::N,абгаду,ತೋಳ
154,Vogel::N,аҧсаатə,ಪಕ್ಷಿ
155,Huhn::N,акəты,ಚಿಕ್
156,Hahn::N,арбаҕь,ಹುಂಜ
157,Gans::N,аҟыз,ವರಟೆ
158,Adler::N,ауарба,ಗರುಡ
159,Ente::N,акəата,ಬಾತು
160,Eule::N,аты,ಗೂಬೆ
161,Kranich::N,апҟа,ಕೊಕ್ಕರ
