,Concept_ID,kl,hy
0,Auge::N,isi,աչք
1,Ohr::N,siut,ականջ
2,Mund::N,paaq,բերան
3,Mund::N,qaneq,բերան
4,Zahn::N,kigut,ատամ
5,Zunge::N,oqaq,լեզու
6,Lippe::N,qarloq,շրթունք
7,Wange::N,ersaq,այտ
8,Wange::N,ersaq,թուշ
9,Gesicht::N,kiinaq,դեմք
10,Stirn::N,qaaq,ճակատ
11,Haar::N,meqqoq,մազ
12,Bart::N,umik,մորուք
13,Kinn::N,talloq,կզակ
14,Kiefer[Anatomie]::N,alleroq,ծնոտ
15,Kehle::N,malaq,կոկորդ
16,Hals::N,qungaseq,վիզ
17,Hals::N,qungaseq,պարանոց
18,Genick::N,pukusuk,ծոծրակ
19,Kopf::N,niaqoq,գլուխ
20,Rücken::N,qimerlut,մեջք
21,Bauch::N,naaq,փոր
22,Bauch::N,naaq,որովայն
23,Nabel::N,qalaseq,պորտ
24,Busen::N,iviangeq,ծոց
25,Brust::N,iviangeq,կուրծք
26,Schulter::N,ersik,ուս
27,Schulter::N,assaqqoq,ուս
28,Arm::N,taleq,թեւ
29,Arm::N,taleq,բազուկ
30,Ellenbogen::N,ikusik,արմունկ
31,Hand::N,assak,ձեռք
32,Handfläche::N,itumak,ափ
33,Finger::N,inuak,մատ
34,Fingernagel::N,kikiak,եղունգ
35,Nagel[Anatomie]::N,kukik,եղունգ
36,Zeh::N,isigak,ոտքի մատ
37,Ferse::N,kimmik,գարշապար
38,Knie::N,seeqqoq,ծունկ
39,Oberschenkel::N,uppat,ազդր
40,Oberschenkel::N,quttoraq,ազդր
41,Bein::N,isigak,ոտք
42,Körper::N,timi,մարմին
43,Haut::N,mattak,մաշկ
44,Blut::N,aak,արյուն
45,Ader::N,taqaq,երակ
46,Sehne::N,ujalu,ջիղ
47,Sehne::N,ujalu,ձգտան
48,Sehne::N,ujaloq,ջիղ
49,Sehne::N,ujaloq,ձգտան
50,Knochen::N,saanikut,ոսկոր
51,Gehirn::N,qarasaq,խելք
52,Herz::N,uummat,սիրտ
53,Magen::N,aqajaroq,ստամոքս
54,Leber::N,tinguk,լյարդ
55,Atem::N,anerneq,շունչ
56,Hunger::N,kaanneq,քաղց
57,Träne::N,qia,արտասուք
58,Träne::N,qiak,արտասուք
59,Geschmack::N,qilanaartuut,համ
60,Geschmack::N,qilanaartuut,բուրմունք
61,Geruch::N,tipi,հոտ
62,Geruch::N,tipi,բուրում
63,Geruch::N,tipik,հոտ
64,Geruch::N,tipik,բուրում
65,Traum::N,sinnattoq,երազ
66,Traum::N,sinnattugaq,երազ
67,Himmel::N,qilak,երկինք
68,Sonne::N,seqineq,արեւ
69,Mond::N,qaammat,լուսին
70,Stern::N,ulloriaq,աստղ
71,Luft::N,silaannaq,օդ
72,Wind::N,anori,քամի
73,Wind::N,anorsarik,քամի
74,Welle::N,aalappaa,ալիք
75,Wasser::N,imeq,ջուր
76,Stein::N,ujarak,քար
77,Boden::N,nateq,գետին
78,Erde::N,issoq,հող
79,Staub::N,pujualanerit,փոշի
80,Staub::N,pujoralanerit,փոշի
81,Rauch::N,iseq,ծուխ
82,Rauch::N,pujoq,ծուխ
83,Funke::N,illoorneq,կայծ
84,Feuer::N,inneq,կրակ
85,Feuer::N,inneq,հրդեհ
86,Licht::N,qaamaneq,լույս
87,Schatten::N,tarraq,ստվեր
88,Wetter::N,sila,եղանակ
89,Nebel::N,pujoq,մեգ
90,Nebel::N,pujoq,մառախուղ
91,Wolke::N,nuia,ամպ
92,Regen::N,sialuk,անձրև
93,Schnee::N,aput,ձյուն
94,Eis::N,siku,սառույց
95,Frost::N,issi,սառնամանիք
96,Frost::N,issik,սառնամանիք
97,Kälte::N,issi,դող
98,Hitze::N,kianneq,շոգ
99,Hitze::N,kiassuseq,շոգ
100,Raureif::N,kaneq,ցօղեղեամ
101,Regenbogen::N,neriusaaq,ծիածան
102,Donner::N,kalleq,որոտ
103,Tropfen::N,kuseriarneq,կաթիլ
104,Schaum::N,qapuk,փրփուր
105,Schmutz::N,minguk,կեղտ
106,See::N,taseq,լիճ
107,Sumpf::N,maqulluk,ճահիճ
108,Wiese::N,masarsuk,մարգագետին
109,Hügel::N,qattuneq,բլուր
110,Hügel::N,majuariaq,բլուր
111,Hügel::N,majorajaaq,բլուր
112,Hügel::N,qaqqannguaq,բլուր
113,Berg::N,qaqqaq,լեռ
114,Höhle::N,qaarusuk,քարայր
115,Abhang::N,ippik,լանջ
116,Abhang::N,ippik,զառիվայր
117,Abhang::N,sivinganeq,լանջ
118,Abhang::N,sivinganeq,զառիվայր
119,Abhang::N,sivingajaaq,լանջ
120,Abhang::N,sivingajaaq,զառիվայր
121,Abhang::N,kussangajaaq,լանջ
122,Abhang::N,kussangajaaq,զառիվայր
123,Bach::N,kuunnguaq,վտակ
124,Fluss::N,kuuk,գետ
125,Ufer::N,sissap sinaa,ծովափ
126,Küste::N,sineriak,ափ
127,Küste::N,sineriak,ծովափ
128,Meer::N,imaq,ծով
129,Bucht::N,ikeq,հաչիւն
130,Bucht::N,kangerluk,հաչիւն
131,Bucht::N,kangerliumaneq,հաչիւն
132,Insel::N,qeqertaq,վղզի
133,Blume::N,naasoq,ծաղիկ
134,Gras::N,ivigaq,խոտ
135,Wurzel::N,niulutaq,արմատ
136,Baum::N,orpik,ծառ
137,Stamm::N,kanaartaq,իրան
138,Rinde::N,ameraq,կեղեւ
139,Rinde::N,ameraq,հաչոց
140,Ast::N,avalequt,ճյուղ
141,Zweig::N,avalequt,ճյուղ
142,Blatt::N,pilutaq,տերեւ
143,Birke::N,patitsit,ցարասի
144,Weide[Baum]::N,palleq,ուռենի
145,Tanne::N,orsuerneq,եղեւին
146,Horn::N,nassuk,
147,Feder::N,suluk,փետուր
