,Concept_ID,be,udm
0,Auge::N,вока,син
1,Ohr::N,вуха,пель
2,Nase::N,нос,ныр
3,Mund::N,рот,ым
4,Zahn::N,зуб,пинь
5,Zunge::N,язык,кыл
6,Lippe::N,губа,ымдур
7,Wange::N,шчака,бам
8,Gesicht::N,твар,ымныр
9,Stirn::N,лоб,кымес
10,Haar::N,волас,йырси
11,Haar::N,валасы,йырси
12,Schnurrbart::N,вус,мыйык
13,Schnurrbart::N,вусы,мыйык
14,Bart::N,барада,туш
15,Kinn::N,падбародак,ангес
16,Kiefer[Anatomie]::N,сківіца,ан
17,Kiefer[Anatomie]::N,сківіца,анлы
18,Kehle::N,горла,гульым
19,Hals::N,шыя,чырты
20,Genick::N,патыліца,йырбер
21,Kopf::N,галава,йыр
22,Rücken::N,спіна,мыш
23,Bauch::N,жывот,кӧт
24,Nabel::N,пупок,гогы
25,Busen::N,грудзі,ноны
26,Brust::N,грудзі,мӧля
27,Schulter::N,плячо,пельпум
28,Arm::N,рука,суй
29,Ellenbogen::N,локаць,гырпум
30,Hand::N,кісць,ки
31,Handfläche::N,далонь,ки пыдэс
32,Handfläche::N,далонь,кырым пыдэс
33,Finger::N,палец,чиньы
34,Fingernagel::N,ногаць,гижы
35,Fingernagel::N,ногаць,гиждӥнь
36,Nagel[Anatomie]::N,ногаць,гижы
37,Zeh::N,палец,пыдчиньы
38,Fuß::N,нага,пыд
39,Ferse::N,пята,пыдбер
40,Ferse::N,пятка,пыдбер
41,Knie::N,калена,пыдес
42,Oberschenkel::N,бядро,макес
43,Oberschenkel::N,сцягно,макес
44,Bein::N,нага,пыд
45,Körper::N,цела,мугор
46,Körper::N,цела,вылтыр
47,Haut::N,скура,ку
48,Blut::N,кроў,вир
49,Ader::N,вена,вирсэр
50,Ader::N,сасуд,вирсэр
51,Sehne::N,жыла,вуж
52,Sehne::N,цеціва,вуж
53,Sehne::N,сухажылле,вуж
54,Knochen::N,косць,лы
55,Gehirn::N,мозг,вим
56,Herz::N,сэрца,сюлэм
57,Magen::N,страўнік,ӝуш
58,Leber::N,печань,мус
59,Atem::N,дыханне,лул
60,Atem::N,дыханне,шокан
61,Hunger::N,голад,кӧтсюман
62,Träne::N,сляза,синкыли
63,Geschmack::N,смак,шӧм
64,Geruch::N,пах,зын
65,Schlaf::N,сон,вӧт
66,Traum::N,сон,уйвӧт
67,Himmel::N,неба,ин
68,Sonne::N,сонца,шунды
69,Mond::N,месяц,толэзь
70,Stern::N,зорка,кизили
71,Luft::N,паветра,омыр
72,Wind::N,вецер,тӧл
73,Welle::N,хваля,тулкым
74,Wasser::N,вада,ву
75,Stein::N,камень,из
76,Boden::N,глеба,музъем
77,Erde::N,зямля,му
78,Staub::N,пыл,пыль
79,Rauch::N,дым,ӵын
80,Funke::N,іскра,гизьы
81,Feuer::N,агонь,тыл
82,Licht::N,святло,тыл
83,Schatten::N,цень,вужер
84,Wetter::N,пагода,куазь
85,Wetter::N,надворʼе,куазь
86,Nebel::N,туман,бус
87,Wolke::N,воблака,пилем
88,Regen::N,дождж,зор
89,Schnee::N,снег,лымы
90,Eis::N,лёд,йӧ
91,Frost::N,мароз,кезьыт
92,Kälte::N,холад,кезьыт
93,Hitze::N,спёка,пӧсь
94,Raureif::N,іней,гӧр
95,Regenbogen::N,вясёлка,вуюись
96,Donner::N,гром,гудыри
97,Strömung::N,цячэнне,бызён
98,Tropfen::N,кропля,шапык
99,Schaum::N,пена,шукы
100,Schmutz::N,гразь,нӧд
101,Schmutz::N,гразь,дэри
102,See::N,возера,ты
103,Sumpf::N,багна,нюр
104,Moor::N,балота,нюр
105,Wiese::N,луг,возь
106,Wiese::N,луг,возьвыл
107,Wald::N,лес,сик
108,Wald::N,лес,нюлэс
109,Hügel::N,узгорак,выр
110,Hügel::N,узгорак,вырйыл
111,Anhöhe::N,узвышша,выр
112,Anhöhe::N,узвышша,вырйыл
113,Berg::N,гара,гурезь
114,Gipfel::N,вяршыня,йыл
115,Höhle::N,пячора,гу
116,Abhang::N,схіл,бам
117,Quelle::N,крыніца,ошмес
118,Bach::N,ручай,пичи шур
119,Fluss::N,рака,шур
120,Ufer::N,бераг,ярдур
121,Küste::N,узбярэжжа,вудур
122,Festland::N,суша,мувыр
123,Meer::N,мора,зарезь
124,Bucht::N,бухта,вукож
125,Insel::N,востраў,вумуӵ
126,Insel::N,востраў,шормуӵ
127,Blume::N,кветка,сяська
128,Gras::N,трава,турын
129,Wurzel::N,корань,выжы
130,Baum::N,дрэва,пу
131,Stamm::N,ствол,модос
132,Rinde::N,кара,сул
133,Ast::N,сук,ул
134,Zweig::N,галіна,вай
135,Blatt::N,ліст,куар
136,Birke::N,бяроза,кызьпу
137,Kiefer[Baum]::N,хвоя,пужым
138,Kiefer[Baum]::N,сасна,пужым
139,Weide[Baum]::N,вярба,бадьпу
140,Tanne::N,яліна,кыз
141,Horn::N,рог,сюр
142,Feder::N,пяро,тылы
143,Fell::N,шкура,ку
144,Flügel::N,крыло,бурд
145,Klaue::N,кіпцюр,гижы
146,Kralle::N,лапа,пыд
147,Schwanz::N,хвост,быж
148,Ei::N,яйка,пуз
149,Ei::N,яйка,кукей
150,Nest::N,гняздо,кар
151,Nest::N,гняздо,пузкар
152,Bau::N,нара,кар
153,Bau::N,нара,гу
154,Tier::N,жывёла,пӧйшур
155,Herde::N,статак,уллё
156,Kuh::N,карова,скал
157,Bulle::N,бык,ош
158,Bulle::N,бык,пороз
159,Pferd::N,конь,вал
160,Schaf::N,авечка,ыж
161,Schwein::N,свіння,парсь
162,Hund::N,сабака,пуны
163,Katze::N,кошка,коӵыш
