,Concept_ID,se,be
0,Auge::N,tjelmie,вока
1,Auge::N,tjalmme,вока
2,Auge::N,čalbmi,вока
3,Auge::N,čalme,вока
4,Auge::N,čâ´lmm,вока
5,Auge::N,ча̄лльм,вока
6,Ohr::N,bieljie,вуха
7,Ohr::N,biellje,вуха
8,Ohr::N,beallji,вуха
9,Ohr::N,pelji,вуха
10,Ohr::N,pe´llj,вуха
11,Ohr::N,пе̄лльй,вуха
12,Nase::N,njuenie,нос
13,Nase::N,njunnje,нос
14,Nase::N,njunni,нос
15,Nase::N,njuṇe,нос
16,Nase::N,njuu´nn,нос
17,Nase::N,нюннҍ,нос
18,Mund::N,njaelmie,рот
19,Mund::N,njálmme,рот
20,Mund::N,njálbmi,рот
21,Mund::N,njälmi,рот
22,Mund::N,njä´lmm,рот
23,Mund::N,ня̄лльм,рот
24,Zahn::N,baenie,зуб
25,Zahn::N,bádne,зуб
26,Zahn::N,bátni,зуб
27,Zahn::N,pääṇi,зуб
28,Zahn::N,pää´nn,зуб
29,Zahn::N,па̄ннҍ,зуб
30,Zunge::N,njoektjeme,язык
31,Zunge::N,njuovtjav,язык
32,Zunge::N,njuovčča,язык
33,Zunge::N,njuovčâ,язык
34,Zunge::N,njuhččâm,язык
35,Zunge::N,нюхчем,язык
36,Lippe::N,bangseme,губа
37,Lippe::N,njálmmerabdda,губа
38,Lippe::N,bavssa,губа
39,Lippe::N,poovsâ,губа
40,Lippe::N,põõus,губа
41,Lippe::N,пэ̄кс,губа
42,Wange::N,skiehrie,шчака
43,Wange::N,nierra,шчака
44,Wange::N,muohtu,шчака
45,Wange::N,nieṛâ,шчака
46,Wange::N,njiõrr,шчака
47,Wange::N,нӣрр,шчака
48,Gesicht::N,ååredæjja,твар
49,Gesicht::N,muohto,твар
50,Gesicht::N,muođut,твар
51,Gesicht::N,ámadadju,твар
52,Gesicht::N,muáđuh,твар
53,Gesicht::N,muâđ,твар
54,Gesicht::N,ка̄ссв,твар
55,Stirn::N,gaalloe,лоб
56,Stirn::N,gállo,лоб
57,Stirn::N,gállu,лоб
58,Stirn::N,kállu,лоб
59,Stirn::N,käll,лоб
60,Stirn::N,вуэххьц,лоб
61,Haar::N,voepte,волас
62,Haar::N,voepte,валасы
63,Haar::N,vuoppta,волас
64,Haar::N,vuoppta,валасы
65,Haar::N,vuokta,волас
66,Haar::N,vuokta,валасы
67,Haar::N,vuop'tâ,волас
68,Haar::N,vuop'tâ,валасы
69,Haar::N,vuõpt,волас
70,Haar::N,vuõpt,валасы
71,Haar::N,вӯппт,волас
72,Haar::N,вӯппт,валасы
73,Schnurrbart::N,bijjie-skaavtjoe,вус
74,Schnurrbart::N,bijjie-skaavtjoe,вусы
75,Schnurrbart::N,njunjevuolskávttjá,вус
76,Schnurrbart::N,njunjevuolskávttjá,вусы
77,Schnurrbart::N,seamu,вус
78,Schnurrbart::N,seamu,вусы
79,Schnurrbart::N,siämu,вус
80,Schnurrbart::N,siämu,вусы
81,Schnurrbart::N,ää´bben,вус
82,Schnurrbart::N,ää´bben,вусы
83,Schnurrbart::N,о̄а̄бпан,вус
84,Schnurrbart::N,о̄а̄бпан,вусы
85,Bart::N,skaavtja,барада
86,Bart::N,skaavtjoe,барада
87,Bart::N,skávttjá,барада
88,Bart::N,seamu,барада
89,Bart::N,siämu,барада
90,Bart::N,seäm,барада
91,Bart::N,ся̄м,барада
92,Kinn::N,gaejpie,падбародак
93,Kinn::N,gájbbe,падбародак
94,Kinn::N,gáibi,падбародак
95,Kinn::N,käibi,падбародак
96,Kinn::N,käi´bb,падбародак
97,Kinn::N,ка̄ййп,падбародак
98,Kiefer[Anatomie]::N,gaejpie,сківіца
99,Kiefer[Anatomie]::N,oalol,сківіца
100,Kiefer[Anatomie]::N,oaloldákte,сківіца
101,Kiefer[Anatomie]::N,gáibi,сківіца
102,Kiefer[Anatomie]::N,uá'lultähti,сківіца
103,Kiefer[Anatomie]::N,vuâl'lõš,сківіца
104,Kiefer[Anatomie]::N,вуаллнешш,сківіца
105,Kehle::N,gealoe,горла
106,Kehle::N,tjåttå,горла
107,Kehle::N,njiello,горла
108,Kehle::N,čotta,горла
109,Kehle::N,čuudâ,горла
110,Kehle::N,čoodd,горла
111,Kehle::N,чонт,горла
112,Kehle::N,кэ̄ҏс,горла
113,Hals::N,tjeapohke,шыя
114,Hals::N,tjiebet,шыя
115,Hals::N,čeabet,шыя
116,Hals::N,čiäppát,шыя
117,Hals::N,čeäppat,шыя
118,Hals::N,ча̄пэх,шыя
119,Genick::N,tjovrese,патыліца
120,Genick::N,nisske,патыліца
121,Genick::N,niehkki,патыліца
122,Genick::N,niski,патыліца
123,Genick::N,niek'ki,патыліца
124,Genick::N,nji´šǩǩmaadd,патыліца
125,Genick::N,нышшькмоант,патыліца
126,Kopf::N,åejjie,галава
127,Kopf::N,oajvve,галава
128,Kopf::N,oaivi,галава
129,Kopf::N,uái'vi,галава
130,Kopf::N,vuei´vv,галава
131,Kopf::N,вуэййв,галава
132,Rücken::N,rudtje,спіна
133,Rücken::N,hárddo,спіна
134,Rücken::N,tjavelk,спіна
135,Rücken::N,sealgi,спіна
136,Rücken::N,selgi,спіна
137,Rücken::N,čielgi,спіна
138,Rücken::N,seä´lǧǧ,спіна
139,Rücken::N,се̄лльк,спіна
140,Bauch::N,tjåejjie,жывот
141,Bauch::N,tjoajvve,жывот
142,Bauch::N,čoavji,жывот
143,Bauch::N,čuáv'ji,жывот
144,Bauch::N,čåu´jj,жывот
145,Bauch::N,чо̄ввьй,жывот
146,Nabel::N,naepie,пупок
147,Nabel::N,náhpe,пупок
148,Nabel::N,náhpi,пупок
149,Nabel::N,nääpi,пупок
150,Nabel::N,nää´pp,пупок
151,Nabel::N,на̄бпь,пупок
152,Busen::N,boenge,грудзі
153,Busen::N,bållå,грудзі
154,Busen::N,čižži,грудзі
155,Busen::N,njamma,грудзі
156,Busen::N,njižže,грудзі
157,Busen::N,nje´ǯǯ,грудзі
158,Busen::N,раннҍт,грудзі
159,Brust::N,mïelke,грудзі
160,Brust::N,radde,грудзі
161,Brust::N,mielgga,грудзі
162,Brust::N,raddi,грудзі
163,Brust::N,radde,грудзі
164,Brust::N,râ´dd,грудзі
165,Brust::N,раннҍт,грудзі
166,Schulter::N,åelkie,плячо
167,Schulter::N,oalgge,плячо
168,Schulter::N,hárdu,плячо
169,Schulter::N,ärdee,плячо
170,Schulter::N,uál'gi,плячо
171,Schulter::N,a´rddi,плячо
172,Schulter::N,vuä´lǧǧ,плячо
173,Schulter::N,вуэллык,плячо
174,Arm::N,gïete,рука
175,Arm::N,giehta,рука
176,Arm::N,giehta,рука
177,Arm::N,kietâ,рука
178,Arm::N,kie'tâkaaṿâ,рука
179,Arm::N,ǩiõtt,рука
180,Arm::N,кӣдт,рука
181,Ellenbogen::N,gernjere,локаць
182,Ellenbogen::N,garŋŋel,локаць
183,Ellenbogen::N,gargŋil,локаць
184,Ellenbogen::N,käŋŋir,локаць
185,Ellenbogen::N,kõõnjâr,локаць
186,Ellenbogen::N,карьнэль,локаць
187,Hand::N,gïete,кісць
188,Hand::N,giehta,кісць
189,Hand::N,giehta,кісць
190,Hand::N,kietâ,кісць
191,Hand::N,ǩiõtt,кісць
192,Hand::N,кӣдт,кісць
193,Handfläche::N,gïeten-låapoe,далонь
194,Handfläche::N,giehtavuodo,далонь
195,Handfläche::N,tjårmmåvuodo,далонь
196,Handfläche::N,giehtaloahpu,далонь
197,Handfläche::N,kiämád,далонь
198,Handfläche::N,kuámmir,далонь
199,Handfläche::N,kuä´m'mer,далонь
200,Handfläche::N,ǩiõttǩeä´m'men,далонь
201,Handfläche::N,ко̄а̄ллдэгк,далонь
202,Handfläche::N,кӣдткоалдэгк,далонь
203,Finger::N,soerme,палец
204,Finger::N,tjuvdde,палец
205,Finger::N,suorbma,палец
206,Finger::N,čuvde,палец
207,Finger::N,suor'mâ,палец
208,Finger::N,suõrmm,палец
209,Finger::N,це̄ххп,палец
210,Fingernagel::N,gadtse,ногаць
211,Fingernagel::N,guehpere,ногаць
212,Fingernagel::N,gadtsa,ногаць
213,Fingernagel::N,gazza,ногаць
214,Fingernagel::N,kozzâ,ногаць
215,Fingernagel::N,kõʒʒ,ногаць
216,Fingernagel::N,кэ̄ннц,ногаць
217,Nagel[Anatomie]::N,gadtse,ногаць
218,Nagel[Anatomie]::N,guehpere,ногаць
219,Nagel[Anatomie]::N,gadtsa,ногаць
220,Nagel[Anatomie]::N,gazza,ногаць
221,Nagel[Anatomie]::N,kozzâ,ногаць
222,Nagel[Anatomie]::N,kõʒʒ,ногаць
223,Nagel[Anatomie]::N,кэ̄ннц,ногаць
224,Zeh::N,tjiehtjere,палец
225,Zeh::N,juolggetjuvdde,палец
226,Zeh::N,juolgesuorbma,палец
227,Zeh::N,jyel'gisuor'mâ,палец
228,Zeh::N,jue´lǧǧsuõrmm,палец
229,Zeh::N,ю̄лльк-це̄һп,палец
230,Fuß::N,juelkie,нага
231,Fuß::N,juolgge,нага
232,Fuß::N,juolgi,нага
233,Fuß::N,jyel'gi,нага
234,Fuß::N,jue´lǧǧ,нага
235,Fuß::N,ла̄бпь,нага
236,Ferse::N,båetskie,пята
237,Ferse::N,båetskie,пятка
238,Ferse::N,boasske,пята
239,Ferse::N,boasske,пятка
240,Ferse::N,šušmi,пята
241,Ferse::N,šušmi,пятка
242,Ferse::N,šušme,пята
243,Ferse::N,šušme,пятка
244,Ferse::N,jue´lǧǧkädd,пята
245,Ferse::N,jue´lǧǧkädd,пятка
246,Ferse::N,ка̄ннт,пята
247,Ferse::N,ка̄ннт,пятка
248,Knie::N,boelve,калена
249,Knie::N,buolvva,калена
250,Knie::N,čibbi,калена
251,Knie::N,veaŋki,калена
252,Knie::N,iidâ,калена
253,Knie::N,puõlvv,калена
254,Knie::N,пуллв,калена
255,Oberschenkel::N,ruaksja,бядро
256,Oberschenkel::N,ruaksja,сцягно
257,Oberschenkel::N,tjibbe,бядро
258,Oberschenkel::N,tjibbe,сцягно
259,Oberschenkel::N,gassaváhkká,бядро
260,Oberschenkel::N,gassaváhkká,сцягно
261,Oberschenkel::N,badjeváhkáa,бядро
262,Oberschenkel::N,badjeváhkáa,сцягно
263,Oberschenkel::N,čuár'bpeeḷi,бядро
264,Oberschenkel::N,čuár'bpeeḷi,сцягно
265,Oberschenkel::N,če´bb,бядро
266,Oberschenkel::N,če´bb,сцягно
267,Oberschenkel::N,чуаррбе̄лль,бядро
268,Oberschenkel::N,чуаррбе̄лль,сцягно
269,Bein::N,juelkie,нага
270,Bein::N,juolgge,нага
271,Bein::N,juolgi,нага
272,Bein::N,jyel'gi,нага
273,Bein::N,jue´lǧǧ,нага
274,Bein::N,ю̄лльк,нага
275,Körper::N,kråahpe,цела
276,Körper::N,rumáj,цела
277,Körper::N,rumaš,цела
278,Körper::N,ruumâš,цела
279,Körper::N,rå´pp,цела
280,Körper::N,лышшьк,цела
281,Körper::N,роаӈӈьк,цела
282,Haut::N,njaltja,скура
283,Haut::N,lijkke,скура
284,Haut::N,tjuobma,скура
