,Concept_ID,tr,mrj
0,Auge::N,göz,сӹнзӓ
1,Ohr::N,kulak,пӹлӹш
2,Nase::N,burun,нер
3,Mund::N,ağız,ышма
4,Zahn::N,diş,пӱ
5,Zunge::N,dil,йӹлмӹ
6,Lippe::N,dudak,тӹрвӹ
7,Wange::N,yanak,шӹргӹ
8,Gesicht::N,yüz,лицӓ
9,Stirn::N,alın,лепкӓ
10,Haar::N,saç,ӱп
11,Schnurrbart::N,bıyık,öрш
12,Bart::N,sakal,пандаш
13,Kinn::N,çene,онгылаш
14,Kiefer[Anatomie]::N,çene,пӱ арата
15,Kehle::N,boğaz,логер
16,Hals::N,boyun,шӱ
17,Hals::N,gerdan,шӱ
18,Genick::N,ense,ланга
19,Kopf::N,baş,вуй
20,Kopf::N,kafa,вуй
21,Rücken::N,arka,туп
22,Bauch::N,karın,мӹшкӹр
23,Nabel::N,göbek,кӹлӹмдӹ
24,Busen::N,koyun,цӹзӹ
25,Brust::N,göğüs,мел
26,Schulter::N,omuz,ӹнгӹжӓ
27,Arm::N,kol,кид
28,Ellenbogen::N,dirsek,кӹнервуй
29,Hand::N,el,лапа
30,Handfläche::N,avuç,кид лапа
31,Handfläche::N,el ayası,кид лапа
32,Finger::N,parmak,парня
33,Fingernagel::N,el tırnağı,кӹч
34,Nagel[Anatomie]::N,tırnak,кӹч
35,Zeh::N,ayak parmağı,парня
36,Fuß::N,ayak,ял лапа
37,Ferse::N,topuk,ялгавал
38,Ferse::N,topuk,ял кавал
39,Knie::N,diz,пылвуй
40,Oberschenkel::N,uyluk,ӓрдӹ
41,Bein::N,bacak,ял
42,Körper::N,vücut,монгыр
43,Haut::N,cilt,кавашты
44,Blut::N,kan,вӹр
45,Ader::N,damar,вӹршӓр
46,Sehne::N,kiriş,кукшышӱн
47,Knochen::N,kemik,лу
48,Gehirn::N,beyin,вим
49,Herz::N,kalp,шӱм
50,Herz::N,yürek,шӱм
51,Magen::N,mide,шӱм
52,Leber::N,karaciğer,мокш
53,Atem::N,nefes,шӱлӹш
54,Hunger::N,açlık,шужымаш
55,Träne::N,gözyaşı,сӹнзӓвӹд
56,Geschmack::N,tat,тот
57,Geschmack::N,lezzet,тот
58,Geruch::N,koku,пыш
59,Schlaf::N,uyku,ом
60,Traum::N,düş,ом
61,Traum::N,rüya,ом
62,Himmel::N,gök,пӹлгом
63,Sonne::N,güneş,кечӹ
64,Mond::N,ay,тӹлзӹ
65,Stern::N,yıldız,шӹдӹр
66,Luft::N,hava,юж
67,Luft::N,hava,воздух
68,Wind::N,yel,мардеж
69,Wind::N,rüzgâr,мардеж
70,Welle::N,dalga,ко
71,Welle::N,dalga,коэ
72,Wasser::N,su,вӹд
73,Stein::N,taş,кӱ
74,Boden::N,yer,рок
75,Boden::N,zemin,рок
76,Erde::N,toprak,свет
77,Staub::N,toz,пырак
78,Rauch::N,duman,шӹкш
79,Funke::N,kıvılcım,ип
80,Funke::N,kıvılcım,тылип
81,Feuer::N,ateş,тыл
82,Licht::N,ışık,соты
83,Licht::N,ışık,валгыды
84,Schatten::N,gölge,ӹмӹл
85,Wetter::N,hava,игечӹ
86,Nebel::N,pus,тӹтӹрӓ
87,Wolke::N,bulut,пӹл
88,Regen::N,yağmur,юр
89,Schnee::N,kar,лым
90,Eis::N,buz,и
91,Frost::N,don,ӱштӹ
92,Kälte::N,soğukluk,ӱштӹ
93,Hitze::N,sıcaklık,шокшы
94,Raureif::N,kırç,пöрш
95,Regenbogen::N,gökkuşağı,шанавӹл
96,Donner::N,gök gürlemesi,хӹдӹртӹш
97,Strömung::N,akıntı,йогы
98,Strömung::N,cereyan,йогы
99,Tropfen::N,damla,капльы
100,Tropfen::N,damla,капльык
101,Schaum::N,köpük,шонг
102,Schmutz::N,çamur,лявӹрӓ
103,Schmutz::N,pislik,лявӹрӓ
104,See::N,göl,йӓр
105,Sumpf::N,batak,лӱкӹ
106,Moor::N,cılgıt,куп
107,Wiese::N,çimen,алык
108,Wald::N,koru,шӹргӹ
109,Wald::N,orman,шӹргӹ
110,Hügel::N,tepe,пӱгӹрикӓ
111,Anhöhe::N,tümsek,кӱкшикӓ
112,Anhöhe::N,yükseklik,кӱкшикӓ
113,Berg::N,dağ,кырык
114,Gipfel::N,zirve,неркӓ
115,Höhle::N,in,ы́раж
116,Höhle::N,mağara,ы́раж
117,Abhang::N,bayır,полом
118,Quelle::N,pınar,вӹдсӹнзӓ
119,Quelle::N,kaynak,вӹдсӹнзӓ
120,Bach::N,çay,ӓнгӹр
121,Bach::N,dere,ӓнгӹр
122,Fluss::N,nehir,вӹд
123,Ufer::N,kıyı,сир
124,Ufer::N,sahil,сир
125,Küste::N,kıyı,сир
126,Küste::N,sahil,сир
127,Festland::N,kara,мӱлӓндӹ
128,Meer::N,deniz,тангыж
129,Bucht::N,koy,вӹдъял
130,Bucht::N,körfez,вӹдъял
131,Insel::N,ada,острок
132,Blume::N,çiçek,пеледӹш
133,Gras::N,ot,шуды
134,Gras::N,çim,шуды
135,Wurzel::N,kök,важ
136,Baum::N,ağaç,пушӓнгӹ
137,Stamm::N,gövde,пушӓнгӹ тӹнг
138,Rinde::N,kabuk,каргыж
139,Ast::N,dal,укш
140,Ast::N,budak,укш
141,Zweig::N,dal,укш
142,Blatt::N,yaprak,листӹ
143,Birke::N,huş,куги
144,Kiefer[Baum]::N,çam,йӓктӹ
145,Weide[Baum]::N,söğüt,уа
146,Tanne::N,çam,кож
147,Tanne::N,köknar,кож
148,Horn::N,boynuz,шур
149,Feder::N,tüy,пын
150,Fell::N,post,кавашты
151,Flügel::N,kanat,шылдыр
152,Klaue::N,pençe,кӹч
153,Kralle::N,tırnak,лапа
154,Schwanz::N,kuyruk,пач
155,Ei::N,yumurta,мыны
156,Nest::N,yuva,пӹжӓш
157,Bau::N,in,ыраж
158,Tier::N,hayvan,во́льык
159,Herde::N,sürü,кӹтö
160,Kuh::N,inek,ышкал
161,Bulle::N,boğa,ӱшкӱж
162,Pferd::N,at,имни
163,Pferd::N,beygir,имни
164,Schaf::N,koyun,шарык
165,Schwein::N,domuz,сасна
166,Hund::N,it,пи
167,Hund::N,köpek,пи
168,Katze::N,kedi,коти
169,Bär::N,ayı,мöскӓ
170,Eichhörnchen::N,sincap,ур
171,Elch::N,büyük kuzey geyiği,шарды
172,Fuchs::N,tilki,рӹвӹж
173,Hase::N,tavşan,морен
174,Maus::N,fare,каля
175,Maus::N,sıçan,каля
176,Wolf::N,kurt,пирӹ
177,Vogel::N,kuş,кек
178,Schwarm::N,sürü,цуца
179,Huhn::N,tavuk,цӹвӹ
180,Hahn::N,horoz,ӓптӓн
181,Gans::N,kaz,комбы
182,Adler::N,kartal,кучкыж
183,Adler::N,karakuş,кучкыж
184,Ente::N,ördek,лыды
185,Eule::N,baykuş,тымана
186,Kranich::N,turna,тырня
187,Kranich::N,turna,тыртня
188,Krähe::N,karga,лудыгарак
189,Kuckuck::N,guguk,куку
190,Schwan::N,kuğu,йӱксӹ
191,Fisch::N,balık,кол
192,Barsch::N,hani,алангы
193,Barsch::N,levrek,алангы
194,Hecht::N,turnabalığı,нуж
195,Hecht::N,turnabalığı,нужгол
196,Schlange[Tier]::N,yılan,кӹшкы
197,Wurm::N,kurt,шукш
198,Wurm::N,solucan,шукш
199,Spinne::N,örümcek,ӓнгӹремшӹ
200,Ameise::N,karınca,кыткы
201,Laus::N,bit,ти
202,Mücke::N,sivrisinek,кужнер
203,Mücke::N,sivrisinek,кужынер
204,Fliege::N,sinek,шӹнгӓ
205,Schmetterling::N,kelebek,лӹпӹ
206,Beere::N,tane,мöр
207,Apfel::N,elma,олма
208,Pilz::N,mantar,понгы
209,Zwiebel::N,soğan,охыра
210,Saat::N,ekin,нӱшмӹ
211,Saat::N,ekin,нӱшмӱ
212,Korn::N,tane,пӹрцӹ
213,Heu::N,kuru ot,шуды
214,Schale::N,kabuk,аваха
215,Schale::N,kabuk,карлангы
216,Grube::N,çukur,йӓм
217,Falle::N,tuzak,лӱдӹ
218,Falle::N,tuzak,лӱдӹш
219,Schlinge::N,ilmik,онгы
220,Spur::N,iz,кишӓ
221,Asche::N,kül,ломых
222,Asche::N,kül,ломпыж
223,Dreck::N,pislik,лявӹрӓ
224,Eisen::N,demir,кӹртни
225,Gold::N,altın,шöртни
226,Gold::N,altın,шöртньӹ
227,Silber::N,gümüş,ши
228,Kohle::N,kömür,шӱ
229,Glas::N,cam,охоница
230,Lehm::N,balçık,шун
231,Sand::N,kum,ошма
232,Mensch::N,insan,эдем
233,Mann::N,adam,пӱэргӹ
234,Mann::N,erkek,пӱэргӹ
235,Frau::N,bayan,ӹдӹрӓмӓш
236,Kind::N,çocuk,ӓзӓ
237,Kind::N,çocuk,шачшы
238,Junge::N,erkek çocuk,рвезӹ
239,Junge::N,erkek çocuk,ӹрвезӹ
240,Mädchen::N,kız,ӹдӹрӓш
241,Familie::N,aile,йиш
242,Familie::N,aile,семня
243,Großvater::N,dede,тьоти
244,Großvater::N,büyükbaba,тьоти
245,Großmutter::N,nine,папа
246,Großmutter::N,büyükanne,папа
247,Eltern::N,ebeveyn,ӓтя-ӓвӓ
248,Eltern::N,ana baba,ӓтя-ӓвӓ
249,Vater::N,ata,ӓтя
250,Vater::N,baba,ӓтя
251,Mutter::N,ana,ӓвӓ
252,Mutter::N,anne,ӓвӓ
253,Sohn::N,oğul,эргӹ
254,Tochter::N,kız,ӹдӹр
255,Tochter::N,kız evlât,ӹдӹр
256,Bruder::N,abi,ӹза
257,Bruder::N,erkek kardeş,ӹза
258,Schwester::N,abla,ӓкӓ
259,Schwester::N,kız kardeş,ӓкӓ
260,Onkel::N,dayı,кугуза
261,Tante::N,hala,куака
262,Tante::N,teyze,куака
263,Ehemann::N,koca,мары
264,Ehefrau::N,karı,вӓтӹ
265,Freude::N,neşe,ӹвӹртӹмӓш
266,Freude::N,sevinç,ӹвӹртӹмӓш
267,Gelächter::N,gülme,ваштылмаш
268,Gelächter::N,kahkaha,ваштылмаш
269,Glück::N,mutluluk,пиӓл
270,Kummer::N,dert,ясы
271,Kummer::N,keder,ясы
272,Wunsch::N,arzu,охата
273,Wunsch::N,arzu,шанымаш
274,Wunsch::N,istek,охата
275,Wunsch::N,istek,шанымаш
276,Lust::N,arzu,шӓр
277,Lust::N,arzu,охата
278,Lust::N,arzu,шанымаш
279,Lust::N,heves,шӓр
280,Lust::N,heves,охата
281,Lust::N,heves,шанымаш
282,Geist::N,tin,тух
283,Gedanke::N,fikir,шанымаш
284,Gedanke::N,düşünce,шанымаш
285,Gedächtnis::N,bellek,ӓш
286,Verstand::N,zekâ,ыш
287,Sinn::N,anlam,кын
288,Grund::N,sebep,вир
289,Wahrheit::N,doğruluk,тöр
290,Wahrheit::N,gerçeklik,тöр
291,Gespräch::N,görüşme,хытырымаш
292,Märchen::N,masal,ямак
293,Erzählung::N,öykü,шайыштмаш
294,Erzählung::N,hikâye,шайыштмаш
295,Nachricht::N,haber,увертӓрӹмӓш
296,Neuigkeit::N,haber,увер
297,Name::N,ad,лӹм
298,Name::N,isim,лӹм
299,Rätsel::N,bilmece,тышты
300,Rede::N,söylev,шая
301,Rede::N,söylev,шамак
302,Rede::N,konuşma,шая
303,Rede::N,konuşma,шамак
304,Sprache::N,dil,йӹлмӹ
305,Sprache::N,lisan,йӹлмӹ
306,Stimme::N,ses,юк
307,Wort::N,kelime,шамак
308,Zeichen::N,işaret,палӹ
309,Ruf::N,çağırma,сӹгӹрӹмӓш
310,Lärm::N,şamata,юкланымащ
311,Lärm::N,gürültü,юкланымащ
312,Laut::N,ses,юк
313,Ton::N,ses,юк
314,Lied::N,türkü,мыры
315,Ruhe::N,sakinlik,тыр
316,Leute::N,halk,эдемвлӓ
317,Leute::N,insanlar,эдемвлӓ
318,Volk::N,ulus,халык
319,Volk::N,millet,халык
320,Arbeit::N,iş,пӓшӓ
321,Arbeit::N,çalışma,пӓшӓ
322,Gast::N,konuk,хына
323,Gast::N,misafir,хына
324,Geschenk::N,hediye,подарка
325,Geschenk::N,armağan,подарка
326,Spiel::N,oyun,мадыш
327,Gesellschaft::N,çevre,йӓл
328,Gesellschaft::N,çevre,йӓлвлӓ
329,Gesellschaft::N,arkadaşlık,йӓл
330,Gesellschaft::N,arkadaşlık,йӓлвлӓ
331,Hilfe::N,yardım,палшык
