,Concept_ID,ja,sl
0,Auge::N,目,okó
1,Ohr::N,耳,uhó
2,Nase::N,鼻,nós
3,Mund::N,口,ústa
4,Zahn::N,歯,zób
5,Zunge::N,舌,jêzik
6,Lippe::N,唇,ústnica
7,Wange::N,頬,líce
8,Gesicht::N,顔,oblíčje
9,Stirn::N,額,čêlo
10,Haar::N,髪,lás
11,Schnurrbart::N,口髭,bŕki
12,Bart::N,髭,bráda
13,Kinn::N,顎,bráda
14,Kiefer[Anatomie]::N,顎,čeljúst
15,Kehle::N,喉,gŕlo
16,Hals::N,首,vrát
17,Genick::N,首,zatílnik
18,Kopf::N,頭,gláva
19,Rücken::N,背中,hrbèt
20,Bauch::N,腹,trébuh
21,Bauch::N,お腹,trébuh
22,Nabel::N,へそ,pópek
23,Busen::N,乳房,nédrja
24,Brust::N,胸,pŕsi
25,Schulter::N,肩,ráma
26,Schulter::N,肩,plêče
27,Arm::N,腕,rôka
28,Ellenbogen::N,肘,komólec
29,Hand::N,手,rôka
30,Handfläche::N,手のひら,dlán
31,Finger::N,指,pŕst
32,Fingernagel::N,爪,nóht na rôki
33,Nagel[Anatomie]::N,爪,nóht
34,Zeh::N,足の指,pŕst na nôgi
35,Fuß::N,足,nôga
36,Ferse::N,かかと,pêta
37,Knie::N,膝,koléno
38,Oberschenkel::N,上腿,stêgno
39,Bein::N,足,nôga
40,Körper::N,体,teló
41,Haut::N,皮膚,kóža
42,Blut::N,血,krí
43,Ader::N,血管,žíla
44,Sehne::N,腱,kíta
45,Knochen::N,骨,kóst
46,Gehirn::N,脳,možgáni
47,Herz::N,心,srcé
48,Herz::N,心臓,srcé
49,Magen::N,胃,želódec
50,Leber::N,肝臓,jétra
51,Atem::N,息,díh
52,Atem::N,呼吸,díh
53,Hunger::N,空腹,glád
54,Träne::N,涙,sólza
55,Geschmack::N,味,okús
56,Geruch::N,匂い,vónj
57,Schlaf::N,睡眠,sèn
58,Schlaf::N,睡眠,spánec
59,Traum::N,夢,sánje
60,Himmel::N,空,nebó
61,Sonne::N,太陽,sónce
62,Mond::N,月,lúna
63,Mond::N,月,mésec
64,Stern::N,星,zvézda
65,Luft::N,空気,zràk
66,Wind::N,風,véter
67,Welle::N,波,vál
68,Wasser::N,水,vôda
69,Stein::N,石,kámen
70,Boden::N,土地,tlà
71,Erde::N,土,pŕst
72,Erde::N,土,zêmlja
73,Staub::N,埃,práh
74,Rauch::N,煙,dìm
75,Funke::N,火花,ískra
76,Feuer::N,火,ôgenj
77,Licht::N,光,lúč
78,Schatten::N,陰,sénca
79,Wetter::N,天気,vrême
80,Nebel::N,霧,meglà
81,Wolke::N,雲,oblák
82,Regen::N,雨,dèž
83,Schnee::N,雪,snég
84,Eis::N,氷,léd
85,Frost::N,霜,zmrzál
86,Kälte::N,寒さ,mràz
87,Hitze::N,暑さ,pripéka
88,Raureif::N,霧氷,ívje
89,Raureif::N,霧氷,slána
90,Regenbogen::N,虹,mávrica
91,Donner::N,雷,gròm
92,Strömung::N,流れ,strúja
93,Tropfen::N,滴,káplja
94,Schaum::N,泡,péna
95,Schmutz::N,汚れ,nesnága
96,See::N,湖,jézero
97,Sumpf::N,沼,močvírje
98,Moor::N,湿原,bárje
99,Wiese::N,草原,trávnik
100,Wald::N,森,lés
101,Wald::N,森,gòzd
102,Hügel::N,丘,brég
103,Hügel::N,丘,goríca
104,Anhöhe::N,高み,gríč
105,Anhöhe::N,高み,višína
106,Berg::N,山,gôra
107,Berg::N,山,planína
108,Gipfel::N,頂上,vŕh
109,Höhle::N,洞窟,jáma
110,Höhle::N,洞窟,votlína
111,Abhang::N,斜面,pobóčje
112,Quelle::N,泉,izvír
113,Bach::N,小川,pôtok
114,Fluss::N,川,réka
115,Ufer::N,岸,brég
116,Küste::N,海岸,obála
117,Küste::N,海岸,obréžje
118,Festland::N,陸,celína
119,Festland::N,陸,kopnína
120,Meer::N,海,mórje
121,Bucht::N,湾,zalív
122,Insel::N,島,ôtok
123,Blume::N,花,cvetlíca
124,Gras::N,草,tráva
125,Wurzel::N,根,korenína
126,Baum::N,木,drevó
127,Stamm::N,幹,dêblo
128,Rinde::N,皮層,lúbje
129,Rinde::N,皮層,skórja
130,Ast::N,枝,véja
131,Zweig::N,小枝,véja
132,Blatt::N,葉,líst
133,Birke::N,樺,bréza
134,Kiefer[Baum]::N,松,bòr
135,Weide[Baum]::N,柳,vŕba
136,Tanne::N,樅,hója
137,Horn::N,角,róg
