,Concept_ID,cy,is
0,Auge::N,llygad,auga
1,Ohr::N,clust,eyra
2,Nase::N,trwyn,nef
3,Mund::N,ceg,munnur
4,Zahn::N,dant,tönn
5,Zunge::N,tafod,tunga
6,Lippe::N,gwefus,vör
7,Wange::N,boch,kinn
8,Wange::N,boch,vangi
9,Gesicht::N,wyneb,andlit
10,Stirn::N,talcen,enni
11,Haar::N,blew,hár
12,Schnurrbart::N,mwstas,yfirskegg
13,Bart::N,barf,skegg
14,Kinn::N,gên,haka
15,Kiefer[Anatomie]::N,gên,kjálki
16,Kiefer[Anatomie]::N,gên,skoltur
17,Kehle::N,gwddf,kverk
18,Hals::N,gwddf,háls
19,Genick::N,gwar,hnakki
20,Genick::N,gwegil,hnakki
21,Kopf::N,pen,höfuð
22,Rücken::N,cefn,hryggur
23,Bauch::N,bol,kviður
24,Nabel::N,bogail,nafli
25,Busen::N,bron,barmur
26,Brust::N,brest,brjóst
27,Schulter::N,ysgwydd,öxl
28,Arm::N,braich,armur
29,Ellenbogen::N,penelin,olnbogi
30,Hand::N,llaw,hönd
31,Handfläche::N,palf,lófi
32,Finger::N,bys,fingur
33,Fingernagel::N,ewin,fingurnögl
34,Nagel[Anatomie]::N,ewin,nögl
35,Zeh::N,bys troed,tá
36,Fuß::N,troed,fótur
37,Ferse::N,sawdl,hæll
38,Knie::N,glin,kné
39,Oberschenkel::N,clun,læri
40,Bein::N,coes,fótleggur
41,Körper::N,corff,búkur
42,Körper::N,corff,líkami
43,Haut::N,croen,húð
44,Haut::N,croen,skinn
45,Blut::N,gwaed,blóð
46,Ader::N,gwythïen,æð
47,Sehne::N,gewyn,sin
48,Knochen::N,asgwrn,bein
49,Gehirn::N,ymennydd,heili
50,Herz::N,calon,hjarta
51,Magen::N,cylla,magi
52,Magen::N,stumog,magi
53,Leber::N,iau,lifur
54,Atem::N,anadl,andi
55,Atem::N,anadl,andardráttur
56,Hunger::N,newyn,hungur
57,Träne::N,deigryn,tár
58,Geschmack::N,cyflas,smekkur
59,Geruch::N,aroglau,lykt
60,Schlaf::N,cwsg,svefn
61,Traum::N,breuddwyd,draumur
62,Himmel::N,awyr,himinn
63,Sonne::N,haul,sól
64,Mond::N,lleuad,tungl
65,Stern::N,seren,stjarna
66,Luft::N,awyr,loft
67,Wind::N,gwynt,vindur
68,Welle::N,ton,alda
69,Welle::N,ton,bylgja
70,Wasser::N,dŵr,vatn
71,Stein::N,carreg,steinn
72,Boden::N,llawr,botn
73,Erde::N,pridd,jörð
74,Staub::N,llwch,ryk
75,Staub::N,llwch,duft
76,Rauch::N,mwg,reykur
77,Funke::N,gwreichioni,neisti
78,Feuer::N,tân,eldur
79,Licht::N,golau,ljós
80,Schatten::N,cysgod,skuggi
81,Wetter::N,tywydd,veður
82,Nebel::N,niwl,þoka
83,Wolke::N,cwmwl,ský
84,Regen::N,glaw,regn
85,Schnee::N,ôd,snjór
86,Schnee::N,eira,snjór
87,Eis::N,iâ,ís
88,Frost::N,rhew,frost
89,Kälte::N,oerni,kuldi
90,Kälte::N,annwyd,kuldi
91,Hitze::N,gwres,hiti
92,Raureif::N,barrug,hrím
93,Regenbogen::N,enfys,regnbogi
94,Donner::N,tyrfau,þruma
95,Strömung::N,cerrynt,straumur
96,Tropfen::N,dafn,dropi
97,Tropfen::N,diferyn,dropi
98,Schaum::N,ewyn,froða
99,Schmutz::N,baw,óhreinindi
100,Schmutz::N,budreddi,óhreinindi
101,See::N,llyn,stöðuvatn
102,Sumpf::N,cors,fen
103,Moor::N,rhos,mýri
104,Wiese::N,dôl,engi
105,Wald::N,coedwig,skógur
106,Hügel::N,bryn,hæð
107,Hügel::N,bryn,hóll
108,Anhöhe::N,bryn,hæð
109,Anhöhe::N,bryn,hóll
110,Berg::N,mynydd,fell
111,Berg::N,mynydd,fjall
112,Gipfel::N,copa,tindur
113,Höhle::N,ogof,hellir
114,Abhang::N,llethr,hlíð
115,Abhang::N,llethr,brekka
116,Quelle::N,tarddiad,lind
117,Quelle::N,tarddiad,uppspretta
118,Quelle::N,ffynhonnell,lind
119,Quelle::N,ffynhonnell,uppspretta
120,Bach::N,nant,lækur
121,Bach::N,afonig,lækur
122,Bach::N,cornant,lækur
123,Fluss::N,afon,á
124,Fluss::N,afon,fljót
125,Ufer::N,glan,árbakki
126,Ufer::N,glan,sjávarbakki
127,Küste::N,traeth,strönd
128,Küste::N,arfordir,strönd
129,Festland::N,tir,meginland
130,Meer::N,môr,haf
131,Meer::N,môr,sjór
132,Bucht::N,bae,vík
133,Insel::N,ynys,eyja
134,Blume::N,blodyn,blóm
135,Gras::N,glaswellt,gras
136,Wurzel::N,gwreiddyn,rót
137,Baum::N,coeden,tré
138,Stamm::N,colfen,stofn
139,Stamm::N,boncyff,stofn
140,Rinde::N,rhisgl,börkur
141,Ast::N,cangen,grein
142,Zweig::N,cainc,angi
143,Zweig::N,cainc,kvistur
144,Zweig::N,cangen,angi
145,Zweig::N,cangen,kvistur
146,Blatt::N,deilen,blað
147,Birke::N,bedwen,birki
148,Kiefer[Baum]::N,pinwydden,fura
149,Weide[Baum]::N,helygen,víðir
150,Tanne::N,ffynidwydden,greni
151,Horn::N,corn,horn
152,Feder::N,plufyn,fjöður
153,Fell::N,ffwr,skinn
154,Flügel::N,adain,vængur
155,Klaue::N,crafanc,kló
156,Kralle::N,ewin,kló
157,Schwanz::N,cwt,rófa
158,Schwanz::N,cwt,skott
159,Schwanz::N,cynffon,rófa
160,Schwanz::N,cynffon,skott
161,Ei::N,wy,egg
162,Nest::N,nyth,hreiður
163,Bau::N,ffau,greni
164,Bau::N,ffau,bæli
165,Tier::N,anifail,dýr
166,Herde::N,praidd,hjörð
167,Herde::N,diadell,hjörð
168,Kuh::N,buwch,kýr
169,Bulle::N,tarw,boli
170,Pferd::N,ceffyl,hestur
171,Schaf::N,dafad,kind
172,Schwein::N,mochyn,svín
173,Hund::N,ci,hundur
174,Katze::N,cath,köttur
175,Bär::N,arth,björn
176,Eichhörnchen::N,gwiwer,íkorni
177,Elch::N,elc,elgur
178,Fuchs::N,cadno,refur
179,Hase::N,ysgyfarnog,héri
180,Maus::N,llygoden,mús
181,Wolf::N,blaidd,úlfur
182,Vogel::N,aderyn,fugl
183,Schwarm::N,haid,sægur
184,Huhn::N,cyw,hæna
185,Hahn::N,ceiliog,hani
186,Gans::N,gŵydd,gæs
187,Adler::N,eryr,örn
188,Ente::N,hwyad,önd
189,Eule::N,tylluan,uggla
190,Kranich::N,garan,trana
191,Kranich::N,crychydd,trana
192,Krähe::N,brân,kráka
193,Kuckuck::N,cog,gaukur
194,Kuckuck::N,cwcw,gaukur
195,Schwan::N,alarch,svanur
196,Fisch::N,pysgod,fiskur
197,Barsch::N,draenog,aborri
198,Hecht::N,penhwyad,gedda
199,Schlange[Tier]::N,neidr,naðra
200,Wurm::N,abwydyn,ormur
201,Wurm::N,pryf genwair,ormur
202,Spinne::N,cor,kónguló
203,Spinne::N,pryf copyn,kónguló
204,Ameise::N,morgrugyn,maur
205,Laus::N,lleuen,lús
206,Mücke::N,gwybedyn,mý
207,Mücke::N,gwybedyn,mýfluga
208,Fliege::N,cleren,fluga
209,Schmetterling::N,glöyn byw,fiðrildi
210,Schmetterling::N,iâr fach yr haf,fiðrildi
211,Beere::N,aeronen,ber
212,Apfel::N,afal,epli
213,Pilz::N,madarch,sveppur
214,Zwiebel::N,nionyn,laukur
215,Zwiebel::N,winwnsyn,laukur
216,Saat::N,had,fræ
217,Saat::N,had,útsæði
218,Korn::N,grawn,korn
219,Heu::N,gwair,hey
220,Schale::N,croen,hýði
221,Schale::N,plisgyn,hýði
222,Grube::N,pwll,gryfja
223,Grube::N,pydew,gryfja
224,Falle::N,magl,gildra
225,Schlinge::N,cwlwm rhedeg,snara
226,Spur::N,ôl,spor
227,Asche::N,lludw,aska
228,Dreck::N,baw,óþverri
229,Dreck::N,budreddi,óþverri
230,Eisen::N,haearn,járn
231,Gold::N,aur,gull
232,Silber::N,arian,silfur
233,Kohle::N,glo,kol
234,Glas::N,gwydr,gler
235,Lehm::N,clai,leir
236,Sand::N,tywod,sandur
237,Mensch::N,dyn,maður
238,Mensch::N,dyn,manneskja
239,Mann::N,dyn,maður
240,Mann::N,dyn,karlmaður
241,Frau::N,merch,kona
242,Frau::N,gwraig,kona
243,Kind::N,plentyn,barn
244,Kind::N,plentyn,krakki
245,Junge::N,hogyn,drengur
246,Junge::N,bachgen,drengur
247,Mädchen::N,merch,stelpa
248,Mädchen::N,geneth,stelpa
249,Familie::N,teulu,fjölskylda
250,Familie::N,tylwyth,fjölskylda
251,Großvater::N,taid,afi
252,Großvater::N,tad-cu,afi
253,Großmutter::N,nain,amma
254,Großmutter::N,mam-gu,amma
255,Eltern::N,rhieni,foreldrar
256,Vater::N,tad,faðir
257,Mutter::N,mam,móðir
258,Sohn::N,mab,sonur
259,Tochter::N,merch,dóttir
260,Bruder::N,brawd,bróðir
261,Schwester::N,chwaer,systir
262,Onkel::N,ewythr,föðurbróðir
263,Tante::N,modryb,frænka
264,Tante::N,modryb,móðursystir
265,Ehemann::N,gŵr,eiginmaður
266,Ehefrau::N,gwraig,eiginkona
267,Freude::N,gorfoledd,gleði
268,Gelächter::N,chwerthin,hlátur
269,Glück::N,hapusrwydd,gæfa
270,Kummer::N,galar,sorg
271,Wunsch::N,dymuniad,ósk
272,Lust::N,chwant,fýsn
273,Lust::N,chwant,löngun
274,Geist::N,ysbryd,andi
275,Gedanke::N,meddwl,hugsun
276,Gedächtnis::N,cof,minni
277,Verstand::N,meddwl,vit
278,Sinn::N,ystyr,merking
279,Grund::N,achos,ástæða
280,Grund::N,rheswm,ástæða
281,Wahrheit::N,gwir,sannleikur
282,Wahrheit::N,gwirionedd,sannleikur
283,Gespräch::N,sgwrs,samtal
284,Märchen::N,chwedl werin,ævintýri
285,Erzählung::N,stori,saga
286,Nachricht::N,neges,frétt
287,Neuigkeit::N,newydd,frétt
288,Name::N,enw,nafn
289,Rätsel::N,pos,gáta
290,Rede::N,araith,ræða
291,Sprache::N,iaith,mál
292,Sprache::N,iaith,tungumál
293,Stimme::N,llais,rödd
294,Wort::N,gair,orð
295,Zeichen::N,arwydd,tákn
296,Zeichen::N,arwydd,merki
297,Ruf::N,galwad,kall
298,Lärm::N,trwst,hávaði
299,Laut::N,sain,hljóð
300,Ton::N,tôn,tónn
301,Lied::N,cân,ljóð
302,Lied::N,cân,söngur
303,Ruhe::N,tawelwch,ró
304,Ruhe::N,tawelwch,kyrrð
305,Leute::N,pobl,fólk
306,Volk::N,pobl,þjóð
307,Arbeit::N,gwaith,vinna
308,Gast::N,gwestai,gestur
309,Geschenk::N,rhodd,gjöf
310,Geschenk::N,anrheg,gjöf
311,Spiel::N,chwarae,leikur
312,Gesellschaft::N,cwmni,selskapur
313,Hilfe::N,cymorth,hjálp
314,Freund::N,cyfaill,vinur
315,Kamerad::N,cydymaith,félagi
316,Angelegenheit::N,pwnc,mál
317,Angelegenheit::N,pwnc,málefni
318,Anzahl::N,cyfrif,tala
319,Anzahl::N,cyfrif,fjöldi
320,Art::N,bath,tegund
321,Stück::N,darn,biti
322,Stück::N,darn,stykki
323,Teil::N,rhan,hluti
324,Teil::N,rhan,partur
325,Hälfte::N,hanner,helmingur
326,Kreis::N,cylch,hringur
327,Kreuz::N,croes,kross
328,Kreuz::N,croes,krossmark
329,Linie::N,llinell,lína
330,Strich::N,strôc,strik
331,Strich::N,trawiad,strik
332,Abstand::N,bwlch,millibil
333,Abstand::N,pellter,millibil
334,Entfernung::N,pellter,fjarlægð
335,Gegend::N,cylch,hérað
336,Platz::N,lle,pláss
337,Ort::N,lle,staður
338,Seite::N,ochr,hlið
339,Mitte::N,canol,miðja
340,Gegenstand::N,eitem,hlutur
341,Sache::N,peth,mál
342,Rand::N,cwr,brún
343,Rand::N,ymyl,brún
344,Kante::N,min,rönd
345,Kante::N,ymyl,rönd
346,Ecke::N,cornel,horn
347,Spitze::N,blaen,oddur
348,Ende::N,pen,endi
349,Loch::N,twll,gat
350,Loch::N,twll,hola
351,Winkel::N,congl,skot
352,Winkel::N,congl,krókur
353,Muster::N,patrwm,munstur
354,Größe::N,maint,stærð
355,Größe::N,maintioli,stærð
356,Länge::N,hyd,lengd
357,Höhe::N,uchder,hæð
358,Gewicht::N,pwysau,vigt
359,Gewicht::N,pwysau,þyngd
360,Menge::N,swm,magn
361,Menge::N,maint,magn
362,Haufen::N,pentwr,hrúga
363,Haufen::N,pentwr,haugur
364,Reihe::N,rhes,röð
365,Boot::N,cwch,bátur
366,Ruder::N,rhwyf,ár
367,Schlitten::N,sled,sleði
368,Schlitten::N,car llusg,sleði
369,Ski::N,sgi,skíði
370,Lagerfeuer::N,coelcerth,varðeldur
371,Last::N,llwyth,byrði
372,Last::N,llwyth,farmur
373,Gang::N,tro,ganga
374,Schritt::N,cam,skref
375,Norden::N,gogledd,norður
376,Süden::N,de,suður
