,Concept_ID,ab,fr
0,Auge::N,ала,œil
1,Ohr::N,алымҳа,oreille
2,Nase::N,аҧынҵа,nez
3,Mund::N,аҧышə,bouche
4,Zahn::N,ахаҧыц,dent
5,Zunge::N,абз,langue
6,Lippe::N,ақьышə,lèvre
7,Wange::N,аӡамҩа,joue
8,Gesicht::N,аҿы,face
9,Gesicht::N,аҿы,visage
10,Stirn::N,алахь,front
11,Haar::N,ахəыц,cheveu
12,Schnurrbart::N,аҧаҵа,moustache
13,Bart::N,ажакьа,barbe
14,Kinn::N,ацламкəыгə,menton
15,Kiefer[Anatomie]::N,ацламҳəа,mâchoire
16,Kehle::N,ахəда,gorge
17,Hals::N,ахəда,cou
18,Genick::N,ахəдаџьал,nuque
19,Kopf::N,ахы,tête
20,Rücken::N,азқəа,dos
21,Bauch::N,амгəа,ventre
22,Nabel::N,аҷапан,nombril
23,Busen::N,агəыҧҳəы,sein
24,Brust::N,агəышҧы,poitrine
25,Schulter::N,ажəҩахыр,épaule
26,Arm::N,амахəар,bras
27,Ellenbogen::N,амашьхəылҵ,coude
28,Hand::N,анапы,main
29,Handfläche::N,анапсаргəыҵа,paume
30,Finger::N,анацəа,doigt
31,Fingernagel::N,анапхыц,ongle
32,Nagel[Anatomie]::N,ашьапхыц,ongle
33,Zeh::N,ашьацəа,orteil
34,Zeh::N,ашьацəа,doigt de pied
35,Fuß::N,ашьапсыргəыҵа,pied
36,Ferse::N,ашьхəа,talon
37,Knie::N,ашьамхы,genou
38,Oberschenkel::N,ауаҭəа,cuisse
39,Bein::N,ашьапы,jambe
40,Körper::N,ацəеижь,corps
41,Haut::N,ацəа,peau
42,Blut::N,ашьа,sang
43,Ader::N,ада,veine
44,Sehne::N,адаш,tendon
45,Knochen::N,абаҩ,os
46,Gehirn::N,ахшлыбаҩ,cerveau
47,Gehirn::N,ахшыбаҩ,cerveau
48,Herz::N,агəы,cœur
49,Magen::N,аца,estomac
50,Magen::N,ацар,estomac
51,Leber::N,агəаҵəа,foie
52,Atem::N,аҧсыҧлагаҩгара,haleine
53,Hunger::N,амла,faim
54,Träne::N,алабжыш,larme
55,Geschmack::N,агьама,goût
56,Geschmack::N,агьама,saveur
57,Geruch::N,афҩы,odeur
58,Schlaf::N,ацəа,sommeil
59,Traum::N,аҧхыӡ,songe
60,Himmel::N,ажəҩан,ciel
61,Sonne::N,амра,soleil
62,Mond::N,амза,lune
63,Stern::N,аеҵəа,étoile
64,Luft::N,аҳаир,air
65,Wind::N,аҧша,vent
66,Welle::N,ацəқəырҧа,vague
67,Wasser::N,аӡы,eau
68,Stein::N,ахаҳə,pierre
69,Boden::N,адгьыл,sol
70,Boden::N,адгьыл,terrain
71,Erde::N,адгьыл,terre
72,Staub::N,асаба,poussière
73,Rauch::N,алҩа,fumée
74,Funke::N,акəиц,étincelle
75,Funke::N,ацҧхь,étincelle
76,Feuer::N,амца,feu
77,Licht::N,алашара,lumière
78,Schatten::N,ашəшьыра,ombre
79,Wetter::N,амш,temps
80,Nebel::N,анаҟəа,brume
81,Nebel::N,анаҟəа,brouillard
82,Wolke::N,аҧсҭҳəа,nuage
83,Regen::N,ақəа,pluie
84,Schnee::N,асы,neige
85,Eis::N,аҵаа,glace
86,Frost::N,аҵаа,gel
87,Frost::N,аҵаа,gelée
88,Kälte::N,ахьҭа,froid
89,Hitze::N,ашоура,chaleur
90,Raureif::N,аҵааҧшқа,givre
91,Regenbogen::N,ацəаҟəа,arc-en-ciel
92,Donner::N,адыд,tonnerre
93,Strömung::N,аиасра,courant
94,Strömung::N,амҩасра,courant
95,Tropfen::N,ацəыкəбар,goutte
96,Schaum::N,ашəах,écume
97,Schaum::N,ашəах,mousse
98,Schmutz::N,алымт,boue
99,Schmutz::N,алымт,saleté
100,See::N,аӡиа,lac
