,Concept_ID,mn,ko
0,Auge::N,нүд,눈
1,Ohr::N,чих,귀
2,Nase::N,хамар,코
3,Mund::N,ам,입
4,Zahn::N,шүд,이
5,Zunge::N,хэл,혀
6,Lippe::N,уруул,입술
7,Wange::N,хацар,뺨
8,Gesicht::N,царай,얼굴
9,Gesicht::N,нүүр,얼굴
10,Stirn::N,дух,이마
11,Haar::N,үс,털
12,Schnurrbart::N,дээд сахал,윗수몀
13,Schnurrbart::N,дээд сахал,코밑수염
14,Schnurrbart::N,живэр сахал,윗수몀
15,Schnurrbart::N,живэр сахал,코밑수염
16,Bart::N,сахал,수엄
17,Kinn::N,эрүү,아래턱
18,Kiefer[Anatomie]::N,эрүү,턱
19,Kehle::N,хоолой,인후
20,Hals::N,хүзүү,목
21,Genick::N,шил,먹덜이
22,Genick::N,хүзүү,먹덜이
23,Kopf::N,толгой,머리
24,Rücken::N,ар,든
25,Rücken::N,нуруу,든
26,Bauch::N,хэвлий,배
27,Bauch::N,гэдэс,배
28,Nabel::N,хүйс,배꼽
29,Busen::N,хөх,가슴속
30,Brust::N,цээж,가슴
31,Schulter::N,мөр,어깨
32,Schulter::N,бугалга,어깨
33,Arm::N,гар,팔
34,Ellenbogen::N,тохой,팔쿰치
35,Hand::N,гар,손
36,Hand::N,алга,손
37,Handfläche::N,алга,손바닥
38,Finger::N,хуруу,속가락
39,Fingernagel::N,хурууны хумс,손톱
40,Nagel[Anatomie]::N,хумс,손톱
41,Zeh::N,хуруу,발가락
42,Fuß::N,хөл,발
43,Ferse::N,өсгий,발꿈치
44,Knie::N,өвдөг,무릎
45,Oberschenkel::N,гуя,허벅다리
46,Bein::N,хөл,다리
47,Körper::N,бие,구간
48,Haut::N,арьс,살갗
49,Blut::N,цус,피
50,Ader::N,судас,정맥
51,Sehne::N,бүлх,현
52,Sehne::N,шандас,현
53,Knochen::N,яс,뼈
54,Gehirn::N,тархи,뇌
55,Gehirn::N,тархи,뇌수
56,Herz::N,зүрх,염통
57,Magen::N,ходоод,위
58,Leber::N,элэг,간
59,Atem::N,амьсгаа,기식
60,Hunger::N,өлсгөлөн,공복
61,Träne::N,нулимс,눈물
62,Geschmack::N,амт,기호
63,Geruch::N,үнэр,냄새
64,Schlaf::N,нойр,수면
65,Traum::N,зүүд,쿰
66,Himmel::N,тэнгэр,하늘
67,Himmel::N,огторгуй,하늘
68,Sonne::N,нар,해
69,Mond::N,сар,달
70,Stern::N,од,별
71,Luft::N,агаар,동준
72,Luft::N,агаар,가스채
73,Wind::N,салхи,바람
74,Welle::N,долгио,물결
75,Welle::N,давалгаа,물결
76,Wasser::N,ус,물
77,Stein::N,чулуу,돌
78,Boden::N,хөрс,바닥
79,Erde::N,газар,흙
80,Erde::N,шороо,흙
81,Staub::N,тоос,먼지
82,Rauch::N,утаа,연기
83,Funke::N,оч,불티
84,Feuer::N,гал,불
85,Licht::N,гэрэл,불
86,Licht::N,гэгээ,불
87,Schatten::N,сүүдэр,어스레함
88,Wetter::N,тэнгэр,기상
89,Wetter::N,цаг уур,기상
90,Nebel::N,будан,안개
91,Wolke::N,үүл,구름
92,Regen::N,бороо,비
93,Schnee::N,цас,눈
94,Eis::N,мөс,얼음
95,Frost::N,хүйт,혹한
96,Kälte::N,хүйт,추위
97,Kälte::N,хүйт,차가움
98,Hitze::N,халуун,고온
99,Hitze::N,халуун,더위
100,Raureif::N,цан,
101,Raureif::N,хяруу,
102,Regenbogen::N,солонго,무지개
103,Donner::N,тэнгэрийн дуу,뇌명
104,Strömung::N,урсгал,유동
105,Tropfen::N,дусал,물방울
106,Schaum::N,хөөс,포말
107,Schmutz::N,хир,때
108,Schmutz::N,шавхай,때
109,See::N,нуур,호수
110,Sumpf::N,намаг,습지
111,Sumpf::N,балчиг,습지
112,Moor::N,хүлрийн намаг,저습지
113,Wiese::N,нуга,목초지
114,Wald::N,ой,숲
115,Hügel::N,болдог,언덕
116,Anhöhe::N,гүвээ,언덕
117,Berg::N,уул,산
118,Gipfel::N,орой,졀졍
119,Gipfel::N,оргил,졀졍
120,Höhle::N,агуй,공동
