,Concept_ID,cv,cy
0,Auge::N,куҫ,llygad
1,Ohr::N,хӑлха,clust
2,Nase::N,сӑмса,trwyn
3,Mund::N,ҫӑвар,ceg
4,Zahn::N,шӑл,dant
5,Zunge::N,чӗлхе,tafod
6,Lippe::N,тута,gwefus
7,Wange::N,пит ҫӑмарти,boch
8,Gesicht::N,пит,wyneb
9,Gesicht::N,пит-куҫ,wyneb
10,Stirn::N,ҫамка,talcen
11,Haar::N,ҫӳҫ,blew
12,Schnurrbart::N,усси,mwstas
13,Bart::N,сухал,barf
14,Kinn::N,янах,gên
15,Kiefer[Anatomie]::N,янах,gên
16,Kehle::N,пыр,gwddf
17,Kehle::N,карланкӑ,gwddf
18,Hals::N,пыр,gwddf
19,Genick::N,ӗнсе,gwar
20,Genick::N,ӗнсе,gwegil
21,Kopf::N,пуҫ,pen
22,Rücken::N,ҫурӑм,cefn
23,Nabel::N,кӑвапа,bogail
24,Busen::N,кӑкӑр,bron
25,Brust::N,умӗ,brest
26,Schulter::N,хул пуҫҫи,ysgwydd
27,Arm::N,алӑ,braich
28,Ellenbogen::N,чавса,penelin
29,Hand::N,алӑ сыппи,llaw
30,Handfläche::N,ал лаппи,palf
31,Finger::N,пӳрне,bys
32,Fingernagel::N,чӗрне,ewin
33,Nagel[Anatomie]::N,чӗрне,ewin
34,Zeh::N,пӳрне,bys troed
35,Fuß::N,ура лаппи,troed
36,Ferse::N,кӗле,sawdl
37,Knie::N,чӗркуҫҫи,glin
38,Oberschenkel::N,пӗҫӗ,clun
39,Bein::N,ура,coes
40,Körper::N,ӳт,corff
41,Körper::N,ӳт-пӳ,corff
42,Haut::N,тир,croen
43,Blut::N,юн,gwaed
44,Ader::N,вена,gwythïen
45,Sehne::N,шӑнӑр,gewyn
46,Knochen::N,шӑмӑ,asgwrn
47,Gehirn::N,миме,ymennydd
48,Herz::N,чӗре,calon
49,Magen::N,хырӑмлӑх,cylla
50,Magen::N,хырӑмлӑх,stumog
51,Leber::N,пӗвер,iau
52,Atem::N,сывлав,anadl
53,Hunger::N,выҫлӑх,newyn
54,Träne::N,куҫҫуль,deigryn
55,Geschmack::N,техӗм,cyflas
56,Geruch::N,шӑршӑ,aroglau
57,Schlaf::N,ыйхӑ,cwsg
58,Traum::N,тӗлӗк,breuddwyd
59,Himmel::N,пӗлӗт,awyr
60,Sonne::N,хӗвел,haul
61,Mond::N,уйӑх,lleuad
62,Stern::N,ҫӑлтӑр,seren
63,Luft::N,сывлӑш,awyr
64,Wind::N,ҫил,gwynt
65,Welle::N,хум,ton
66,Wasser::N,шыв,dŵr
67,Wasser::N,шыв-шур,dŵr
68,Stein::N,чул,carreg
69,Boden::N,тӑпра,llawr
70,Erde::N,ҫӗр,pridd
71,Staub::N,тусан,llwch
72,Rauch::N,тӗтӗм,mwg
73,Funke::N,хӗм,gwreichioni
74,Feuer::N,вут,tân
75,Feuer::N,ҫулӑм,tân
76,Licht::N,ҫутӑ,golau
77,Schatten::N,сулхӑн,cysgod
78,Wetter::N,ҫанталӑк,tywydd
79,Nebel::N,тӗтре,niwl
80,Wolke::N,пӗлӗт,cwmwl
81,Regen::N,ҫумӑр,glaw
82,Schnee::N,юр,ôd
83,Schnee::N,юр,eira
84,Eis::N,пӑр,iâ
85,Frost::N,сивӗ,rhew
86,Kälte::N,сивӗ,oerni
87,Kälte::N,сивӗ,annwyd
88,Hitze::N,вӗри,gwres
89,Hitze::N,шӑрӑх,gwres
90,Raureif::N,пас,barrug
91,Regenbogen::N,асамат кӗперӗ,enfys
92,Donner::N,аслати,tyrfau
93,Strömung::N,юхӑ,cerrynt
94,Tropfen::N,тумлам,dafn
95,Tropfen::N,тумлам,diferyn
96,Schaum::N,кӑпӑк,ewyn
97,Schmutz::N,пылчӑк,baw
98,Schmutz::N,пылчӑк,budreddi
99,See::N,кӳлӗ,llyn
100,Sumpf::N,шур,cors
101,Sumpf::N,шурлӑх,cors
102,Moor::N,торфлӑ шурлӑх,rhos
103,Wiese::N,улӑх,dôl
104,Wiese::N,ҫаран,dôl
105,Wald::N,вӑрман,coedwig
106,Hügel::N,сӑрт,bryn
107,Hügel::N,тӗмеске,bryn
108,Anhöhe::N,сӑрт,bryn
109,Berg::N,ту,mynydd
110,Gipfel::N,тӳпе,copa
111,Höhle::N,ҫӗр хӑвӑлӗ,ogof
112,Abhang::N,тӑвайкки,llethr
113,Quelle::N,ҫӑл куҫ,tarddiad
114,Quelle::N,ҫӑл куҫ,ffynhonnell
115,Bach::N,пӗчӗк шыв,nant
116,Bach::N,пӗчӗк шыв,afonig
117,Bach::N,пӗчӗк шыв,cornant
118,Fluss::N,юхан шыв,afon
119,Ufer::N,ҫыран,glan
120,Küste::N,тинӗс ҫыранӗ,traeth
121,Küste::N,тинӗс ҫыранӗ,arfordir
122,Festland::N,тип ҫӗр,tir
123,Meer::N,тинӗс,môr
124,Bucht::N,тинӗс кукӑрӗ,bae
125,Insel::N,утрав,ynys
126,Blume::N,чечек,blodyn
127,Gras::N,курӑк,glaswellt
128,Wurzel::N,тымар,gwreiddyn
129,Baum::N,йывӑҫ,coeden
130,Stamm::N,вулӑ,colfen
131,Stamm::N,вулӑ,boncyff
132,Rinde::N,хуйӑр,rhisgl
133,Ast::N,турат,cangen
