,Concept_ID,uz,pl
0,Auge::N,ko'z,oko
1,Ohr::N,quloq,ucho
2,Nase::N,burun,nos
3,Mund::N,og'iz,usta
4,Zahn::N,tish,ząb
5,Zunge::N,til,język
6,Lippe::N,dudoq,warga
7,Wange::N,bet,policzek
8,Gesicht::N,yuz,twarz
9,Stirn::N,manglay,czoło
10,Haar::N,soch,włos
11,Haar::N,soch,włosy
12,Schnurrbart::N,mo'ylov,wąsy
13,Bart::N,soqol,broda
14,Kinn::N,ängak,podbródek
15,Kiefer[Anatomie]::N,iyak,czeluść
16,Kehle::N,bo'g'iz,gardło
17,Hals::N,bo'yin,szyja
18,Genick::N,gardan,kark
19,Kopf::N,bosh,głowa
20,Rücken::N,orqa,plecy
21,Rücken::N,orqa,grzbiet
22,Bauch::N,qorin,brzuch
23,Nabel::N,kindik,pępek
24,Busen::N,ämchak,biust
25,Brust::N,ko'krak,pierś
26,Schulter::N,elka,bark
27,Schulter::N,elka,ramię
28,Arm::N,bilak,ręka
29,Arm::N,bilak,ramię
30,Ellenbogen::N,tirsak,łokieć
31,Hand::N,qo'l,dłoń
32,Handfläche::N,kaft,dłoń
33,Finger::N,barmoq,palec
34,Fingernagel::N,tirnoq,paznokieć
35,Nagel[Anatomie]::N,tirnoq,paznokieć
36,Zeh::N,oyoq barmog'i,palec
37,Fuß::N,oyoq,stopa
38,Ferse::N,tovon,pięta
39,Knie::N,tiz,kolano
40,Oberschenkel::N,son,udo
41,Bein::N,oyoq,noga
42,Körper::N,badna,ciało
43,Haut::N,teri,skóra
44,Blut::N,qon,krew
45,Ader::N,qon tomir,żyła
46,Sehne::N,tomir,ścięgno
47,Knochen::N,suyak,kość
48,Gehirn::N,miya,mózg
49,Herz::N,qalb,serce
50,Magen::N,oshqozon,żołądek
51,Leber::N,bag'ir,wątroba
52,Atem::N,dam,dech
53,Atem::N,dam,oddech
54,Hunger::N,ochlik,głód
55,Träne::N,yosh,łza
56,Geschmack::N,tam,smak
57,Geruch::N,jid,woń
58,Geruch::N,jid,zapach
59,Schlaf::N,uyqu,sen
60,Traum::N,tush,sen
61,Himmel::N,osmon,niebo
62,Sonne::N,quyosh,słońce
63,Mond::N,oy,księżyc
64,Stern::N,yulduz,gwiazda
65,Luft::N,havo,powietrze
66,Wind::N,el,wiatr
67,Welle::N,to'lqin,fala
68,Wasser::N,suv,woda
69,Stein::N,tosh,kamień
70,Boden::N,tuproq,grunt
71,Erde::N,er,ziemia
72,Staub::N,chang,pył
73,Staub::N,chang,kurz
74,Rauch::N,tutun,dym
75,Funke::N,yalt,iskra
76,Feuer::N,o't,ogień
77,Licht::N,yorug',światło
78,Schatten::N,soya,cień
79,Wetter::N,havo,pogoda
80,Nebel::N,tuman,mgła
81,Wolke::N,bulut,obłok
82,Wolke::N,bulut,chmura
83,Regen::N,yomg'ir,deszcz
84,Schnee::N,qor,śnieg
85,Eis::N,muz,lód
86,Frost::N,ajoz,mróz
87,Kälte::N,ajoz,chłód
88,Hitze::N,issiq,gorąco
89,Raureif::N,qirov,szron
90,Regenbogen::N,kamalak,tęcza
91,Donner::N,guldur,grzmot
92,Strömung::N,oqim,nurt
93,Tropfen::N,tomchi,kropla
94,Schaum::N,ko'pik,piana
95,Schmutz::N,gard,brud
96,See::N,ko'l,jezioro
97,Sumpf::N,botqoq,bagno
98,Moor::N,qir-adir,bagno
99,Wiese::N,o'tzor,łąka
100,Wald::N,o'rmon,las
101,Hügel::N,tepa,pagórek
102,Anhöhe::N,adir,wzgórze
103,Berg::N,tog',góra
104,Gipfel::N,cho'qqi,szczyt
105,Gipfel::N,cho'qqi,wierzchołek
106,Höhle::N,kavak,pieczara
107,Abhang::N,to'sh,stok
108,Abhang::N,to'sh,zbocze
109,Quelle::N,buloq,zdrój
110,Quelle::N,buloq,źródło
111,Bach::N,o'zan,potok
112,Bach::N,o'zan,strumień
113,Fluss::N,daryo,rzeka
114,Ufer::N,sohil,brzeg
115,Küste::N,qirg'oq,wybrzeże
116,Festland::N,materik,ląd
117,Meer::N,dengiz,morze
118,Bucht::N,qo'ltiq,zatoka
119,Insel::N,orol,wyspa
120,Blume::N,gul,kwiat
121,Gras::N,sabza,trawa
122,Wurzel::N,tub,korzeń
123,Wurzel::N,tomir,korzeń
124,Baum::N,daraxt,drzewo
125,Stamm::N,o'simta,pień
126,Rinde::N,qobiq,kora
127,Ast::N,shox,gałąź
128,Zweig::N,butoq,gałąź
129,Blatt::N,barg,liść
130,Birke::N,qayin,brzoza
131,Kiefer[Baum]::N,qarag'ay,sosna
132,Weide[Baum]::N,shum,wierzba
133,Tanne::N,archa,jodła
134,Horn::N,mugiz,róg
135,Feder::N,par,pióro
136,Fell::N,mo'yna,futro
137,Flügel::N,qanot,skrzydło
138,Klaue::N,tirnoq,szpon
139,Kralle::N,tirnoq,pazur
140,Schwanz::N,quyruq,ogon
141,Ei::N,tuxum,jajko
142,Nest::N,oshyon,gniazdo
143,Bau::N,o'pqon,nora
144,Tier::N,hayvon,zwierzę
145,Herde::N,gala,stado
146,Herde::N,gala,trzoda
147,Kuh::N,inak,krowa
148,Bulle::N,ho'kiz,byk
149,Pferd::N,ot,koń
150,Schaf::N,qo'y,owca
151,Schwein::N,cho'chqa,świnia
152,Hund::N,it,pies
153,Katze::N,mushuk,kot
154,Katze::N,mushuk,kotka
155,Bär::N,ayiq,niedźwiedż
156,Eichhörnchen::N,tiyin,wiewiórka
157,Elch::N,los,łóś
158,Fuchs::N,tulki,lis
159,Hase::N,kuyon,zając
160,Maus::N,sichqon,mysz
161,Wolf::N,bo'ri,wilk
162,Vogel::N,qush,ptak
163,Schwarm::N,to'da,stado
164,Huhn::N,tovuq,kura
165,Hahn::N,xo'roz,kogut
166,Gans::N,g'oz,gęś
167,Adler::N,burgut,orzeł
168,Ente::N,o'rdak,kaczka
169,Eule::N,boyo'g'li,sowa
170,Kranich::N,turna,żuraw
171,Krähe::N,qarg'a,wrona
172,Kuckuck::N,kakku,kukułka
173,Schwan::N,oqkush,łabędż
174,Fisch::N,baliq,ryba
175,Barsch::N,olabug'a,okoń
176,Hecht::N,cho'rtan,szczupak
177,Schlange[Tier]::N,ilon,wąż
178,Schlange[Tier]::N,ilon,żmija
179,Wurm::N,qurt,robak
180,Spinne::N,o'rgimchak,pająk
181,Ameise::N,chumoli,mrówka
182,Laus::N,bit,wesz
183,Mücke::N,chivin,komar
184,Fliege::N,pashsha,mucha
185,Schmetterling::N,kapalak,motyl
186,Beere::N,meva,jagoda
187,Apfel::N,olma,jabłko
188,Pilz::N,qo'ziqorin,grzyb
189,Zwiebel::N,piyoz,cebula
190,Saat::N,äkin,siew
191,Korn::N,zarra,ziarno
192,Heu::N,xashak,siano
193,Schale::N,po'choq,łupina
194,Grube::N,co'ra,dół
195,Grube::N,co'ra,jama
196,Falle::N,qopqon,pułapka
197,Schlinge::N,sirtmoq,sidła
198,Spur::N,iz,ślad
199,Asche::N,kul,popiół
200,Dreck::N,kir,brud
201,Eisen::N,temir,żelazo
202,Gold::N,tilla,złoto
203,Silber::N,kumush,srebro
204,Kohle::N,ko'mir,węgiel
205,Glas::N,oyna,szkło
206,Lehm::N,loy,glina
207,Sand::N,qum,piasek
208,Mensch::N,odam,człowiek
209,Mann::N,ärkak,mężczyzna
210,Frau::N,ayol,kobieta
211,Kind::N,bola,dziecko
212,Kind::N,kichkintoy,dziecko
213,Junge::N,bola,chłopak
214,Junge::N,bola,chłopiec
215,Mädchen::N,qiz,dziewczynka
216,Familie::N,oila,rodzina
217,Großvater::N,buva,dziadek
218,Großvater::N,katta ota,dziadek
219,Großmutter::N,buvi,babka
220,Großmutter::N,katta oyi,babka
221,Eltern::N,ota-ona,rodzice
222,Vater::N,ota,ojciec
223,Mutter::N,ona,matka
224,Sohn::N,o'g'il,syn
225,Tochter::N,qiz,córka
226,Bruder::N,og'a,brat
227,Bruder::N,uka,brat
228,Schwester::N,opa,siostra
229,Schwester::N,singil,siostra
230,Onkel::N,amaki,wuj
231,Onkel::N,amaki,stryj
232,Tante::N,amma,ciotka
233,Tante::N,xola,ciotka
234,Ehemann::N,är,mąż
235,Ehefrau::N,rafiqa,żona
236,Freude::N,ayish,radość
237,Gelächter::N,kulgi,śmiech
238,Glück::N,saodat,szczęście
239,Kummer::N,g'am,zmartwienie
240,Wunsch::N,orzu,życzenie
241,Lust::N,rag'bat,chęć
242,Lust::N,rag'bat,ochota
243,Geist::N,ruh,duch
244,Gedanke::N,fikr,myśl
245,Gedächtnis::N,äs,pamięć
246,Verstand::N,aql,rozum
247,Sinn::N,ma'ni,zmysł
248,Grund::N,sabab,powód
249,Wahrheit::N,haq,prawda
250,Gespräch::N,gap,rozmowa
251,Märchen::N,ärtak,bajka
252,Erzählung::N,rivoyat,opowiadanie
253,Nachricht::N,xabar,wiadomość
254,Neuigkeit::N,yangilik,nowina
255,Name::N,ot,imię
256,Rätsel::N,topishmoq,zagadka
257,Rede::N,nutq,mowa
258,Sprache::N,til,język
259,Stimme::N,ovoz,głos
260,Wort::N,so'z,słowo
261,Zeichen::N,alomat,znak
262,Ruf::N,chaqiriq,wołanie
263,Lärm::N,taraq,hałas
264,Lärm::N,taraq,zgiełk
265,Laut::N,tovush,dźwięk
266,Ton::N,un,ton
267,Ton::N,un,dźwięk
268,Lied::N,ashula,pieśń
269,Lied::N,ashula,piosenka
270,Ruhe::N,tinchlik,spokój
271,Leute::N,xaloyiq,ludzie
272,Volk::N,xalq,naród
273,Arbeit::N,ish,praca
274,Arbeit::N,ish,robota
275,Gast::N,mehmon,gość
276,Geschenk::N,hadya,prezent
277,Geschenk::N,hadya,podarunek
278,Spiel::N,o'yin,gra
279,Spiel::N,o'yin,zabawa
280,Gesellschaft::N,jamiyat,towarzystwo
281,Hilfe::N,yordam,pomoc
282,Freund::N,do'st,przyjaciel
283,Kamerad::N,yo'ldosh,kolega
284,Angelegenheit::N,daxl,sprawa
285,Anzahl::N,son,ilość
286,Art::N,tur,rodzaj
287,Stück::N,parcha,kawałek
288,Teil::N,bo'lak,część
289,Hälfte::N,yarim,połowa
290,Kreis::N,aylana,krąg
291,Kreuz::N,xoch,krzyż
292,Linie::N,liniya,linia
293,Strich::N,chiziq,kreska
294,Abstand::N,oralik,odstęp
295,Entfernung::N,uzoqlik,odległość
296,Gegend::N,yer,okolica
297,Platz::N,oralig,miejsce
298,Ort::N,joy,miejsce
299,Seite::N,yon,bok
300,Seite::N,yon,strona
301,Mitte::N,o'rta,środek
302,Gegenstand::N,ashyo,przedmiot
303,Sache::N,buyum,rzecz
304,Rand::N,chek,skraj
305,Rand::N,chek,krawędź
306,Kante::N,tig',kant
307,Kante::N,tig',krawędź
308,Ecke::N,burchak,róg
309,Spitze::N,uch,ostrze
310,Ende::N,oxir,koniec
311,Loch::N,teshik,dziura
312,Winkel::N,go'sha,kąt
313,Winkel::N,go'sha,kącik
314,Muster::N,nusha,wzór
315,Größe::N,kattalik,rozmiar
316,Größe::N,kattalik,wielkość
317,Länge::N,uzunlik,długość
318,Höhe::N,yuksaklik,wysokość
319,Gewicht::N,solmoq,ciężar
320,Menge::N,miqdor,ilość
321,Haufen::N,uyum,kupa
322,Reihe::N,saf,rząd
323,Reihe::N,saf,szereg
324,Boot::N,qayiq,łódź
325,Boot::N,qayiq,łódka
326,Ruder::N,äshkak,wiosło
327,Schlitten::N,chana,sanki
328,Ski::N,chang'i,narta
329,Lagerfeuer::N,gulxan,ognisko
330,Last::N,yuk,ciężar
331,Last::N,yuk,brzemię
332,Gang::N,yurish,chód
333,Schritt::N,qadam,krok
334,Norden::N,shimol,północ
335,Süden::N,janub,południe
336,Westen::N,g'arb,zachód
337,Osten::N,sharq,wschód
338,Holz::N,yog'och,drzewo
339,Brett::N,taxta,deska
340,Platte::N,tabaqa,płyta
341,Stütze::N,tayanchi,podpora
342,Stange::N,qo'noq,drąg
343,Stange::N,qo'noq,żerdź
344,Stock::N,tayoq,kij
345,Stock::N,tayoq,laska
346,Stab::N,gavron,pręt
347,Rohr::N,tarnov,rura
348,Haus::N,uy,dom
349,Heim::N,makon,dom
350,Ofen::N,pechka,piec
351,Fußboden::N,pol,podłoga
352,Tisch::N,mosa,stół
353,Stuhl::N,o'rindiq,krzesło
354,Wiege::N,beshik,kołyska
355,Bett::N,yotoq,łóżko
356,Bett::N,yotoq,pościel
357,Regal::N,tokcha,regał
358,Kiste::N,sandiq,skrzynia
359,Fenster::N,deraza,okno
360,Tür::N,äshik,drzwi
361,Tor::N,darvoza,brama
362,Zaun::N,panjara,płot
363,Zaun::N,panjara,parkan
364,Dach::N,tom,dach
365,Leiter::N,narvon,drabina
366,Besen::N,supurgi,miotła
367,Spaten::N,bel,rydel
368,Schaufel::N,kurak,łopata
369,Gabel::N,bilka,widelec
370,Löffel::N,qoshiq,łyżka
371,Messer::N,pichoq,nóż
372,Nagel::N,mix,gwóźdź
373,Netz::N,to'r,sieć
374,Haken::N,ilgak,hak
375,Griff::N,sop,chwyt
376,Griff::N,tutqich,chwyt
377,Schloss::N,qulf,zamek
378,Bild::N,rasm,obraz
379,Figur::N,shakl,figura
380,Puppe::N,ko'g'irchoq,lalka
381,Beutel::N,to'rva,torba
382,Bündel::N,bog'lam,wiązka
383,Tasche::N,kissa,torba
384,Eimer::N,chelak,kubeł
385,Eimer::N,chelak,wiadro
386,Deckel::N,qopqoq,przykrywka
387,Geschirr::N,idish,statki
388,Geschirr::N,idish,naczynia
389,Sack::N,qop,worek
390,Tasse::N,piyola,filiżanka
391,Topf::N,tuvak,garnek
392,Kessel::N,qozon,kocioł
393,Essen::N,tomoq,jedzenie
394,Nahrung::N,emak,pokarm
395,Nahrung::N,emak,pożywienie
396,Speise::N,taom,potrawa
397,Speise::N,taom,jedzenie
398,Fleisch::N,go'sht,mięso
399,Getreide::N,g'alla,zboże
400,Brei::N,bo'tqa,kasza
401,Brot::N,non,chleb
402,Scheibe::N,disk,kromka
403,Fett::N,moy,tłuszcz
404,Butter::N,yog',masło
405,Öl::N,moy,olej
406,Salz::N,tuz,sól
407,Suppe::N,sho'rva,zupa
408,Honig::N,asal,miód
409,Milch::N,sut,mleko
410,Tee::N,choy,herbata
411,Leder::N,charm,skóra
412,Wolle::N,jun,wełna
413,Stoff::N,mato,tkanina
414,Stoff::N,mato,materiał
415,Nadel::N,igna,igła
416,Faden::N,ip,nić
417,Faden::N,ip,nitka
418,Knopf::N,tugma,guzik
419,Knoten::N,tugun,węzeł
420,Farbe::N,bo'yok,farba
421,Kleidung::N,kiyim,odzież
422,Hemd::N,ko'ylak,koszula
423,Kragen::N,yoqa,kołnierz
