,Concept_ID,tt,bn
0,Auge::N,күз,চক্ষু
1,Ohr::N,колак,কর্ণ
2,Nase::N,борын,নাক
3,Mund::N,авыз,মুখ
4,Mund::N,тамак,মুখ
5,Zahn::N,теш,দাঁত
6,Zunge::N,тел,জিহবা
7,Lippe::N,ирен,অধর
8,Wange::N,яңак,গণ্ড
9,Gesicht::N,йөз,মুখমণ্ডল
10,Stirn::N,маңгай,কপাল
11,Haar::N,чәч,চুল
12,Schnurrbart::N,мыек,গোঁফ
13,Bart::N,сакал,শ্মশ্রু
14,Kinn::N,ияк,চিবুক
15,Kiefer[Anatomie]::N,казналык,চোয়াল
16,Kehle::N,тамак,কণ্ঠ
17,Hals::N,бугаз,গল
18,Genick::N,җилкә,ঘাড়
19,Kopf::N,баш,মাথা
20,Rücken::N,сырт,পৃষ্ঠ
21,Bauch::N,корсак,উদর
22,Nabel::N,кендек,নাভি
23,Busen::N,түш,স্তন
24,Brust::N,имчәк,বুক
25,Brust::N,күкрәк,বুক
26,Schulter::N,иңбаш,স্কন্ধ
27,Schulter::N,кулбаш,স্কন্ধ
28,Arm::N,кул,বাহু
29,Ellenbogen::N,терсәк,কনুই
30,Hand::N,кул,হাত
31,Handfläche::N,уч,করতল
32,Finger::N,бармак,আঙ্গুল
33,Fingernagel::N,тырнак,হাতের নখ
34,Nagel[Anatomie]::N,тырнак,নখ
35,Zeh::N,бармак,আঙ্গুল
36,Fuß::N,табан,পা
37,Ferse::N,үкчә,গোড়ালি
38,Knie::N,тез,হাঁটু
39,Oberschenkel::N,бот,ঊরু
40,Bein::N,аяк,পা
41,Körper::N,тән,দেহ
42,Körper::N,җисем,দেহ
43,Haut::N,тире,ত্বক
44,Blut::N,кан,রক্ত
45,Ader::N,тамыр,শিরা
46,Sehne::N,сеңер,কণ্ডরা
47,Knochen::N,сөяк,অস্থি
48,Gehirn::N,ми,মস্তিষ্ক
49,Herz::N,йөрәк,হৃৎপিণ্ড
50,Magen::N,ашказаны,পাকস্থলী
51,Leber::N,бавыр,যকৃৎ
52,Atem::N,сулыш,শ্বাস
53,Hunger::N,ачлык,ক্ষুধা
54,Träne::N,яшь,অশ্রু
55,Geschmack::N,тәм,স্বাদ
56,Geschmack::N,зәвык,স্বাদ
57,Geruch::N,ис,গন্ধ
58,Schlaf::N,йокы,ঘুম
59,Traum::N,төш,স্বপ্ন
60,Himmel::N,күк,আকাশ
61,Sonne::N,кояш,সূর্য
62,Mond::N,ай,চন্দ্র
63,Stern::N,йолдыз,নক্ষত্র
64,Luft::N,һава,বায়ু
65,Wind::N,җил,বাতাস
66,Welle::N,дулкын,ঢেউ
67,Welle::N,дулкын,তরঙ্গ
68,Wasser::N,су,জল
69,Stein::N,таш,ঢিল
70,Stein::N,таш,প্রস্তর
71,Boden::N,туфрак,ভূতল
72,Erde::N,җир,ভূমি
73,Staub::N,тузан,ধুলা
74,Rauch::N,төтен,ধোঁয়া
75,Funke::N,очкын,স্ফুলিঙ্গ
76,Feuer::N,ут,অগ্নি
77,Licht::N,якты,আলো
78,Schatten::N,күләгә,ছায়া
79,Wetter::N,һава,আবহাওয়া
80,Nebel::N,томан,কুহেলিকা
81,Wolke::N,болыт,মেঘ
82,Regen::N,яңгыр,বৃষ্টি
83,Schnee::N,кар,তুষার
84,Eis::N,боз,বরফ
85,Frost::N,суык,তুষার
86,Frost::N,салкын,তুষার
87,Kälte::N,суык,শৈত্য
88,Kälte::N,салкын,শৈত্য
89,Hitze::N,эсселек,তাপ
90,Raureif::N,бәс,তুহিন
91,Raureif::N,сыкы,তুহিন
92,Regenbogen::N,салават күпере,রামধনু
93,Donner::N,күкрәү,বজ্রধ্বনি
94,Strömung::N,агыш'агым,স্রোত
95,Tropfen::N,тамчы,ফোঁটা
96,Schaum::N,күбек,ফেনা
97,Schmutz::N,пычрак,ধুলা
98,See::N,күл,হ্রদ
99,Sumpf::N,саз,জলা
100,Moor::N,торфлык,মাঠ
101,Wiese::N,болын,তৃণভূমি
102,Wald::N,урман,বন
103,Hügel::N,калку,পাহাড়
104,Anhöhe::N,үр,টিলা
105,Berg::N,тау,পর্বত
106,Gipfel::N,оч,শীর্ষ
107,Höhle::N,мәгарә,গুহা
108,Abhang::N,кабырга,ঢাল
109,Quelle::N,чишмә,উৎস
110,Bach::N,елга,ক্ষুদ্র নদী
111,Fluss::N,дәрья,নদী
112,Ufer::N,су кырые,উপকূল
113,Küste::N,яр буе,তীর
114,Festland::N,коры җир,ভূমি
115,Meer::N,диңгез,সমুদ্র
116,Bucht::N,бухта,উপসাগর
117,Bucht::N,култык,উপসাগর
118,Insel::N,атау,দ্বীপ
119,Insel::N,утрау,দ্বীপ
120,Blume::N,чәчкә,ফুল
121,Gras::N,үлән,ঘাস
122,Wurzel::N,тамыр,শিকড়
123,Baum::N,агач,গাছ
124,Stamm::N,кәүсә,স্কন্ধ
125,Rinde::N,кабык,বল্কল
126,Ast::N,ботак,শাখা
127,Zweig::N,ботак,ডাল
128,Zweig::N,тармак,ডাল
129,Blatt::N,яфрак,পর্ণ
130,Birke::N,каен,ভুর্জ
131,Kiefer[Baum]::N,нарат,পাইন গাছ
132,Weide[Baum]::N,тал,উইলো
133,Tanne::N,чыршы,দেবদারূ গাছ
134,Horn::N,мөгез,শিং
135,Feder::N,йон,পালক
136,Fell::N,тире,রোম
137,Flügel::N,канат,ডানা
138,Klaue::N,тырнак,নখর
139,Kralle::N,тырнак,নখর
140,Schwanz::N,койрык,লেজ
141,Ei::N,күкәй,ডিম
142,Ei::N,йомырка,ডিম
143,Nest::N,оя,কুলায়
144,Bau::N,өн,ডেরা
145,Tier::N,хайван,জন্তু
146,Herde::N,көтү,ঝাঁক
147,Kuh::N,сыер,গোরু
148,Bulle::N,үгез,বৃষ
149,Pferd::N,ат,ঘোড়া
150,Schaf::N,сарык,ভেড়া
151,Schwein::N,дуңгыз,শূকর
152,Hund::N,эт,কুকুর
153,Katze::N,песи,বেড়াল
154,Bär::N,аю,ভল্লুক
155,Eichhörnchen::N,тиен,কাঠবিড়াল
156,Elch::N,поши,হরিণবিশেষ
157,Fuchs::N,төлке,পাঁতিশিয়াল
158,Hase::N,куян,শশক
159,Maus::N,тычкан,নেংটি ইঁদুর
160,Wolf::N,бүре,নেকড়ে
161,Vogel::N,кош,পক্ষী
162,Schwarm::N,көтү,ঝাঁক
163,Huhn::N,тавык,মোরগ
164,Hahn::N,әтәч,কুক্কুট
165,Gans::N,каз,হংসী
166,Adler::N,каракош,ইগল
167,Ente::N,үрдәк,হংসী
168,Eule::N,ябалак,পেচক
169,Kranich::N,торна,সারস
170,Krähe::N,карга,কাক
171,Kuckuck::N,күке,কোকিল
172,Kuckuck::N,кәккүк,কোকিল
173,Schwan::N,аккош,মরাল
174,Fisch::N,балык,মাছ
175,Barsch::N,алабуга,মৎন্যবিশেষ
176,Hecht::N,чуртан,বানমাছ
177,Schlange[Tier]::N,елан,সর্প
178,Wurm::N,корт,কীট
179,Spinne::N,үрмәкүч,মাকড়সা
180,Ameise::N,кырмыска,পিপীলিকা
181,Laus::N,бет,উকুন
182,Mücke::N,черки,মশা
183,Mücke::N,озынборын,মশা
184,Fliege::N,чебен,মাছি
185,Schmetterling::N,күбәләк,প্রজাপতি
186,Beere::N,җиләк,বেরি
187,Apfel::N,алма,আপেল
188,Pilz::N,гөмбә,ছত্রক
189,Zwiebel::N,суган,পিয়াজ
190,Zwiebel::N,суганбаш,পিয়াজ
191,Saat::N,орлык,বীজ
192,Korn::N,иген,শস্য
193,Korn::N,орлык,শস্য
194,Heu::N,печән,খড়
195,Schale::N,кабык,খোসা
196,Grube::N,баз,গর্ত
197,Grube::N,чокыр,গর্ত
198,Falle::N,тозак,ফাঁদ
199,Falle::N,капкын,ফাঁদ
200,Schlinge::N,элмәк,পাশ
201,Spur::N,эз,চিহ্ন
202,Asche::N,көл,ভস্ম
203,Dreck::N,пычрак,ময়লা
204,Eisen::N,тимер,লোহা
205,Gold::N,алтын,স্বর্ণ
206,Silber::N,көмеш,রৌপ্য
207,Kohle::N,күмер,অঙ্গার
208,Glas::N,пыяла,কাচ
209,Lehm::N,балчык,মৃত্তিকা
210,Sand::N,ком,বালি
211,Mensch::N,адәм,নর
212,Mensch::N,адәм,মানুষ
213,Mensch::N,инсан,নর
214,Mensch::N,инсан,মানুষ
215,Mann::N,ир,মানুষ
216,Frau::N,хатын,নারী
217,Kind::N,бала,বাচ্চা
218,Junge::N,малай,ছেলে
219,Mädchen::N,кыз,মেয়ে
220,Familie::N,гаилә,পরিবার
221,Großvater::N,бабай,মাতামহ
222,Großmutter::N,әби,মাতামহী
223,Eltern::N,ата-ана,মাতাপিতা
224,Vater::N,ата,পিতা
225,Mutter::N,ана,মাতা
226,Sohn::N,ул,ছেলে
227,Tochter::N,кыз,মেয়ে
228,Bruder::N,кардәш,দাদা
229,Schwester::N,апа,বোন
230,Schwester::N,апа,দিদি
231,Schwester::N,сеңел,বোন
232,Schwester::N,сеңел,দিদি
233,Onkel::N,дәдә,মামা
234,Onkel::N,дәдәй,মামা
235,Tante::N,түти,মাসী
236,Tante::N,тәтәй,মাসী
237,Ehemann::N,ир,স্বামী
