,Concept_ID,os,xal
0,Auge::N,цӕст,нүдн
1,Ohr::N,хъус,чикн
2,Nase::N,фындз,хамр
3,Mund::N,дзых,амн
4,Zahn::N,дӕндаг,шүдн
5,Zunge::N,ӕвзаг,келн
6,Lippe::N,был,урл
7,Wange::N,рус,халх
8,Wange::N,уадул,халх
9,Wange::N,ӕхсӕрфарс,халх
10,Gesicht::N,цӕсгом,нүр
11,Stirn::N,ных,маңна
12,Haar::N,хил,үсн
13,Schnurrbart::N,рихи,сахл
14,Bart::N,зачъе,сахл
15,Bart::N,зачъе,өргнә сахл
16,Kinn::N,роцъо,өргн
17,Kiefer[Anatomie]::N,ӕфсӕр,өргн
18,Kehle::N,хъуыр,хол
19,Hals::N,къубал,күзүн
20,Genick::N,къӕбут,гиҗг
21,Kopf::N,сӕр,толһа
22,Rücken::N,фӕсонтӕ,нурһн
23,Bauch::N,гуыбын,гесн
24,Nabel::N,бикъ,киисн
25,Busen::N,дзидзи,көкн
26,Brust::N,риу,чееҗ
27,Schulter::N,уӕхск,ээм
28,Arm::N,цонг,һар
29,Ellenbogen::N,рæмбын,тоха
30,Hand::N,къух,баһлцг
31,Handfläche::N,армытъӕпӕн,альхн
32,Finger::N,ӕнруылдз,хурһн
33,Finger::N,ӕнруылдз,һарин хурһн
34,Fingernagel::N,ных,хумсн
35,Nagel[Anatomie]::N,ных,хумсн
36,Zeh::N,къух,хурһн
37,Zeh::N,къух,көлин хурһн
38,Fuß::N,фад,тавг
39,Ferse::N,зӕвӕт,өскә
40,Knie::N,уӕраг,өвдг
41,Oberschenkel::N,агъд,һуй
42,Bein::N,зӕнг,көл
43,Körper::N,буар,махмуд
44,Haut::N,царм,арсн
45,Blut::N,туг,цусн
46,Ader::N,дадзин,судцн
47,Ader::N,тугдадзин,судцн
48,Sehne::N,хъиутæ,шүрүсн
49,Sehne::N,нуар,шүрүсн
50,Knochen::N,стӕг,ясн
51,Gehirn::N,магъз,экн
52,Herz::N,зӕрдӕ,зүркн
53,Magen::N,ахсӕн,гесн
54,Leber::N,игæр,элкн
55,Atem::N,улӕфт,әмсхл
56,Hunger::N,стонг,харһнлһн
57,Träne::N,цæссыг,нульмсн
58,Geschmack::N,ад,амтн
59,Geruch::N,смаг,үнр
60,Schlaf::N,хуыссӕг,нөр
61,Traum::N,фын,зүүдн
62,Himmel::N,арв,теңгр
63,Himmel::N,уӕларв,теңгр
64,Sonne::N,хур,нарн
65,Mond::N,мӕй,сар
66,Stern::N,стъалы,одн
67,Luft::N,уӕлдӕф,аһар
68,Wind::N,дымгӕ,салькн
69,Welle::N,уылӕн,дольган
70,Wasser::N,дон,усн
71,Stein::N,дур,чолун
72,Boden::N,зӕхх,Һазр
73,Erde::N,сыджыт,Һазр
74,Staub::N,рыг,тоосн
75,Rauch::N,фӕздӕг,утан
76,Funke::N,цӕхӕр,очн
77,Feuer::N,зынг,һал
78,Licht::N,рухс,герл
79,Schatten::N,аууон,сүүдр
80,Wetter::N,боныхъӕд,теңгр
81,Nebel::N,мигъ,будн
82,Wolke::N,ӕврагъ,үүлн
83,Regen::N,уарын,хур
84,Schnee::N,мит,цасн
85,Eis::N,их,мөсн
86,Frost::N,ихæн,киитн
87,Kälte::N,уазал,киитн
88,Hitze::N,ӕнтӕф,халун
89,Raureif::N,халас,цаң
90,Raureif::N,халас,кирү
91,Regenbogen::N,арвырон,солңһ
92,Regenbogen::N,арвырдын,солңһ
93,Donner::N,æрвнæрын,оһтрһун дун
94,Strömung::N,цыд,урсхл
95,Tropfen::N,æртах,дусал
96,Schaum::N,фынк,көөсн
97,Schmutz::N,цъыф,кир
98,See::N,цад,нур
99,Sumpf::N,цъыфдзаст,унул
100,Moor::N,цъыфдзаст,улм
101,Wiese::N,уыгӕрдӕн,хадлһн
102,Wald::N,хъӕд,ө-модн
103,Hügel::N,обау,толһа
104,Hügel::N,къуыбыр,толһа
105,Anhöhe::N,уæлвæз,хамр
106,Anhöhe::N,уæлхох,хамр
107,Berg::N,хох,уул
108,Gipfel::N,цъупп,ора
109,Höhle::N,лӕгӕт,хадин көндә
110,Abhang::N,къул,ташу
111,Quelle::N,суадон,булг
112,Bach::N,мӕсчъыдон,һооҗур
113,Fluss::N,дон,һол
114,Fluss::N,цӕугӕдон,һол
115,Ufer::N,был,көвә
116,Küste::N,донбыл,көвә
117,Küste::N,донбыл,теңгсин көвә
118,Festland::N,сурзæхх,хүүрә һазр
119,Meer::N,денджыз,теңгс
120,Bucht::N,донбакæлæн,цекә
121,Bucht::N,донбакæлæн,теңгсин цекә
122,Insel::N,сакъадах,арл
123,Blume::N,дидинӕг,цецг
124,Gras::N,кӕрдӕг,ноһан
125,Wurzel::N,уидаг,уңг
126,Baum::N,бӕлас,модн
127,Stamm::N,хӕтӕл,шилв
128,Stamm::N,хӕтӕл,һол модн
129,Rinde::N,цъар,көрсн
130,Ast::N,арх,ац
131,Zweig::N,къалиу,ац
132,Blatt::N,сыф,хамтхасн
133,Birke::N,бæрз,хусм модн
134,Kiefer[Baum]::N,нӕзы,шар харһа
135,Weide[Baum]::N,хӕрис,удн
136,Tanne::N,наз,җөөлн цаһан модн
137,Horn::N,сыкъа,өвр
138,Feder::N,сис,өрвлг
139,Fell::N,царм,арсн
140,Flügel::N,базыр,җивр
141,Klaue::N,ных,хумсн
142,Kralle::N,дзӕмбы,тавг
143,Schwanz::N,къӕдзил,сүл
144,Ei::N,айк,өндгн
145,Nest::N,ахстон,үр
146,Bau::N,хуынкъ,нүкн
147,Tier::N,сырд,мал
148,Tier::N,цӕрӕгой,мал
149,Herde::N,дзуг,сүрг мал
150,Herde::N,рӕгъау,сүрг мал
151,Kuh::N,хъуг,үкр
152,Bulle::N,гал,бух
153,Pferd::N,бӕх,мөрн
154,Schaf::N,фыс,хөн
155,Schwein::N,хуы,һаха
156,Hund::N,куыдз,ноха
157,Katze::N,гӕды,мис
158,Bär::N,арс,аю
159,Eichhörnchen::N,æхсæрæг,кермн
160,Elch::N,цæгатаг саг,хандһа
161,Fuchs::N,рувас,арат
162,Hase::N,тæрхъус,туула
163,Maus::N,мыст,хулһн
164,Wolf::N,бирӕгъ,чон
165,Vogel::N,цъиу,шовун
166,Vogel::N,маргъ,шовун
167,Schwarm::N,бал,зел
168,Huhn::N,карк,така
169,Hahn::N,уасӕг,эр така
170,Gans::N,хъаз,һалун
171,Adler::N,цӕргӕс,һәрд
172,Ente::N,ацц,нуһсн
173,Eule::N, уыг,һурвлһ
174,Eule::N,сидахъ,һурвлһ
175,Kranich::N,зырнæг,тоһрун
176,Kranich::N,хърихъупп,тоһрун
177,Krähe::N,халон,шаазһа
178,Kuckuck::N,гаккук,эргин хуцдг
179,Schwan::N,доныхъаз,хун
180,Fisch::N,кӕсаг,заһсн
181,Barsch::N,окунь,шүрг
182,Hecht::N,хихор кӕсаг,цурх
183,Schlange[Tier]::N,калм,моһа
184,Wurm::N,зулкъ,өтн
185,Wurm::N,къуыдыргалм,өтн
186,Spinne::N,хӕлуарӕг,аралҗн
187,Ameise::N,мæлдзыг,шорһлҗн
188,Laus::N,сыст,бөөсн
189,Mücke::N,къогъо,бөкүн
190,Fliege::N,бындз,батхн
191,Schmetterling::N,гæлæбу,эрвәкә
192,Beere::N,гагадыргъ,бөөлҗрһн
193,Apfel::N,фӕткъуы,альмн
194,Pilz::N,зокъо,теңгрин ки
195,Pilz::N,къозо,теңгрин ки
196,Zwiebel::N,хъӕдындз,мәңгрснә толһа
197,Saat::N,тауинаг,буудян экн
198,Saat::N,мыггаг,буудян экн
199,Korn::N,мыггаг,экн
200,Korn::N,тауинаг,экн
201,Heu::N,хос,өвсн
202,Schale::N,цъар,хальсн
203,Grube::N,урм,нүкн
204,Grube::N,къахт,нүкн
205,Grube::N,дзыхъхъ,нүкн
206,Falle::N,цъысым,урх
207,Falle::N,цъысым,хавх
208,Falle::N,къӕппӕг,урх
209,Falle::N,къӕппӕг,хавх
210,Schlinge::N,цасм,бүтү
211,Spur::N,фæд,мөр
212,Asche::N,фӕнык,үмсн
213,Asche::N,ӕртхутӕг,үмсн
214,Dreck::N,цъыф,бальчг
215,Eisen::N,ӕфсӕйнаг,төмр
216,Gold::N,сыгъзӕрин,алтн
217,Silber::N,ӕвзист,мөңгн
218,Silber::N,ӕвзист,цаһан мөңгн
219,Kohle::N,ӕвзалы,нүүрсн
220,Glas::N,авг,шил
221,Lehm::N,ӕлыг,шавр
222,Sand::N,змис,элсн
223,Mensch::N,лӕг,күн
224,Mensch::N,лӕг,күмн
225,Mensch::N,адӕймаг,күн
226,Mensch::N,адӕймаг,күмн
227,Mensch::N,удгоймаг,күн
228,Mensch::N,удгоймаг,күмн
229,Mann::N,лӕг,эр
230,Mann::N,нӕлгоймаг,эр
231,Frau::N,сылгоймаг,күүкд күн
232,Kind::N,сывӕллон,үрн
233,Junge::N,лӕппу,көвүн
234,Mädchen::N,чызг,бичкн күүкн
235,Familie::N,бинонтæ,бүл
236,Großvater::N,фыдыфыд,өвк эцк
237,Großvater::N,фыдыфыд,наһц эцк
238,Großvater::N,мадыфыд,өвк эцк
239,Großvater::N,мадыфыд,наһц эцк
240,Großmutter::N,фыды мад,эмг эк
241,Großmutter::N,фыды мад,наһц эк
242,Großmutter::N,мады мад,эмг эк
243,Großmutter::N,мады мад,наһц эк
244,Eltern::N,ныййарджытæ,эк эцк хойр
245,Vater::N,фыд,эцк
246,Mutter::N,мад,эк
247,Sohn::N,фырт,көвүн
248,Tochter::N,чызг,күүкн
249,Bruder::N,ӕфсымӕр,дү көвүн
250,Schwester::N,хо,эгч
251,Schwester::N,хо,дү күүкн
252,Onkel::N,фыдыфсымӕр,авһ
253,Onkel::N,фыдыфсымӕр,наһцх
254,Tante::N,мадыхо,наһц эгч
255,Ehemann::N,мой,залу
256,Ehefrau::N,ус,гергн
257,Freude::N,цин,байр
258,Freude::N,циндзинад,байр
259,Gelächter::N,худын,инәдн
260,Gelächter::N,худт,инәдн
261,Gelächter::N,худæг,инәдн
262,Glück::N,амонд,җирһл
263,Glück::N,амонд,сәәхн җирһл
264,Kummer::N,хъыг,зовлң
265,Wunsch::N,бӕллиц,дурн
266,Lust::N,монц,җилвтлһн
267,Geist::N,уд,зөрг
268,Gedanke::N,хъуыды,ухан
269,Gedächtnis::N,мысæн,чееҗин тодлвр
270,Gedächtnis::N,мысын,чееҗин тодлвр
271,Gedächtnis::N,зæрдылдарын,чееҗин тодлвр
272,Verstand::N,зонд,ухан
273,Sinn::N,нысаниуæг,учр-утх
274,Grund::N,ӕфсон,учр
275,Grund::N,ӕфсон,шалтан
276,Wahrheit::N,æцæг,үнн
277,Gespräch::N,ныхас,күүндвүр
278,Märchen::N,аргъау,тууль
279,Erzählung::N,радзырд,келвр
280,Nachricht::N,уац,медүллһн
281,Neuigkeit::N,хабар,зәңг
282,Name::N,ном,нерн
283,Rätsel::N,уыци-уыци,тәәлвртә тууль
284,Rätsel::N,базон-базон,тәәлвртә тууль
285,Rede::N,раныхас,келлһн
286,Sprache::N,ӕвзаг,келн
287,Stimme::N,хъӕлӕс,дун
288,Wort::N,дзырд,үг
289,Zeichen::N,нысан,темдг
290,Ruf::N,сидт,дуудлһн
291,Lärm::N,уынæр,шууган
292,Laut::N,зӕл,ә
293,Laut::N,мыр,ә
294,Ton::N,мыр,дун
295,Lied::N,зарӕг,дун
296,Ruhe::N,æнцой,амулң
297,Leute::N,адӕм,әмтн
298,Volk::N,адӕм,улс
299,Arbeit::N,фӕллой,көдлмш
300,Gast::N,уазӕг,гиич
301,Geschenk::N,хуын,белг
302,Spiel::N,хъазт,наадн
303,Gesellschaft::N,дзыллæ,олн
304,Gesellschaft::N,æхсæнад,олн
305,Hilfe::N,æххуыс,нөкд
306,Hilfe::N,ахъаз,нөкд
307,Freund::N,лымӕн,иньг
308,Kamerad::N,ӕмбал,үр
309,Angelegenheit::N,хъуыддаг,керг
310,Anzahl::N,бӕрц,то
311,Art::N,хуыз,зүүл
312,Art::N,хуызад,зүүл
313,Stück::N,кæрдих,хусг
314,Stück::N,комдзаг,хусг
315,Teil::N,хай,хүв
316,Hälfte::N,æрдæг,өрәл
317,Hälfte::N,æмбис,өрәл
318,Kreis::N,зиллакк,төгрг
319,Kreuz::N,дзуар,кирс
320,Linie::N,хахх,зурасн
321,Strich::N,хахх,татасн
322,Abstand::N,æхсæнуат,зә
323,Entfernung::N,дæрддзæг,һазр
324,Entfernung::N,дардцæг,һазр
325,Gegend::N,ран,һазр
326,Platz::N,бууат,зә
327,Ort::N,ран,бәәрн
328,Ort::N,бынат,бәәрн
329,Seite::N,фахс,тал
330,Seite::N,фахс,хаҗу
331,Seite::N,фахс,хәврһ
332,Mitte::N,астӕу,дунд
333,Gegenstand::N,дзаума,юмн
334,Sache::N,дзаума,юмн
335,Rand::N,кӕрон,зах
336,Kante::N,фӕрск,ирмәг
337,Ecke::N,тигъ,өнцг
338,Ecke::N,фисын,өнцг
339,Spitze::N,бырынкъ,үзүр
340,Ende::N,кӕрон,үзүр
341,Loch::N,хуынкъ,хаһрха
342,Winkel::N,къуым,булң
343,Muster::N,нывæфтыд,намч
344,Muster::N,кæдзист,намч
345,Größe::N,ас,кемҗән
346,Länge::N,дӕргъ,ут
347,Höhe::N,бæрзонд,өндр
348,Höhe::N,бæрзæнд,өндр
349,Höhe::N,бæрзонддзинад,өндр
350,Gewicht::N,уӕз,күнд
351,Gewicht::N,уӕз,чиңнүр
352,Menge::N,бӕрц,ик
353,Haufen::N,кӕри,ова
354,Reihe::N,рӕнхъ,зерг
