,Concept_ID,ku,ady
0,Auge::N,çav,нэ
1,Ohr::N,guh,тхьакӏу́м
2,Nase::N,bêvil,пэ
3,Mund::N,dev,жэ
4,Zahn::N,didan,цэ
5,Zunge::N,ziman,бзэгу
6,Lippe::N,lêv,ӏупшӏэ́
7,Wange::N,dêm,нэкӏу́шъу
8,Wange::N,hinarik,нэкӏу́шъу
9,Gesicht::N,rû,нэ́гу
10,Stirn::N,enî,натӏэ́
11,Haar::N,por,шъхьацы́
12,Schnurrbart::N,simbêl,
13,Bart::N,rih,жакӏэ́
14,Kinn::N,zenî,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,arguşk,жэпкъы́
16,Kehle::N,qirik,чый
17,Hals::N,stû,пшъэ
18,Hals::N,qirik,пшъэ
19,Genick::N,stû,шъхьэпхэтыку
20,Kopf::N,serî,шъхьэ́
21,Rücken::N,pişt,кӏыбы́
22,Bauch::N,ûr,ныбэ́
23,Bauch::N,zik,ныбэ́
24,Nabel::N,navik,
25,Busen::N,sîng,бгъэ́
26,Brust::N,sîng,бгъэ́
27,Schulter::N,mil,блыпкъ
28,Arm::N,çepil,ӏэ
29,Ellenbogen::N,enîşk,ӏэнтэ́гъу
30,Hand::N,dest,ӏэтхьэцу
31,Handfläche::N,kefadest,ӏэ́гу
32,Finger::N,tilî,ӏэхъуа́мб
33,Fingernagel::N,neynuk,ӏэбжъа́н
34,Nagel[Anatomie]::N,bizmar,ӏэбжъа́н
35,Zeh::N,tilî linga,ӏэхъуа́мб
36,Fuß::N,ling,лъэгу
37,Ferse::N,pahnî,лъэдакъэ
38,Knie::N,kabok,лъагуа́ндж
39,Oberschenkel::N,rahn,ко
40,Bein::N,çip,лъакъо́
41,Körper::N,laş,пкъышъол
42,Körper::N,gowde,пкъышъол
43,Haut::N,çerm,кӏы́шъу
44,Blut::N,xwîn,лъы
45,Ader::N,reh,льытф
46,Sehne::N,reh,фэ
47,Knochen::N,hestî,къупшъхьэ́
48,Gehirn::N,mêjî,куцӏы
49,Herz::N,dil,гу
50,Magen::N,navêş,мышкӏу
51,Leber::N,kezeb,шӏу
