,Concept_ID,mn,tr
0,Auge::N,нүд,göz
1,Ohr::N,чих,kulak
2,Nase::N,хамар,burun
3,Mund::N,ам,ağız
4,Zahn::N,шүд,diş
5,Zunge::N,хэл,dil
6,Lippe::N,уруул,dudak
7,Wange::N,хацар,yanak
8,Gesicht::N,царай,yüz
9,Gesicht::N,нүүр,yüz
10,Stirn::N,дух,alın
11,Haar::N,үс,saç
12,Schnurrbart::N,дээд сахал,bıyık
13,Schnurrbart::N,живэр сахал,bıyık
14,Bart::N,сахал,sakal
15,Kinn::N,эрүү,çene
16,Kiefer[Anatomie]::N,эрүү,çene
17,Kehle::N,хоолой,boğaz
18,Hals::N,хүзүү,boyun
19,Hals::N,хүзүү,gerdan
20,Genick::N,шил,ense
21,Genick::N,хүзүү,ense
22,Kopf::N,толгой,baş
23,Kopf::N,толгой,kafa
24,Rücken::N,ар,arka
25,Rücken::N,нуруу,arka
26,Bauch::N,хэвлий,karın
27,Bauch::N,гэдэс,karın
28,Nabel::N,хүйс,göbek
29,Busen::N,хөх,koyun
30,Brust::N,цээж,göğüs
31,Schulter::N,мөр,omuz
32,Schulter::N,бугалга,omuz
33,Arm::N,гар,kol
34,Ellenbogen::N,тохой,dirsek
35,Hand::N,гар,el
36,Hand::N,алга,el
37,Handfläche::N,алга,avuç
38,Handfläche::N,алга,el ayası
39,Finger::N,хуруу,parmak
40,Fingernagel::N,хурууны хумс,el tırnağı
41,Nagel[Anatomie]::N,хумс,tırnak
42,Zeh::N,хуруу,ayak parmağı
43,Fuß::N,хөл,ayak
44,Ferse::N,өсгий,topuk
45,Knie::N,өвдөг,diz
46,Oberschenkel::N,гуя,uyluk
47,Bein::N,хөл,bacak
48,Körper::N,бие,vücut
49,Haut::N,арьс,cilt
50,Blut::N,цус,kan
51,Ader::N,судас,damar
52,Sehne::N,бүлх,kiriş
53,Sehne::N,шандас,kiriş
54,Knochen::N,яс,kemik
55,Gehirn::N,тархи,beyin
56,Herz::N,зүрх,kalp
57,Herz::N,зүрх,yürek
58,Magen::N,ходоод,mide
59,Leber::N,элэг,karaciğer
60,Atem::N,амьсгаа,nefes
61,Hunger::N,өлсгөлөн,açlık
62,Träne::N,нулимс,gözyaşı
63,Geschmack::N,амт,tat
64,Geschmack::N,амт,lezzet
65,Geruch::N,үнэр,koku
66,Schlaf::N,нойр,uyku
67,Traum::N,зүүд,düş
68,Traum::N,зүүд,rüya
69,Himmel::N,тэнгэр,gök
70,Himmel::N,огторгуй,gök
71,Sonne::N,нар,güneş
72,Mond::N,сар,ay
73,Stern::N,од,yıldız
74,Luft::N,агаар,hava
75,Wind::N,салхи,yel
76,Wind::N,салхи,rüzgâr
77,Welle::N,долгио,dalga
78,Welle::N,давалгаа,dalga
79,Wasser::N,ус,su
80,Stein::N,чулуу,taş
81,Boden::N,хөрс,yer
