,Concept_ID,ku,pl
0,Auge::N,çav,oko
1,Ohr::N,guh,ucho
2,Nase::N,bêvil,nos
3,Mund::N,dev,usta
4,Zahn::N,didan,ząb
5,Zunge::N,ziman,język
6,Lippe::N,lêv,warga
7,Wange::N,dêm,policzek
8,Wange::N,hinarik,policzek
9,Gesicht::N,rû,twarz
10,Stirn::N,enî,czoło
11,Haar::N,por,włos
12,Haar::N,por,włosy
13,Schnurrbart::N,simbêl,wąsy
14,Bart::N,rih,broda
15,Kinn::N,zenî,podbródek
16,Kiefer[Anatomie]::N,arguşk,czeluść
17,Kehle::N,qirik,gardło
18,Hals::N,stû,szyja
19,Hals::N,qirik,szyja
20,Genick::N,stû,kark
21,Kopf::N,serî,głowa
22,Rücken::N,pişt,plecy
23,Rücken::N,pişt,grzbiet
24,Bauch::N,ûr,brzuch
25,Bauch::N,zik,brzuch
26,Nabel::N,navik,pępek
27,Busen::N,sîng,biust
28,Brust::N,sîng,pierś
29,Schulter::N,mil,bark
30,Schulter::N,mil,ramię
31,Arm::N,çepil,ręka
32,Arm::N,çepil,ramię
33,Ellenbogen::N,enîşk,łokieć
34,Hand::N,dest,dłoń
35,Handfläche::N,kefadest,dłoń
36,Finger::N,tilî,palec
37,Fingernagel::N,neynuk,paznokieć
38,Nagel[Anatomie]::N,bizmar,paznokieć
39,Zeh::N,tilî linga,palec
40,Fuß::N,ling,stopa
41,Ferse::N,pahnî,pięta
42,Knie::N,kabok,kolano
43,Oberschenkel::N,rahn,udo
44,Bein::N,çip,noga
45,Körper::N,laş,ciało
46,Körper::N,gowde,ciało
47,Haut::N,çerm,skóra
48,Blut::N,xwîn,krew
49,Ader::N,reh,żyła
50,Sehne::N,reh,ścięgno
51,Knochen::N,hestî,kość
52,Gehirn::N,mêjî,mózg
53,Herz::N,dil,serce
54,Magen::N,navêş,żołądek
55,Leber::N,kezeb,wątroba
56,Atem::N,hilm,dech
57,Atem::N,hilm,oddech
58,Hunger::N,birçîtî,głód
59,Träne::N,hêstir,łza
60,Geschmack::N,tam,smak
61,Geruch::N,bêhn,woń
62,Geruch::N,bêhn,zapach
63,Schlaf::N,xew,sen
64,Traum::N,xewn,sen
65,Himmel::N,ezman,niebo
66,Sonne::N,roj,słońce
67,Mond::N,heyv,księżyc
68,Stern::N,stêrk,gwiazda
69,Luft::N,ba,powietrze
70,Wind::N,ba,wiatr
71,Welle::N,şewl,fala
72,Wasser::N,av,woda
73,Stein::N,kevir,kamień
74,Boden::N,herd,grunt
75,Erde::N,ax,ziemia
76,Staub::N,toz,pył
77,Staub::N,toz,kurz
78,Rauch::N,dû,dym
79,Funke::N,çirûşk,iskra
80,Feuer::N,agir,ogień
81,Licht::N,ronahî,światło
82,Schatten::N,sî,cień
83,Wetter::N,hewa,pogoda
84,Nebel::N,mij,mgła
85,Wolke::N,ewr,obłok
86,Wolke::N,ewr,chmura
87,Regen::N,baran,deszcz
88,Schnee::N,berf,śnieg
89,Eis::N,qeşa,lód
90,Frost::N,xûsik,mróz
91,Kälte::N,serma,chłód
92,Hitze::N,germayî,gorąco
93,Raureif::N,şext,szron
94,Regenbogen::N,heftreng,tęcza
95,Donner::N,gire-gir,grzmot
96,Strömung::N,şewl,nurt
97,Tropfen::N,dilop,kropla
98,Schaum::N,kef,piana
99,Schmutz::N,gemar,brud
100,See::N,gol,jezioro
101,Sumpf::N,hezek,bagno
102,Moor::N,mafêl,bagno
103,Wiese::N,sûrik,łąka
104,Wald::N,çiya,las
105,Wald::N,daristan,las
106,Hügel::N,gir,pagórek
107,Anhöhe::N,sere gir,wzgórze
108,Berg::N,kaş,góra
109,Gipfel::N,sere gir,szczyt
110,Gipfel::N,sere gir,wierzchołek
111,Höhle::N,şikeft,pieczara
112,Abhang::N,kaş,stok
113,Abhang::N,kaş,zbocze
114,Quelle::N,kanî,zdrój
115,Quelle::N,kanî,źródło
116,Bach::N,çem,potok
117,Bach::N,çem,strumień
118,Fluss::N,çem,rzeka
119,Fluss::N,rûbar,rzeka
120,Ufer::N,kevî,brzeg
121,Küste::N,berav,wybrzeże
122,Festland::N,bejahî,ląd
123,Meer::N,behr,morze
124,Bucht::N,derav,zatoka
125,Insel::N,girav,wyspa
126,Blume::N,kulînk,kwiat
127,Gras::N,giha,trawa
128,Wurzel::N,reh,korzeń
129,Baum::N,dar,drzewo
130,Stamm::N,bavik,pień
131,Rinde::N,qaqil,kora
132,Ast::N,gulî,gałąź
133,Zweig::N,şax,gałąź
134,Blatt::N,pel,liść
135,Birke::N,dara sipî,brzoza
136,Kiefer[Baum]::N,dara bî,sosna
137,Weide[Baum]::N,dara belalûk,wierzba
138,Tanne::N,merx,jodła
139,Horn::N,strô,róg
140,Feder::N,pîrtîk,pióro
141,Fell::N,heyar,futro
142,Flügel::N,per,skrzydło
143,Klaue::N,napîk,szpon
144,Kralle::N,dinik,pazur
145,Kralle::N,dirnax,pazur
146,Schwanz::N,dûv,ogon
147,Ei::N,hêk,jajko
148,Nest::N,hêlîn,gniazdo
149,Bau::N,avahî,nora
150,Tier::N,heywan,zwierzę
151,Herde::N,hoz,stado
152,Herde::N,hoz,trzoda
153,Kuh::N,çêlek,krowa
154,Bulle::N,ga,byk
155,Pferd::N,hesp,koń
156,Schaf::N,mîh,owca
157,Schwein::N,beraz,świnia
158,Hund::N,seh,pies
159,Katze::N,pişîk,kot
160,Katze::N,pişîk,kotka
161,Bär::N,hirç,niedźwiedż
162,Eichhörnchen::N,pilûr,wiewiórka
163,Elch::N,pazkovî,łóś
164,Fuchs::N,rovî,lis
165,Hase::N,kîroşk,zając
166,Maus::N,mişk,mysz
167,Wolf::N,gur,wilk
168,Vogel::N,çûk,ptak
169,Schwarm::N,lufik,stado
170,Huhn::N,mirîşk,kura
171,Hahn::N,dîk,kogut
172,Gans::N,qaz,gęś
173,Adler::N,eylo,orzeł
174,Ente::N,werdek,kaczka
175,Eule::N,bûm,sowa
176,Eule::N,kund,sowa
177,Kranich::N,quling,żuraw
178,Krähe::N,qijik,wrona
179,Kuckuck::N,pepûk,kukułka
180,Schwan::N,qû,łabędż
181,Fisch::N,masî,ryba
182,Barsch::N,okûn,okoń
183,Hecht::N,mesîyê lûf,szczupak
184,Schlange[Tier]::N,mar,wąż
185,Schlange[Tier]::N,mar,żmija
186,Wurm::N,kurm,robak
187,Spinne::N,pîrê,pająk
188,Ameise::N,mîro,mrówka
189,Ameise::N,gêrîk,mrówka
190,Laus::N,spi,wesz
191,Mücke::N,mêş,komar
192,Fliege::N,mêş,mucha
193,Schmetterling::N,perperîk,motyl
194,Beere::N,hirç,jagoda
195,Apfel::N,sêv,jabłko
196,Pilz::N,bîrov,grzyb
197,Zwiebel::N,pîvaz,cebula
198,Saat::N,tov,siew
199,Korn::N,dexl,ziarno
200,Heu::N,sap,siano
201,Schale::N,qaşik,łupina
202,Grube::N,çahl,dół
203,Grube::N,çahl,jama
204,Falle::N,dafik,pułapka
205,Schlinge::N,dahf,sidła
206,Spur::N,rêç,ślad
207,Asche::N,xweli,popiół
208,Dreck::N,gemarî,brud
209,Eisen::N,hesing,żelazo
210,Gold::N,zêr,złoto
211,Silber::N,zîv,srebro
212,Kohle::N,komir,węgiel
213,Glas::N,qedeh,szkło
214,Lehm::N,kelpîç,glina
215,Sand::N,qûm,piasek
216,Mensch::N,mirov,człowiek
217,Mann::N,mêr,mężczyzna
218,Frau::N,jin,kobieta
219,Kind::N,zarok,dziecko
220,Junge::N,kur,chłopak
221,Junge::N,kur,chłopiec
222,Mädchen::N,keç,dziewczynka
223,Mädchen::N,keçik,dziewczynka
224,Familie::N,malbat,rodzina
225,Großvater::N,bapîr,dziadek
226,Großmutter::N,pîrik,babka
227,Eltern::N,bavudê,rodzice
228,Vater::N,bav,ojciec
229,Mutter::N,dê,matka
230,Mutter::N,dayik,matka
231,Sohn::N,kur,syn
232,Tochter::N,keç,córka
233,Bruder::N,bira,brat
234,Schwester::N,xweh,siostra
235,Onkel::N,am,wuj
236,Onkel::N,am,stryj
237,Onkel::N,xal,wuj
238,Onkel::N,xal,stryj
239,Tante::N,metik,ciotka
240,Tante::N,xaltîk,ciotka
241,Ehemann::N,mêr,mąż
242,Ehefrau::N,kulfet,żona
243,Freude::N,kêfxweşî,radość
244,Gelächter::N,pîrqînî,śmiech
245,Glück::N,bext,szczęście
246,Kummer::N,derd,zmartwienie
247,Wunsch::N,daxwaz,życzenie
248,Wunsch::N,xwestek,życzenie
249,Lust::N,şewq,chęć
250,Lust::N,şewq,ochota
251,Geist::N,aqil,duch
252,Gedanke::N,fikir,myśl
253,Gedächtnis::N,aqil,pamięć
254,Verstand::N,fêm,rozum
255,Sinn::N,aqil,zmysł
256,Grund::N,asas,powód
257,Wahrheit::N,rastî,prawda
258,Gespräch::N,guftûgo,rozmowa
259,Märchen::N,çirok,bajka
260,Erzählung::N,çirok,opowiadanie
261,Erzählung::N,vegotin,opowiadanie
262,Nachricht::N,nûçe,wiadomość
