,Concept_ID,se,lbe
0,Auge::N,tjelmie,я
1,Auge::N,tjalmme,я
2,Auge::N,čalbmi,я
3,Auge::N,čalme,я
4,Auge::N,čâ´lmm,я
5,Auge::N,ча̄лльм,я
6,Ohr::N,bieljie,вичӏи
7,Ohr::N,biellje,вичӏи
8,Ohr::N,beallji,вичӏи
9,Ohr::N,pelji,вичӏи
10,Ohr::N,pe´llj,вичӏи
11,Ohr::N,пе̄лльй,вичӏи
12,Nase::N,njuenie,май
13,Nase::N,njunnje,май
14,Nase::N,njunni,май
15,Nase::N,njuṇe,май
16,Nase::N,njuu´nn,май
17,Nase::N,нюннҍ,май
18,Mund::N,njaelmie,кьацӏ
19,Mund::N,njálmme,кьацӏ
20,Mund::N,njálbmi,кьацӏ
21,Mund::N,njälmi,кьацӏ
22,Mund::N,njä´lmm,кьацӏ
23,Mund::N,ня̄лльм,кьацӏ
24,Zahn::N,baenie,ккарччи
25,Zahn::N,bádne,ккарччи
26,Zahn::N,bátni,ккарччи
27,Zahn::N,pääṇi,ккарччи
28,Zahn::N,pää´nn,ккарччи
29,Zahn::N,па̄ннҍ,ккарччи
30,Zunge::N,njoektjeme,маз
31,Zunge::N,njuovtjav,маз
32,Zunge::N,njuovčča,маз
33,Zunge::N,njuovčâ,маз
34,Zunge::N,njuhččâm,маз
35,Zunge::N,нюхчем,маз
36,Lippe::N,bangseme,мурччи
37,Lippe::N,njálmmerabdda,мурччи
38,Lippe::N,bavssa,мурччи
39,Lippe::N,poovsâ,мурччи
40,Lippe::N,põõus,мурччи
41,Lippe::N,пэ̄кс,мурччи
42,Wange::N,skiehrie,чӏав
43,Wange::N,nierra,чӏав
44,Wange::N,muohtu,чӏав
45,Wange::N,nieṛâ,чӏав
46,Wange::N,njiõrr,чӏав
47,Wange::N,нӣрр,чӏав
48,Gesicht::N,ååredæjja,лажин
49,Gesicht::N,muohto,лажин
50,Gesicht::N,muođut,лажин
51,Gesicht::N,ámadadju,лажин
52,Gesicht::N,muáđuh,лажин
53,Gesicht::N,muâđ,лажин
54,Gesicht::N,ка̄ссв,лажин
55,Stirn::N,gaalloe,ненттабакӏ
56,Stirn::N,gállo,ненттабакӏ
57,Stirn::N,gállu,ненттабакӏ
58,Stirn::N,kállu,ненттабакӏ
59,Stirn::N,käll,ненттабакӏ
60,Stirn::N,вуэххьц,ненттабакӏ
61,Haar::N,voepte,чӏара
62,Haar::N,vuoppta,чӏара
63,Haar::N,vuokta,чӏара
64,Haar::N,vuop'tâ,чӏара
65,Haar::N,vuõpt,чӏара
66,Haar::N,вӯппт,чӏара
67,Schnurrbart::N,bijjie-skaavtjoe,ссирссилтту
68,Schnurrbart::N,njunjevuolskávttjá,ссирссилтту
69,Schnurrbart::N,seamu,ссирссилтту
70,Schnurrbart::N,siämu,ссирссилтту
71,Schnurrbart::N,ää´bben,ссирссилтту
72,Schnurrbart::N,о̄а̄бпан,ссирссилтту
73,Bart::N,skaavtja,чӏири
74,Bart::N,skaavtjoe,чӏири
75,Bart::N,skávttjá,чӏири
76,Bart::N,seamu,чӏири
77,Bart::N,siämu,чӏири
78,Bart::N,seäm,чӏири
79,Bart::N,ся̄м,чӏири
80,Kinn::N,gaejpie,лунттубакӏ
81,Kinn::N,gájbbe,лунттубакӏ
82,Kinn::N,gáibi,лунттубакӏ
83,Kinn::N,käibi,лунттубакӏ
84,Kinn::N,käi´bb,лунттубакӏ
85,Kinn::N,ка̄ййп,лунттубакӏ
86,Kiefer[Anatomie]::N,gaejpie,ххинчулул
87,Kiefer[Anatomie]::N,oalol,ххинчулул
88,Kiefer[Anatomie]::N,oaloldákte,ххинчулул
89,Kiefer[Anatomie]::N,gáibi,ххинчулул
90,Kiefer[Anatomie]::N,uá'lultähti,ххинчулул
91,Kiefer[Anatomie]::N,vuâl'lõš,ххинчулул
92,Kiefer[Anatomie]::N,вуаллнешш,ххинчулул
93,Kehle::N,gealoe,кьакьари
94,Kehle::N,tjåttå,кьакьари
95,Kehle::N,njiello,кьакьари
96,Kehle::N,čotta,кьакьари
97,Kehle::N,čuudâ,кьакьари
98,Kehle::N,čoodd,кьакьари
99,Kehle::N,чонт,кьакьари
100,Kehle::N,кэ̄ҏс,кьакьари
101,Hals::N,tjeapohke,ссурссу
102,Hals::N,tjiebet,ссурссу
103,Hals::N,čeabet,ссурссу
104,Hals::N,čiäppát,ссурссу
105,Hals::N,čeäppat,ссурссу
106,Hals::N,ча̄пэх,ссурссу
107,Genick::N,tjovrese,махъабакӏ
108,Genick::N,nisske,махъабакӏ
109,Genick::N,niehkki,махъабакӏ
110,Genick::N,niski,махъабакӏ
111,Genick::N,niek'ki,махъабакӏ
112,Genick::N,nji´šǩǩmaadd,махъабакӏ
113,Genick::N,нышшькмоант,махъабакӏ
114,Kopf::N,åejjie,бакӏ
115,Kopf::N,oajvve,бакӏ
116,Kopf::N,oaivi,бакӏ
117,Kopf::N,uái'vi,бакӏ
118,Kopf::N,vuei´vv,бакӏ
119,Kopf::N,вуэййв,бакӏ
120,Rücken::N,rudtje,ттиликӏ
121,Rücken::N,hárddo,ттиликӏ
122,Rücken::N,tjavelk,ттиликӏ
123,Rücken::N,sealgi,ттиликӏ
124,Rücken::N,selgi,ттиликӏ
125,Rücken::N,čielgi,ттиликӏ
126,Rücken::N,seä´lǧǧ,ттиликӏ
127,Rücken::N,се̄лльк,ттиликӏ
128,Bauch::N,tjåejjie,лякьа
129,Bauch::N,tjoajvve,лякьа
130,Bauch::N,čoavji,лякьа
131,Bauch::N,čuáv'ji,лякьа
132,Bauch::N,čåu´jj,лякьа
133,Bauch::N,чо̄ввьй,лякьа
134,Nabel::N,naepie,цӏумуккутӏ
135,Nabel::N,náhpe,цӏумуккутӏ
136,Nabel::N,náhpi,цӏумуккутӏ
137,Nabel::N,nääpi,цӏумуккутӏ
138,Nabel::N,nää´pp,цӏумуккутӏ
139,Nabel::N,на̄бпь,цӏумуккутӏ
140,Busen::N,boenge,ккукку
141,Busen::N,bållå,ккукку
142,Busen::N,čižži,ккукку
143,Busen::N,njamma,ккукку
144,Busen::N,njižže,ккукку
145,Busen::N,nje´ǯǯ,ккукку
146,Busen::N,раннҍт,ккукку
147,Brust::N,mïelke,хъазам
148,Brust::N,radde,хъазам
149,Brust::N,mielgga,хъазам
150,Brust::N,raddi,хъазам
151,Brust::N,radde,хъазам
152,Brust::N,râ´dd,хъазам
153,Brust::N,раннҍт,хъазам
154,Schulter::N,åelkie,хъачӏ
155,Schulter::N,oalgge,хъачӏ
156,Schulter::N,hárdu,хъачӏ
157,Schulter::N,ärdee,хъачӏ
158,Schulter::N,uál'gi,хъачӏ
159,Schulter::N,a´rddi,хъачӏ
160,Schulter::N,vuä´lǧǧ,хъачӏ
161,Schulter::N,вуэллык,хъачӏ
162,Arm::N,gïete,ка
163,Arm::N,giehta,ка
164,Arm::N,giehta,ка
165,Arm::N,kietâ,ка
166,Arm::N,kie'tâkaaṿâ,ка
167,Arm::N,ǩiõtt,ка
168,Arm::N,кӣдт,ка
169,Ellenbogen::N,gernjere,ссюрхъ
170,Ellenbogen::N,garŋŋel,ссюрхъ
171,Ellenbogen::N,gargŋil,ссюрхъ
172,Ellenbogen::N,käŋŋir,ссюрхъ
173,Ellenbogen::N,kõõnjâr,ссюрхъ
174,Ellenbogen::N,карьнэль,ссюрхъ
175,Hand::N,gïete,бартка
176,Hand::N,giehta,бартка
177,Hand::N,giehta,бартка
178,Hand::N,kietâ,бартка
179,Hand::N,ǩiõtt,бартка
180,Hand::N,кӣдт,бартка
181,Handfläche::N,gïeten-låapoe,хъат
182,Handfläche::N,gïeten-låapoe,битӏянхъ
183,Handfläche::N,giehtavuodo,хъат
184,Handfläche::N,giehtavuodo,битӏянхъ
185,Handfläche::N,tjårmmåvuodo,хъат
186,Handfläche::N,tjårmmåvuodo,битӏянхъ
187,Handfläche::N,giehtaloahpu,хъат
188,Handfläche::N,giehtaloahpu,битӏянхъ
189,Handfläche::N,kiämád,хъат
190,Handfläche::N,kiämád,битӏянхъ
191,Handfläche::N,kuámmir,хъат
192,Handfläche::N,kuámmir,битӏянхъ
193,Handfläche::N,kuä´m'mer,хъат
194,Handfläche::N,kuä´m'mer,битӏянхъ
195,Handfläche::N,ǩiõttǩeä´m'men,хъат
196,Handfläche::N,ǩiõttǩeä´m'men,битӏянхъ
197,Handfläche::N,ко̄а̄ллдэгк,хъат
198,Handfläche::N,ко̄а̄ллдэгк,битӏянхъ
199,Handfläche::N,кӣдткоалдэгк,хъат
200,Handfläche::N,кӣдткоалдэгк,битӏянхъ
201,Finger::N,soerme,кӏисса
202,Finger::N,tjuvdde,кӏисса
203,Finger::N,suorbma,кӏисса
204,Finger::N,čuvde,кӏисса
205,Finger::N,suor'mâ,кӏисса
206,Finger::N,suõrmm,кӏисса
207,Finger::N,це̄ххп,кӏисса
208,Fingernagel::N,gadtse,михь
209,Fingernagel::N,guehpere,михь
210,Fingernagel::N,gadtsa,михь
211,Fingernagel::N,gazza,михь
212,Fingernagel::N,kozzâ,михь
213,Fingernagel::N,kõʒʒ,михь
214,Fingernagel::N,кэ̄ннц,михь
215,Nagel[Anatomie]::N,gadtse,михь
216,Nagel[Anatomie]::N,guehpere,михь
217,Nagel[Anatomie]::N,gadtsa,михь
218,Nagel[Anatomie]::N,gazza,михь
219,Nagel[Anatomie]::N,kozzâ,михь
220,Nagel[Anatomie]::N,kõʒʒ,михь
221,Nagel[Anatomie]::N,кэ̄ннц,михь
222,Zeh::N,tjiehtjere,кӏисса
223,Zeh::N,juolggetjuvdde,кӏисса
224,Zeh::N,juolgesuorbma,кӏисса
225,Zeh::N,jyel'gisuor'mâ,кӏисса
226,Zeh::N,jue´lǧǧsuõrmm,кӏисса
227,Zeh::N,ю̄лльк-це̄һп,кӏисса
228,Fuß::N,juelkie,чӏанччан
229,Fuß::N,juolgge,чӏанччан
230,Fuß::N,juolgi,чӏанччан
231,Fuß::N,jyel'gi,чӏанччан
232,Fuß::N,jue´lǧǧ,чӏанччан
233,Fuß::N,ла̄бпь,чӏанччан
234,Ferse::N,båetskie,никъа
235,Ferse::N,boasske,никъа
236,Ferse::N,šušmi,никъа
237,Ferse::N,šušme,никъа
238,Ferse::N,jue´lǧǧkädd,никъа
239,Ferse::N,ка̄ннт,никъа
240,Knie::N,boelve,ник
241,Knie::N,buolvva,ник
242,Knie::N,čibbi,ник
243,Knie::N,veaŋki,ник
244,Knie::N,iidâ,ник
245,Knie::N,puõlvv,ник
246,Knie::N,пуллв,ник
247,Oberschenkel::N,ruaksja,жира
248,Oberschenkel::N,tjibbe,жира
249,Oberschenkel::N,gassaváhkká,жира
250,Oberschenkel::N,badjeváhkáa,жира
251,Oberschenkel::N,čuár'bpeeḷi,жира
252,Oberschenkel::N,če´bb,жира
253,Oberschenkel::N,чуаррбе̄лль,жира
254,Bein::N,juelkie,ччан
255,Bein::N,juolgge,ччан
256,Bein::N,juolgi,ччан
257,Bein::N,jyel'gi,ччан
258,Bein::N,jue´lǧǧ,ччан
259,Bein::N,ю̄лльк,ччан
260,Körper::N,kråahpe,чурх
261,Körper::N,rumáj,чурх
262,Körper::N,rumaš,чурх
263,Körper::N,ruumâš,чурх
264,Körper::N,rå´pp,чурх
265,Körper::N,лышшьк,чурх
266,Körper::N,роаӈӈьк,чурх
267,Haut::N,njaltja,бурчу
268,Haut::N,lijkke,бурчу
269,Haut::N,tjuobma,бурчу
270,Haut::N,liiki,бурчу
271,Haut::N,liške,бурчу
272,Haut::N,le´šǩǩ,бурчу
273,Haut::N,лышшьк,бурчу
274,Blut::N,vïrre,оь
275,Blut::N,maelie,оь
276,Blut::N,varra,оь
277,Blut::N,varra,оь
278,Blut::N,vorrâ,оь
279,Blut::N,võrr,оь
280,Blut::N,вэ̄рр,оь
281,Ader::N,åerie,тунну
282,Ader::N,aajroe,тунну
283,Ader::N,suodna,тунну
284,Ader::N,varrasuotna,тунну
285,Ader::N,suoṇâ,тунну
286,Ader::N,suõnn,тунну
287,Ader::N,сӯнн,тунну
288,Sehne::N,soene,хьхьа
289,Sehne::N,gåårtenje,хьхьа
290,Sehne::N,suodna,хьхьа
291,Sehne::N,suotna,хьхьа
292,Sehne::N,suoṇâ,хьхьа
