,Concept_ID,cy,be
0,Auge::N,llygad,вока
1,Ohr::N,clust,вуха
2,Nase::N,trwyn,нос
3,Mund::N,ceg,рот
4,Zahn::N,dant,зуб
5,Zunge::N,tafod,язык
6,Lippe::N,gwefus,губа
7,Wange::N,boch,шчака
8,Gesicht::N,wyneb,твар
9,Stirn::N,talcen,лоб
10,Haar::N,blew,волас
11,Haar::N,blew,валасы
12,Schnurrbart::N,mwstas,вус
13,Schnurrbart::N,mwstas,вусы
14,Bart::N,barf,барада
15,Kinn::N,gên,падбародак
16,Kiefer[Anatomie]::N,gên,сківіца
17,Kehle::N,gwddf,горла
18,Hals::N,gwddf,шыя
19,Genick::N,gwar,патыліца
20,Genick::N,gwegil,патыліца
21,Kopf::N,pen,галава
22,Rücken::N,cefn,спіна
23,Bauch::N,bol,жывот
24,Nabel::N,bogail,пупок
25,Busen::N,bron,грудзі
26,Brust::N,brest,грудзі
27,Schulter::N,ysgwydd,плячо
28,Arm::N,braich,рука
29,Ellenbogen::N,penelin,локаць
30,Hand::N,llaw,кісць
31,Handfläche::N,palf,далонь
32,Finger::N,bys,палец
33,Fingernagel::N,ewin,ногаць
34,Nagel[Anatomie]::N,ewin,ногаць
35,Zeh::N,bys troed,палец
36,Fuß::N,troed,нага
37,Ferse::N,sawdl,пята
38,Ferse::N,sawdl,пятка
39,Knie::N,glin,калена
40,Oberschenkel::N,clun,бядро
41,Oberschenkel::N,clun,сцягно
42,Bein::N,coes,нага
43,Körper::N,corff,цела
44,Haut::N,croen,скура
45,Blut::N,gwaed,кроў
46,Ader::N,gwythïen,вена
47,Ader::N,gwythïen,сасуд
48,Sehne::N,gewyn,жыла
49,Sehne::N,gewyn,цеціва
50,Sehne::N,gewyn,сухажылле
51,Knochen::N,asgwrn,косць
52,Gehirn::N,ymennydd,мозг
53,Herz::N,calon,сэрца
54,Magen::N,cylla,страўнік
55,Magen::N,stumog,страўнік
56,Leber::N,iau,печань
57,Atem::N,anadl,дыханне
58,Hunger::N,newyn,голад
59,Träne::N,deigryn,сляза
60,Geschmack::N,cyflas,смак
61,Geruch::N,aroglau,пах
62,Schlaf::N,cwsg,сон
63,Traum::N,breuddwyd,сон
64,Himmel::N,awyr,неба
65,Sonne::N,haul,сонца
66,Mond::N,lleuad,месяц
67,Stern::N,seren,зорка
68,Luft::N,awyr,паветра
69,Wind::N,gwynt,вецер
70,Welle::N,ton,хваля
71,Wasser::N,dŵr,вада
72,Stein::N,carreg,камень
73,Boden::N,llawr,глеба
74,Erde::N,pridd,зямля
75,Staub::N,llwch,пыл
76,Rauch::N,mwg,дым
77,Funke::N,gwreichioni,іскра
78,Feuer::N,tân,агонь
79,Licht::N,golau,святло
80,Schatten::N,cysgod,цень
81,Wetter::N,tywydd,пагода
82,Wetter::N,tywydd,надворʼе
83,Nebel::N,niwl,туман
84,Wolke::N,cwmwl,воблака
85,Regen::N,glaw,дождж
86,Schnee::N,ôd,снег
87,Schnee::N,eira,снег
88,Eis::N,iâ,лёд
89,Frost::N,rhew,мароз
90,Kälte::N,oerni,холад
91,Kälte::N,annwyd,холад
92,Hitze::N,gwres,спёка
93,Raureif::N,barrug,іней
94,Regenbogen::N,enfys,вясёлка
95,Donner::N,tyrfau,гром
96,Strömung::N,cerrynt,цячэнне
97,Tropfen::N,dafn,кропля
98,Tropfen::N,diferyn,кропля
99,Schaum::N,ewyn,пена
100,Schmutz::N,baw,гразь
101,Schmutz::N,budreddi,гразь
102,See::N,llyn,возера
103,Sumpf::N,cors,багна
104,Moor::N,rhos,балота
105,Wiese::N,dôl,луг
106,Wald::N,coedwig,лес
107,Hügel::N,bryn,узгорак
108,Anhöhe::N,bryn,узвышша
109,Berg::N,mynydd,гара
110,Gipfel::N,copa,вяршыня
111,Höhle::N,ogof,пячора
112,Abhang::N,llethr,схіл
113,Quelle::N,tarddiad,крыніца
114,Quelle::N,ffynhonnell,крыніца
115,Bach::N,nant,ручай
116,Bach::N,afonig,ручай
117,Bach::N,cornant,ручай
118,Fluss::N,afon,рака
119,Ufer::N,glan,бераг
120,Küste::N,traeth,узбярэжжа
121,Küste::N,arfordir,узбярэжжа
122,Festland::N,tir,суша
123,Meer::N,môr,мора
124,Bucht::N,bae,бухта
125,Insel::N,ynys,востраў
126,Blume::N,blodyn,кветка
127,Gras::N,glaswellt,трава
128,Wurzel::N,gwreiddyn,корань
129,Baum::N,coeden,дрэва
130,Stamm::N,colfen,ствол
131,Stamm::N,boncyff,ствол
132,Rinde::N,rhisgl,кара
133,Ast::N,cangen,сук
134,Zweig::N,cainc,галіна
135,Zweig::N,cangen,галіна
136,Blatt::N,deilen,ліст
137,Birke::N,bedwen,бяроза
138,Kiefer[Baum]::N,pinwydden,хвоя
139,Kiefer[Baum]::N,pinwydden,сасна
140,Weide[Baum]::N,helygen,вярба
141,Tanne::N,ffynidwydden,яліна
142,Horn::N,corn,рог
143,Feder::N,plufyn,пяро
144,Fell::N,ffwr,шкура
145,Flügel::N,adain,крыло
146,Klaue::N,crafanc,кіпцюр
147,Kralle::N,ewin,лапа
148,Schwanz::N,cwt,хвост
149,Schwanz::N,cynffon,хвост
150,Ei::N,wy,яйка
151,Nest::N,nyth,гняздо
152,Bau::N,ffau,нара
153,Tier::N,anifail,жывёла
154,Herde::N,praidd,статак
155,Herde::N,diadell,статак
156,Kuh::N,buwch,карова
157,Bulle::N,tarw,бык
158,Pferd::N,ceffyl,конь
159,Schaf::N,dafad,авечка
160,Schwein::N,mochyn,свіння
161,Hund::N,ci,сабака
162,Katze::N,cath,кошка
163,Bär::N,arth,мядзведзь
164,Eichhörnchen::N,gwiwer,вавёрка
165,Elch::N,elc,лось
166,Fuchs::N,cadno,ліса
167,Hase::N,ysgyfarnog,заяц
168,Maus::N,llygoden,мыш
169,Wolf::N,blaidd,воўк
170,Vogel::N,aderyn,птах
171,Vogel::N,aderyn,птушка
172,Schwarm::N,haid,чарада
173,Huhn::N,cyw,курыца
174,Hahn::N,ceiliog,певень
175,Gans::N,gŵydd,гусь
176,Adler::N,eryr,арол
177,Ente::N,hwyad,качка
178,Eule::N,tylluan,сава
179,Kranich::N,garan,жораў
180,Kranich::N,garan,журавель
181,Kranich::N,crychydd,жораў
182,Kranich::N,crychydd,журавель
183,Krähe::N,brân,варона
184,Kuckuck::N,cog,зязюля
185,Kuckuck::N,cwcw,зязюля
186,Schwan::N,alarch,лебедзь
187,Fisch::N,pysgod,рыба
188,Barsch::N,draenog,акунь
189,Hecht::N,penhwyad,шчупак
190,Schlange[Tier]::N,neidr,змяя
191,Wurm::N,abwydyn,чарвяк
192,Wurm::N,pryf genwair,чарвяк
193,Spinne::N,cor,павук
194,Spinne::N,pryf copyn,павук
195,Ameise::N,morgrugyn,мурашка
196,Laus::N,lleuen,вош
197,Mücke::N,gwybedyn,камар
198,Fliege::N,cleren,муха
199,Schmetterling::N,glöyn byw,матыль
200,Schmetterling::N,iâr fach yr haf,матыль
201,Beere::N,aeronen,ягада
202,Apfel::N,afal,яблык
203,Pilz::N,madarch,грыб
204,Zwiebel::N,nionyn,цыбуля
205,Zwiebel::N,winwnsyn,цыбуля
206,Saat::N,had,семя
207,Korn::N,grawn,зерне
208,Heu::N,gwair,сена
209,Schale::N,croen,шалупінне
210,Schale::N,plisgyn,шалупінне
211,Grube::N,pwll,яма
212,Grube::N,pydew,яма
213,Falle::N,magl,пастка
214,Schlinge::N,cwlwm rhedeg,сіло
215,Spur::N,ôl,след
216,Asche::N,lludw,попел
217,Dreck::N,baw,бруд
218,Dreck::N,budreddi,бруд
219,Eisen::N,haearn,жалеза
220,Gold::N,aur,золата
221,Silber::N,arian,сребра
222,Kohle::N,glo,вугаль
223,Glas::N,gwydr,шкло
224,Lehm::N,clai,гліна
225,Sand::N,tywod,пясок
226,Mensch::N,dyn,чалавек
227,Mann::N,dyn,мужчына
228,Frau::N,merch,жанчына
229,Frau::N,gwraig,жанчына
230,Kind::N,plentyn,дзіця
231,Junge::N,hogyn,хлопчык
232,Junge::N,bachgen,хлопчык
233,Mädchen::N,merch,дзяўчынка
234,Mädchen::N,geneth,дзяўчынка
235,Familie::N,teulu,сямʼя
236,Familie::N,tylwyth,сямʼя
237,Großvater::N,taid,дзядуля
238,Großvater::N,tad-cu,дзядуля
239,Großmutter::N,nain,бабуля
240,Großmutter::N,mam-gu,бабуля
241,Eltern::N,rhieni,бацькі
242,Vater::N,tad,бацька
243,Mutter::N,mam,маці
